"ProximitytoHole_RANKTHISWEEK_2011","ProximitytoHole_RANKLASTWEEK_2011","ProximitytoHole_PLAYERNAME_2011","ProximitytoHole_ROUNDS_2011","ProximitytoHole_AVG_2011","ProximitytoHole_TOTALDISTANCEFEET_2011","ProximitytoHole_OFATTEMPTS_2011","ProximitytoHole_GIRRANK_2011","stat_name","year"
1,1,"Heath Slocum",89,NA,42282.667,1324,2,"ProximitytoHole",2011
2,2,"Paul Goydos",81,NA,42511,1328,120,"ProximitytoHole",2011
3,3,"Chad Campbell",99,NA,50161.167,1561,4,"ProximitytoHole",2011
4,4,"Joe Durant",71,NA,36973.25,1145,3,"ProximitytoHole",2011
5,5,"Shane Bertsch",62,NA,30389.583,932,126,"ProximitytoHole",2011
5,5,"David Toms",78,NA,34498.167,1058,6,"ProximitytoHole",2011
7,7,"Jason Dufner",78,NA,37991.583,1162,52,"ProximitytoHole",2011
7,7,"Brian Gay",90,NA,43322.5,1327,145,"ProximitytoHole",2011
9,9,"Luke Donald",73,NA,30569.25,930,41,"ProximitytoHole",2011
10,10,"Alex Cejka",59,NA,27633.75,835,74,"ProximitytoHole",2011
10,10,"Jim Furyk",87,NA,41573.417,1256,38,"ProximitytoHole",2011
10,10,"Brandt Jobe",100,NA,47948.75,1448,14,"ProximitytoHole",2011
13,13,"Woody Austin",59,NA,29834.75,900,54,"ProximitytoHole",2011
13,13,"Chris Kirk",87,NA,45713.167,1378,58,"ProximitytoHole",2011
15,15,"Davis Love III",70,NA,30904.583,929,28,"ProximitytoHole",2011
16,16,"Kris Blanks",92,NA,49720.5,1488,20,"ProximitytoHole",2011
17,17,"Jason Bohn",74,NA,40126.917,1199,42,"ProximitytoHole",2011
18,18,"Chez Reavie",92,NA,49375.167,1471,26,"ProximitytoHole",2011
18,18,"Kevin Stadler",88,NA,43834.583,1304,33,"ProximitytoHole",2011
20,20,"Stephen Ames",69,NA,36105.917,1073,101,"ProximitytoHole",2011
20,20,"David Hearn",88,NA,45861.667,1362,21,"ProximitytoHole",2011
22,22,"Steve Stricker",70,NA,32146.417,953,78,"ProximitytoHole",2011
23,23,"Zach Johnson",79,NA,38921.583,1149,67,"ProximitytoHole",2011
24,24,"Brian Davis",105,NA,55915.25,1649,40,"ProximitytoHole",2011
24,24,"David Mathis",83,NA,42379,1251,129,"ProximitytoHole",2011
24,24,"Ian Poulter",52,NA,23784.583,702,96,"ProximitytoHole",2011
24,24,"Webb Simpson",98,NA,50540,1490,8,"ProximitytoHole",2011
24,24,"Scott Stallings",84,NA,41999.5,1238,60,"ProximitytoHole",2011
29,29,"Briny Baird",60,NA,29821.167,878,15,"ProximitytoHole",2011
29,29,"Chris DiMarco",93,NA,50064.333,1471,106,"ProximitytoHole",2011
29,29,"Rickie Fowler",84,NA,40068.833,1178,120,"ProximitytoHole",2011
29,29,"Matt Kuchar",94,NA,43215.667,1271,50,"ProximitytoHole",2011
33,33,"John Rollins",85,NA,43781.917,1285,16,"ProximitytoHole",2011
