"OnePuttPercentageRound2_RANKTHISWEEK_2008","OnePuttPercentageRound2_RANKLASTWEEK_2008","OnePuttPercentageRound2_PLAYERNAME_2008","OnePuttPercentageRound2__2008","OnePuttPercentageRound2_Pct_2008","OnePuttPercentageRound2_OF1PUTTS_2008","OnePuttPercentageRound2_OFHOLES_2008","stat_name","year"
1,1,"Stuart Appleby",NA,44.19,175,396,"OnePuttPercentageRound2",2008
2,2,"Corey Pavin",NA,44.17,159,360,"OnePuttPercentageRound2",2008
3,3,"Steve Flesch",NA,43.87,229,522,"OnePuttPercentageRound2",2008
4,4,"Padraig Harrington",NA,43.25,109,252,"OnePuttPercentageRound2",2008
5,5,"Tim Clark",NA,42.95,201,468,"OnePuttPercentageRound2",2008
6,6,"Richard Johnson",NA,42.53,222,522,"OnePuttPercentageRound2",2008
7,7,"Steve Elkington",NA,42.51,176,414,"OnePuttPercentageRound2",2008
8,8,"Jeff Quinney",NA,42.31,198,468,"OnePuttPercentageRound2",2008
9,9,"Daniel Chopra",NA,42.09,197,468,"OnePuttPercentageRound2",2008
10,10,"John Mallinger",NA,41.88,196,468,"OnePuttPercentageRound2",2008
11,11,"Kevin Na",NA,41.87,211,504,"OnePuttPercentageRound2",2008
12,12,"Phil Mickelson",NA,41.67,150,360,"OnePuttPercentageRound2",2008
13,13,"Nathan Green",NA,41.57,217,522,"OnePuttPercentageRound2",2008
14,14,"Andres Romero",NA,41.52,142,342,"OnePuttPercentageRound2",2008
15,15,"Brian Davis",NA,41.49,239,576,"OnePuttPercentageRound2",2008
16,16,"Mark Hensby",NA,41.44,179,432,"OnePuttPercentageRound2",2008
17,17,"Shane Bertsch",NA,41.27,208,504,"OnePuttPercentageRound2",2008
18,18,"David Toms",NA,41.23,141,342,"OnePuttPercentageRound2",2008
19,19,"Kenny Perry",NA,41.11,185,450,"OnePuttPercentageRound2",2008
20,20,"Aaron Baddeley",NA,41.01,155,378,"OnePuttPercentageRound2",2008
21,21,"Freddie Jacobson",NA,40.97,177,432,"OnePuttPercentageRound2",2008
22,22,"Brian Gay",NA,40.93,221,540,"OnePuttPercentageRound2",2008
23,23,"Dudley Hart",NA,40.91,162,396,"OnePuttPercentageRound2",2008
24,24,"Jonathan Byrd",NA,40.81,191,468,"OnePuttPercentageRound2",2008
25,25,"Mark Wilson",NA,40.8,213,522,"OnePuttPercentageRound2",2008
26,26,"Ryuji Imada",NA,40.74,176,432,"OnePuttPercentageRound2",2008
27,27,"Steve Lowery",NA,40.67,183,450,"OnePuttPercentageRound2",2008
28,28,"Parker McLachlin",NA,40.53,197,486,"OnePuttPercentageRound2",2008
28,28,"Charlie Wi",NA,40.53,197,486,"OnePuttPercentageRound2",2008
30,30,"Ben Crane",NA,40.51,175,432,"OnePuttPercentageRound2",2008
31,31,"Matt Jones",NA,40.32,225,558,"OnePuttPercentageRound2",2008
32,32,"Michael Letzig",NA,40.28,203,504,"OnePuttPercentageRound2",2008
32,32,"Ryan Moore",NA,40.28,174,432,"OnePuttPercentageRound2",2008
32,32,"Vaughn Taylor",NA,40.28,232,576,"OnePuttPercentageRound2",2008
35,35,"Tag Ridings",NA,40.23,210,522,"OnePuttPercentageRound2",2008
36,36,"Justin Leonard",NA,40.05,173,432,"OnePuttPercentageRound2",2008
37,37,"Frank Lickliter II",NA,40,216,540,"OnePuttPercentageRound2",2008
38,38,"John Rollins",NA,39.88,201,504,"OnePuttPercentageRound2",2008
39,39,"Stephen Ames",NA,39.86,165,414,"OnePuttPercentageRound2",2008
40,40,"Joe Ogilvie",NA,39.85,208,522,"OnePuttPercentageRound2",2008
41,41,"Nick OHern",NA,39.81,172,432,"OnePuttPercentageRound2",2008
42,42,"Ian Poulter",NA,39.74,93,234,"OnePuttPercentageRound2",2008
43,43,"Ken Duke",NA,39.73,236,594,"OnePuttPercentageRound2",2008
44,44,"Michael Allen",NA,39.71,193,486,"OnePuttPercentageRound2",2008
45,45,"Mathias Gronberg",NA,39.44,213,540,"OnePuttPercentageRound2",2008
46,46,"Steve Stricker",NA,39.42,149,378,"OnePuttPercentageRound2",2008
47,47,"Craig Kanada",NA,39.39,156,396,"OnePuttPercentageRound2",2008
48,48,"Robert Garrigus",NA,39.3,191,486,"OnePuttPercentageRound2",2008
49,49,"Tom Pernice Jr",NA,39.26,212,540,"OnePuttPercentageRound2",2008
50,50,"Tim Herron",NA,39.09,197,504,"OnePuttPercentageRound2",2008
51,51,"Brad Adamonis",NA,38.89,196,504,"OnePuttPercentageRound2",2008
51,51,"Eric Axley",NA,38.89,245,630,"OnePuttPercentageRound2",2008
51,51,"JB Holmes",NA,38.89,175,450,"OnePuttPercentageRound2",2008
51,51,"Scott McCarron",NA,38.89,154,396,"OnePuttPercentageRound2",2008
51,51,"Geoff Ogilvy",NA,38.89,133,342,"OnePuttPercentageRound2",2008
51,51,"Pat Perez",NA,38.89,182,468,"OnePuttPercentageRound2",2008
51,51,"DJ Trahan",NA,38.89,189,486,"OnePuttPercentageRound2",2008
51,51,"Marc Turnesa",NA,38.89,203,522,"OnePuttPercentageRound2",2008
51,51,"Camilo Villegas",NA,38.89,147,378,"OnePuttPercentageRound2",2008
51,51,"Mike Weir",NA,38.89,168,432,"OnePuttPercentageRound2",2008
61,61,"Jeff Overton",NA,38.72,223,576,"OnePuttPercentageRound2",2008
62,62,"Jeff Maggert",NA,38.68,181,468,"OnePuttPercentageRound2",2008
63,63,"Scott Verplank",NA,38.65,160,414,"OnePuttPercentageRound2",2008
64,64,"Mark Calcavecchia",NA,38.62,146,378,"OnePuttPercentageRound2",2008
65,65,"Kevin Streelman",NA,38.54,222,576,"OnePuttPercentageRound2",2008
66,66,"Ernie Els",NA,38.52,104,270,"OnePuttPercentageRound2",2008
67,67,"Kyle Thompson",NA,38.46,180,468,"OnePuttPercentageRound2",2008
68,68,"David Duval",NA,38.3,131,342,"OnePuttPercentageRound2",2008
69,69,"Brandt Snedeker",NA,38.22,172,450,"OnePuttPercentageRound2",2008
70,70,"Billy Andrade",NA,38.19,165,432,"OnePuttPercentageRound2",2008
70,70,"Carlos Franco",NA,38.19,165,432,"OnePuttPercentageRound2",2008
72,72,"KJ Choi",NA,38.06,137,360,"OnePuttPercentageRound2",2008
73,73,"Chad Collins",NA,37.96,164,432,"OnePuttPercentageRound2",2008
73,73,"Troy Matteson",NA,37.96,205,540,"OnePuttPercentageRound2",2008
75,75,"Dustin Johnson",NA,37.9,191,504,"OnePuttPercentageRound2",2008
75,75,"George McNeill",NA,37.9,191,504,"OnePuttPercentageRound2",2008
75,75,"YE Yang",NA,37.9,191,504,"OnePuttPercentageRound2",2008
78,78,"Ryan Palmer",NA,37.88,150,396,"OnePuttPercentageRound2",2008
79,79,"Sean OHair",NA,37.78,170,450,"OnePuttPercentageRound2",2008
80,80,"Jason Allred",NA,37.68,156,414,"OnePuttPercentageRound2",2008
81,81,"Fred Couples",NA,37.58,115,306,"OnePuttPercentageRound2",2008
82,82,"Chris DiMarco",NA,37.55,196,522,"OnePuttPercentageRound2",2008
83,83,"Jason Day",NA,37.5,189,504,"OnePuttPercentageRound2",2008
84,84,"Jesper Parnevik",NA,37.45,182,486,"OnePuttPercentageRound2",2008
85,85,"Anthony Kim",NA,37.37,148,396,"OnePuttPercentageRound2",2008
86,86,"Nick Flanagan",NA,37.36,195,522,"OnePuttPercentageRound2",2008
87,87,"Todd Demsey",NA,37.33,168,450,"OnePuttPercentageRound2",2008
87,87,"Brett Quigley",NA,37.33,168,450,"OnePuttPercentageRound2",2008
89,89,"Paul Goydos",NA,37.27,161,432,"OnePuttPercentageRound2",2008
90,90,"Matt Kuchar",NA,37.24,181,486,"OnePuttPercentageRound2",2008
91,91,"Bob Sowards",NA,37.12,147,396,"OnePuttPercentageRound2",2008
92,92,"Kenneth Ferrie",NA,37.11,167,450,"OnePuttPercentageRound2",2008
92,92,"Rocco Mediate",NA,37.11,167,450,"OnePuttPercentageRound2",2008
94,94,"Gavin Coles",NA,37.04,100,270,"OnePuttPercentageRound2",2008
94,94,"Zach Johnson",NA,37.04,160,432,"OnePuttPercentageRound2",2008
94,94,"Travis Perkins",NA,37.04,140,378,"OnePuttPercentageRound2",2008
97,97,"Martin Laird",NA,36.97,193,522,"OnePuttPercentageRound2",2008
98,98,"Bill Haas",NA,36.92,206,558,"OnePuttPercentageRound2",2008
98,98,"Tim Petrovic",NA,36.92,206,558,"OnePuttPercentageRound2",2008
100,100,"Charles Howell III",NA,36.85,199,540,"OnePuttPercentageRound2",2008
101,101,"Tom Scherrer",NA,36.84,126,342,"OnePuttPercentageRound2",2008
102,102,"Heath Slocum",NA,36.78,192,522,"OnePuttPercentageRound2",2008
103,103,"Steve Allan",NA,36.77,139,378,"OnePuttPercentageRound2",2008
