"FedExCupStandings_RANKTHISWEEK_2007","FedExCupStandings_RANKLASTWEEK_2007","FedExCupStandings_PLAYERNAME_2007","FedExCupStandings_EVENTS_2007","FedExCupStandings_POINTS_2007","FedExCupStandings_OFWINS_2007","FedExCupStandings_OFTOP10S_2007","FedExCupStandings_POINTSBEHINDLEAD_2007","FedExCupStandings_RESETPOINTS_2007","stat_name","year"
1,1,"Tiger Woods",16,53607,2,3,NA,1e+05,"FedExCupStandings",2007
2,2,"Phil Mickelson",21,27394,1,2,26213,98000,"FedExCupStandings",2007
3,3,"Steve Stricker",23,25126,1,3,28481,95950,"FedExCupStandings",2007
4,4,"KJ Choi",25,21750,NA,1,31857,97500,"FedExCupStandings",2007
5,5,"Rory Sabbatini",23,21491,NA,4,32116,97250,"FedExCupStandings",2007
6,6,"Vijay Singh",27,21193,NA,1,32414,99000,"FedExCupStandings",2007
7,7,"Zach Johnson",23,19214,NA,1,34393,97000,"FedExCupStandings",2007
8,8,"Jim Furyk",23,19214,1,8,34393,98500,"FedExCupStandings",2007
9,9,"Aaron Baddeley",22,17703,NA,2,35904,95050,"FedExCupStandings",2007
10,10,"Mark Calcavecchia",24,16285,NA,2,37322,94750,"FedExCupStandings",2007
11,11,"Sergio Garcia",19,15824,NA,2,37783,95800,"FedExCupStandings",2007
12,12,"Adam Scott",19,15630,NA,1,37977,96250,"FedExCupStandings",2007
13,13,"Charles Howell III",25,13427,1,5,40180,96750,"FedExCupStandings",2007
14,14,"Scott Verplank",21,13403,NA,1,40204,96100,"FedExCupStandings",2007
15,15,"Geoff Ogilvy",22,13390,NA,2,40217,94150,"FedExCupStandings",2007
16,16,"Hunter Mahan",27,13380,NA,1,40227,95500,"FedExCupStandings",2007
17,17,"Brandt Snedeker",29,13277,1,6,40330,96500,"FedExCupStandings",2007
18,18,"Woody Austin",26,13240,1,3,40367,95650,"FedExCupStandings",2007
19,19,"Justin Rose",16,12682,NA,1,40925,94450,"FedExCupStandings",2007
20,20,"Ernie Els",16,12112,NA,1,41495,94900,"FedExCupStandings",2007
21,21,"Tim Clark",17,10817,NA,2,42790,92800,"FedExCupStandings",2007
22,22,"Boo Weekley",27,10790,1,4,42817,95200,"FedExCupStandings",2007
23,23,"John Rollins",27,10577,NA,4,43030,95350,"FedExCupStandings",2007
24,24,"Robert Allenby",24,10470,NA,1,43137,93700,"FedExCupStandings",2007
25,25,"Camilo Villegas",24,10337,NA,3,43270,91600,"FedExCupStandings",2007
26,26,"Stewart Cink",23,10227,NA,1,43380,93550,"FedExCupStandings",2007
27,27,"Padraig Harrington",18,10208,1,3,43399,94600,"FedExCupStandings",2007
28,28,"Jonathan Byrd",23,9969,NA,1,43638,93850,"FedExCupStandings",2007
29,29,"Brett Wetterich",26,9854,NA,1,43753,91750,"FedExCupStandings",2007
30,30,"Heath Slocum",24,9132,NA,4,44475,93400,"FedExCupStandings",2007
31,31,"Luke Donald",20,9075,NA,5,44532,94300,"FedExCupStandings",2007
32,32,"David Toms",22,8859,NA,7,44748,94000,"FedExCupStandings",2007
33,33,"Arron Oberholser",20,8811,NA,1,44796,90100,"FedExCupStandings",2007
34,34,"Jerry Kelly",24,8259,NA,1,45348,93100,"FedExCupStandings",2007
35,35,"Lucas Glover",27,7729,NA,3,45878,92125,"FedExCupStandings",2007
36,36,"Carl Pettersson",26,7309,NA,1,46298,92275,"FedExCupStandings",2007
37,37,"Bubba Watson",23,7198,NA,5,46409,93025,"FedExCupStandings",2007
38,38,"Stuart Appleby",23,7189,NA,3,46418,93250,"FedExCupStandings",2007
39,39,"Henrik Stenson",14,6948,1,2,46659,93175,"FedExCupStandings",2007
40,40,"Trevor Immelman",21,6931,NA,4,46676,92725,"FedExCupStandings",2007
41,41,"Mark Wilson",23,6888,1,2,46719,92650,"FedExCupStandings",2007
42,42,"Ian Poulter",18,6884,NA,2,46723,89725,"FedExCupStandings",2007
43,43,"Nick Watney",22,6881,1,2,46726,92875,"FedExCupStandings",2007
44,44,"Anthony Kim",25,6856,NA,4,46751,92350,"FedExCupStandings",2007
45,45,"Pat Perez",25,6820,NA,5,46787,92575,"FedExCupStandings",2007
46,46,"Nathan Green",27,6767,NA,2,46840,91450,"FedExCupStandings",2007
47,47,"Angel Cabrera",14,6709,1,1,46898,92200,"FedExCupStandings",2007
48,48,"Ken Duke",26,6656,NA,4,46951,92950,"FedExCupStandings",2007
49,49,"Troy Matteson",25,6502,NA,1,47105,91300,"FedExCupStandings",2007
50,50,"Charley Hoffman",25,6457,1,1,47150,92050,"FedExCupStandings",2007
51,51,"Billy Mayfair",26,6309,NA,5,47298,92500,"FedExCupStandings",2007
52,52,"Sean OHair",24,6292,NA,1,47315,90250,"FedExCupStandings",2007
53,53,"Kevin Sutherland",23,6278,NA,3,47329,91975,"FedExCupStandings",2007
54,54,"John Senden",25,6268,NA,3,47339,91900,"FedExCupStandings",2007
55,55,"Rod Pampling",25,6180,NA,2,47427,91825,"FedExCupStandings",2007
56,56,"Ryan Moore",24,6171,NA,2,47436,91675,"FedExCupStandings",2007
57,57,"Jeff Quinney",24,6160,NA,5,47447,92425,"FedExCupStandings",2007
58,58,"Ryuji Imada",27,6071,NA,2,47536,91375,"FedExCupStandings",2007
59,59,"John Mallinger",24,5888,NA,3,47719,90400,"FedExCupStandings",2007
60,60,"Paul Goydos",19,5665,1,1,47942,91525,"FedExCupStandings",2007
61,61,"Bo Van Pelt",26,5604,NA,2,48003,90475,"FedExCupStandings",2007
62,62,"Kenny Perry",24,5550,NA,3,48057,91150,"FedExCupStandings",2007
63,63,"Vaughn Taylor",24,5447,NA,3,48160,90925,"FedExCupStandings",2007
64,64,"Nick OHern",21,5330,NA,3,48277,91225,"FedExCupStandings",2007
65,65,"Steve Flesch",27,5314,1,2,48293,89425,"FedExCupStandings",2007
66,66,"Rocco Mediate",18,5271,NA,3,48336,90625,"FedExCupStandings",2007
67,67,"Brian Bateman",16,5102,1,1,48505,90850,"FedExCupStandings",2007
68,68,"Stephen Ames",20,5100,NA,3,48507,90700,"FedExCupStandings",2007
69,69,"Steve Marino",26,5017,NA,4,48590,90775,"FedExCupStandings",2007
70,70,"Jose Coceres",15,4980,NA,3,48627,91000,"FedExCupStandings",2007
71,71,"Bernhard Langer",14,4917,NA,4,48690,91075,"FedExCupStandings",2007
72,72,"Will Ma Kenzie",27,4831,NA,3,48776,90175,"FedExCupStandings",2007
73,73,"Dean Wilson",25,4789,NA,3,48818,89875,"FedExCupStandings",2007
74,74,"Peter Lonard",26,4764,NA,3,48843,90550,"FedExCupStandings",2007
75,75,"Brian Davis",22,4653,NA,2,48954,89950,"FedExCupStandings",2007
76,76,"Tim Petrovic",27,4642,NA,1,48965,89350,"FedExCupStandings",2007
77,77,"Fred Funk",20,4626,1,2,48981,90025,"FedExCupStandings",2007
78,78,"Brian Gay",25,4619,NA,2,48988,89800,"FedExCupStandings",2007
79,79,"Stephen Leaney",23,4596,NA,2,49011,90325,"FedExCupStandings",2007
80,80,"Bart Bryant",20,4555,NA,2,49052,89650,"FedExCupStandings",2007
81,81,"Freddie Jacobson",15,4540,NA,1,49067,88225,"FedExCupStandings",2007
82,82,"Jason Gore",24,4483,NA,2,49124,89275,"FedExCupStandings",2007
83,83,"Robert Garrigus",23,4441,NA,1,49166,87400,"FedExCupStandings",2007
84,84,"Davis Love III",21,4317,NA,3,49290,89500,"FedExCupStandings",2007
85,85,"Joe Ogilvie",26,4311,1,1,49296,89575,"FedExCupStandings",2007
86,86,"Charlie Wi",22,4038,NA,2,49569,88150,"FedExCupStandings",2007
87,87,"Charles Warren",25,4012,NA,2,49595,89200,"FedExCupStandings",2007
88,88,"Mike Weir",21,4003,NA,2,49604,88750,"FedExCupStandings",2007
89,89,"Justin Leonard",24,3998,NA,2,49609,89125,"FedExCupStandings",2007
90,90,"Rich Beem",23,3987,NA,1,49620,85450,"FedExCupStandings",2007
91,91,"Steve Elkington",24,3965,NA,2,49642,88675,"FedExCupStandings",2007
92,92,"Cliff Kresge",25,3915,NA,1,49692,88075,"FedExCupStandings",2007
93,93,"Matt Kuchar",21,3915,NA,2,49692,88600,"FedExCupStandings",2007
94,94,"Retief Goosen",14,3796,NA,1,49811,88975,"FedExCupStandings",2007
95,95,"Tom Lehman",17,3702,NA,3,49905,89050,"FedExCupStandings",2007
96,96,"Tom Pernice Jr",26,3679,NA,2,49928,88825,"FedExCupStandings",2007
97,97,"JJ Henry",24,3624,NA,1,49983,88900,"FedExCupStandings",2007
98,98,"George McNeill",25,3524,NA,1,50083,87025,"FedExCupStandings",2007
99,99,"Briny Baird",25,3517,NA,1,50090,87850,"FedExCupStandings",2007
100,100,"Chris DiMarco",24,3385,NA,1,50222,88525,"FedExCupStandings",2007
101,101,"Kevin Na",20,3362,NA,3,50245,88375,"FedExCupStandings",2007
102,102,"Jeff Maggert",21,3304,NA,1,50303,88000,"FedExCupStandings",2007
103,103,"Tim Herron",24,3289,NA,1,50318,87700,"FedExCupStandings",2007
104,104,"Shaun Micheel",23,3263,NA,2,50344,88450,"FedExCupStandings",2007
105,105,"Jose Maria Olazabal",16,3202,NA,1,50405,88300,"FedExCupStandings",2007
106,106,"Craig Kanada",27,3189,NA,1,50418,87925,"FedExCupStandings",2007
107,107,"Chad Campbell",24,3144,NA,1,50463,87550,"FedExCupStandings",2007
108,108,"Bob Estes",22,3119,NA,3,50488,87475,"FedExCupStandings",2007
109,109,"Ted Purdy",26,3056,NA,1,50551,87775,"FedExCupStandings",2007
110,110,"Kevin Stadler",25,3055,NA,2,50552,87625,"FedExCupStandings",2007
111,111,"JB Holmes",20,3035,NA,2,50572,87100,"FedExCupStandings",2007
112,112,"Jeff Overton",13,2977,NA,2,50630,87325,"FedExCupStandings",2007
113,113,"Tommy Armour III",20,2973,NA,1,50634,87175,"FedExCupStandings",2007
114,114,"Brett Quigley",25,2963,NA,1,50644,86650,"FedExCupStandings",2007
115,115,"Ben Curtis",22,2955,NA,2,50652,87250,"FedExCupStandings",2007
116,116,"Daniel Chopra",28,2919,NA,1,50688,86950,"FedExCupStandings",2007
117,117,"Bob Heintz",20,2888,NA,2,50719,85600,"FedExCupStandings",2007
118,118,"DJ Trahan",26,2874,NA,2,50733,86875,"FedExCupStandings",2007
119,119,"JP Hayes",22,2767,NA,2,50840,86725,"FedExCupStandings",2007
120,120,"Doug LaBelle II",26,2734,NA,1,50873,86425,"FedExCupStandings",2007
121,121,"Harrison Frazar",25,2710,NA,2,50897,86800,"FedExCupStandings",2007
122,122,"Ryan Armour",25,2705,NA,2,50902,85675,"FedExCupStandings",2007
123,123,"Jason Dufner",26,2530,NA,1,51077,85900,"FedExCupStandings",2007
124,124,"Joe Durant",23,2500,NA,NA,51107,86275,"FedExCupStandings",2007
125,125,"Steve Allan",17,2479,NA,1,51128,86575,"FedExCupStandings",2007
126,126,"Mathew Goggin",24,2468,NA,NA,51139,86500,"FedExCupStandings",2007
127,127,"Bill Haas",25,2461,NA,1,51146,86125,"FedExCupStandings",2007
128,128,"Johnson Wagner",27,2420,NA,1,51187,85975,"FedExCupStandings",2007
129,129,"Alex Cejka",20,2400,NA,2,51207,86350,"FedExCupStandings",2007
130,130,"John Merrick",22,2358,NA,1,51249,86200,"FedExCupStandings",2007
131,131,"Frank Lickliter II",23,2350,NA,NA,51257,85825,"FedExCupStandings",2007
132,132,"Jason Bohn",17,2334,NA,NA,51273,86050,"FedExCupStandings",2007
133,133,"Gavin Coles",21,2174,NA,2,51433,85750,"FedExCupStandings",2007
134,134,"Ryan Palmer",23,2142,NA,1,51465,85525,"FedExCupStandings",2007
135,135,"Tripp Isenhour",25,2099,NA,1,51508,85375,"FedExCupStandings",2007
136,136,"Corey Pavin",23,2081,NA,1,51526,85075,"FedExCupStandings",2007
137,137,"Billy Andrade",22,2019,NA,NA,51588,85300,"FedExCupStandings",2007
138,138,"Anders Hansen",15,1989,NA,NA,51618,85225,"FedExCupStandings",2007
139,139,"Jesper Parnevik",21,1976,NA,NA,51631,85150,"FedExCupStandings",2007
140,140,"Shigeki Maruyama",25,1942,NA,1,51665,85000,"FedExCupStandings",2007
141,141,"Andrew Buckle",19,1875,NA,1,51732,84775,"FedExCupStandings",2007
142,142,"Michael Putnam",22,1791,NA,NA,51816,84925,"FedExCupStandings",2007
143,143,"Bob Tway",25,1790,NA,NA,51817,84850,"FedExCupStandings",2007
144,144,"Jeff Gove",23,1763,NA,1,51844,84700,"FedExCupStandings",2007
145,145,"Eric Axley",29,1740,NA,NA,51867,NA,"FedExCupStandings",2007
146,146,"Lee Janzen",19,1694,NA,NA,51913,NA,"FedExCupStandings",2007
147,147,"Glen Day",20,1672,NA,NA,51935,NA,"FedExCupStandings",2007
148,148,"Marco Dawson",16,1669,NA,1,51938,NA,"FedExCupStandings",2007
149,149,"Cameron Beckman",22,1610,NA,1,51997,NA,"FedExCupStandings",2007
150,150,"Mark Hensby",20,1561,NA,NA,52046,NA,"FedExCupStandings",2007
151,151,"Steve Lowery",15,1536,NA,1,52071,NA,"FedExCupStandings",2007
152,152,"Mathias Gronberg",24,1515,NA,NA,52092,NA,"FedExCupStandings",2007
153,153,"Chris Couch",24,1494,NA,NA,52113,NA,"FedExCupStandings",2007
154,154,"Dudley Hart",12,1388,NA,1,52219,NA,"FedExCupStandings",2007
155,155,"Greg Kraft",4,1335,NA,1,52272,NA,"FedExCupStandings",2007
156,156,"Greg Owen",22,1321,NA,1,52286,NA,"FedExCupStandings",2007
157,157,"Duffy Waldorf",17,1313,NA,NA,52294,NA,"FedExCupStandings",2007
158,158,"Parker McLachlin",21,1307,NA,NA,52300,NA,"FedExCupStandings",2007
159,159,"Richard Johnson",25,1294,NA,NA,52313,NA,"FedExCupStandings",2007
160,160,"Paul Stankowski",18,1288,NA,NA,52319,NA,"FedExCupStandings",2007
161,161,"Olin Browne",11,1284,NA,1,52323,NA,"FedExCupStandings",2007
162,162,"Michael Allen",17,1279,NA,1,52328,NA,"FedExCupStandings",2007
163,163,"Robert Gamez",23,1217,NA,1,52390,NA,"FedExCupStandings",2007
164,164,"Rich Barcelo",20,1217,NA,1,52390,NA,"FedExCupStandings",2007
165,165,"Kent Jones",23,1196,NA,NA,52411,NA,"FedExCupStandings",2007
