"OverallPuttingAverage_RANKTHISWEEK_2012","OverallPuttingAverage_RANKLASTWEEK_2012","OverallPuttingAverage_PLAYERNAME_2012","OverallPuttingAverage_ROUNDS_2012","OverallPuttingAverage_AVG_2012","OverallPuttingAverage_OFPUTTS_2012","OverallPuttingAverage_OFHOLES_2012","stat_name","year"
1,1,"Kevin Kisner",69,1.499,1754,1170,"OverallPuttingAverage",2012
2,2,"Dicky Pride",62,1.5,1566,1044,"OverallPuttingAverage",2012
2,2,"Henrik Stenson",51,1.5,1377,918,"OverallPuttingAverage",2012
4,4,"Jonas Blixt",72,1.506,1952,1296,"OverallPuttingAverage",2012
5,5,"Ryo Ishikawa",54,1.51,1413,936,"OverallPuttingAverage",2012
5,5,"Matt Jones",53,1.51,1441,954,"OverallPuttingAverage",2012
5,5,"David Mathis",83,1.51,2201,1458,"OverallPuttingAverage",2012
5,5,"Patrick Sheehan",58,1.51,1522,1008,"OverallPuttingAverage",2012
9,9,"Marco Dawson",60,1.511,1577,1044,"OverallPuttingAverage",2012
10,10,"Tommy Biershenk",74,1.512,1959,1296,"OverallPuttingAverage",2012
10,10,"Gavin Coles",72,1.512,1905,1260,"OverallPuttingAverage",2012
12,12,"Brandt Jobe",57,1.515,1554,1026,"OverallPuttingAverage",2012
13,13,"Matt Bettencourt",80,1.517,2075,1368,"OverallPuttingAverage",2012
13,13,"Brendon Todd",78,1.517,2021,1332,"OverallPuttingAverage",2012
15,15,"Danny Lee",74,1.518,1913,1260,"OverallPuttingAverage",2012
16,16,"Brian Davis",91,1.52,2489,1638,"OverallPuttingAverage",2012
17,17,"Rocco Mediate",70,1.521,1862,1224,"OverallPuttingAverage",2012
18,18,"Stephen Gangluff",57,1.522,1507,990,"OverallPuttingAverage",2012
18,18,"Andres Romero",68,1.522,1753,1152,"OverallPuttingAverage",2012
20,20,"James Driscoll",83,1.523,2275,1494,"OverallPuttingAverage",2012
21,21,"Billy Horschel",63,1.524,1618,1062,"OverallPuttingAverage",2012
22,22,"Ben Curtis",62,1.526,1703,1116,"OverallPuttingAverage",2012
22,22,"Matt Every",80,1.526,2198,1440,"OverallPuttingAverage",2012
22,22,"JJ Killeen",101,1.526,2664,1746,"OverallPuttingAverage",2012
25,25,"Erik Compton",81,1.527,2117,1386,"OverallPuttingAverage",2012
26,26,"Daniel Chopra",55,1.528,1458,954,"OverallPuttingAverage",2012
