"Total1Putts510_RANKTHISWEEK_2015","Total1Putts510_RANKLASTWEEK_2015","Total1Putts510_PLAYERNAME_2015","Total1Putts510_ROUNDS_2015","Total1Putts510_TOTAL_2015","Total1Putts510_TOTALFORALLDISTANCES_2015","Total1Putts510_PCTOFALL1PUTTS_2015","stat_name","year"
1,1,"Danny Lee",120,227,788,28.8,"Total1Putts510",2015
2,2,"Justin Thomas",106,212,713,29.7,"Total1Putts510",2015
3,3,"Harris English",105,200,644,31.1,"Total1Putts510",2015
4,4,"Sangmoon Bae",98,199,671,29.7,"Total1Putts510",2015
4,4,"Robert Streb",110,199,686,29,"Total1Putts510",2015
6,6,"John Huh",102,195,643,30.3,"Total1Putts510",2015
6,6,"Nick Taylor",91,195,604,32.3,"Total1Putts510",2015
8,8,"Chesson Hadley",101,193,673,28.7,"Total1Putts510",2015
9,9,"Carl Pettersson",106,192,733,26.2,"Total1Putts510",2015
10,10,"Kevin Kisner",104,191,676,28.3,"Total1Putts510",2015
11,11,"Steven Bowditch",103,184,681,27,"Total1Putts510",2015
12,12,"Daniel Summerhays",101,183,659,27.8,"Total1Putts510",2015
13,13,"Mark Wilson",89,182,561,32.4,"Total1Putts510",2015
14,14,"George McNeill",93,180,645,27.9,"Total1Putts510",2015
15,15,"Shawn Stefani",94,177,602,29.4,"Total1Putts510",2015
16,16,"David Hearn",97,176,608,28.9,"Total1Putts510",2015
17,17,"David Lingmerth",90,175,557,31.4,"Total1Putts510",2015
18,18,"William McGirt",103,174,680,25.6,"Total1Putts510",2015
19,19,"Russell Knox",96,173,571,30.3,"Total1Putts510",2015
20,20,"Patrick Reed",103,170,612,27.8,"Total1Putts510",2015
21,21,"Brendon de Jonge",106,168,655,25.6,"Total1Putts510",2015
22,22,"Kyle Reifers",96,167,570,29.3,"Total1Putts510",2015
23,23,"Jason Bohn",95,165,627,26.3,"Total1Putts510",2015
24,24,"Jason Kokrak",88,164,548,29.9,"Total1Putts510",2015
24,24,"Carlos Ortiz",100,164,578,28.4,"Total1Putts510",2015
24,24,"Scott Piercy",90,164,598,27.4,"Total1Putts510",2015
27,27,"Tony Finau",106,163,633,25.8,"Total1Putts510",2015
27,27,"Jim Herman",88,163,464,35.1,"Total1Putts510",2015
29,29,"Charles Howell III",105,162,619,26.2,"Total1Putts510",2015
29,29,"Brandt Snedeker",98,162,587,27.6,"Total1Putts510",2015
31,31,"Zac Blair",108,161,636,25.3,"Total1Putts510",2015
32,32,"Daniel Berger",97,160,571,28,"Total1Putts510",2015
33,33,"Ken Duke",93,159,554,28.7,"Total1Putts510",2015
33,33,"Bryce Molder",91,159,565,28.1,"Total1Putts510",2015
33,33,"Pat Perez",96,159,591,26.9,"Total1Putts510",2015
36,36,"James Hahn",94,158,566,27.9,"Total1Putts510",2015
36,36,"Troy Merritt",91,158,604,26.2,"Total1Putts510",2015
38,38,"Chad Campbell",97,155,603,25.7,"Total1Putts510",2015
38,38,"Brian Harman",90,155,559,27.7,"Total1Putts510",2015
40,40,"Adam Hadwin",95,153,558,27.4,"Total1Putts510",2015
40,40,"Charley Hoffman",97,153,557,27.5,"Total1Putts510",2015
40,40,"Brendon Todd",96,153,600,25.5,"Total1Putts510",2015
40,40,"Steve Wheatcroft",87,153,529,28.9,"Total1Putts510",2015
44,44,"Tom Hoge",83,151,475,31.8,"Total1Putts510",2015
45,45,"Scott Brown",97,150,602,24.9,"Total1Putts510",2015
45,45,"Jeff Overton",94,150,523,28.7,"Total1Putts510",2015
45,45,"Brendan Steele",88,150,532,28.2,"Total1Putts510",2015
45,45,"Nicholas Thompson",90,150,464,32.3,"Total1Putts510",2015
49,49,"Zach Johnson",90,149,510,29.2,"Total1Putts510",2015
49,49,"Matt Kuchar",97,149,600,24.8,"Total1Putts510",2015
49,49,"Scott Langley",94,149,545,27.3,"Total1Putts510",2015
49,49,"Hideki Matsuyama",95,149,534,27.9,"Total1Putts510",2015
53,53,"Martin Laird",77,148,506,29.2,"Total1Putts510",2015
53,53,"Kevin Na",98,148,555,26.7,"Total1Putts510",2015
55,55,"Kevin Chappell",86,147,567,25.9,"Total1Putts510",2015
55,55,"Jordan Spieth",91,147,541,27.2,"Total1Putts510",2015
55,55,"Hudson Swafford",97,147,567,25.9,"Total1Putts510",2015
58,58,"Sean OHair",86,146,589,24.8,"Total1Putts510",2015
58,58,"Brian Stuard",97,146,575,25.4,"Total1Putts510",2015
60,60,"Brooks Koepka",84,145,470,30.9,"Total1Putts510",2015
61,61,"Alex Cejka",94,144,554,26,"Total1Putts510",2015
61,61,"Spencer Levin",99,144,538,26.8,"Total1Putts510",2015
61,61,"Michael Thompson",83,144,515,28,"Total1Putts510",2015
61,61,"Cameron Tringale",96,144,594,24.2,"Total1Putts510",2015
65,65,"JB Holmes",89,143,522,27.4,"Total1Putts510",2015
65,65,"Ben Martin",93,143,511,28,"Total1Putts510",2015
67,67,"Jimmy Walker",89,142,502,28.3,"Total1Putts510",2015
68,68,"Camilo Villegas",83,141,550,25.6,"Total1Putts510",2015
69,69,"Bubba Watson",71,140,414,33.8,"Total1Putts510",2015
70,70,"Brian Davis",86,139,522,26.6,"Total1Putts510",2015
71,71,"Andres Gonzales",90,138,536,25.7,"Total1Putts510",2015
71,71,"Colt Knost",90,138,518,26.6,"Total1Putts510",2015
73,73,"Derek Fathauer",81,137,493,27.8,"Total1Putts510",2015
73,73,"Morgan Hoffmann",85,137,526,26,"Total1Putts510",2015
73,73,"Billy Horschel",99,137,522,26.2,"Total1Putts510",2015
73,73,"Alex Prugh",84,137,438,31.3,"Total1Putts510",2015
73,73,"Nick Watney",91,137,545,25.1,"Total1Putts510",2015
78,78,"Andrew Svoboda",80,135,474,28.5,"Total1Putts510",2015
79,79,"Fabian Gomez",83,133,516,25.8,"Total1Putts510",2015
79,79,"Ryo Ishikawa",90,133,540,24.6,"Total1Putts510",2015
81,81,"Russell Henley",87,131,468,28,"Total1Putts510",2015
82,82,"Justin Leonard",61,130,405,32.1,"Total1Putts510",2015
82,82,"Phil Mickelson",70,130,445,29.2,"Total1Putts510",2015
82,82,"Ryan Moore",81,130,459,28.3,"Total1Putts510",2015
82,82,"Rory Sabbatini",81,130,485,26.8,"Total1Putts510",2015
82,82,"Jhonattan Vegas",90,130,496,26.2,"Total1Putts510",2015
87,87,"KJ Choi",66,129,433,29.8,"Total1Putts510",2015
87,87,"John Peterson",84,129,506,25.5,"Total1Putts510",2015
89,89,"Aaron Baddeley",76,128,505,25.3,"Total1Putts510",2015
89,89,"Chad Collins",79,128,473,27.1,"Total1Putts510",2015
89,89,"Kevin Streelman",95,128,473,27.1,"Total1Putts510",2015
92,92,"Erik Compton",86,127,535,23.7,"Total1Putts510",2015
92,92,"Jerry Kelly",79,127,502,25.3,"Total1Putts510",2015
94,94,"Blayne Barber",76,126,458,27.5,"Total1Putts510",2015
94,94,"Keegan Bradley",87,126,469,26.9,"Total1Putts510",2015
94,94,"Hunter Mahan",88,126,460,27.4,"Total1Putts510",2015
97,97,"Vijay Singh",78,125,487,25.7,"Total1Putts510",2015
98,98,"Luke Guthrie",84,124,497,24.9,"Total1Putts510",2015
98,98,"Chris Stroud",84,124,477,26,"Total1Putts510",2015
100,100,"Paul Casey",87,123,420,29.3,"Total1Putts510",2015
100,100,"Matt Jones",89,123,514,23.9,"Total1Putts510",2015
102,102,"Stewart Cink",77,122,435,28,"Total1Putts510",2015
102,102,"Max Homa",78,122,442,27.6,"Total1Putts510",2015
104,104,"Dustin Johnson",75,121,402,30.1,"Total1Putts510",2015
104,104,"Scott Pinckney",88,121,488,24.8,"Total1Putts510",2015
104,104,"DA Points",72,121,419,28.9,"Total1Putts510",2015
107,107,"Lucas Glover",79,120,438,27.4,"Total1Putts510",2015
107,107,"JJ Henry",94,120,446,26.9,"Total1Putts510",2015
107,107,"Billy Hurley III",83,120,463,25.9,"Total1Putts510",2015
110,110,"Luke Donald",71,119,385,30.9,"Total1Putts510",2015
111,111,"Retief Goosen",81,118,446,26.5,"Total1Putts510",2015
112,112,"Bill Haas",89,117,467,25.1,"Total1Putts510",2015
112,112,"Sam Saunders",83,117,445,26.3,"Total1Putts510",2015
114,114,"SJ Park",79,116,435,26.7,"Total1Putts510",2015
114,114,"Tim Wilkinson",73,116,409,28.4,"Total1Putts510",2015
116,116,"Ricky Barnes",82,115,473,24.3,"Total1Putts510",2015
117,117,"Jon Curran",83,114,440,25.9,"Total1Putts510",2015
117,117,"Mark Hubbard",79,114,419,27.2,"Total1Putts510",2015
117,117,"Boo Weekley",79,114,463,24.6,"Total1Putts510",2015
120,120,"Seung Yul Noh",65,113,384,29.4,"Total1Putts510",2015
121,121,"Matt Every",73,112,419,26.7,"Total1Putts510",2015
121,121,"Jonathan Randolph",72,112,388,28.9,"Total1Putts510",2015
123,123,"Jason Day",75,111,443,25.1,"Total1Putts510",2015
123,123,"Jason Gore",76,111,400,27.8,"Total1Putts510",2015
123,123,"Jim Renner",68,111,353,31.4,"Total1Putts510",2015
126,126,"Martin Flores",95,110,511,21.5,"Total1Putts510",2015
126,126,"Bo Van Pelt",81,110,441,24.9,"Total1Putts510",2015
128,128,"Brice Garnett",81,108,406,26.6,"Total1Putts510",2015
128,128,"Marc Leishman",74,108,390,27.7,"Total1Putts510",2015
128,128,"Andres Romero",69,108,392,27.6,"Total1Putts510",2015
131,131,"Graham DeLaet",65,107,374,28.6,"Total1Putts510",2015
131,131,"Gonzalo Fdez Castano",81,107,419,25.5,"Total1Putts510",2015
131,131,"Cameron Percy",72,107,394,27.2,"Total1Putts510",2015
131,131,"Michael Putnam",87,107,438,24.4,"Total1Putts510",2015
135,135,"Ryan Palmer",80,104,394,26.4,"Total1Putts510",2015
135,135,"Justin Rose",69,104,365,28.5,"Total1Putts510",2015
135,135,"Johnson Wagner",68,104,391,26.6,"Total1Putts510",2015
138,138,"Derek Ernst",75,103,422,24.4,"Total1Putts510",2015
138,138,"Chris Kirk",76,103,413,24.9,"Total1Putts510",2015
140,140,"Henrik Stenson",63,102,321,31.8,"Total1Putts510",2015
140,140,"Gary Woodland",81,102,386,26.4,"Total1Putts510",2015
142,142,"Robert Garrigus",70,101,372,27.2,"Total1Putts510",2015
143,143,"John Senden",80,100,355,28.2,"Total1Putts510",2015
143,143,"Webb Simpson",81,100,452,22.1,"Total1Putts510",2015
145,145,"John Merrick",78,99,389,25.4,"Total1Putts510",2015
146,146,"Charlie Beljan",76,98,385,25.5,"Total1Putts510",2015
147,147,"Rickie Fowler",76,97,437,22.2,"Total1Putts510",2015
147,147,"Whee Kim",71,97,381,25.5,"Total1Putts510",2015
149,149,"Jonas Blixt",78,95,373,25.5,"Total1Putts510",2015
150,150,"Ben Crane",62,94,387,24.3,"Total1Putts510",2015
150,150,"Ian Poulter",68,94,382,24.6,"Total1Putts510",2015
152,152,"Louis Oosthuizen",68,93,337,27.6,"Total1Putts510",2015
152,152,"Andrew Putnam",68,93,413,22.5,"Total1Putts510",2015
152,152,"David Toms",62,93,399,23.3,"Total1Putts510",2015
155,155,"Jonathan Byrd",69,92,363,25.3,"Total1Putts510",2015
156,156,"Scott Stallings",60,90,331,27.2,"Total1Putts510",2015
157,157,"Jason Dufner",76,89,319,27.9,"Total1Putts510",2015
158,158,"Jim Furyk",71,88,351,25.1,"Total1Putts510",2015
158,158,"Chez Reavie",56,88,340,25.9,"Total1Putts510",2015
160,160,"Steven Alker",62,86,359,24,"Total1Putts510",2015
161,161,"Patrick Rodgers",57,84,317,26.5,"Total1Putts510",2015
162,162,"Padraig Harrington",60,81,351,23.1,"Total1Putts510",2015
163,163,"Eric Axley",57,80,307,26.1,"Total1Putts510",2015
163,163,"Tyrone Van Aswegen",58,80,282,28.4,"Total1Putts510",2015
165,165,"Robert Allenby",63,77,316,24.4,"Total1Putts510",2015
166,166,"Byron Smith",59,76,257,29.6,"Total1Putts510",2015
167,167,"Roger Sloan",56,72,269,26.8,"Total1Putts510",2015
168,168,"Greg Owen",58,71,260,27.3,"Total1Putts510",2015
169,169,"Roberto Castro",54,69,230,30,"Total1Putts510",2015
169,169,"Ernie Els",57,69,273,25.3,"Total1Putts510",2015
171,171,"Oscar Fraustro",58,68,273,24.9,"Total1Putts510",2015
171,171,"Charl Schwartzel",67,68,287,23.7,"Total1Putts510",2015
173,173,"Greg Chalmers",58,67,269,24.9,"Total1Putts510",2015
173,173,"Will Wilcox",58,67,275,24.4,"Total1Putts510",2015
175,175,"Sergio Garcia",59,66,270,24.4,"Total1Putts510",2015
176,176,"Davis Love III",51,65,275,23.6,"Total1Putts510",2015
176,176,"Heath Slocum",57,65,271,24,"Total1Putts510",2015
178,178,"Jamie Donaldson",50,63,238,26.5,"Total1Putts510",2015
178,178,"Francesco Molinari",56,63,274,23,"Total1Putts510",2015
180,180,"Lee Westwood",56,62,237,26.2,"Total1Putts510",2015
181,181,"Angel Cabrera",53,58,266,21.8,"Total1Putts510",2015
182,182,"Geoff Ogilvy",50,55,222,24.8,"Total1Putts510",2015
183,183,"Adam Scott",51,54,222,24.3,"Total1Putts510",2015
184,184,"Bill Lunde",50,51,225,22.7,"Total1Putts510",2015
