"GreensinRegulationPercentage_RANKTHISWEEK_2015","GreensinRegulationPercentage_RANKLASTWEEK_2015","GreensinRegulationPercentage_PLAYERNAME_2015","GreensinRegulationPercentage_ROUNDS_2015","GreensinRegulationPercentage_Pct_2015","GreensinRegulationPercentage_GREENSHIT_2015","GreensinRegulationPercentage_HOLES_2015","GreensinRegulationPercentage_RELATIVEPAR_2015","stat_name","year"
65,65,"Jonathan Byrd",69,67.35,788,1170,-0.24,"GreensinRegulationPercentage",2015
66,66,"Nick Watney",91,67.34,1103,1638,-0.26,"GreensinRegulationPercentage",2015
67,67,"Jason Kokrak",88,67.3,1066,1584,-0.27,"GreensinRegulationPercentage",2015
68,68,"John Senden",80,67.26,908,1350,-0.27,"GreensinRegulationPercentage",2015
69,69,"Russell Henley",87,67.06,1014,1512,-0.29,"GreensinRegulationPercentage",2015
70,70,"Harris English",105,67.05,1231,1836,-0.28,"GreensinRegulationPercentage",2015
70,70,"Dustin Johnson",75,67.05,869,1296,-0.34,"GreensinRegulationPercentage",2015
72,72,"Kyle Reifers",96,67.03,1110,1656,-0.25,"GreensinRegulationPercentage",2015
73,73,"Bo Van Pelt",81,66.88,951,1422,-0.25,"GreensinRegulationPercentage",2015
74,74,"Carlos Ortiz",100,66.84,1155,1728,-0.29,"GreensinRegulationPercentage",2015
75,75,"Mark Hubbard",79,66.81,926,1386,-0.25,"GreensinRegulationPercentage",2015
75,75,"Ryan Palmer",80,66.81,914,1368,-0.28,"GreensinRegulationPercentage",2015
77,77,"Patrick Rodgers",57,66.77,637,954,-0.3,"GreensinRegulationPercentage",2015
77,77,"Tyrone Van Aswegen",58,66.77,649,972,-0.26,"GreensinRegulationPercentage",2015
79,79,"Gary Woodland",81,66.74,889,1332,-0.26,"GreensinRegulationPercentage",2015
80,80,"Scott Piercy",90,66.73,1081,1620,-0.28,"GreensinRegulationPercentage",2015
81,81,"Robert Allenby",63,66.67,708,1062,-0.2,"GreensinRegulationPercentage",2015
81,81,"Andres Gonzales",90,66.67,1032,1548,-0.27,"GreensinRegulationPercentage",2015
81,81,"Brian Harman",90,66.67,1080,1620,-0.27,"GreensinRegulationPercentage",2015
84,84,"Steven Alker",62,66.57,719,1080,-0.26,"GreensinRegulationPercentage",2015
85,85,"Adam Hadwin",95,66.55,1114,1674,-0.26,"GreensinRegulationPercentage",2015
85,85,"Matt Kuchar",97,66.55,1126,1692,-0.31,"GreensinRegulationPercentage",2015
85,85,"Geoff Ogilvy",50,66.55,575,864,-0.23,"GreensinRegulationPercentage",2015
88,88,"Derek Ernst",75,66.51,850,1278,-0.22,"GreensinRegulationPercentage",2015
89,89,"Lee Westwood",56,66.45,622,936,-0.28,"GreensinRegulationPercentage",2015
90,90,"Blayne Barber",76,66.44,885,1332,-0.27,"GreensinRegulationPercentage",2015
91,91,"George McNeill",93,66.43,1112,1674,-0.27,"GreensinRegulationPercentage",2015
92,92,"Ryo Ishikawa",90,66.41,1052,1584,-0.28,"GreensinRegulationPercentage",2015
93,93,"Jon Curran",83,66.39,944,1422,-0.24,"GreensinRegulationPercentage",2015
94,94,"Martin Laird",77,66.31,919,1386,-0.27,"GreensinRegulationPercentage",2015
95,95,"Kevin Kisner",104,66.24,1240,1872,-0.26,"GreensinRegulationPercentage",2015
95,95,"Vijay Singh",78,66.24,930,1404,-0.25,"GreensinRegulationPercentage",2015
97,97,"Charley Hoffman",97,66.19,1120,1692,-0.3,"GreensinRegulationPercentage",2015
98,98,"James Hahn",94,66.13,1119,1692,-0.27,"GreensinRegulationPercentage",2015
99,99,"Roberto Castro",54,66.11,595,900,-0.24,"GreensinRegulationPercentage",2015
100,100,"Chad Collins",79,66.1,940,1422,-0.25,"GreensinRegulationPercentage",2015
101,101,"Jimmy Walker",89,66.09,1023,1548,-0.31,"GreensinRegulationPercentage",2015
102,102,"Tom Hoge",83,66.03,939,1422,-0.29,"GreensinRegulationPercentage",2015
103,103,"Kevin Chappell",86,66.02,1022,1548,-0.28,"GreensinRegulationPercentage",2015
104,104,"Jerry Kelly",79,65.96,938,1422,-0.28,"GreensinRegulationPercentage",2015
105,105,"Seung Yul Noh",65,65.9,771,1170,-0.28,"GreensinRegulationPercentage",2015
106,106,"Rickie Fowler",76,65.81,841,1278,-0.31,"GreensinRegulationPercentage",2015
107,107,"Hunter Mahan",88,65.79,971,1476,-0.26,"GreensinRegulationPercentage",2015
108,108,"Ian Poulter",68,65.71,757,1152,-0.27,"GreensinRegulationPercentage",2015
109,109,"Alex Cejka",94,65.7,1088,1656,-0.27,"GreensinRegulationPercentage",2015
109,109,"Jeff Overton",94,65.7,1088,1656,-0.27,"GreensinRegulationPercentage",2015
111,111,"Danny Lee",120,65.69,1419,2160,-0.3,"GreensinRegulationPercentage",2015
112,112,"Chris Stroud",84,65.67,993,1512,-0.27,"GreensinRegulationPercentage",2015
113,113,"Marc Leishman",74,65.62,815,1242,-0.27,"GreensinRegulationPercentage",2015
113,113,"Daniel Summerhays",101,65.62,1193,1818,-0.3,"GreensinRegulationPercentage",2015
115,115,"Luke Donald",71,65.57,838,1278,-0.24,"GreensinRegulationPercentage",2015
116,116,"Zac Blair",108,65.54,1227,1872,-0.25,"GreensinRegulationPercentage",2015
117,117,"Charlie Beljan",76,65.51,849,1296,-0.25,"GreensinRegulationPercentage",2015
118,118,"Brendon Todd",96,65.47,1096,1674,-0.28,"GreensinRegulationPercentage",2015
119,119,"Bryce Molder",91,65.45,1025,1566,-0.27,"GreensinRegulationPercentage",2015
120,120,"Jhonattan Vegas",90,65.44,1013,1548,-0.26,"GreensinRegulationPercentage",2015
121,121,"Michael Thompson",83,65.43,954,1458,-0.26,"GreensinRegulationPercentage",2015
122,122,"Billy Hurley III",83,65.26,928,1422,-0.24,"GreensinRegulationPercentage",2015
123,123,"Ryan Moore",81,65.24,916,1404,-0.3,"GreensinRegulationPercentage",2015
123,123,"Jim Renner",68,65.24,775,1188,-0.18,"GreensinRegulationPercentage",2015
125,125,"Sam Saunders",83,65.23,951,1458,-0.25,"GreensinRegulationPercentage",2015
126,126,"Scott Brown",97,65.18,1138,1746,-0.28,"GreensinRegulationPercentage",2015
127,127,"Scott Stallings",60,65,702,1080,-0.26,"GreensinRegulationPercentage",2015
128,128,"Charl Schwartzel",67,64.99,737,1134,-0.26,"GreensinRegulationPercentage",2015
129,129,"Brandt Snedeker",98,64.97,1111,1710,-0.29,"GreensinRegulationPercentage",2015
130,130,"David Lingmerth",90,64.94,1052,1620,-0.28,"GreensinRegulationPercentage",2015
131,131,"Angel Cabrera",53,64.88,619,954,-0.26,"GreensinRegulationPercentage",2015
132,132,"John Huh",102,64.85,1179,1818,-0.26,"GreensinRegulationPercentage",2015
133,133,"SJ Park",79,64.72,897,1386,-0.21,"GreensinRegulationPercentage",2015
134,134,"Scott Langley",94,64.67,1071,1656,-0.27,"GreensinRegulationPercentage",2015
135,135,"David Toms",62,64.66,675,1044,-0.24,"GreensinRegulationPercentage",2015
136,136,"Steve Wheatcroft",87,64.59,965,1494,-0.3,"GreensinRegulationPercentage",2015
137,137,"Cameron Tringale",96,64.58,1116,1728,-0.25,"GreensinRegulationPercentage",2015
138,138,"Kevin Na",98,64.56,1104,1710,-0.29,"GreensinRegulationPercentage",2015
139,139,"Chris Kirk",76,64.54,848,1314,-0.29,"GreensinRegulationPercentage",2015
140,140,"Ernie Els",57,64.52,662,1026,-0.24,"GreensinRegulationPercentage",2015
141,141,"Patrick Reed",103,64.42,1148,1782,-0.3,"GreensinRegulationPercentage",2015
142,142,"Nick Taylor",91,64.41,1055,1638,-0.28,"GreensinRegulationPercentage",2015
143,143,"Jonathan Randolph",72,64.37,811,1260,-0.25,"GreensinRegulationPercentage",2015
144,144,"Sean OHair",86,64.34,996,1548,-0.29,"GreensinRegulationPercentage",2015
145,145,"DA Points",72,64.29,810,1260,-0.23,"GreensinRegulationPercentage",2015
146,146,"Ken Duke",93,64.17,1028,1602,-0.25,"GreensinRegulationPercentage",2015
147,147,"Matt Jones",89,64.05,980,1530,-0.31,"GreensinRegulationPercentage",2015
148,148,"Robert Garrigus",70,63.97,760,1188,-0.25,"GreensinRegulationPercentage",2015
149,149,"Gonzalo Fdez Castano",81,63.92,886,1386,-0.24,"GreensinRegulationPercentage",2015
150,150,"Jamie Donaldson",50,63.83,540,846,-0.25,"GreensinRegulationPercentage",2015
151,151,"KJ Choi",66,63.8,712,1116,-0.26,"GreensinRegulationPercentage",2015
152,152,"Greg Chalmers",58,63.79,620,972,-0.28,"GreensinRegulationPercentage",2015
153,153,"Luke Guthrie",84,63.75,941,1476,-0.28,"GreensinRegulationPercentage",2015
154,154,"JB Holmes",89,63.66,974,1530,-0.33,"GreensinRegulationPercentage",2015
155,155,"Andrew Svoboda",80,63.6,893,1404,-0.25,"GreensinRegulationPercentage",2015
