"Scramblingfrom2030yards_RANKTHISWEEK_2006","Scramblingfrom2030yards_RANKLASTWEEK_2006","Scramblingfrom2030yards_PLAYERNAME_2006","Scramblingfrom2030yards_ROUNDS_2006","Scramblingfrom2030yards_Pct_2006","Scramblingfrom2030yards_SUCCESSES_2006","Scramblingfrom2030yards_ATTEMPTS_2006","stat_name","year"
1,1,"Corey Pavin",74,62.96,34,54,"Scramblingfrom2030yards",2006
2,2,"Kris Cox",83,61.84,47,76,"Scramblingfrom2030yards",2006
3,3,"Vijay Singh",103,61.36,54,88,"Scramblingfrom2030yards",2006
4,4,"David Toms",76,61.25,49,80,"Scramblingfrom2030yards",2006
5,5,"Jim Furyk",89,60.42,29,48,"Scramblingfrom2030yards",2006
6,6,"Greg Kraft",79,60.34,35,58,"Scramblingfrom2030yards",2006
7,7,"Paul Azinger",87,60,51,85,"Scramblingfrom2030yards",2006
7,7,"Tim Clark",80,60,33,55,"Scramblingfrom2030yards",2006
9,9,"Ben Crane",85,59.76,49,82,"Scramblingfrom2030yards",2006
10,10,"Mike Sposa",68,59.74,46,77,"Scramblingfrom2030yards",2006
11,11,"JL Lewis",57,59.26,32,54,"Scramblingfrom2030yards",2006
12,12,"Bernhard Langer",77,59.09,39,66,"Scramblingfrom2030yards",2006
13,13,"Stewart Cink",93,58.75,47,80,"Scramblingfrom2030yards",2006
14,14,"Thomas Levet",53,58.7,27,46,"Scramblingfrom2030yards",2006
15,15,"Craig Barlow",77,58.62,34,58,"Scramblingfrom2030yards",2006
15,15,"Ernie Els",69,58.62,34,58,"Scramblingfrom2030yards",2006
17,17,"Jonathan Byrd",66,58.49,31,53,"Scramblingfrom2030yards",2006
18,18,"Kent Jones",103,58.33,56,96,"Scramblingfrom2030yards",2006
19,19,"Brett Quigley",109,58.25,60,103,"Scramblingfrom2030yards",2006
20,20,"Rory Sabbatini",84,57.69,30,52,"Scramblingfrom2030yards",2006
21,21,"Brian Gay",107,57.58,76,132,"Scramblingfrom2030yards",2006
22,22,"Ryan Moore",68,56.72,38,67,"Scramblingfrom2030yards",2006
23,23,"Aaron Baddeley",78,56.67,51,90,"Scramblingfrom2030yards",2006
24,24,"Paul Stankowski",70,56.6,30,53,"Scramblingfrom2030yards",2006
25,25,"Henrik Bjornstad",97,56.57,56,99,"Scramblingfrom2030yards",2006
26,26,"Sergio Garcia",59,56.41,22,39,"Scramblingfrom2030yards",2006
27,27,"Tim Petrovic",95,56.19,59,105,"Scramblingfrom2030yards",2006
28,28,"Chris DiMarco",83,56.14,32,57,"Scramblingfrom2030yards",2006
29,29,"Lucas Glover",105,56.04,51,91,"Scramblingfrom2030yards",2006
30,30,"Nathan Green",108,55.24,58,105,"Scramblingfrom2030yards",2006
31,31,"Ryuji Imada",105,55.22,74,134,"Scramblingfrom2030yards",2006
31,31,"Peter Lonard",77,55.22,37,67,"Scramblingfrom2030yards",2006
33,33,"Jesper Parnevik",84,55.21,53,96,"Scramblingfrom2030yards",2006
34,34,"Zach Johnson",98,55.06,49,89,"Scramblingfrom2030yards",2006
35,35,"Scott Verplank",88,54.9,28,51,"Scramblingfrom2030yards",2006
36,36,"Trevor Immelman",86,54.84,34,62,"Scramblingfrom2030yards",2006
37,37,"Jason Bohn",104,54.76,46,84,"Scramblingfrom2030yards",2006
38,38,"Luke Donald",66,54.55,24,44,"Scramblingfrom2030yards",2006
39,39,"Troy Matteson",101,54.13,59,109,"Scramblingfrom2030yards",2006
40,40,"Steve Lowery",99,54.02,47,87,"Scramblingfrom2030yards",2006
40,40,"Daisuke Maruyama",83,54.02,47,87,"Scramblingfrom2030yards",2006
42,42,"Jerry Kelly",100,54,54,100,"Scramblingfrom2030yards",2006
43,43,"Mark OMeara",52,53.97,34,63,"Scramblingfrom2030yards",2006
44,44,"Brad Faxon",78,53.91,62,115,"Scramblingfrom2030yards",2006
45,45,"James Driscoll",80,53.85,63,117,"Scramblingfrom2030yards",2006
45,45,"Skip Kendall",72,53.85,28,52,"Scramblingfrom2030yards",2006
47,47,"Sean OHair",100,53.62,37,69,"Scramblingfrom2030yards",2006
47,47,"Mark Wilson",79,53.62,37,69,"Scramblingfrom2030yards",2006
49,49,"KJ Choi",93,53.61,52,97,"Scramblingfrom2030yards",2006
49,49,"Steve Jones",83,53.61,52,97,"Scramblingfrom2030yards",2006
51,51,"Chris Riley",86,53.4,55,103,"Scramblingfrom2030yards",2006
52,52,"Paul Goydos",72,53.33,32,60,"Scramblingfrom2030yards",2006
53,53,"Rod Pampling",89,53.25,41,77,"Scramblingfrom2030yards",2006
54,54,"John Huston",74,53.19,50,94,"Scramblingfrom2030yards",2006
55,55,"Michael Allen",84,53.16,42,79,"Scramblingfrom2030yards",2006
56,56,"Bob Estes",85,53.13,34,64,"Scramblingfrom2030yards",2006
56,56,"Steve Stricker",64,53.13,17,32,"Scramblingfrom2030yards",2006
58,58,"Jeff Overton",95,53.1,60,113,"Scramblingfrom2030yards",2006
59,59,"Billy Andrade",78,52.86,37,70,"Scramblingfrom2030yards",2006
60,60,"Carl Pettersson",95,52.75,48,91,"Scramblingfrom2030yards",2006
61,61,"Doug Barron",74,52.7,39,74,"Scramblingfrom2030yards",2006
61,61,"Robert Garrigus",85,52.7,39,74,"Scramblingfrom2030yards",2006
63,63,"Charles Howell III",96,52.56,41,78,"Scramblingfrom2030yards",2006
64,64,"Stuart Appleby",83,52.5,42,80,"Scramblingfrom2030yards",2006
65,65,"John Cook",67,52.46,32,61,"Scramblingfrom2030yards",2006
66,66,"Shigeki Maruyama",94,52.43,54,103,"Scramblingfrom2030yards",2006
67,67,"Nick Watney",97,52.38,55,105,"Scramblingfrom2030yards",2006
68,68,"Jeff Sluman",101,52.33,45,86,"Scramblingfrom2030yards",2006
68,68,"Jerry Smith",94,52.33,45,86,"Scramblingfrom2030yards",2006
68,68,"Bob Tway",81,52.33,45,86,"Scramblingfrom2030yards",2006
71,71,"Stephen Ames",63,52.27,23,44,"Scramblingfrom2030yards",2006
71,71,"Kirk Triplett",58,52.27,23,44,"Scramblingfrom2030yards",2006
73,73,"Stephen Leaney",84,52.08,50,96,"Scramblingfrom2030yards",2006
73,73,"Omar Uresti",61,52.08,25,48,"Scramblingfrom2030yards",2006
75,75,"Bill Haas",99,51.89,55,106,"Scramblingfrom2030yards",2006
76,76,"Mark Brooks",90,51.72,45,87,"Scramblingfrom2030yards",2006
76,76,"JJ Henry",96,51.72,45,87,"Scramblingfrom2030yards",2006
78,78,"Freddie Jacobson",56,51.67,31,60,"Scramblingfrom2030yards",2006
79,79,"Richard Johnson",94,51.58,49,95,"Scramblingfrom2030yards",2006
80,80,"Kevin Sutherland",100,51.49,52,101,"Scramblingfrom2030yards",2006
81,81,"Bo Van Pelt",102,51.46,53,103,"Scramblingfrom2030yards",2006
82,82,"Danny Ellis",68,51.43,36,70,"Scramblingfrom2030yards",2006
83,83,"Joe Ogilvie",95,51.39,37,72,"Scramblingfrom2030yards",2006
84,84,"Arjun Atwal",97,51.38,56,109,"Scramblingfrom2030yards",2006
85,85,"David Branshaw",98,51.35,38,74,"Scramblingfrom2030yards",2006
86,86,"Jose Maria Olazabal",62,51.22,21,41,"Scramblingfrom2030yards",2006
87,87,"Pat Perez",50,51.16,22,43,"Scramblingfrom2030yards",2006
88,88,"Tom Pernice Jr",108,51,51,100,"Scramblingfrom2030yards",2006
89,89,"David McKenzie",82,50.7,36,71,"Scramblingfrom2030yards",2006
90,90,"Shaun Micheel",96,50.63,40,79,"Scramblingfrom2030yards",2006
91,91,"Marco Dawson",87,50.59,43,85,"Scramblingfrom2030yards",2006
92,92,"Woody Austin",107,50.54,47,93,"Scramblingfrom2030yards",2006
93,93,"Steve Flesch",119,50.51,50,99,"Scramblingfrom2030yards",2006
94,94,"Daniel Chopra",110,50,52,104,"Scramblingfrom2030yards",2006
94,94,"Ben Curtis",86,50,37,74,"Scramblingfrom2030yards",2006
94,94,"John Daly",51,50,27,54,"Scramblingfrom2030yards",2006
94,94,"Brent Geiberger",99,50,58,116,"Scramblingfrom2030yards",2006
94,94,"David Howell",52,50,18,36,"Scramblingfrom2030yards",2006
94,94,"Arron Oberholser",82,50,28,56,"Scramblingfrom2030yards",2006
94,94,"Kenny Perry",73,50,25,50,"Scramblingfrom2030yards",2006
94,94,"Ian Poulter",53,50,18,36,"Scramblingfrom2030yards",2006
94,94,"Tjaart van der Walt",60,50,30,60,"Scramblingfrom2030yards",2006
94,94,"Tiger Woods",55,50,7,14,"Scramblingfrom2030yards",2006
104,104,"Jason Schultz",77,49.45,45,91,"Scramblingfrom2030yards",2006
