"GIRPutting1015_RANKTHISWEEK_2015","GIRPutting1015_RANKLASTWEEK_2015","GIRPutting1015_PLAYERNAME_2015","GIRPutting1015_ROUNDS_2015","GIRPutting1015_Pct_2015","GIRPutting1015_ATTEMPTS_2015","GIRPutting1015_PUTTSMADE_2015","stat_name","year"
1,1,"Aaron Baddeley",76,44.62,130,58,"GIRPutting1015",2015
2,2,"Lee Westwood",56,41.94,62,26,"GIRPutting1015",2015
3,3,"William McGirt",103,38.78,196,76,"GIRPutting1015",2015
4,4,"Ian Poulter",68,37.5,104,39,"GIRPutting1015",2015
5,5,"Brian Davis",86,36.5,137,50,"GIRPutting1015",2015
6,6,"Max Homa",78,36.36,110,40,"GIRPutting1015",2015
7,7,"Phil Mickelson",70,36.17,94,34,"GIRPutting1015",2015
8,8,"Brandt Snedeker",98,36,150,54,"GIRPutting1015",2015
9,9,"Jerry Kelly",79,35.67,157,56,"GIRPutting1015",2015
10,10,"Morgan Hoffmann",85,35.65,115,41,"GIRPutting1015",2015
11,11,"Daniel Summerhays",101,35.23,193,68,"GIRPutting1015",2015
12,12,"Ben Crane",62,35.19,108,38,"GIRPutting1015",2015
12,12,"Andrew Putnam",68,35.19,108,38,"GIRPutting1015",2015
14,14,"David Hearn",97,35.08,191,67,"GIRPutting1015",2015
15,15,"Jimmy Walker",89,34.92,126,44,"GIRPutting1015",2015
16,16,"Charley Hoffman",97,34.91,169,59,"GIRPutting1015",2015
17,17,"Jonathan Byrd",69,34.86,109,38,"GIRPutting1015",2015
17,17,"Retief Goosen",81,34.86,109,38,"GIRPutting1015",2015
19,19,"Greg Chalmers",58,34.85,66,23,"GIRPutting1015",2015
20,20,"Paul Casey",87,34.78,161,56,"GIRPutting1015",2015
21,21,"Jason Bohn",95,34.72,193,67,"GIRPutting1015",2015
22,22,"Luke Guthrie",84,34.68,124,43,"GIRPutting1015",2015
23,23,"Brendon Todd",96,34.46,148,51,"GIRPutting1015",2015
24,24,"Sangmoon Bae",98,34.32,169,58,"GIRPutting1015",2015
25,25,"Kevin Chappell",86,34.31,137,47,"GIRPutting1015",2015
26,26,"George McNeill",93,34.24,184,63,"GIRPutting1015",2015
27,27,"Scott Pinckney",88,34.18,158,54,"GIRPutting1015",2015
28,28,"JB Holmes",89,34.06,138,47,"GIRPutting1015",2015
29,29,"Blayne Barber",76,33.83,133,45,"GIRPutting1015",2015
30,30,"Danny Lee",120,33.66,202,68,"GIRPutting1015",2015
31,31,"Rickie Fowler",76,33.6,125,42,"GIRPutting1015",2015
32,32,"Camilo Villegas",83,33.58,137,46,"GIRPutting1015",2015
33,33,"Bryce Molder",91,33.56,149,50,"GIRPutting1015",2015
34,34,"Pat Perez",96,33.33,168,56,"GIRPutting1015",2015
35,35,"Robert Streb",110,33.15,181,60,"GIRPutting1015",2015
36,36,"Jeff Overton",94,33.1,145,48,"GIRPutting1015",2015
37,37,"Sean OHair",86,33.09,139,46,"GIRPutting1015",2015
38,38,"Russell Henley",87,33.08,130,43,"GIRPutting1015",2015
39,39,"Marc Leishman",74,33.02,106,35,"GIRPutting1015",2015
40,40,"Nick Taylor",91,32.73,165,54,"GIRPutting1015",2015
41,41,"Stewart Cink",77,32.61,138,45,"GIRPutting1015",2015
42,42,"Erik Compton",86,32.54,126,41,"GIRPutting1015",2015
43,43,"Henrik Stenson",63,32.53,83,27,"GIRPutting1015",2015
44,44,"Jonas Blixt",78,32.5,80,26,"GIRPutting1015",2015
45,45,"Jason Gore",76,32.48,117,38,"GIRPutting1015",2015
46,46,"Charlie Beljan",76,32.35,102,33,"GIRPutting1015",2015
47,47,"Chris Stroud",84,32.33,133,43,"GIRPutting1015",2015
48,48,"Jim Furyk",71,32.22,90,29,"GIRPutting1015",2015
49,49,"Seung Yul Noh",65,32.17,115,37,"GIRPutting1015",2015
49,49,"Alex Prugh",84,32.17,143,46,"GIRPutting1015",2015
49,49,"Justin Rose",69,32.17,115,37,"GIRPutting1015",2015
52,52,"Matt Every",73,32.04,103,33,"GIRPutting1015",2015
53,53,"Colt Knost",90,31.91,141,45,"GIRPutting1015",2015
54,54,"Carl Pettersson",106,31.82,198,63,"GIRPutting1015",2015
55,55,"Michael Thompson",83,31.78,129,41,"GIRPutting1015",2015
56,56,"Scott Langley",94,31.65,158,50,"GIRPutting1015",2015
57,57,"Patrick Reed",103,31.54,130,41,"GIRPutting1015",2015
58,58,"John Senden",80,31.4,86,27,"GIRPutting1015",2015
59,59,"Martin Flores",95,31.25,160,50,"GIRPutting1015",2015
59,59,"Ryo Ishikawa",90,31.25,160,50,"GIRPutting1015",2015
59,59,"Chris Kirk",76,31.25,112,35,"GIRPutting1015",2015
62,62,"Keegan Bradley",87,31.2,125,39,"GIRPutting1015",2015
63,63,"Jonathan Randolph",72,31.11,90,28,"GIRPutting1015",2015
64,64,"John Huh",102,31.07,177,55,"GIRPutting1015",2015
65,65,"Chez Reavie",56,30.83,133,41,"GIRPutting1015",2015
66,66,"Fabian Gomez",83,30.71,140,43,"GIRPutting1015",2015
67,67,"Eric Axley",57,30.43,69,21,"GIRPutting1015",2015
68,68,"Andrew Svoboda",80,30.36,112,34,"GIRPutting1015",2015
69,69,"Jhonattan Vegas",90,30.33,122,37,"GIRPutting1015",2015
70,70,"Spencer Levin",99,30.32,155,47,"GIRPutting1015",2015
70,70,"Bo Van Pelt",81,30.32,155,47,"GIRPutting1015",2015
72,72,"Patrick Rodgers",57,30.3,99,30,"GIRPutting1015",2015
73,73,"Tony Finau",106,30.29,175,53,"GIRPutting1015",2015
74,74,"Troy Merritt",91,30.28,142,43,"GIRPutting1015",2015
75,75,"Brian Harman",90,30.25,162,49,"GIRPutting1015",2015
76,76,"Whee Kim",71,30.15,136,41,"GIRPutting1015",2015
77,77,"Matt Jones",89,30.08,123,37,"GIRPutting1015",2015
78,78,"Ben Martin",93,29.94,167,50,"GIRPutting1015",2015
79,79,"Brice Garnett",81,29.82,114,34,"GIRPutting1015",2015
80,80,"Brendan Steele",88,29.8,151,45,"GIRPutting1015",2015
81,81,"Brian Stuard",97,29.76,168,50,"GIRPutting1015",2015
82,82,"Johnson Wagner",68,29.66,118,35,"GIRPutting1015",2015
83,83,"Chesson Hadley",101,29.44,180,53,"GIRPutting1015",2015
84,84,"Byron Smith",59,29.17,96,28,"GIRPutting1015",2015
85,85,"Cameron Tringale",96,29.14,151,44,"GIRPutting1015",2015
86,86,"Brooks Koepka",84,29.03,124,36,"GIRPutting1015",2015
87,87,"Shawn Stefani",94,28.98,176,51,"GIRPutting1015",2015
88,88,"Hudson Swafford",97,28.93,159,46,"GIRPutting1015",2015
89,89,"Kevin Na",98,28.89,135,39,"GIRPutting1015",2015
90,90,"Davis Love III",51,28.74,87,25,"GIRPutting1015",2015
