"TenthTeeLateRound3ScoringAverage_RANKTHISWEEK_2013","TenthTeeLateRound3ScoringAverage_RANKLASTWEEK_2013","TenthTeeLateRound3ScoringAverage_PLAYERNAME_2013","TenthTeeLateRound3ScoringAverage__2013","TenthTeeLateRound3ScoringAverage_AVG_2013","TenthTeeLateRound3ScoringAverage_TOTALSTROKES_2013","TenthTeeLateRound3ScoringAverage_TOTALROUNDS_2013","stat_name","year"
1,1,"Brendan Steele",NA,64,64,1,"TenthTeeLateRound3ScoringAverage",2013
2,2,"Ben Crane",NA,65,130,2,"TenthTeeLateRound3ScoringAverage",2013
3,3,"Russell Henley",NA,66,66,1,"TenthTeeLateRound3ScoringAverage",2013
3,3,"Morgan Hoffmann",NA,66,66,1,"TenthTeeLateRound3ScoringAverage",2013
5,5,"Harris English",NA,66.67,200,3,"TenthTeeLateRound3ScoringAverage",2013
6,6,"Steven Bowditch",NA,67,67,1,"TenthTeeLateRound3ScoringAverage",2013
6,6,"Stewart Cink",NA,67,67,1,"TenthTeeLateRound3ScoringAverage",2013
6,6,"Bob Estes",NA,67,67,1,"TenthTeeLateRound3ScoringAverage",2013
6,6,"Lucas Glover",NA,67,67,1,"TenthTeeLateRound3ScoringAverage",2013
6,6,"Martin Kaymer",NA,67,67,1,"TenthTeeLateRound3ScoringAverage",2013
6,6,"Alistair Presnell",NA,67,67,1,"TenthTeeLateRound3ScoringAverage",2013
6,6,"Tag Ridings",NA,67,67,1,"TenthTeeLateRound3ScoringAverage",2013
6,6,"Charl Schwartzel",NA,67,134,2,"TenthTeeLateRound3ScoringAverage",2013
6,6,"Adam Scott",NA,67,67,1,"TenthTeeLateRound3ScoringAverage",2013
6,6,"Webb Simpson",NA,67,67,1,"TenthTeeLateRound3ScoringAverage",2013
6,6,"Mark Wilson",NA,67,67,1,"TenthTeeLateRound3ScoringAverage",2013
17,17,"Zach Johnson",NA,67.5,135,2,"TenthTeeLateRound3ScoringAverage",2013
17,17,"Chris Kirk",NA,67.5,135,2,"TenthTeeLateRound3ScoringAverage",2013
19,19,"Stephen Ames",NA,68,68,1,"TenthTeeLateRound3ScoringAverage",2013
19,19,"Stuart Appleby",NA,68,136,2,"TenthTeeLateRound3ScoringAverage",2013
19,19,"Aaron Baddeley",NA,68,68,1,"TenthTeeLateRound3ScoringAverage",2013
19,19,"Greg Chalmers",NA,68,136,2,"TenthTeeLateRound3ScoringAverage",2013
19,19,"Jim Furyk",NA,68,68,1,"TenthTeeLateRound3ScoringAverage",2013
19,19,"Jordan Spieth",NA,68,68,1,"TenthTeeLateRound3ScoringAverage",2013
19,19,"Kevin Stadler",NA,68,68,1,"TenthTeeLateRound3ScoringAverage",2013
19,19,"DJ Trahan",NA,68,68,1,"TenthTeeLateRound3ScoringAverage",2013
27,27,"Trevor Immelman",NA,68.5,137,2,"TenthTeeLateRound3ScoringAverage",2013
27,27,"Cameron Percy",NA,68.5,137,2,"TenthTeeLateRound3ScoringAverage",2013
27,27,"Rory Sabbatini",NA,68.5,137,2,"TenthTeeLateRound3ScoringAverage",2013
30,30,"Jason Bohn",NA,68.67,206,3,"TenthTeeLateRound3ScoringAverage",2013
30,30,"James Hahn",NA,68.67,206,3,"TenthTeeLateRound3ScoringAverage",2013
32,32,"Sangmoon Bae",NA,69,138,2,"TenthTeeLateRound3ScoringAverage",2013
32,32,"Jonas Blixt",NA,69,69,1,"TenthTeeLateRound3ScoringAverage",2013
32,32,"Scott Brown",NA,69,69,1,"TenthTeeLateRound3ScoringAverage",2013
32,32,"Kevin Chappell",NA,69,69,1,"TenthTeeLateRound3ScoringAverage",2013
32,32,"Luke Donald",NA,69,138,2,"TenthTeeLateRound3ScoringAverage",2013
32,32,"Tom Gillis",NA,69,69,1,"TenthTeeLateRound3ScoringAverage",2013
32,32,"Fabian Gomez",NA,69,138,2,"TenthTeeLateRound3ScoringAverage",2013
32,32,"Brian Harman",NA,69,69,1,"TenthTeeLateRound3ScoringAverage",2013
32,32,"Charles Howell III",NA,69,69,1,"TenthTeeLateRound3ScoringAverage",2013
32,32,"Luke List",NA,69,69,1,"TenthTeeLateRound3ScoringAverage",2013
32,32,"Bryce Molder",NA,69,69,1,"TenthTeeLateRound3ScoringAverage",2013
32,32,"Ryan Palmer",NA,69,69,1,"TenthTeeLateRound3ScoringAverage",2013
32,32,"Scott Piercy",NA,69,69,1,"TenthTeeLateRound3ScoringAverage",2013
45,45,"Martin Flores",NA,69.33,208,3,"TenthTeeLateRound3ScoringAverage",2013
46,46,"Jerry Kelly",NA,69.5,139,2,"TenthTeeLateRound3ScoringAverage",2013
46,46,"Rory McIlroy",NA,69.5,139,2,"TenthTeeLateRound3ScoringAverage",2013
48,48,"Jason Dufner",NA,69.67,209,3,"TenthTeeLateRound3ScoringAverage",2013
49,49,"Bud Cauley",NA,70,140,2,"TenthTeeLateRound3ScoringAverage",2013
49,49,"KJ Choi",NA,70,210,3,"TenthTeeLateRound3ScoringAverage",2013
49,49,"Ernie Els",NA,70,70,1,"TenthTeeLateRound3ScoringAverage",2013
49,49,"Sergio Garcia",NA,70,70,1,"TenthTeeLateRound3ScoringAverage",2013
49,49,"Bobby Gates",NA,70,70,1,"TenthTeeLateRound3ScoringAverage",2013
49,49,"Luke Guthrie",NA,70,210,3,"TenthTeeLateRound3ScoringAverage",2013
49,49,"Scott Langley",NA,70,70,1,"TenthTeeLateRound3ScoringAverage",2013
49,49,"DH Lee",NA,70,70,1,"TenthTeeLateRound3ScoringAverage",2013
49,49,"Richard Lee",NA,70,70,1,"TenthTeeLateRound3ScoringAverage",2013
49,49,"George McNeill",NA,70,210,3,"TenthTeeLateRound3ScoringAverage",2013
49,49,"DA Points",NA,70,140,2,"TenthTeeLateRound3ScoringAverage",2013
49,49,"Darron Stiles",NA,70,140,2,"TenthTeeLateRound3ScoringAverage",2013
49,49,"Michael Thompson",NA,70,140,2,"TenthTeeLateRound3ScoringAverage",2013
49,49,"Bubba Watson",NA,70,70,1,"TenthTeeLateRound3ScoringAverage",2013
49,49,"Boo Weekley",NA,70,70,1,"TenthTeeLateRound3ScoringAverage",2013
64,64,"Justin Leonard",NA,70.25,281,4,"TenthTeeLateRound3ScoringAverage",2013
64,64,"Shawn Stefani",NA,70.25,281,4,"TenthTeeLateRound3ScoringAverage",2013
66,66,"Jason Day",NA,70.5,282,4,"TenthTeeLateRound3ScoringAverage",2013
66,66,"James Driscoll",NA,70.5,282,4,"TenthTeeLateRound3ScoringAverage",2013
66,66,"Ben Kohles",NA,70.5,141,2,"TenthTeeLateRound3ScoringAverage",2013
66,66,"Lee Williams",NA,70.5,141,2,"TenthTeeLateRound3ScoringAverage",2013
66,66,"Casey Wittenberg",NA,70.5,141,2,"TenthTeeLateRound3ScoringAverage",2013
71,71,"Derek Ernst",NA,70.67,212,3,"TenthTeeLateRound3ScoringAverage",2013
71,71,"Scott Gardiner",NA,70.67,212,3,"TenthTeeLateRound3ScoringAverage",2013
71,71,"Kevin Streelman",NA,70.67,212,3,"TenthTeeLateRound3ScoringAverage",2013
71,71,"Jimmy Walker",NA,70.67,212,3,"TenthTeeLateRound3ScoringAverage",2013
71,71,"YE Yang",NA,70.67,212,3,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Charlie Beljan",NA,71,71,1,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Chad Campbell",NA,71,71,1,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Tim Clark",NA,71,142,2,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Ken Duke",NA,71,142,2,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Bill Haas",NA,71,71,1,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Charley Hoffman",NA,71,142,2,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Brandt Jobe",NA,71,71,1,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Jeff Maggert",NA,71,142,2,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Sean OHair",NA,71,71,1,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Carl Pettersson",NA,71,142,2,"TenthTeeLateRound3ScoringAverage",2013
76,76,"John Senden",NA,71,71,1,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Vijay Singh",NA,71,142,2,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Brandt Snedeker",NA,71,71,1,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Kyle Stanley",NA,71,284,4,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Chris Stroud",NA,71,71,1,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Vaughn Taylor",NA,71,71,1,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Mike Weir",NA,71,142,2,"TenthTeeLateRound3ScoringAverage",2013
76,76,"Lee Westwood",NA,71,71,1,"TenthTeeLateRound3ScoringAverage",2013
94,94,"Seung Yul Noh",NA,71.25,285,4,"TenthTeeLateRound3ScoringAverage",2013
95,95,"Michael Bradley",NA,71.33,214,3,"TenthTeeLateRound3ScoringAverage",2013
95,95,"Ryo Ishikawa",NA,71.33,214,3,"TenthTeeLateRound3ScoringAverage",2013
95,95,"Johnson Wagner",NA,71.33,214,3,"TenthTeeLateRound3ScoringAverage",2013
98,98,"Padraig Harrington",NA,71.5,143,2,"TenthTeeLateRound3ScoringAverage",2013
98,98,"Cameron Tringale",NA,71.5,143,2,"TenthTeeLateRound3ScoringAverage",2013
