"RyderCupPoints_RANKTHISWEEK_2015","RyderCupPoints_RANKLASTWEEK_2015","RyderCupPoints_PLAYERNAME_2015","RyderCupPoints_EVENTS_2015","RyderCupPoints_POINTS_2015","stat_name","year"
1,1,"Jordan Spieth",8,5306.789,"RyderCupPoints",2015
2,2,"Dustin Johnson",8,2396.366,"RyderCupPoints",2015
3,3,"Zach Johnson",8,2284.669,"RyderCupPoints",2015
4,4,"Rickie Fowler",8,1426.382,"RyderCupPoints",2015
5,5,"Phil Mickelson",7,1183.697,"RyderCupPoints",2015
6,6,"Brooks Koepka",8,952.491,"RyderCupPoints",2015
7,7,"Bubba Watson",8,931.278,"RyderCupPoints",2015
8,8,"JB Holmes",8,733.466,"RyderCupPoints",2015
9,9,"Jim Furyk",8,729.678,"RyderCupPoints",2015
10,10,"Kevin Kisner",5,664.425,"RyderCupPoints",2015
11,11,"Matt Kuchar",8,651.333,"RyderCupPoints",2015
12,12,"Robert Streb",7,633.148,"RyderCupPoints",2015
13,13,"Bill Haas",8,622.545,"RyderCupPoints",2015
14,14,"Kevin Na",8,599.581,"RyderCupPoints",2015
15,15,"Patrick Reed",8,581.175,"RyderCupPoints",2015
16,16,"Brandt Snedeker",8,573.074,"RyderCupPoints",2015
17,17,"Gary Woodland",7,554.199,"RyderCupPoints",2015
18,18,"Russell Henley",8,541.838,"RyderCupPoints",2015
19,19,"Hunter Mahan",8,447.352,"RyderCupPoints",2015
20,20,"Billy Horschel",8,423.209,"RyderCupPoints",2015
21,21,"Charley Hoffman",8,409.974,"RyderCupPoints",2015
22,22,"Tony Finau",2,399.935,"RyderCupPoints",2015
23,23,"Ryan Moore",8,371.059,"RyderCupPoints",2015
24,24,"Webb Simpson",8,369.115,"RyderCupPoints",2015
25,25,"Ben Martin",7,332.159,"RyderCupPoints",2015
26,26,"Keegan Bradley",8,278.851,"RyderCupPoints",2015
27,27,"Brendon Todd",8,262.452,"RyderCupPoints",2015
28,28,"Ryan Palmer",8,253.839,"RyderCupPoints",2015
29,29,"Jason Dufner",7,241.56,"RyderCupPoints",2015
30,30,"Chris Kirk",5,235.994,"RyderCupPoints",2015
31,31,"Kevin Streelman",4,218.5,"RyderCupPoints",2015
32,32,"Jimmy Walker",8,213.208,"RyderCupPoints",2015
33,33,"Morgan Hoffmann",6,198.326,"RyderCupPoints",2015
34,34,"Brendan Steele",2,185.4,"RyderCupPoints",2015
35,35,"Justin Thomas",2,166.5,"RyderCupPoints",2015
36,36,"Tiger Woods",5,165,"RyderCupPoints",2015
37,37,"Steve Stricker",3,146.057,"RyderCupPoints",2015
38,38,"Cameron Tringale",6,135.946,"RyderCupPoints",2015
39,39,"Brian Harman",5,135,"RyderCupPoints",2015
40,40,"Mark OMeara",2,114.915,"RyderCupPoints",2015
41,41,"Charlie Beljan",1,113.686,"RyderCupPoints",2015
41,41,"Jamie Lovemark",1,113.686,"RyderCupPoints",2015
43,43,"Stewart Cink",2,95.938,"RyderCupPoints",2015
44,44,"David Toms",2,93.75,"RyderCupPoints",2015
45,45,"Harris English",4,91.993,"RyderCupPoints",2015
46,46,"Kevin Chappell",3,67.09,"RyderCupPoints",2015
47,47,"Derek Fathauer",1,65.429,"RyderCupPoints",2015
47,47,"Jerry Kelly",1,65.429,"RyderCupPoints",2015
47,47,"George McNeill",3,65.429,"RyderCupPoints",2015
47,47,"Pat Perez",2,65.429,"RyderCupPoints",2015
51,51,"Daniel Summerhays",2,64.126,"RyderCupPoints",2015
52,52,"Matt Every",7,61.142,"RyderCupPoints",2015
53,53,"Chesson Hadley",2,60.7,"RyderCupPoints",2015
54,54,"James Hahn",5,58.563,"RyderCupPoints",2015
55,55,"Nick Watney",2,56.057,"RyderCupPoints",2015
56,56,"Erik Compton",3,53.663,"RyderCupPoints",2015
57,57,"Troy Merritt",3,52.675,"RyderCupPoints",2015
58,58,"Troy Kelly",1,47.854,"RyderCupPoints",2015
59,59,"Jason Bohn",2,39.2,"RyderCupPoints",2015
59,59,"Boo Weekley",2,39.2,"RyderCupPoints",2015
61,61,"Sam Saunders",1,31.633,"RyderCupPoints",2015
62,62,"Charles Howell III",2,29.9,"RyderCupPoints",2015
63,63,"David Duval",1,29.227,"RyderCupPoints",2015
64,64,"Scott Brown",1,29.063,"RyderCupPoints",2015
64,64,"Bo Van Pelt",2,29.063,"RyderCupPoints",2015
66,66,"Scott Piercy",2,25.75,"RyderCupPoints",2015
67,67,"Brad Elder",1,25.358,"RyderCupPoints",2015
67,67,"DA Points",1,25.358,"RyderCupPoints",2015
69,69,"Andy Pope",1,22.652,"RyderCupPoints",2015
70,70,"Martin Flores",1,22,"RyderCupPoints",2015
71,71,"JJ Henry",1,17.7,"RyderCupPoints",2015
71,71,"Sean OHair",2,17.7,"RyderCupPoints",2015
73,73,"Chris Stroud",1,15.7,"RyderCupPoints",2015
74,74,"Luke Guthrie",1,11.84,"RyderCupPoints",2015
75,75,"Bryce Molder",1,10.6,"RyderCupPoints",2015
76,76,"Scott Langley",1,10.3,"RyderCupPoints",2015
77,77,"Scott Stallings",1,9.5,"RyderCupPoints",2015
