"RoughProximity_RANKTHISWEEK_2005","RoughProximity_RANKLASTWEEK_2005","RoughProximity_PLAYERNAME_2005","RoughProximity_ROUNDS_2005","RoughProximity_AVG_2005","RoughProximity_TOTALDISTANCEINCHES_2005","RoughProximity_ATTEMPTS_2005","RoughProximity_TOTALDISTANCEFEET_2005","RoughProximity_RELATIVETOPAR_2005","stat_name","year"
1,1,"Jeff Hart",63,NA,47944,111,3995.333,8,"RoughProximity",2005
2,2,"Mario Tiziani",67,NA,94537,213,7878.083,13,"RoughProximity",2005
3,3,"David Hearn",68,NA,77369,168,6447.417,31,"RoughProximity",2005
4,4,"Todd Hamilton",94,NA,123404,264,10283.667,55,"RoughProximity",2005
5,5,"Doug Barron",70,NA,89797,191,7483.083,22,"RoughProximity",2005
6,6,"Bill Glasson",54,NA,72791,154,6065.917,26,"RoughProximity",2005
6,6,"Justin Rose",99,NA,153337,324,12778.083,13,"RoughProximity",2005
8,8,"Glen Hnatiuk",59,NA,84520,178,7043.333,17,"RoughProximity",2005
9,9,"Hidemichi Tanaka",106,NA,127468,268,10622.333,24,"RoughProximity",2005
10,10,"Tjaart van der Walt",56,NA,83529,175,6960.75,21,"RoughProximity",2005
11,11,"Bo Van Pelt",112,NA,166459,348,13871.583,24,"RoughProximity",2005
12,12,"Darron Stiles",78,NA,96832,202,8069.333,19,"RoughProximity",2005
13,13,"Fred Couples",72,NA,84071,175,7005.917,13,"RoughProximity",2005
14,14,"Ted Purdy",122,NA,149053,310,12421.083,25,"RoughProximity",2005
15,15,"Daniel Chopra",108,NA,184524,383,15377,2,"RoughProximity",2005
16,16,"Arron Oberholser",65,NA,79190,164,6599.167,14,"RoughProximity",2005
17,17,"Tommy Armour III",103,NA,145099,300,12091.583,51,"RoughProximity",2005
18,18,"Olin Browne",99,NA,103790,214,8649.167,21,"RoughProximity",2005
19,19,"Glen Day",80,NA,126874,261,10572.833,28,"RoughProximity",2005
20,20,"Briny Baird",98,NA,124794,256,10399.5,13,"RoughProximity",2005
20,20,"Luke Donald",67,NA,66264,136,5522,10,"RoughProximity",2005
