"FirstTeeEarlyPar5ScoringAverage_RANKTHISWEEK_2007","FirstTeeEarlyPar5ScoringAverage_RANKLASTWEEK_2007","FirstTeeEarlyPar5ScoringAverage_PLAYERNAME_2007","FirstTeeEarlyPar5ScoringAverage_ROUNDS_2007","FirstTeeEarlyPar5ScoringAverage_AVG_2007","FirstTeeEarlyPar5ScoringAverage_TOTALSTROKES_2007","FirstTeeEarlyPar5ScoringAverage_TOTALHOLES_2007","stat_name","year"
1,1,"Bill Haas",93,4.46,415,93,"FirstTeeEarlyPar5ScoringAverage",2007
2,2,"John Daly",59,4.49,301,67,"FirstTeeEarlyPar5ScoringAverage",2007
2,2,"Charles Warren",101,4.49,449,100,"FirstTeeEarlyPar5ScoringAverage",2007
4,4,"Phil Mickelson",73,4.5,171,38,"FirstTeeEarlyPar5ScoringAverage",2007
4,4,"Tiger Woods",63,4.5,126,28,"FirstTeeEarlyPar5ScoringAverage",2007
6,6,"Mark Calcavecchia",93,4.51,460,102,"FirstTeeEarlyPar5ScoringAverage",2007
7,7,"Jesper Parnevik",88,4.54,459,101,"FirstTeeEarlyPar5ScoringAverage",2007
8,8,"Jason Schultz",63,4.55,214,47,"FirstTeeEarlyPar5ScoringAverage",2007
9,9,"Alex Cejka",80,4.56,429,94,"FirstTeeEarlyPar5ScoringAverage",2007
9,9,"Lucas Glover",98,4.56,397,87,"FirstTeeEarlyPar5ScoringAverage",2007
9,9,"Bubba Watson",80,4.56,356,78,"FirstTeeEarlyPar5ScoringAverage",2007
12,12,"Briny Baird",115,4.57,480,105,"FirstTeeEarlyPar5ScoringAverage",2007
12,12,"Nathan Green",103,4.57,484,106,"FirstTeeEarlyPar5ScoringAverage",2007
12,12,"Hunter Mahan",91,4.57,398,87,"FirstTeeEarlyPar5ScoringAverage",2007
12,12,"Pat Perez",84,4.57,347,76,"FirstTeeEarlyPar5ScoringAverage",2007
12,12,"John Senden",97,4.57,466,102,"FirstTeeEarlyPar5ScoringAverage",2007
12,12,"Bo Van Pelt",104,4.57,526,115,"FirstTeeEarlyPar5ScoringAverage",2007
18,18,"Robert Allenby",90,4.58,371,81,"FirstTeeEarlyPar5ScoringAverage",2007
18,18,"Andrew Buckle",77,4.58,238,52,"FirstTeeEarlyPar5ScoringAverage",2007
18,18,"Charley Hoffman",97,4.58,508,111,"FirstTeeEarlyPar5ScoringAverage",2007
18,18,"Troy Matteson",87,4.58,449,98,"FirstTeeEarlyPar5ScoringAverage",2007
18,18,"Vijay Singh",102,4.58,325,71,"FirstTeeEarlyPar5ScoringAverage",2007
23,23,"Jason Bohn",57,4.59,170,37,"FirstTeeEarlyPar5ScoringAverage",2007
23,23,"Ernie Els",59,4.59,234,51,"FirstTeeEarlyPar5ScoringAverage",2007
23,23,"Jeff Gove",103,4.59,459,100,"FirstTeeEarlyPar5ScoringAverage",2007
23,23,"JP Hayes",89,4.59,441,96,"FirstTeeEarlyPar5ScoringAverage",2007
23,23,"JJ Henry",86,4.59,468,102,"FirstTeeEarlyPar5ScoringAverage",2007
23,23,"Anthony Kim",93,4.59,381,83,"FirstTeeEarlyPar5ScoringAverage",2007
23,23,"Steve Marino",106,4.59,436,95,"FirstTeeEarlyPar5ScoringAverage",2007
23,23,"Charlie Wi",90,4.59,312,68,"FirstTeeEarlyPar5ScoringAverage",2007
31,31,"Sergio Garcia",68,4.6,230,50,"FirstTeeEarlyPar5ScoringAverage",2007
31,31,"Kent Jones",97,4.6,602,131,"FirstTeeEarlyPar5ScoringAverage",2007
31,31,"Matt Kuchar",85,4.6,409,89,"FirstTeeEarlyPar5ScoringAverage",2007
31,31,"Kevin Na",84,4.6,446,97,"FirstTeeEarlyPar5ScoringAverage",2007
31,31,"Rod Pampling",92,4.6,405,88,"FirstTeeEarlyPar5ScoringAverage",2007
31,31,"Carl Pettersson",111,4.6,483,105,"FirstTeeEarlyPar5ScoringAverage",2007
31,31,"Kyle Reifers",71,4.6,409,89,"FirstTeeEarlyPar5ScoringAverage",2007
38,38,"Rich Barcelo",80,4.61,364,79,"FirstTeeEarlyPar5ScoringAverage",2007
38,38,"Harrison Frazar",88,4.61,387,84,"FirstTeeEarlyPar5ScoringAverage",2007
38,38,"Mathias Gronberg",95,4.61,526,114,"FirstTeeEarlyPar5ScoringAverage",2007
38,38,"Padraig Harrington",64,4.61,143,31,"FirstTeeEarlyPar5ScoringAverage",2007
38,38,"Paul Stankowski",52,4.61,226,49,"FirstTeeEarlyPar5ScoringAverage",2007
38,38,"Vaughn Taylor",91,4.61,461,100,"FirstTeeEarlyPar5ScoringAverage",2007
38,38,"Chris Tidland",59,4.61,327,71,"FirstTeeEarlyPar5ScoringAverage",2007
45,45,"Daniel Chopra",106,4.62,508,110,"FirstTeeEarlyPar5ScoringAverage",2007
45,45,"Frank Lickliter II",95,4.62,476,103,"FirstTeeEarlyPar5ScoringAverage",2007
45,45,"Jeff Overton",60,4.62,314,68,"FirstTeeEarlyPar5ScoringAverage",2007
45,45,"Tom Pernice Jr",104,4.62,393,85,"FirstTeeEarlyPar5ScoringAverage",2007
45,45,"John Rollins",102,4.62,545,118,"FirstTeeEarlyPar5ScoringAverage",2007
45,45,"David Toms",80,4.62,342,74,"FirstTeeEarlyPar5ScoringAverage",2007
51,51,"Steve Allan",63,4.63,222,48,"FirstTeeEarlyPar5ScoringAverage",2007
51,51,"Aaron Baddeley",83,4.63,361,78,"FirstTeeEarlyPar5ScoringAverage",2007
51,51,"Bob Estes",88,4.63,458,99,"FirstTeeEarlyPar5ScoringAverage",2007
51,51,"Brett Quigley",79,4.63,426,92,"FirstTeeEarlyPar5ScoringAverage",2007
51,51,"Heath Slocum",101,4.63,468,101,"FirstTeeEarlyPar5ScoringAverage",2007
51,51,"Steve Stricker",81,4.63,338,73,"FirstTeeEarlyPar5ScoringAverage",2007
51,51,"Nick Watney",87,4.63,444,96,"FirstTeeEarlyPar5ScoringAverage",2007
58,58,"KJ Choi",87,4.64,297,64,"FirstTeeEarlyPar5ScoringAverage",2007
58,58,"Chris DiMarco",79,4.64,357,77,"FirstTeeEarlyPar5ScoringAverage",2007
58,58,"Tim Herron",98,4.64,612,132,"FirstTeeEarlyPar5ScoringAverage",2007
58,58,"Camilo Villegas",82,4.64,339,73,"FirstTeeEarlyPar5ScoringAverage",2007
58,58,"Johnson Wagner",97,4.64,501,108,"FirstTeeEarlyPar5ScoringAverage",2007
63,63,"Stewart Cink",91,4.65,386,83,"FirstTeeEarlyPar5ScoringAverage",2007
63,63,"Steve Elkington",87,4.65,400,86,"FirstTeeEarlyPar5ScoringAverage",2007
63,63,"Freddie Jacobson",70,4.65,214,46,"FirstTeeEarlyPar5ScoringAverage",2007
63,63,"Parker McLachlin",83,4.65,437,94,"FirstTeeEarlyPar5ScoringAverage",2007
63,63,"Ryan Moore",92,4.65,493,106,"FirstTeeEarlyPar5ScoringAverage",2007
63,63,"Ted Purdy",102,4.65,437,94,"FirstTeeEarlyPar5ScoringAverage",2007
63,63,"Adam Scott",69,4.65,237,51,"FirstTeeEarlyPar5ScoringAverage",2007
63,63,"Mark Wilson",87,4.65,474,102,"FirstTeeEarlyPar5ScoringAverage",2007
71,71,"Cameron Beckman",96,4.66,503,108,"FirstTeeEarlyPar5ScoringAverage",2007
71,71,"Bart Bryant",87,4.66,401,86,"FirstTeeEarlyPar5ScoringAverage",2007
71,71,"Gavin Coles",87,4.66,485,104,"FirstTeeEarlyPar5ScoringAverage",2007
71,71,"Brendon de Jonge",76,4.66,233,50,"FirstTeeEarlyPar5ScoringAverage",2007
71,71,"Brett Wetterich",88,4.66,438,94,"FirstTeeEarlyPar5ScoringAverage",2007
76,76,"Craig Barlow",52,4.67,313,67,"FirstTeeEarlyPar5ScoringAverage",2007
76,76,"Jonathan Byrd",73,4.67,313,67,"FirstTeeEarlyPar5ScoringAverage",2007
76,76,"Anders Hansen",55,4.67,196,42,"FirstTeeEarlyPar5ScoringAverage",2007
76,76,"Doug LaBelle II",104,4.67,448,96,"FirstTeeEarlyPar5ScoringAverage",2007
76,76,"John Merrick",92,4.67,411,88,"FirstTeeEarlyPar5ScoringAverage",2007
76,76,"Nick OHern",72,4.67,215,46,"FirstTeeEarlyPar5ScoringAverage",2007
76,76,"Jeff Sluman",60,4.67,369,79,"FirstTeeEarlyPar5ScoringAverage",2007
83,83,"Billy Andrade",88,4.68,346,74,"FirstTeeEarlyPar5ScoringAverage",2007
83,83,"Ryan Armour",107,4.68,468,100,"FirstTeeEarlyPar5ScoringAverage",2007
83,83,"Craig Bowden",78,4.68,445,95,"FirstTeeEarlyPar5ScoringAverage",2007
83,83,"Steve Flesch",100,4.68,543,116,"FirstTeeEarlyPar5ScoringAverage",2007
83,83,"JB Holmes",71,4.68,393,84,"FirstTeeEarlyPar5ScoringAverage",2007
