"GoingfortheGreenBirdieorBetter_RANKTHISWEEK_2014","GoingfortheGreenBirdieorBetter_RANKLASTWEEK_2014","GoingfortheGreenBirdieorBetter_PLAYERNAME_2014","GoingfortheGreenBirdieorBetter_ROUNDS_2014","GoingfortheGreenBirdieorBetter_Pct_2014","GoingfortheGreenBirdieorBetter_OFBIRDIEORBETTER_2014","GoingfortheGreenBirdieorBetter_ATTEMPTS_2014","GoingfortheGreenBirdieorBetter_RTPSUCCESSES_2014","GoingfortheGreenBirdieorBetter_RTPNOTGOINGFORTHEGRN_2014","stat_name","year"
1,1,"Tyrone Van Aswegen",79,72.73,64,88,-64,1,"GoingfortheGreenBirdieorBetter",2014
2,2,"Jonas Blixt",64,68.66,46,67,-48,7,"GoingfortheGreenBirdieorBetter",2014
3,3,"Brian Davis",93,68.07,81,119,-88,-28,"GoingfortheGreenBirdieorBetter",2014
4,4,"Justin Rose",70,66.67,72,108,-78,-1,"GoingfortheGreenBirdieorBetter",2014
5,5,"Jim Furyk",84,66.22,49,74,-52,-42,"GoingfortheGreenBirdieorBetter",2014
6,6,"Chesson Hadley",84,65.83,79,120,-80,-4,"GoingfortheGreenBirdieorBetter",2014
7,7,"Matt Kuchar",91,65.55,78,119,-83,-23,"GoingfortheGreenBirdieorBetter",2014
8,8,"Jerry Kelly",80,65.38,51,78,-53,-22,"GoingfortheGreenBirdieorBetter",2014
9,9,"Stuart Appleby",92,65.22,60,92,-61,-29,"GoingfortheGreenBirdieorBetter",2014
10,10,"Patrick Reed",92,65.12,84,129,-93,-2,"GoingfortheGreenBirdieorBetter",2014
11,11,"Jimmy Walker",98,64.33,110,171,-114,-2,"GoingfortheGreenBirdieorBetter",2014
12,12,"Brice Garnett",92,64,80,125,-84,-7,"GoingfortheGreenBirdieorBetter",2014
13,13,"Adam Scott",68,63.91,85,133,-92,-12,"GoingfortheGreenBirdieorBetter",2014
14,14,"Jordan Spieth",102,63.7,93,146,-95,-13,"GoingfortheGreenBirdieorBetter",2014
15,15,"KJ Choi",80,63.29,50,79,-55,-20,"GoingfortheGreenBirdieorBetter",2014
16,16,"Martin Laird",66,63.11,77,122,-86,-1,"GoingfortheGreenBirdieorBetter",2014
17,17,"Zach Johnson",97,63.08,82,130,-86,-33,"GoingfortheGreenBirdieorBetter",2014
18,18,"James Hahn",82,62.81,76,121,-82,3,"GoingfortheGreenBirdieorBetter",2014
19,19,"Kevin Na",94,62.76,91,145,-99,-16,"GoingfortheGreenBirdieorBetter",2014
20,20,"Retief Goosen",94,62.73,69,110,-70,-8,"GoingfortheGreenBirdieorBetter",2014
21,21,"Ian Poulter",57,62.32,43,69,-44,-14,"GoingfortheGreenBirdieorBetter",2014
22,22,"Charl Schwartzel",64,62.3,76,122,-82,-12,"GoingfortheGreenBirdieorBetter",2014
23,23,"Woody Austin",63,62.2,51,82,-51,-21,"GoingfortheGreenBirdieorBetter",2014
24,24,"Morgan Hoffmann",103,62.07,108,174,-115,5,"GoingfortheGreenBirdieorBetter",2014
25,25,"Will Wilcox",51,61.9,52,84,-56,-4,"GoingfortheGreenBirdieorBetter",2014
26,26,"Aaron Baddeley",74,61.61,69,112,-71,-1,"GoingfortheGreenBirdieorBetter",2014
27,27,"Rory McIlroy",66,61.59,85,138,-91,2,"GoingfortheGreenBirdieorBetter",2014
28,28,"Steven Bowditch",93,61.45,102,166,-115,2,"GoingfortheGreenBirdieorBetter",2014
29,29,"Ricky Barnes",92,61.42,78,127,-83,1,"GoingfortheGreenBirdieorBetter",2014
30,30,"Jason Dufner",57,61.33,46,75,-49,-10,"GoingfortheGreenBirdieorBetter",2014
31,31,"Brad Fritsch",50,61.19,41,67,-42,-6,"GoingfortheGreenBirdieorBetter",2014
32,32,"Chris Kirk",105,60.65,94,155,-102,-14,"GoingfortheGreenBirdieorBetter",2014
33,33,"Michael Thompson",74,60.61,60,99,-62,-16,"GoingfortheGreenBirdieorBetter",2014
34,34,"Bryce Molder",77,60.56,43,71,-45,-29,"GoingfortheGreenBirdieorBetter",2014
35,35,"Robert Streb",75,60.53,69,114,-75,-4,"GoingfortheGreenBirdieorBetter",2014
36,36,"Josh Teater",90,60.45,81,134,-83,-4,"GoingfortheGreenBirdieorBetter",2014
37,37,"Luke Donald",57,60.34,35,58,-37,-17,"GoingfortheGreenBirdieorBetter",2014
38,38,"Ben Curtis",77,60.27,44,73,-46,-9,"GoingfortheGreenBirdieorBetter",2014
39,39,"Matt Every",85,60.19,65,108,-69,-9,"GoingfortheGreenBirdieorBetter",2014
40,40,"Brendan Steele",89,60.14,83,138,-90,-10,"GoingfortheGreenBirdieorBetter",2014
41,41,"Bill Haas",107,60.13,92,153,-98,-16,"GoingfortheGreenBirdieorBetter",2014
42,42,"Chris Stroud",88,59.84,76,127,-78,-2,"GoingfortheGreenBirdieorBetter",2014
43,43,"Lee Westwood",57,59.79,58,97,-63,2,"GoingfortheGreenBirdieorBetter",2014
44,44,"Paul Casey",56,59.72,43,72,-47,-5,"GoingfortheGreenBirdieorBetter",2014
44,44,"Jason Kokrak",65,59.72,86,144,-92,7,"GoingfortheGreenBirdieorBetter",2014
46,46,"James Driscoll",71,59.57,56,94,-59,-7,"GoingfortheGreenBirdieorBetter",2014
47,47,"Bubba Watson",76,59.42,82,138,-89,0,"GoingfortheGreenBirdieorBetter",2014
48,48,"Roberto Castro",76,59.3,51,86,-56,-12,"GoingfortheGreenBirdieorBetter",2014
48,48,"Kevin Tway",64,59.3,51,86,-52,-7,"GoingfortheGreenBirdieorBetter",2014
50,50,"Heath Slocum",71,59.15,42,71,-44,-18,"GoingfortheGreenBirdieorBetter",2014
