"OnePuttPercentageRound1_RANKTHISWEEK_2011","OnePuttPercentageRound1_RANKLASTWEEK_2011","OnePuttPercentageRound1_PLAYERNAME_2011","OnePuttPercentageRound1_ROUNDS_2011","OnePuttPercentageRound1_Pct_2011","OnePuttPercentageRound1_OF1PUTTS_2011","OnePuttPercentageRound1_OFHOLES_2011","stat_name","year"
1,1,"Chris Couch",73,46.3,175,378,"OnePuttPercentageRound1",2011
2,2,"Ryan Palmer",82,44.93,186,414,"OnePuttPercentageRound1",2011
3,3,"Luke Donald",73,44.75,145,324,"OnePuttPercentageRound1",2011
4,4,"Padraig Harrington",60,44.12,135,306,"OnePuttPercentageRound1",2011
5,5,"Geoff Ogilvy",69,43.89,158,360,"OnePuttPercentageRound1",2011
6,6,"Andres Romero",77,43.69,173,396,"OnePuttPercentageRound1",2011
7,7,"Kevin Na",84,43.59,204,468,"OnePuttPercentageRound1",2011
8,8,"YE Yang",63,43.14,132,306,"OnePuttPercentageRound1",2011
9,9,"Vaughn Taylor",89,43,209,486,"OnePuttPercentageRound1",2011
10,10,"Charlie Wi",83,42.44,191,450,"OnePuttPercentageRound1",2011
11,11,"Greg Chalmers",88,42.39,206,486,"OnePuttPercentageRound1",2011
12,12,"Steve Stricker",70,42.28,137,324,"OnePuttPercentageRound1",2011
13,13,"Matt Kuchar",94,42.27,175,414,"OnePuttPercentageRound1",2011
14,14,"Anthony Kim",72,42,189,450,"OnePuttPercentageRound1",2011
15,15,"Jimmy Walker",79,41.9,181,432,"OnePuttPercentageRound1",2011
16,16,"Steve Flesch",88,41.77,203,486,"OnePuttPercentageRound1",2011
17,17,"Ryan Moore",79,41.53,157,378,"OnePuttPercentageRound1",2011
18,18,"Ben Crane",76,41.41,164,396,"OnePuttPercentageRound1",2011
19,19,"Brian Gay",90,41.24,193,468,"OnePuttPercentageRound1",2011
20,20,"Aaron Baddeley",77,41.16,163,396,"OnePuttPercentageRound1",2011
21,21,"Brendon de Jonge",105,41.11,222,540,"OnePuttPercentageRound1",2011
21,21,"Phil Mickelson",79,41.11,148,360,"OnePuttPercentageRound1",2011
23,23,"Jason Day",76,40.83,147,360,"OnePuttPercentageRound1",2011
24,24,"Dean Wilson",62,40.74,154,378,"OnePuttPercentageRound1",2011
25,25,"Brian Davis",105,40.56,219,540,"OnePuttPercentageRound1",2011
26,26,"Robert Karlsson",61,40.52,124,306,"OnePuttPercentageRound1",2011
27,27,"Mark Wilson",89,40.44,182,450,"OnePuttPercentageRound1",2011
28,28,"DA Points",89,40.38,189,468,"OnePuttPercentageRound1",2011
28,28,"Webb Simpson",98,40.38,189,468,"OnePuttPercentageRound1",2011
30,30,"Chris Kirk",87,40.28,203,504,"OnePuttPercentageRound1",2011
31,31,"Tim Petrovic",88,40.23,210,522,"OnePuttPercentageRound1",2011
32,32,"Paul Goydos",81,40.22,181,450,"OnePuttPercentageRound1",2011
32,32,"Matt Jones",71,40.22,181,450,"OnePuttPercentageRound1",2011
34,34,"Pat Perez",76,40.05,173,432,"OnePuttPercentageRound1",2011
35,35,"Vijay Singh",79,40,180,450,"OnePuttPercentageRound1",2011
36,36,"Justin Leonard",82,39.96,187,468,"OnePuttPercentageRound1",2011
37,37,"Camilo Villegas",69,39.86,165,414,"OnePuttPercentageRound1",2011
38,38,"Brandt Snedeker",85,39.74,186,468,"OnePuttPercentageRound1",2011
39,39,"Nick Watney",80,39.68,150,378,"OnePuttPercentageRound1",2011
40,40,"Hunter Mahan",92,39.58,171,432,"OnePuttPercentageRound1",2011
41,41,"Carl Pettersson",95,39.51,192,486,"OnePuttPercentageRound1",2011
42,42,"Freddie Jacobson",92,39.33,177,450,"OnePuttPercentageRound1",2011
43,43,"Harrison Frazar",58,39.18,134,342,"OnePuttPercentageRound1",2011
44,44,"Rickie Fowler",84,39.13,162,414,"OnePuttPercentageRound1",2011
45,45,"Arjun Atwal",91,39.08,204,522,"OnePuttPercentageRound1",2011
46,46,"Stuart Appleby",65,38.89,168,432,"OnePuttPercentageRound1",2011
46,46,"Joe Ogilvie",75,38.89,168,432,"OnePuttPercentageRound1",2011
46,46,"Jeff Overton",92,38.89,175,450,"OnePuttPercentageRound1",2011
49,49,"David Mathis",83,38.67,174,450,"OnePuttPercentageRound1",2011
50,50,"Blake Adams",116,38.56,236,612,"OnePuttPercentageRound1",2011
51,51,"Zack Miller",86,38.52,208,540,"OnePuttPercentageRound1",2011
52,52,"Tim Herron",85,38.49,194,504,"OnePuttPercentageRound1",2011
53,53,"Bryce Molder",82,38.46,180,468,"OnePuttPercentageRound1",2011
53,53,"John Senden",94,38.46,180,468,"OnePuttPercentageRound1",2011
53,53,"Kevin Streelman",90,38.46,180,468,"OnePuttPercentageRound1",2011
56,56,"Ben Curtis",66,38.41,159,414,"OnePuttPercentageRound1",2011
56,56,"Steve Marino",76,38.41,159,414,"OnePuttPercentageRound1",2011
58,58,"Jason Bohn",74,38.38,152,396,"OnePuttPercentageRound1",2011
58,58,"Rocco Mediate",53,38.38,152,396,"OnePuttPercentageRound1",2011
58,58,"Roland Thatcher",67,38.38,152,396,"OnePuttPercentageRound1",2011
61,61,"Dustin Johnson",72,38.33,138,360,"OnePuttPercentageRound1",2011
62,62,"Matt Bettencourt",84,38.31,200,522,"OnePuttPercentageRound1",2011
63,63,"Chez Reavie",92,38.27,186,486,"OnePuttPercentageRound1",2011
64,64,"Rory Sabbatini",85,38.19,165,432,"OnePuttPercentageRound1",2011
65,65,"Jason Dufner",78,38.16,158,414,"OnePuttPercentageRound1",2011
66,66,"Zach Johnson",79,38.13,151,396,"OnePuttPercentageRound1",2011
67,67,"Ryuji Imada",83,38.12,199,522,"OnePuttPercentageRound1",2011
68,68,"Michael Connell",76,38.03,178,468,"OnePuttPercentageRound1",2011
68,68,"David Hearn",88,38.03,178,468,"OnePuttPercentageRound1",2011
70,70,"Paul Stankowski",78,37.96,164,432,"OnePuttPercentageRound1",2011
71,71,"Chris Riley",76,37.78,170,450,"OnePuttPercentageRound1",2011
72,72,"Tom Gillis",55,37.72,129,342,"OnePuttPercentageRound1",2011
73,73,"Chris DiMarco",93,37.63,210,558,"OnePuttPercentageRound1",2011
74,74,"Charley Hoffman",93,37.61,176,468,"OnePuttPercentageRound1",2011
