"Back9Par4ScoringAverage_RANKTHISWEEK_2013","Back9Par4ScoringAverage_RANKLASTWEEK_2013","Back9Par4ScoringAverage_PLAYERNAME_2013","Back9Par4ScoringAverage_ROUNDS_2013","Back9Par4ScoringAverage_AVG_2013","Back9Par4ScoringAverage_TOTALSTROKES_2013","Back9Par4ScoringAverage_TOTALHOLES_2013","stat_name","year"
1,1,"Steve Stricker",51,3.94,1032,262,"Back9Par4ScoringAverage",2013
2,2,"Charles Howell III",87,3.99,1805,452,"Back9Par4ScoringAverage",2013
2,2,"Jimmy Walker",84,3.99,1739,436,"Back9Par4ScoringAverage",2013
4,4,"Graham DeLaet",94,4,2009,502,"Back9Par4ScoringAverage",2013
4,4,"Morgan Hoffmann",64,4,1391,348,"Back9Par4ScoringAverage",2013
4,4,"Phil Mickelson",78,4,1688,422,"Back9Par4ScoringAverage",2013
4,4,"Lee Westwood",70,4,1524,381,"Back9Par4ScoringAverage",2013
8,8,"Brendon de Jonge",110,4.01,2359,588,"Back9Par4ScoringAverage",2013
8,8,"Bill Haas",85,4.01,1834,457,"Back9Par4ScoringAverage",2013
8,8,"Billy Horschel",96,4.01,2062,514,"Back9Par4ScoringAverage",2013
8,8,"Hunter Mahan",91,4.01,1871,467,"Back9Par4ScoringAverage",2013
8,8,"Brandt Snedeker",79,4.01,1731,432,"Back9Par4ScoringAverage",2013
8,8,"Jordan Spieth",82,4.01,1798,448,"Back9Par4ScoringAverage",2013
8,8,"Vaughn Taylor",50,4.01,991,247,"Back9Par4ScoringAverage",2013
8,8,"David Toms",49,4.01,930,232,"Back9Par4ScoringAverage",2013
16,16,"Stuart Appleby",88,4.02,1787,444,"Back9Par4ScoringAverage",2013
16,16,"Martin Flores",83,4.02,1763,439,"Back9Par4ScoringAverage",2013
16,16,"Matt Kuchar",93,4.02,1907,474,"Back9Par4ScoringAverage",2013
16,16,"John Merrick",79,4.02,1693,421,"Back9Par4ScoringAverage",2013
16,16,"Chez Reavie",72,4.02,1544,384,"Back9Par4ScoringAverage",2013
16,16,"Justin Rose",62,4.02,1358,338,"Back9Par4ScoringAverage",2013
16,16,"Adam Scott",61,4.02,1335,332,"Back9Par4ScoringAverage",2013
16,16,"Webb Simpson",92,4.02,1948,485,"Back9Par4ScoringAverage",2013
24,24,"Roberto Castro",97,4.03,2058,511,"Back9Par4ScoringAverage",2013
24,24,"David Hearn",88,4.03,1899,471,"Back9Par4ScoringAverage",2013
24,24,"DH Lee",65,4.03,1392,345,"Back9Par4ScoringAverage",2013
