"FedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2013","FedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2013","FedExCupSeasonPointsforNonMembers_PLAYERNAME_2013","FedExCupSeasonPointsforNonMembers_EVENTS_2013","FedExCupSeasonPointsforNonMembers_POINTS_2013","FedExCupSeasonPointsforNonMembers_WGCPOINTS_2013","stat_name","year"
1,1,"Gonzalo Fdez Castano",12,403,127,"FedExCupSeasonPointsforNonMembers",2013
2,2,"Hideki Matsuyama",7,384,48,"FedExCupSeasonPointsforNonMembers",2013
3,3,"Thorbjorn Olesen",11,307,84,"FedExCupSeasonPointsforNonMembers",2013
4,4,"Richard Sterne",7,276,186,"FedExCupSeasonPointsforNonMembers",2013
5,5,"Francesco Molinari",9,244,89,"FedExCupSeasonPointsforNonMembers",2013
6,6,"Miguel Angel Jimenez",3,227,120,"FedExCupSeasonPointsforNonMembers",2013
7,7,"Marcel Siem",9,221,53,"FedExCupSeasonPointsforNonMembers",2013
8,8,"Shane Lowry",9,188,89,"FedExCupSeasonPointsforNonMembers",2013
9,9,"Peter Tomasulo",10,186,NA,"FedExCupSeasonPointsforNonMembers",2013
10,10,"Paul Lawrie",7,184,77,"FedExCupSeasonPointsforNonMembers",2013
11,11,"Jamie Donaldson",10,164,84,"FedExCupSeasonPointsforNonMembers",2013
12,12,"Chris Wood",5,145,141,"FedExCupSeasonPointsforNonMembers",2013
13,13,"Rafa Cabrera Bello",5,143,54,"FedExCupSeasonPointsforNonMembers",2013
14,14,"George Coetzee",11,135,39,"FedExCupSeasonPointsforNonMembers",2013
15,15,"Matteo Manassero",9,128,87,"FedExCupSeasonPointsforNonMembers",2013
16,16,"John Peterson",6,128,NA,"FedExCupSeasonPointsforNonMembers",2013
17,17,"Branden Grace",12,126,47,"FedExCupSeasonPointsforNonMembers",2013
18,18,"Stephen Gallacher",5,120,64,"FedExCupSeasonPointsforNonMembers",2013
19,19,"Jeff Klauk",8,115,NA,"FedExCupSeasonPointsforNonMembers",2013
20,20,"Alexander Noren",5,97,97,"FedExCupSeasonPointsforNonMembers",2013
21,21,"Patrick Cantlay",7,96,NA,"FedExCupSeasonPointsforNonMembers",2013
22,22,"Marcus Fraser",6,93,57,"FedExCupSeasonPointsforNonMembers",2013
