"TenthTeeEarlyScoringAverage_RANKTHISWEEK_2012","TenthTeeEarlyScoringAverage_RANKLASTWEEK_2012","TenthTeeEarlyScoringAverage_PLAYERNAME_2012","TenthTeeEarlyScoringAverage_ROUNDS_2012","TenthTeeEarlyScoringAverage_AVG_2012","TenthTeeEarlyScoringAverage_TOTALSTROKES_2012","TenthTeeEarlyScoringAverage_TOTAL10THTEEEARLYRDS_2012","stat_name","year"
1,1,"Robert Garrigus",89,66.91,736,11,"TenthTeeEarlyScoringAverage",2012
2,2,"John Huh",99,67.67,406,6,"TenthTeeEarlyScoringAverage",2012
3,3,"Mark Wilson",84,68.38,547,8,"TenthTeeEarlyScoringAverage",2012
4,4,"Rory McIlroy",60,68.55,754,11,"TenthTeeEarlyScoringAverage",2012
5,5,"Jason Day",57,68.7,687,10,"TenthTeeEarlyScoringAverage",2012
6,6,"Zach Johnson",95,68.78,1238,18,"TenthTeeEarlyScoringAverage",2012
7,7,"Carl Pettersson",92,68.92,827,12,"TenthTeeEarlyScoringAverage",2012
8,8,"Tiger Woods",69,68.93,965,14,"TenthTeeEarlyScoringAverage",2012
9,9,"Louis Oosthuizen",65,69,483,7,"TenthTeeEarlyScoringAverage",2012
10,10,"Pat Perez",81,69.13,1037,15,"TenthTeeEarlyScoringAverage",2012
11,11,"Webb Simpson",77,69.19,1107,16,"TenthTeeEarlyScoringAverage",2012
12,12,"Harris English",98,69.2,1384,20,"TenthTeeEarlyScoringAverage",2012
12,12,"Dustin Johnson",70,69.2,1038,15,"TenthTeeEarlyScoringAverage",2012
12,12,"David Toms",60,69.2,692,10,"TenthTeeEarlyScoringAverage",2012
15,15,"Russell Knox",72,69.24,1177,17,"TenthTeeEarlyScoringAverage",2012
16,16,"Vijay Singh",99,69.29,970,14,"TenthTeeEarlyScoringAverage",2012
17,17,"Jason Dufner",83,69.31,901,13,"TenthTeeEarlyScoringAverage",2012
17,17,"Steve Stricker",73,69.31,901,13,"TenthTeeEarlyScoringAverage",2012
19,19,"Ben Curtis",62,69.4,694,10,"TenthTeeEarlyScoringAverage",2012
20,20,"Greg Owen",90,69.42,833,12,"TenthTeeEarlyScoringAverage",2012
21,21,"Freddie Jacobson",61,69.43,486,7,"TenthTeeEarlyScoringAverage",2012
22,22,"Roberto Castro",92,69.45,1389,20,"TenthTeeEarlyScoringAverage",2012
23,23,"Matt Every",80,69.5,834,12,"TenthTeeEarlyScoringAverage",2012
23,23,"YE Yang",64,69.5,834,12,"TenthTeeEarlyScoringAverage",2012
25,25,"Luke Donald",63,69.55,765,11,"TenthTeeEarlyScoringAverage",2012
26,26,"Sergio Garcia",57,69.56,626,9,"TenthTeeEarlyScoringAverage",2012
27,27,"Jimmy Walker",101,69.57,1461,21,"TenthTeeEarlyScoringAverage",2012
28,28,"Scott Dunlap",57,69.58,835,12,"TenthTeeEarlyScoringAverage",2012
29,29,"Kevin Na",80,69.6,696,10,"TenthTeeEarlyScoringAverage",2012
30,30,"Ted Potter Jr",77,69.62,905,13,"TenthTeeEarlyScoringAverage",2012
31,31,"Ryan Palmer",81,69.63,557,8,"TenthTeeEarlyScoringAverage",2012
32,32,"Ryan Moore",89,69.67,1045,15,"TenthTeeEarlyScoringAverage",2012
33,33,"John Mallinger",74,69.71,976,14,"TenthTeeEarlyScoringAverage",2012
34,34,"Gavin Coles",72,69.73,1046,15,"TenthTeeEarlyScoringAverage",2012
35,35,"Keegan Bradley",90,69.75,1395,20,"TenthTeeEarlyScoringAverage",2012
35,35,"Johnson Wagner",88,69.75,837,12,"TenthTeeEarlyScoringAverage",2012
37,37,"Phil Mickelson",79,69.78,1256,18,"TenthTeeEarlyScoringAverage",2012
38,38,"Garth Mulroy",59,69.82,768,11,"TenthTeeEarlyScoringAverage",2012
38,38,"Charl Schwartzel",56,69.82,768,11,"TenthTeeEarlyScoringAverage",2012
40,40,"Ben Crane",73,69.89,629,9,"TenthTeeEarlyScoringAverage",2012
41,41,"Richard Lee",71,69.91,1538,22,"TenthTeeEarlyScoringAverage",2012
42,42,"Ken Duke",104,69.93,979,14,"TenthTeeEarlyScoringAverage",2012
43,43,"Chris Stroud",86,69.94,1119,16,"TenthTeeEarlyScoringAverage",2012
44,44,"Aaron Baddeley",73,70,350,5,"TenthTeeEarlyScoringAverage",2012
44,44,"Gary Christian",91,70,1330,19,"TenthTeeEarlyScoringAverage",2012
44,44,"Martin Laird",77,70,350,5,"TenthTeeEarlyScoringAverage",2012
44,44,"Ian Poulter",57,70,700,10,"TenthTeeEarlyScoringAverage",2012
48,48,"Camilo Villegas",79,70.05,1471,21,"TenthTeeEarlyScoringAverage",2012
49,49,"Graham DeLaet",79,70.06,1121,16,"TenthTeeEarlyScoringAverage",2012
50,50,"David Hearn",95,70.14,1473,21,"TenthTeeEarlyScoringAverage",2012
51,51,"Michael Bradley",63,70.17,842,12,"TenthTeeEarlyScoringAverage",2012
51,51,"Brian Davis",91,70.17,1614,23,"TenthTeeEarlyScoringAverage",2012
53,53,"Arjun Atwal",79,70.18,772,11,"TenthTeeEarlyScoringAverage",2012
54,54,"Sean OHair",84,70.19,1123,16,"TenthTeeEarlyScoringAverage",2012
55,55,"Bubba Watson",68,70.2,1053,15,"TenthTeeEarlyScoringAverage",2012
56,56,"Henrik Stenson",51,70.22,632,9,"TenthTeeEarlyScoringAverage",2012
57,57,"Martin Flores",95,70.24,1475,21,"TenthTeeEarlyScoringAverage",2012
58,58,"Billy Horschel",63,70.27,773,11,"TenthTeeEarlyScoringAverage",2012
59,59,"Mathew Goggin",65,70.31,914,13,"TenthTeeEarlyScoringAverage",2012
59,59,"Jeff Overton",101,70.31,914,13,"TenthTeeEarlyScoringAverage",2012
59,59,"Kyle Stanley",86,70.31,914,13,"TenthTeeEarlyScoringAverage",2012
62,62,"Stuart Appleby",75,70.33,1688,24,"TenthTeeEarlyScoringAverage",2012
62,62,"Tim Clark",60,70.33,633,9,"TenthTeeEarlyScoringAverage",2012
62,62,"Chris Couch",61,70.33,1266,18,"TenthTeeEarlyScoringAverage",2012
62,62,"Jason Kokrak",79,70.33,1477,21,"TenthTeeEarlyScoringAverage",2012
66,66,"Tom Pernice Jr",62,70.35,1407,20,"TenthTeeEarlyScoringAverage",2012
67,67,"Jerry Kelly",84,70.38,915,13,"TenthTeeEarlyScoringAverage",2012
67,67,"George McNeill",85,70.38,1126,16,"TenthTeeEarlyScoringAverage",2012
69,69,"Brandt Jobe",57,70.4,704,10,"TenthTeeEarlyScoringAverage",2012
70,70,"Nathan Green",73,70.43,986,14,"TenthTeeEarlyScoringAverage",2012
70,70,"Heath Slocum",93,70.43,1479,21,"TenthTeeEarlyScoringAverage",2012
72,72,"Matt Kuchar",86,70.44,1127,16,"TenthTeeEarlyScoringAverage",2012
72,72,"Marc Leishman",84,70.44,1127,16,"TenthTeeEarlyScoringAverage",2012
74,74,"Angel Cabrera",54,70.45,775,11,"TenthTeeEarlyScoringAverage",2012
75,75,"Jeff Maggert",83,70.47,1057,15,"TenthTeeEarlyScoringAverage",2012
76,76,"Greg Chalmers",88,70.5,846,12,"TenthTeeEarlyScoringAverage",2012
76,76,"Brian Harman",101,70.5,1974,28,"TenthTeeEarlyScoringAverage",2012
76,76,"JJ Henry",93,70.5,1269,18,"TenthTeeEarlyScoringAverage",2012
76,76,"Geoff Ogilvy",73,70.5,564,8,"TenthTeeEarlyScoringAverage",2012
76,76,"Brandt Snedeker",81,70.5,1128,16,"TenthTeeEarlyScoringAverage",2012
81,81,"William McGirt",96,70.53,1199,17,"TenthTeeEarlyScoringAverage",2012
81,81,"Seung Yul Noh",105,70.53,1058,15,"TenthTeeEarlyScoringAverage",2012
81,81,"Andres Romero",68,70.53,1058,15,"TenthTeeEarlyScoringAverage",2012
84,84,"Blake Adams",107,70.55,1552,22,"TenthTeeEarlyScoringAverage",2012
84,84,"John Senden",81,70.55,776,11,"TenthTeeEarlyScoringAverage",2012
86,86,"John Merrick",83,70.57,988,14,"TenthTeeEarlyScoringAverage",2012
87,87,"Jonas Blixt",72,70.58,847,12,"TenthTeeEarlyScoringAverage",2012
88,88,"Bud Cauley",99,70.6,1765,25,"TenthTeeEarlyScoringAverage",2012
88,88,"John Daly",50,70.6,706,10,"TenthTeeEarlyScoringAverage",2012
90,90,"Bob Estes",78,70.64,777,11,"TenthTeeEarlyScoringAverage",2012
90,90,"Scott Piercy",95,70.64,989,14,"TenthTeeEarlyScoringAverage",2012
92,92,"Brendon de Jonge",115,70.7,1414,20,"TenthTeeEarlyScoringAverage",2012
93,93,"Charles Howell III",98,70.73,778,11,"TenthTeeEarlyScoringAverage",2012
93,93,"Bryce Molder",83,70.73,1061,15,"TenthTeeEarlyScoringAverage",2012
95,95,"Josh Teater",97,70.74,1344,19,"TenthTeeEarlyScoringAverage",2012
96,96,"Lee Westwood",60,70.75,566,8,"TenthTeeEarlyScoringAverage",2012
97,97,"Rod Pampling",88,70.76,1203,17,"TenthTeeEarlyScoringAverage",2012
