"LongestHoleOutsinyards_RANKTHISWEEK_2008","LongestHoleOutsinyards_RANKLASTWEEK_2008","LongestHoleOutsinyards_PLAYERNAME_2008","LongestHoleOutsinyards_ROUNDS_2008","LongestHoleOutsinyards_DISTANCE_2008","LongestHoleOutsinyards_TOURNAMENT_2008","LongestHoleOutsinyards_ROUNDCOURSE_2008","LongestHoleOutsinyards_HOLE_2008","stat_name","year"
1,1,"Daniel Chopra",84,256,NA,2,9,"LongestHoleOutsinyards",2008
2,2,"Jay Williamson",96,243,NA,2,6,"LongestHoleOutsinyards",2008
3,3,"Notah Begay III",24,219,NA,2,7,"LongestHoleOutsinyards",2008
4,4,"Pat Perez",93,216,NA,2,2,"LongestHoleOutsinyards",2008
5,5,"Corey Pavin",69,215,NA,2,10,"LongestHoleOutsinyards",2008
5,6,"Chez Reavie",102,215,NA,1,12,"LongestHoleOutsinyards",2008
7,7,"Vaughn Taylor",103,209,NA,2,13,"LongestHoleOutsinyards",2008
7,8,"Jin Park",85,209,NA,4,6,"LongestHoleOutsinyards",2008
9,9,"Briny Baird",113,208,NA,1,6,"LongestHoleOutsinyards",2008
10,10,"Dicky Pride",39,205,NA,2,2,"LongestHoleOutsinyards",2008
11,11,"James Driscoll",85,204,NA,4,2,"LongestHoleOutsinyards",2008
11,12,"Sergio Garcia",72,204,NA,2,3,"LongestHoleOutsinyards",2008
11,13,"Kevin Na",97,204,NA,2,10,"LongestHoleOutsinyards",2008
14,14,"Sean OHair",81,201,NA,3,7,"LongestHoleOutsinyards",2008
15,15,"Michael Thompson",14,199,NA,1,10,"LongestHoleOutsinyards",2008
15,16,"Lucas Glover",91,199,NA,5,10,"LongestHoleOutsinyards",2008
17,17,"Stephen Leaney",53,187,NA,2,8,"LongestHoleOutsinyards",2008
18,18,"Bart Bryant",81,186,NA,3,13,"LongestHoleOutsinyards",2008
18,19,"Dean Wilson",109,186,NA,1,12,"LongestHoleOutsinyards",2008
20,20,"Richard Johnson",60,185,NA,1,14,"LongestHoleOutsinyards",2008
20,21,"Will Ma Kenzie",62,185,NA,2,12,"LongestHoleOutsinyards",2008
22,22,"Kevin Streelman",114,184,NA,1,17,"LongestHoleOutsinyards",2008
23,25,"Ian Poulter",51,182,NA,2,18,"LongestHoleOutsinyards",2008
26,26,"Marc Turnesa",87,180,NA,4,7,"LongestHoleOutsinyards",2008
26,27,"Jason Day",81,180,NA,2,6,"LongestHoleOutsinyards",2008
28,28,"John Rollins",94,179,NA,2,15,"LongestHoleOutsinyards",2008
29,29,"Omar Uresti",74,176,NA,1,16,"LongestHoleOutsinyards",2008
