"MissedFairwayPercentOther_RANKTHISWEEK_2009","MissedFairwayPercentOther_RANKLASTWEEK_2009","MissedFairwayPercentOther_PLAYERNAME_2009","MissedFairwayPercentOther_ROUNDS_2009","MissedFairwayPercentOther_Pct_2009","MissedFairwayPercentOther_TOTALMISSED_2009","MissedFairwayPercentOther_TOTALFWYS_2009","MissedFairwayPercentOther_RELATIVETOPAR_2009","stat_name","year"
1,1,"Ben Curtis",63,0.76,5,657,1.4,"MissedFairwayPercentOther",2009
2,2,"Zach Johnson",94,1,11,1104,0.55,"MissedFairwayPercentOther",2009
3,3,"David Toms",98,1.08,12,1112,0.67,"MissedFairwayPercentOther",2009
4,4,"Mark Brooks",55,1.09,6,550,0.5,"MissedFairwayPercentOther",2009
5,5,"Brian Gay",96,1.14,13,1144,0.38,"MissedFairwayPercentOther",2009
6,6,"Robert Allenby",71,1.16,9,777,0.56,"MissedFairwayPercentOther",2009
7,7,"Glen Day",79,1.25,11,882,0.91,"MissedFairwayPercentOther",2009
8,8,"Lucas Glover",93,1.28,14,1090,0.43,"MissedFairwayPercentOther",2009
9,9,"Cliff Kresge",78,1.3,12,926,0.83,"MissedFairwayPercentOther",2009
10,10,"Brandt Snedeker",81,1.33,12,903,0.42,"MissedFairwayPercentOther",2009
11,11,"Ben Crane",93,1.36,15,1106,0.27,"MissedFairwayPercentOther",2009
12,12,"Kenny Perry",92,1.38,14,1017,0.29,"MissedFairwayPercentOther",2009
13,13,"Jason Bohn",88,1.42,16,1129,0.5,"MissedFairwayPercentOther",2009
13,13,"Peter Lonard",86,1.42,15,1056,1,"MissedFairwayPercentOther",2009
15,15,"Jim Furyk",86,1.44,13,901,0.69,"MissedFairwayPercentOther",2009
16,16,"Heath Slocum",95,1.45,17,1176,0.71,"MissedFairwayPercentOther",2009
17,17,"Scott Verplank",88,1.46,16,1099,0.88,"MissedFairwayPercentOther",2009
18,18,"Jeff Klauk",97,1.48,18,1219,0.5,"MissedFairwayPercentOther",2009
18,18,"Corey Pavin",73,1.48,11,744,0.91,"MissedFairwayPercentOther",2009
20,20,"DA Points",99,1.51,18,1191,0.56,"MissedFairwayPercentOther",2009
21,21,"Tiger Woods",64,1.52,10,659,0.3,"MissedFairwayPercentOther",2009
22,22,"Stephen Ames",77,1.53,12,785,0.92,"MissedFairwayPercentOther",2009
22,22,"Bart Bryant",58,1.53,11,721,1.27,"MissedFairwayPercentOther",2009
24,24,"Matt Kuchar",82,1.54,15,976,0.73,"MissedFairwayPercentOther",2009
24,24,"Chez Reavie",81,1.54,15,975,0.53,"MissedFairwayPercentOther",2009
26,26,"Joe Durant",62,1.55,10,647,0.7,"MissedFairwayPercentOther",2009
26,26,"Darron Stiles",52,1.55,9,580,1,"MissedFairwayPercentOther",2009
28,28,"Colt Knost",71,1.56,12,770,0.58,"MissedFairwayPercentOther",2009
29,29,"Mark Wilson",99,1.57,19,1213,-0.05,"MissedFairwayPercentOther",2009
30,30,"Tim Clark",81,1.59,13,820,0.46,"MissedFairwayPercentOther",2009
30,30,"Kevin Sutherland",96,1.59,16,1006,0.75,"MissedFairwayPercentOther",2009
32,32,"Chris Riley",77,1.62,15,928,0.73,"MissedFairwayPercentOther",2009
33,33,"Ken Duke",87,1.64,16,975,0.5,"MissedFairwayPercentOther",2009
34,34,"Richard Johnson",85,1.65,17,1028,0.71,"MissedFairwayPercentOther",2009
35,35,"Brian Davis",103,1.67,21,1256,0.14,"MissedFairwayPercentOther",2009
35,35,"Jason Dufner",90,1.67,18,1079,0.89,"MissedFairwayPercentOther",2009
37,37,"KJ Choi",65,1.71,12,700,1.08,"MissedFairwayPercentOther",2009
37,37,"DJ Trahan",96,1.71,19,1112,0.42,"MissedFairwayPercentOther",2009
39,39,"Mike Weir",85,1.72,16,928,0.69,"MissedFairwayPercentOther",2009
40,40,"Ernie Els",70,1.73,13,752,0.54,"MissedFairwayPercentOther",2009
41,41,"Scott McCarron",91,1.78,20,1121,0.4,"MissedFairwayPercentOther",2009
42,42,"Nick OHern",90,1.8,21,1168,0.76,"MissedFairwayPercentOther",2009
43,43,"Justin Leonard",95,1.81,19,1048,0.58,"MissedFairwayPercentOther",2009
44,44,"Scott Sterling",51,1.82,10,550,0.9,"MissedFairwayPercentOther",2009
45,45,"Marc Turnesa",77,1.83,18,985,0.89,"MissedFairwayPercentOther",2009
46,46,"Bill Haas",91,1.86,21,1131,0,"MissedFairwayPercentOther",2009
46,46,"Tom Lehman",55,1.86,9,485,0.56,"MissedFairwayPercentOther",2009
46,46,"Kirk Triplett",60,1.86,14,754,0.86,"MissedFairwayPercentOther",2009
49,49,"Paul Goydos",79,1.88,17,905,0.18,"MissedFairwayPercentOther",2009
49,49,"Boo Weekley",79,1.88,17,905,0.65,"MissedFairwayPercentOther",2009
51,51,"Jason Day",61,1.91,13,679,0.54,"MissedFairwayPercentOther",2009
52,52,"Tom Pernice Jr",82,1.94,20,1030,0.9,"MissedFairwayPercentOther",2009
53,53,"Tommy Armour III",58,1.96,14,716,0.86,"MissedFairwayPercentOther",2009
53,53,"Jerry Kelly",90,1.96,21,1070,0.67,"MissedFairwayPercentOther",2009
55,55,"Bob Estes",78,1.98,19,958,0.74,"MissedFairwayPercentOther",2009
55,55,"Steve Stricker",81,1.98,17,859,0.41,"MissedFairwayPercentOther",2009
57,57,"David Mathis",82,2.01,19,943,0.74,"MissedFairwayPercentOther",2009
58,58,"Briny Baird",89,2.02,20,992,0.65,"MissedFairwayPercentOther",2009
58,58,"Derek Fathauer",63,2.02,14,693,0.93,"MissedFairwayPercentOther",2009
58,58,"Justin Rose",71,2.02,16,791,0.44,"MissedFairwayPercentOther",2009
61,61,"Lee Janzen",74,2.03,17,837,0.47,"MissedFairwayPercentOther",2009
61,61,"Patrick Sheehan",51,2.03,11,543,0.73,"MissedFairwayPercentOther",2009
63,63,"John Mallinger",90,2.04,20,979,0.4,"MissedFairwayPercentOther",2009
63,63,"Jay Williamson",69,2.04,16,786,0.75,"MissedFairwayPercentOther",2009
65,65,"Rocco Mediate",79,2.08,19,913,0.21,"MissedFairwayPercentOther",2009
66,66,"Jeff Maggert",79,2.1,21,1002,0.14,"MissedFairwayPercentOther",2009
66,66,"Hunter Mahan",94,2.1,22,1048,0.55,"MissedFairwayPercentOther",2009
