"FairwayBunkerTendency_RANKTHISWEEK_2009","FairwayBunkerTendency_RANKLASTWEEK_2009","FairwayBunkerTendency_PLAYERNAME_2009","FairwayBunkerTendency_ROUNDS_2009","FairwayBunkerTendency_Pct_2009","FairwayBunkerTendency_TOTALFAIRWAYBUNKERS_2009","FairwayBunkerTendency_POSSIBLEFWYS_2009","FairwayBunkerTendency_RELATIVETOPAR_2009","stat_name","year"
1,1,"Mark Brooks",55,3.1,17,550,0.353,"FairwayBunkerTendency",2009
2,2,"Steve Elkington",70,3.4,29,852,0.276,"FairwayBunkerTendency",2009
2,2,"Brian Vranesh",51,3.4,20,594,0.65,"FairwayBunkerTendency",2009
4,4,"Tom Lehman",55,3.5,17,485,0.235,"FairwayBunkerTendency",2009
4,4,"Corey Pavin",73,3.5,26,744,0.5,"FairwayBunkerTendency",2009
4,4,"Scott Sterling",51,3.5,19,550,0.158,"FairwayBunkerTendency",2009
7,7,"Charles Warren",63,3.8,28,730,0.25,"FairwayBunkerTendency",2009
8,8,"Richard Johnson",85,3.9,40,1028,0.4,"FairwayBunkerTendency",2009
8,8,"Patrick Sheehan",51,3.9,21,543,0.476,"FairwayBunkerTendency",2009
8,8,"Johnson Wagner",81,3.9,40,1022,0.175,"FairwayBunkerTendency",2009
11,11,"David Toms",98,4,44,1112,0.091,"FairwayBunkerTendency",2009
11,11,"Kirk Triplett",60,4,30,754,0.2,"FairwayBunkerTendency",2009
11,11,"Marc Turnesa",77,4,39,985,0.538,"FairwayBunkerTendency",2009
14,14,"Michael Allen",73,4.1,33,804,0.091,"FairwayBunkerTendency",2009
14,14,"Glen Day",79,4.1,36,882,0.361,"FairwayBunkerTendency",2009
16,16,"Brian Gay",96,4.2,48,1144,0.313,"FairwayBunkerTendency",2009
17,17,"Briny Baird",89,4.3,43,992,0.186,"FairwayBunkerTendency",2009
17,17,"Bart Bryant",58,4.3,31,721,0.355,"FairwayBunkerTendency",2009
17,17,"Scott McCarron",91,4.3,48,1121,0.417,"FairwayBunkerTendency",2009
20,20,"Marc Leishman",91,4.4,50,1142,0.2,"FairwayBunkerTendency",2009
20,20,"Jimmy Walker",74,4.4,38,855,0.079,"FairwayBunkerTendency",2009
20,20,"Boo Weekley",79,4.4,40,905,0,"FairwayBunkerTendency",2009
23,23,"Jason Bohn",88,4.5,51,1129,0.176,"FairwayBunkerTendency",2009
23,23,"Bryce Molder",69,4.5,34,753,0.382,"FairwayBunkerTendency",2009
23,23,"Jeff Quinney",78,4.5,44,979,0.341,"FairwayBunkerTendency",2009
23,23,"Brandt Snedeker",81,4.5,41,903,0.22,"FairwayBunkerTendency",2009
23,23,"Darron Stiles",52,4.5,26,580,0.538,"FairwayBunkerTendency",2009
23,23,"Vaughn Taylor",88,4.5,49,1091,0.408,"FairwayBunkerTendency",2009
29,29,"Jim Furyk",86,4.6,41,901,0.171,"FairwayBunkerTendency",2009
29,29,"Greg Kraft",51,4.6,26,568,0.077,"FairwayBunkerTendency",2009
31,31,"Jerry Kelly",90,4.7,50,1070,0.26,"FairwayBunkerTendency",2009
31,31,"Justin Leonard",95,4.7,49,1048,0.429,"FairwayBunkerTendency",2009
31,31,"Steve Lowery",83,4.7,50,1063,0.48,"FairwayBunkerTendency",2009
34,34,"Joe Durant",62,4.8,31,647,0.29,"FairwayBunkerTendency",2009
34,34,"Jeff Maggert",79,4.8,48,1002,0.396,"FairwayBunkerTendency",2009
