"Percentageofpotentialmoneywon_RANKTHISWEEK_2005","Percentageofpotentialmoneywon_RANKLASTWEEK_2005","Percentageofpotentialmoneywon_PLAYERNAME_2005","Percentageofpotentialmoneywon_EVENTS_2005","Percentageofpotentialmoneywon_Pct_2005","Percentageofpotentialmoneywon_OFFICIALMONEYWON_2005","Percentageofpotentialmoneywon_POTENTIALMONEY_2005","stat_name","year"
1,1,"Tiger Woods",21,46.73,10628023,22745584,"Percentageofpotentialmoneywon",2005
2,2,"Michael Campbell",5,26.8,1661810,6201584,"Percentageofpotentialmoneywon",2005
3,3,"Vijay Singh",30,25.77,8017335,31106584,"Percentageofpotentialmoneywon",2005
4,4,"Phil Mickelson",21,25.67,5699604,22207584,"Percentageofpotentialmoneywon",2005
5,5,"Colin Montgomerie",6,20.53,1450735,7065584,"Percentageofpotentialmoneywon",2005
6,6,"Retief Goosen",18,17.97,3494105,19447584,"Percentageofpotentialmoneywon",2005
7,7,"Jim Furyk",26,15.65,4255368,27184584,"Percentageofpotentialmoneywon",2005
8,8,"Padraig Harrington",15,15.56,2615731,16815000,"Percentageofpotentialmoneywon",2005
9,9,"David Toms",25,15.08,3962013,26273584,"Percentageofpotentialmoneywon",2005
10,10,"Kenny Perry",23,14.8,3607155,24376584,"Percentageofpotentialmoneywon",2005
11,11,"Sergio Garcia",20,14.52,3213375,22124584,"Percentageofpotentialmoneywon",2005
12,12,"Chris DiMarco",24,14.12,3562547,25222584,"Percentageofpotentialmoneywon",2005
13,13,"Ernie Els",11,13.76,1627183,11825584,"Percentageofpotentialmoneywon",2005
14,14,"Luke Donald",18,12.61,2480561,19669584,"Percentageofpotentialmoneywon",2005
15,15,"Ben Crane",21,12.54,2457329,19592000,"Percentageofpotentialmoneywon",2005
16,16,"Bart Bryant",26,12.44,3249135,26116584,"Percentageofpotentialmoneywon",2005
17,17,"Adam Scott",19,12.42,2592255,20873584,"Percentageofpotentialmoneywon",2005
18,18,"Jason Gore",8,12.28,871135,7092000,"Percentageofpotentialmoneywon",2005
19,19,"Darren Clarke",12,11.22,1465921,13059584,"Percentageofpotentialmoneywon",2005
20,20,"Jose Maria Olazabal",16,10.96,1764227,16101584,"Percentageofpotentialmoneywon",2005
21,21,"Chris Couch",1,10.74,96666,9e+05,"Percentageofpotentialmoneywon",2005
22,22,"Peter Hedblom",1,10.59,123857,1170000,"Percentageofpotentialmoneywon",2005
23,23,"Justin Leonard",24,10.57,2665131,25204584,"Percentageofpotentialmoneywon",2005
24,24,"Davis Love III",24,10.43,2658779,25501584,"Percentageofpotentialmoneywon",2005
25,25,"Henrik Stenson",4,9.98,501985,5031584,"Percentageofpotentialmoneywon",2005
25,25,"Scott Verplank",25,9.98,2580213,25861584,"Percentageofpotentialmoneywon",2005
27,27,"Matt Hendrix",1,9.52,51428,540000,"Percentageofpotentialmoneywon",2005
28,28,"Fred Funk",30,9.23,2830045,30656584,"Percentageofpotentialmoneywon",2005
29,29,"Sean OHair",29,8.79,2461481,28008584,"Percentageofpotentialmoneywon",2005
30,30,"Olin Browne",29,8.62,2171927,25204000,"Percentageofpotentialmoneywon",2005
31,31,"Chad Campbell",27,8.61,2391431,27767584,"Percentageofpotentialmoneywon",2005
32,32,"Tim Clark",26,8.5,2310037,27166584,"Percentageofpotentialmoneywon",2005
33,33,"Mark Calcavecchia",27,8.46,2185309,25844584,"Percentageofpotentialmoneywon",2005
34,34,"Stuart Appleby",25,8.45,2202506,26075584,"Percentageofpotentialmoneywon",2005
35,35,"Brandt Jobe",27,8.37,2133149,25474000,"Percentageofpotentialmoneywon",2005
36,36,"Jaxon Brigman",2,8.16,162961,1998000,"Percentageofpotentialmoneywon",2005
37,37,"Wes Short Jr",16,7.99,1029640,12879000,"Percentageofpotentialmoneywon",2005
38,38,"Lucas Glover",28,7.98,2050067,25695000,"Percentageofpotentialmoneywon",2005
39,39,"Fred Couples",22,7.93,1804178,22738584,"Percentageofpotentialmoneywon",2005
39,39,"Tom Lehman",20,7.93,1655416,20875584,"Percentageofpotentialmoneywon",2005
41,41,"Billy Mayfair",31,7.77,2236455,28777000,"Percentageofpotentialmoneywon",2005
42,42,"Tim Herron",28,7.66,2103550,27473584,"Percentageofpotentialmoneywon",2005
42,42,"Geoff Ogilvy",26,7.66,1931676,25205584,"Percentageofpotentialmoneywon",2005
44,44,"Paul McGinley",6,7.65,547183,7155584,"Percentageofpotentialmoneywon",2005
45,45,"Brad Faxon",23,7.62,1700534,22330584,"Percentageofpotentialmoneywon",2005
46,46,"Jason Bohn",28,7.59,1888567,24880000,"Percentageofpotentialmoneywon",2005
47,47,"Scott Dunlap",3,7.57,204500,2700000,"Percentageofpotentialmoneywon",2005
48,48,"Thomas Bjorn",8,7.54,769267,10201584,"Percentageofpotentialmoneywon",2005
49,49,"Charles Howell III",29,7.28,2074329,28481584,"Percentageofpotentialmoneywon",2005
50,50,"KJ Choi",24,7.09,1765373,24898584,"Percentageofpotentialmoneywon",2005
51,51,"Steve Elkington",20,7.05,1410350,20015000,"Percentageofpotentialmoneywon",2005
52,52,"Peter Lonard",27,6.88,1897998,27571584,"Percentageofpotentialmoneywon",2005
53,53,"John Daly",25,6.86,1759920,25643584,"Percentageofpotentialmoneywon",2005
54,54,"Jeff Brehaut",23,6.85,1271061,18549000,"Percentageofpotentialmoneywon",2005
55,55,"Graeme McDowell",14,6.84,1086859,15880584,"Percentageofpotentialmoneywon",2005
56,56,"Shigeki Maruyama",29,6.72,1933048,28759584,"Percentageofpotentialmoneywon",2005
57,57,"Joel Kribel",2,6.71,112360,1674000,"Percentageofpotentialmoneywon",2005
58,58,"Ted Purdy",34,6.7,2198368,32823584,"Percentageofpotentialmoneywon",2005
59,59,"Arjun Atwal",17,6.68,963768,14418000,"Percentageofpotentialmoneywon",2005
60,60,"Carl Pettersson",34,6.65,1993850,29970000,"Percentageofpotentialmoneywon",2005
61,61,"Stewart Cink",26,6.49,1733048,26705584,"Percentageofpotentialmoneywon",2005
62,62,"Joe Ogilvie",30,6.35,1819547,28670584,"Percentageofpotentialmoneywon",2005
63,63,"Vaughn Taylor",32,6.29,1827573,29036000,"Percentageofpotentialmoneywon",2005
64,64,"Greg Owen",24,6.17,1352878,21915000,"Percentageofpotentialmoneywon",2005
65,65,"Jonathan Kaye",24,6.14,1416108,23069000,"Percentageofpotentialmoneywon",2005
66,66,"Heath Slocum",29,6.11,1606185,26287000,"Percentageofpotentialmoneywon",2005
67,67,"Rod Pampling",26,6.05,1613814,26669584,"Percentageofpotentialmoneywon",2005
68,68,"Zach Johnson",30,5.97,1796440,30107584,"Percentageofpotentialmoneywon",2005
69,69,"Nick OHern",13,5.94,889201,14962584,"Percentageofpotentialmoneywon",2005
70,70,"Bradley Dredge",1,5.92,77000,1300000,"Percentageofpotentialmoneywon",2005
71,71,"Mark Hensby",21,5.88,1312636,22313584,"Percentageofpotentialmoneywon",2005
72,72,"Ryan Moore",14,5.81,686249,11817000,"Percentageofpotentialmoneywon",2005
73,73,"Tom Purtzer",1,5.78,58240,1008000,"Percentageofpotentialmoneywon",2005
74,74,"Tim Petrovic",32,5.64,1711228,30326584,"Percentageofpotentialmoneywon",2005
75,75,"Mike Weir",23,5.59,1363466,24383584,"Percentageofpotentialmoneywon",2005
