"RyderCupPoints_RANKTHISWEEK_2006","RyderCupPoints_RANKLASTWEEK_2006","RyderCupPoints_PLAYERNAME_2006","RyderCupPoints_EVENTS_2006","RyderCupPoints_POINTS_2006","stat_name","year"
1,1,"Tiger Woods",3,897.5,"RyderCupPoints",2006
2,2,"Jim Furyk",5,606.25,"RyderCupPoints",2006
3,3,"Joe Durant",8,504.113,"RyderCupPoints",2006
4,4,"Troy Matteson",10,375.613,"RyderCupPoints",2006
5,5,"Davis Love III",4,326.956,"RyderCupPoints",2006
6,6,"Eric Axley",10,252.5,"RyderCupPoints",2006
7,7,"Frank Lickliter II",8,227.213,"RyderCupPoints",2006
8,8,"Ben Curtis",6,207,"RyderCupPoints",2006
9,9,"Stewart Cink",5,187.5,"RyderCupPoints",2006
10,10,"Brett Quigley",8,175.7,"RyderCupPoints",2006
11,11,"Brett Wetterich",6,170.767,"RyderCupPoints",2006
12,12,"Lucas Glover",7,153.125,"RyderCupPoints",2006
13,13,"Charles Howell III",8,152.95,"RyderCupPoints",2006
14,14,"Paul Goydos",8,146.6,"RyderCupPoints",2006
15,15,"Jason Bohn",7,135,"RyderCupPoints",2006
15,15,"Bart Bryant",7,135,"RyderCupPoints",2006
15,15,"Will Ma Kenzie",8,135,"RyderCupPoints",2006
15,15,"DJ Trahan",8,135,"RyderCupPoints",2006
19,19,"Nick Watney",8,124.05,"RyderCupPoints",2006
20,20,"Steve Stricker",4,102.513,"RyderCupPoints",2006
21,21,"Jonathan Byrd",7,100.675,"RyderCupPoints",2006
22,22,"Tom Pernice Jr",8,98.75,"RyderCupPoints",2006
23,23,"Brian Bateman",9,93.5,"RyderCupPoints",2006
24,24,"Lee Janzen",8,89,"RyderCupPoints",2006
25,25,"Ben Crane",6,88,"RyderCupPoints",2006
26,26,"Sean OHair",6,85,"RyderCupPoints",2006
27,27,"Bob Estes",7,81,"RyderCupPoints",2006
28,28,"JJ Henry",6,79.5,"RyderCupPoints",2006
29,29,"Ted Purdy",9,77.975,"RyderCupPoints",2006
30,30,"Ryan Moore",6,76.338,"RyderCupPoints",2006
31,31,"Dean Wilson",8,74.667,"RyderCupPoints",2006
32,32,"Steve Flesch",7,72.5,"RyderCupPoints",2006
33,33,"Charley Hoffman",8,68,"RyderCupPoints",2006
34,34,"Joe Ogilvie",5,51,"RyderCupPoints",2006
35,35,"Robert Garrigus",8,50.6,"RyderCupPoints",2006
36,36,"Ryan Palmer",7,50,"RyderCupPoints",2006
37,37,"Steve Lowery",7,42.375,"RyderCupPoints",2006
38,38,"Marco Dawson",10,40.394,"RyderCupPoints",2006
39,39,"Shaun Micheel",6,40.013,"RyderCupPoints",2006
40,40,"Kent Jones",8,38.525,"RyderCupPoints",2006
40,40,"Charles Warren",5,38.525,"RyderCupPoints",2006
42,42,"David Toms",4,38.125,"RyderCupPoints",2006
43,43,"Chris Riley",8,38,"RyderCupPoints",2006
44,44,"Brian Gay",9,37.1,"RyderCupPoints",2006
45,45,"JP Hayes",7,36,"RyderCupPoints",2006
46,46,"Bubba Dickerson",9,32.25,"RyderCupPoints",2006
47,47,"Arron Oberholser",5,30,"RyderCupPoints",2006
48,48,"Briny Baird",6,28.75,"RyderCupPoints",2006
48,48,"Mark Calcavecchia",7,28.75,"RyderCupPoints",2006
48,48,"Jerry Kelly",8,28.75,"RyderCupPoints",2006
48,48,"Hunter Mahan",8,28.75,"RyderCupPoints",2006
48,48,"Jeff Overton",9,28.75,"RyderCupPoints",2006
48,48,"Heath Slocum",6,28.75,"RyderCupPoints",2006
54,54,"Joey Sindelar",7,28,"RyderCupPoints",2006
54,54,"Ron Whittaker",9,28,"RyderCupPoints",2006
56,56,"Glen Day",2,27.375,"RyderCupPoints",2006
56,56,"Bo Van Pelt",7,27.375,"RyderCupPoints",2006
58,58,"Jeff Brehaut",10,26.344,"RyderCupPoints",2006
58,58,"John Cook",6,26.344,"RyderCupPoints",2006
60,60,"Harrison Frazar",7,26,"RyderCupPoints",2006
61,61,"Olin Browne",9,19.5,"RyderCupPoints",2006
61,61,"Robert Damron",9,19.5,"RyderCupPoints",2006
61,61,"Fred Funk",6,19.5,"RyderCupPoints",2006
61,61,"Jason Gore",6,19.5,"RyderCupPoints",2006
