"TotalDistanceEfficiency_RANKTHISWEEK_2014","TotalDistanceEfficiency_RANKLASTWEEK_2014","TotalDistanceEfficiency_PLAYERNAME_2014","TotalDistanceEfficiency_ROUNDS_2014","TotalDistanceEfficiency_AVG_2014","TotalDistanceEfficiency_AVERAGEDISTANCEYARDS_2014","TotalDistanceEfficiency_AVERAGECLUBHEADSPEED_2014","TotalDistanceEfficiency_TOTALATTEMPTS_2014","TotalDistanceEfficiency_HIGHESTDISTEFFICIENCY_2014","stat_name","year"
1,1,"Webb Simpson",87,2.639,293.233,111.109,73,2.999,"TotalDistanceEfficiency",2014
2,2,"Bud Cauley",56,2.634,294.63,111.843,49,3.128,"TotalDistanceEfficiency",2014
3,3,"Zach Johnson",97,2.628,283.101,107.725,91,3.064,"TotalDistanceEfficiency",2014
3,3,"Hunter Mahan",88,2.628,294.887,112.223,78,3.025,"TotalDistanceEfficiency",2014
5,5,"Jordan Spieth",102,2.625,292.839,111.56,87,3.053,"TotalDistanceEfficiency",2014
6,6,"Ernie Els",85,2.621,293.569,111.994,65,3.001,"TotalDistanceEfficiency",2014
6,6,"Davis Love III",74,2.621,300.706,114.74,57,2.977,"TotalDistanceEfficiency",2014
8,8,"Heath Slocum",71,2.617,275.787,105.4,64,2.957,"TotalDistanceEfficiency",2014
9,9,"Brian Davis",93,2.611,278.177,106.537,92,3.078,"TotalDistanceEfficiency",2014
9,9,"Mark Wilson",69,2.611,278.967,106.829,62,2.991,"TotalDistanceEfficiency",2014
11,11,"Hideki Matsuyama",82,2.607,297.804,114.211,67,3.002,"TotalDistanceEfficiency",2014
12,12,"Brian Harman",111,2.606,286.861,110.094,107,3,"TotalDistanceEfficiency",2014
13,13,"Jimmy Walker",98,2.605,304.926,117.062,71,3.147,"TotalDistanceEfficiency",2014
14,14,"Ryan Moore",86,2.604,288.972,110.989,68,3.034,"TotalDistanceEfficiency",2014
15,15,"KJ Choi",80,2.603,279.998,107.556,71,2.889,"TotalDistanceEfficiency",2014
15,15,"Geoff Ogilvy",84,2.603,296.78,114.006,71,3.035,"TotalDistanceEfficiency",2014
17,17,"Tim Clark",75,2.602,269.245,103.483,66,2.947,"TotalDistanceEfficiency",2014
18,18,"Jeff Maggert",54,2.601,273.294,105.056,45,2.916,"TotalDistanceEfficiency",2014
19,19,"Nicholas Thompson",85,2.599,288.397,110.949,71,2.894,"TotalDistanceEfficiency",2014
20,20,"Jonas Blixt",64,2.598,288.222,110.949,38,2.916,"TotalDistanceEfficiency",2014
20,20,"Tim Wilkinson",86,2.598,280.509,107.988,78,3.218,"TotalDistanceEfficiency",2014
