"ApproachesLeftRoughRTPScore_RANKTHISWEEK_2014","ApproachesLeftRoughRTPScore_RANKLASTWEEK_2014","ApproachesLeftRoughRTPScore_PLAYERNAME_2014","ApproachesLeftRoughRTPScore_ROUNDS_2014","ApproachesLeftRoughRTPScore_AVGRTP_2014","stat_name","year"
1,1,"Rory McIlroy",66,-0.131,"ApproachesLeftRoughRTPScore",2014
2,2,"Charl Schwartzel",64,-0.074,"ApproachesLeftRoughRTPScore",2014
3,3,"Bubba Watson",76,-0.059,"ApproachesLeftRoughRTPScore",2014
4,4,"Charles Howell III",106,-0.046,"ApproachesLeftRoughRTPScore",2014
5,5,"Ian Poulter",57,-0.015,"ApproachesLeftRoughRTPScore",2014
6,6,"Brooks Koepka",56,-0.012,"ApproachesLeftRoughRTPScore",2014
7,7,"Sergio Garcia",61,0,"ApproachesLeftRoughRTPScore",2014
7,7,"John Merrick",87,0,"ApproachesLeftRoughRTPScore",2014
7,7,"Adam Scott",68,0,"ApproachesLeftRoughRTPScore",2014
7,7,"Boo Weekley",73,0,"ApproachesLeftRoughRTPScore",2014
11,11,"Jimmy Walker",98,0.013,"ApproachesLeftRoughRTPScore",2014
12,12,"Ryan Palmer",85,0.022,"ApproachesLeftRoughRTPScore",2014
13,13,"Carl Pettersson",91,0.024,"ApproachesLeftRoughRTPScore",2014
14,14,"Charley Hoffman",93,0.026,"ApproachesLeftRoughRTPScore",2014
15,15,"Jason Kokrak",65,0.03,"ApproachesLeftRoughRTPScore",2014
16,16,"Dustin Johnson",58,0.035,"ApproachesLeftRoughRTPScore",2014
16,16,"Jhonattan Vegas",77,0.035,"ApproachesLeftRoughRTPScore",2014
18,18,"Charlie Wi",72,0.038,"ApproachesLeftRoughRTPScore",2014
19,19,"Brendon de Jonge",109,0.04,"ApproachesLeftRoughRTPScore",2014
20,20,"Hideki Matsuyama",82,0.045,"ApproachesLeftRoughRTPScore",2014
21,21,"Aaron Baddeley",74,0.048,"ApproachesLeftRoughRTPScore",2014
22,22,"Phil Mickelson",71,0.05,"ApproachesLeftRoughRTPScore",2014
23,23,"JJ Henry",91,0.051,"ApproachesLeftRoughRTPScore",2014
24,24,"Hudson Swafford",75,0.052,"ApproachesLeftRoughRTPScore",2014
25,25,"Jim Furyk",84,0.053,"ApproachesLeftRoughRTPScore",2014
26,26,"Heath Slocum",71,0.063,"ApproachesLeftRoughRTPScore",2014
27,27,"Zach Johnson",97,0.064,"ApproachesLeftRoughRTPScore",2014
27,27,"Marc Leishman",81,0.064,"ApproachesLeftRoughRTPScore",2014
29,29,"Matt Every",85,0.067,"ApproachesLeftRoughRTPScore",2014
30,30,"Brice Garnett",92,0.069,"ApproachesLeftRoughRTPScore",2014
31,31,"Jerry Kelly",80,0.07,"ApproachesLeftRoughRTPScore",2014
32,32,"Freddie Jacobson",91,0.072,"ApproachesLeftRoughRTPScore",2014
33,33,"Sangmoon Bae",76,0.074,"ApproachesLeftRoughRTPScore",2014
34,34,"Andres Romero",81,0.075,"ApproachesLeftRoughRTPScore",2014
34,34,"Shawn Stefani",60,0.075,"ApproachesLeftRoughRTPScore",2014
36,36,"Jason Day",54,0.076,"ApproachesLeftRoughRTPScore",2014
37,37,"Roberto Castro",76,0.078,"ApproachesLeftRoughRTPScore",2014
38,38,"Matt Kuchar",91,0.079,"ApproachesLeftRoughRTPScore",2014
39,39,"Luke Guthrie",85,0.081,"ApproachesLeftRoughRTPScore",2014
39,39,"Kevin Kisner",85,0.081,"ApproachesLeftRoughRTPScore",2014
41,41,"Brendon Todd",108,0.082,"ApproachesLeftRoughRTPScore",2014
42,42,"Ricky Barnes",92,0.084,"ApproachesLeftRoughRTPScore",2014
43,43,"Martin Flores",85,0.085,"ApproachesLeftRoughRTPScore",2014
44,44,"Patrick Reed",92,0.087,"ApproachesLeftRoughRTPScore",2014
45,45,"Chad Campbell",57,0.088,"ApproachesLeftRoughRTPScore",2014
45,45,"Lee Westwood",57,0.088,"ApproachesLeftRoughRTPScore",2014
45,45,"Will Wilcox",51,0.088,"ApproachesLeftRoughRTPScore",2014
48,48,"Brandt Snedeker",89,0.09,"ApproachesLeftRoughRTPScore",2014
49,49,"Jonathan Byrd",76,0.091,"ApproachesLeftRoughRTPScore",2014
50,50,"Martin Laird",66,0.092,"ApproachesLeftRoughRTPScore",2014
51,51,"Chris Kirk",105,0.094,"ApproachesLeftRoughRTPScore",2014
52,52,"Brian Gay",81,0.095,"ApproachesLeftRoughRTPScore",2014
53,53,"Charlie Beljan",76,0.098,"ApproachesLeftRoughRTPScore",2014
53,53,"Ben Martin",80,0.098,"ApproachesLeftRoughRTPScore",2014
53,53,"Geoff Ogilvy",84,0.098,"ApproachesLeftRoughRTPScore",2014
56,56,"Robert Streb",75,0.099,"ApproachesLeftRoughRTPScore",2014
57,57,"John Rollins",84,0.101,"ApproachesLeftRoughRTPScore",2014
58,58,"Jordan Spieth",102,0.104,"ApproachesLeftRoughRTPScore",2014
58,58,"Henrik Stenson",56,0.104,"ApproachesLeftRoughRTPScore",2014
60,60,"Jeff Overton",80,0.105,"ApproachesLeftRoughRTPScore",2014
60,60,"Josh Teater",90,0.105,"ApproachesLeftRoughRTPScore",2014
60,60,"Tim Wilkinson",86,0.105,"ApproachesLeftRoughRTPScore",2014
63,63,"Tim Clark",75,0.108,"ApproachesLeftRoughRTPScore",2014
63,63,"Troy Merritt",62,0.108,"ApproachesLeftRoughRTPScore",2014
65,65,"Robert Allenby",83,0.109,"ApproachesLeftRoughRTPScore",2014
65,65,"Angel Cabrera",69,0.109,"ApproachesLeftRoughRTPScore",2014
65,65,"Kevin Chappell",100,0.109,"ApproachesLeftRoughRTPScore",2014
68,68,"Kevin Na",94,0.11,"ApproachesLeftRoughRTPScore",2014
69,69,"Bronson La Cassie",51,0.111,"ApproachesLeftRoughRTPScore",2014
70,70,"Chris Stroud",88,0.113,"ApproachesLeftRoughRTPScore",2014
