"TotalEagles_RANKTHISWEEK_2015","TotalEagles_RANKLASTWEEK_2015","TotalEagles_PLAYERNAME_2015","TotalEagles_ROUNDS_2015","TotalEagles_TOTAL_2015","stat_name","year"
1,1,"Brooks Koepka",84,20,"TotalEagles",2015
2,2,"Justin Thomas",106,16,"TotalEagles",2015
3,3,"JB Holmes",89,15,"TotalEagles",2015
3,3,"Dustin Johnson",75,15,"TotalEagles",2015
3,3,"Bubba Watson",71,15,"TotalEagles",2015
6,6,"Matt Kuchar",97,14,"TotalEagles",2015
6,6,"Hideki Matsuyama",95,14,"TotalEagles",2015
8,8,"Steven Bowditch",103,13,"TotalEagles",2015
9,9,"Jason Day",75,12,"TotalEagles",2015
9,9,"Tony Finau",106,12,"TotalEagles",2015
9,9,"John Huh",102,12,"TotalEagles",2015
9,9,"Ryo Ishikawa",90,12,"TotalEagles",2015
9,9,"Carlos Ortiz",100,12,"TotalEagles",2015
9,9,"Jhonattan Vegas",90,12,"TotalEagles",2015
15,15,"Aaron Baddeley",76,11,"TotalEagles",2015
15,15,"Derek Fathauer",81,11,"TotalEagles",2015
15,15,"Danny Lee",120,11,"TotalEagles",2015
15,15,"Sean OHair",86,11,"TotalEagles",2015
15,15,"Jordan Spieth",91,11,"TotalEagles",2015
15,15,"Hudson Swafford",97,11,"TotalEagles",2015
21,21,"Scott Brown",97,10,"TotalEagles",2015
21,21,"Paul Casey",87,10,"TotalEagles",2015
21,21,"Erik Compton",86,10,"TotalEagles",2015
21,21,"Jason Dufner",76,10,"TotalEagles",2015
21,21,"Rickie Fowler",76,10,"TotalEagles",2015
21,21,"Chesson Hadley",101,10,"TotalEagles",2015
21,21,"JJ Henry",94,10,"TotalEagles",2015
21,21,"Morgan Hoffmann",85,10,"TotalEagles",2015
21,21,"Charles Howell III",105,10,"TotalEagles",2015
21,21,"Scott Piercy",90,10,"TotalEagles",2015
21,21,"Scott Pinckney",88,10,"TotalEagles",2015
21,21,"Shawn Stefani",94,10,"TotalEagles",2015
21,21,"Steve Wheatcroft",87,10,"TotalEagles",2015
34,34,"Kevin Chappell",86,9,"TotalEagles",2015
34,34,"Harris English",105,9,"TotalEagles",2015
