"ConsecutiveFairwaysHit_RANKTHISWEEK_2011","ConsecutiveFairwaysHit_RANKLASTWEEK_2011","ConsecutiveFairwaysHit_PLAYERNAME_2011","ConsecutiveFairwaysHit_EVENTS_2011","ConsecutiveFairwaysHit_BESTSTREAK_2011","ConsecutiveFairwaysHit_CURRENTSTREAK_2011","stat_name","year"
1,1,"John Merrick",21,36,3,"ConsecutiveFairwaysHit",2011
2,2,"Michael Connell",26,33,1,"ConsecutiveFairwaysHit",2011
3,3,"David Toms",23,30,3,"ConsecutiveFairwaysHit",2011
4,4,"Freddie Jacobson",25,29,1,"ConsecutiveFairwaysHit",2011
5,5,"Michael Letzig",13,28,2,"ConsecutiveFairwaysHit",2011
5,5,"Omar Uresti",5,28,9,"ConsecutiveFairwaysHit",2011
7,7,"Brian Gay",26,27,2,"ConsecutiveFairwaysHit",2011
7,7,"Jerry Kelly",26,27,3,"ConsecutiveFairwaysHit",2011
7,7,"Heath Slocum",29,27,2,"ConsecutiveFairwaysHit",2011
10,10,"Kirk Triplett",8,26,9,"ConsecutiveFairwaysHit",2011
11,11,"John Senden",26,25,NA,"ConsecutiveFairwaysHit",2011
12,12,"Craig Bowden",4,24,3,"ConsecutiveFairwaysHit",2011
12,12,"Nathan Green",26,24,1,"ConsecutiveFairwaysHit",2011
12,12,"Zach Johnson",23,24,2,"ConsecutiveFairwaysHit",2011
12,12,"Nick OHern",29,24,8,"ConsecutiveFairwaysHit",2011
12,12,"Kyle Stanley",28,24,NA,"ConsecutiveFairwaysHit",2011
12,12,"Brendan Steele",27,24,2,"ConsecutiveFairwaysHit",2011
18,18,"Ben Curtis",23,23,3,"ConsecutiveFairwaysHit",2011
18,18,"Martin Laird",23,23,NA,"ConsecutiveFairwaysHit",2011
18,18,"Spencer Levin",31,23,NA,"ConsecutiveFairwaysHit",2011
18,18,"Bubba Watson",22,23,3,"ConsecutiveFairwaysHit",2011
22,22,"Stephen Ames",22,22,1,"ConsecutiveFairwaysHit",2011
22,22,"Alex Cejka",21,22,1,"ConsecutiveFairwaysHit",2011
22,22,"Chris DiMarco",31,22,2,"ConsecutiveFairwaysHit",2011
22,22,"Joe Durant",25,22,1,"ConsecutiveFairwaysHit",2011
22,22,"Bryce Molder",27,22,3,"ConsecutiveFairwaysHit",2011
22,22,"John Rollins",27,22,8,"ConsecutiveFairwaysHit",2011
22,22,"Jhonattan Vegas",25,22,NA,"ConsecutiveFairwaysHit",2011
29,29,"Brendon de Jonge",30,21,7,"ConsecutiveFairwaysHit",2011
29,29,"Gregory Havret",3,21,3,"ConsecutiveFairwaysHit",2011
29,29,"David Hearn",26,21,NA,"ConsecutiveFairwaysHit",2011
29,29,"Sung Kang",21,21,NA,"ConsecutiveFairwaysHit",2011
29,29,"Jesper Parnevik",10,21,1,"ConsecutiveFairwaysHit",2011
29,29,"DA Points",26,21,4,"ConsecutiveFairwaysHit",2011
29,29,"Chez Reavie",27,21,1,"ConsecutiveFairwaysHit",2011
29,29,"Alexandre Rocha",22,21,4,"ConsecutiveFairwaysHit",2011
29,29,"Kevin Stadler",27,21,2,"ConsecutiveFairwaysHit",2011
38,38,"Brian Davis",30,20,NA,"ConsecutiveFairwaysHit",2011
38,38,"Luke Donald",19,20,NA,"ConsecutiveFairwaysHit",2011
38,38,"Paul Goydos",25,20,NA,"ConsecutiveFairwaysHit",2011
38,38,"Billy Horschel",25,20,NA,"ConsecutiveFairwaysHit",2011
38,38,"Jose Maria Olazabal",6,20,NA,"ConsecutiveFairwaysHit",2011
38,38,"Kevin Streelman",26,20,1,"ConsecutiveFairwaysHit",2011
