"ConsecutiveFairwaysHit_RANKTHISWEEK_2013","ConsecutiveFairwaysHit_RANKLASTWEEK_2013","ConsecutiveFairwaysHit_PLAYERNAME_2013","ConsecutiveFairwaysHit_EVENTS_2013","ConsecutiveFairwaysHit_BESTSTREAK_2013","ConsecutiveFairwaysHit_CURRENTSTREAK_2013","stat_name","year"
1,1,"Ryan Moore",22,40,3,"ConsecutiveFairwaysHit",2013
2,2,"Jim Furyk",22,32,NA,"ConsecutiveFairwaysHit",2013
3,3,"Joe Durant",7,31,6,"ConsecutiveFairwaysHit",2013
4,4,"Doug LaBelle II",23,28,3,"ConsecutiveFairwaysHit",2013
5,5,"Ken Duke",28,27,3,"ConsecutiveFairwaysHit",2013
5,5,"Jerry Kelly",22,27,4,"ConsecutiveFairwaysHit",2013
7,7,"Russell Knox",11,25,7,"ConsecutiveFairwaysHit",2013
8,8,"Jon Curran",3,24,3,"ConsecutiveFairwaysHit",2013
8,8,"JJ Henry",26,24,3,"ConsecutiveFairwaysHit",2013
10,10,"George McNeill",21,23,2,"ConsecutiveFairwaysHit",2013
11,11,"Ricky Barnes",26,22,3,"ConsecutiveFairwaysHit",2013
11,11,"Brian Gay",24,22,6,"ConsecutiveFairwaysHit",2013
11,11,"Justin Rose",17,22,9,"ConsecutiveFairwaysHit",2013
11,11,"Robert Streb",25,22,NA,"ConsecutiveFairwaysHit",2013
15,15,"Stuart Appleby",25,21,1,"ConsecutiveFairwaysHit",2013
15,15,"Graham DeLaet",26,21,2,"ConsecutiveFairwaysHit",2013
15,15,"Justin Leonard",24,21,13,"ConsecutiveFairwaysHit",2013
15,15,"David Lingmerth",23,21,NA,"ConsecutiveFairwaysHit",2013
15,15,"Daniel Summerhays",26,21,5,"ConsecutiveFairwaysHit",2013
20,20,"Keegan Bradley",25,20,NA,"ConsecutiveFairwaysHit",2013
20,20,"Ryuji Imada",7,20,1,"ConsecutiveFairwaysHit",2013
20,20,"Zach Johnson",24,20,2,"ConsecutiveFairwaysHit",2013
20,20,"Steve LeBrun",21,20,NA,"ConsecutiveFairwaysHit",2013
20,20,"Jeff Maggert",21,20,1,"ConsecutiveFairwaysHit",2013
20,20,"Jin Park",20,20,6,"ConsecutiveFairwaysHit",2013
20,20,"Heath Slocum",9,20,NA,"ConsecutiveFairwaysHit",2013
20,20,"Jordan Spieth",23,20,1,"ConsecutiveFairwaysHit",2013
20,20,"Brian Stuard",25,20,NA,"ConsecutiveFairwaysHit",2013
20,20,"Cameron Tringale",24,20,1,"ConsecutiveFairwaysHit",2013
20,20,"YE Yang",19,20,3,"ConsecutiveFairwaysHit",2013
31,31,"Brendon de Jonge",30,19,7,"ConsecutiveFairwaysHit",2013
31,31,"Bill Haas",25,19,NA,"ConsecutiveFairwaysHit",2013
31,31,"Justin Hicks",25,19,2,"ConsecutiveFairwaysHit",2013
31,31,"Billy Horschel",26,19,3,"ConsecutiveFairwaysHit",2013
31,31,"Dicky Pride",23,19,NA,"ConsecutiveFairwaysHit",2013
31,31,"Kevin Streelman",25,19,NA,"ConsecutiveFairwaysHit",2013
31,31,"Vaughn Taylor",16,19,4,"ConsecutiveFairwaysHit",2013
38,38,"Roberto Castro",29,18,NA,"ConsecutiveFairwaysHit",2013
38,38,"Matt Kuchar",23,18,2,"ConsecutiveFairwaysHit",2013
38,38,"Marc Leishman",23,18,NA,"ConsecutiveFairwaysHit",2013
38,38,"Nick OHern",10,18,13,"ConsecutiveFairwaysHit",2013
38,38,"Steve Stricker",13,18,NA,"ConsecutiveFairwaysHit",2013
38,38,"Josh Teater",24,18,2,"ConsecutiveFairwaysHit",2013
38,38,"Nicholas Thompson",29,18,1,"ConsecutiveFairwaysHit",2013
38,38,"David Toms",16,18,1,"ConsecutiveFairwaysHit",2013
38,38,"Bo Van Pelt",22,18,2,"ConsecutiveFairwaysHit",2013
47,47,"Joe Affrunti",5,17,NA,"ConsecutiveFairwaysHit",2013
47,47,"Ben Curtis",20,17,NA,"ConsecutiveFairwaysHit",2013
47,47,"Brian Davis",28,17,NA,"ConsecutiveFairwaysHit",2013
47,47,"Ross Fisher",15,17,8,"ConsecutiveFairwaysHit",2013
47,47,"Rickie Fowler",22,17,1,"ConsecutiveFairwaysHit",2013
47,47,"Brian Harman",29,17,1,"ConsecutiveFairwaysHit",2013
47,47,"Ben Kohles",25,17,1,"ConsecutiveFairwaysHit",2013
47,47,"Richard Lee",24,17,2,"ConsecutiveFairwaysHit",2013
47,47,"Bill Lunde",10,17,4,"ConsecutiveFairwaysHit",2013
47,47,"William McGirt",24,17,NA,"ConsecutiveFairwaysHit",2013
47,47,"Greg Owen",24,17,2,"ConsecutiveFairwaysHit",2013
47,47,"Kevin Stadler",25,17,3,"ConsecutiveFairwaysHit",2013
47,47,"Boo Weekley",27,17,NA,"ConsecutiveFairwaysHit",2013
47,47,"Charlie Wi",23,17,2,"ConsecutiveFairwaysHit",2013
47,47,"Mark Wilson",19,17,4,"ConsecutiveFairwaysHit",2013
62,62,"Thomas Bjorn",4,16,NA,"ConsecutiveFairwaysHit",2013
62,62,"Gary Christian",10,16,5,"ConsecutiveFairwaysHit",2013
62,62,"Chris DiMarco",11,16,NA,"ConsecutiveFairwaysHit",2013
62,62,"Jason Dufner",22,16,NA,"ConsecutiveFairwaysHit",2013
62,62,"Bob Estes",18,16,6,"ConsecutiveFairwaysHit",2013
62,62,"Tom Gillis",22,16,2,"ConsecutiveFairwaysHit",2013
62,62,"David Hearn",26,16,1,"ConsecutiveFairwaysHit",2013
62,62,"Russell Henley",24,16,3,"ConsecutiveFairwaysHit",2013
62,62,"John Huh",28,16,2,"ConsecutiveFairwaysHit",2013
62,62,"Michael Kim",2,16,9,"ConsecutiveFairwaysHit",2013
62,62,"David Lynn",22,16,8,"ConsecutiveFairwaysHit",2013
62,62,"David Mathis",24,16,NA,"ConsecutiveFairwaysHit",2013
62,62,"Graeme McDowell",16,16,4,"ConsecutiveFairwaysHit",2013
62,62,"Thorbjorn Olesen",11,16,2,"ConsecutiveFairwaysHit",2013
62,62,"Patrick Reed",26,16,4,"ConsecutiveFairwaysHit",2013
62,62,"John Senden",25,16,NA,"ConsecutiveFairwaysHit",2013
62,62,"Webb Simpson",25,16,4,"ConsecutiveFairwaysHit",2013
