"Percentageofpotentialmoneywon_RANKTHISWEEK_2016","Percentageofpotentialmoneywon_RANKLASTWEEK_2016","Percentageofpotentialmoneywon_PLAYERNAME_2016","Percentageofpotentialmoneywon_EVENTS_2016","Percentageofpotentialmoneywon_Pct_2016","Percentageofpotentialmoneywon_OFFICIALMONEYWON_2016","Percentageofpotentialmoneywon_POTENTIALMONEY_2016","stat_name","year"
152,154,"Victor Dubuisson",3,3.11,156500,5040000,"Percentageofpotentialmoneywon",2016
152,136,"Martin Kaymer",6,3.11,275009,8852000,"Percentageofpotentialmoneywon",2016
154,155,"Justin Leonard",8,3.08,274044,8910000,"Percentageofpotentialmoneywon",2016
155,156,"Jordan Zunic",1,3.07,49750,1620000,"Percentageofpotentialmoneywon",2016
156,150,"Scott Stallings",17,3.03,558714,18414000,"Percentageofpotentialmoneywon",2016
157,179,"John Senden",15,3.01,521639,17316000,"Percentageofpotentialmoneywon",2016
158,145,"Chad Campbell",18,3,618706,20592000,"Percentageofpotentialmoneywon",2016
158,222,"Tim Wilkinson",11,3,348319,11628000,"Percentageofpotentialmoneywon",2016
160,158,"Kristoffer Broberg",1,2.99,48500,1620000,"Percentageofpotentialmoneywon",2016
161,161,"DJ Trahan",7,2.96,209353,7074000,"Percentageofpotentialmoneywon",2016
161,161,"Danie van Tonder",1,2.96,41375,1400000,"Percentageofpotentialmoneywon",2016
163,143,"Steve Marino",14,2.95,446393,15156000,"Percentageofpotentialmoneywon",2016
164,164,"Yi Cao",1,2.93,41000,1400000,"Percentageofpotentialmoneywon",2016
164,157,"Colt Knost",15,2.93,503944,17226000,"Percentageofpotentialmoneywon",2016
166,165,"Thongchai Jaidee",6,2.92,240386,8222000,"Percentageofpotentialmoneywon",2016
166,153,"Ian Poulter",10,2.92,347156,11876000,"Percentageofpotentialmoneywon",2016
168,166,"Steven Jeffress",1,2.91,40750,1400000,"Percentageofpotentialmoneywon",2016
169,168,"Marc Warren",1,2.88,40375,1400000,"Percentageofpotentialmoneywon",2016
170,170,"Trey Mullinax",2,2.81,49635,1764000,"Percentageofpotentialmoneywon",2016
171,172,"Gregory Bourdy",1,2.8,15112,540000,"Percentageofpotentialmoneywon",2016
