"ScoringAverage_RANKTHISWEEK_2008","ScoringAverage_RANKLASTWEEK_2008","ScoringAverage_PLAYERNAME_2008","ScoringAverage_ROUNDS_2008","ScoringAverage_AVG_2008","ScoringAverage_TOTALSTROKES_2008","ScoringAverage_TOTALADJUSTMENT_2008","ScoringAverage_TOTALROUNDS_2008","stat_name","year"
1,1,"Sergio Garcia",72,69.117,4942,NA,70,"ScoringAverage",2008
2,2,"Phil Mickelson",80,69.167,5482,NA,78,"ScoringAverage",2008
3,3,"Padraig Harrington",52,69.277,3535,NA,50,"ScoringAverage",2008
4,4,"Anthony Kim",81,69.279,5688,NA,81,"ScoringAverage",2008
5,5,"Camilo Villegas",79,69.49,5507,NA,78,"ScoringAverage",2008
6,6,"Vijay Singh",82,69.58,5481,NA,78,"ScoringAverage",2008
7,7,"Jim Furyk",95,69.694,6633,NA,94,"ScoringAverage",2008
8,8,"Stuart Appleby",87,69.726,5952,NA,84,"ScoringAverage",2008
9,9,"Robert Allenby",108,69.728,7558,NA,107,"ScoringAverage",2008
10,10,"Justin Leonard",101,69.772,6689,NA,95,"ScoringAverage",2008
11,11,"Kenny Perry",97,69.826,6810,NA,97,"ScoringAverage",2008
12,12,"Ernie Els",51,69.898,3572,NA,50,"ScoringAverage",2008
13,13,"Steve Stricker",75,69.976,5100,NA,72,"ScoringAverage",2008
14,14,"Ben Curtis",80,69.981,5677,NA,80,"ScoringAverage",2008
15,15,"Stephen Ames",83,69.988,5795,NA,82,"ScoringAverage",2008
16,16,"Brian Gay",102,70.015,7151,NA,102,"ScoringAverage",2008
17,17,"Stewart Cink",87,70.019,5723,NA,81,"ScoringAverage",2008
18,18,"Chad Campbell",94,70.04,6615,NA,94,"ScoringAverage",2008
19,19,"Adam Scott",51,70.06,3501,NA,49,"ScoringAverage",2008
20,20,"Kevin Sutherland",98,70.067,6882,NA,98,"ScoringAverage",2008
21,21,"Steve Marino",119,70.071,8364,NA,119,"ScoringAverage",2008
22,22,"Pat Perez",93,70.08,6504,NA,92,"ScoringAverage",2008
23,23,"Mike Weir",88,70.144,6149,NA,87,"ScoringAverage",2008
24,24,"Ben Crane",86,70.155,6053,NA,86,"ScoringAverage",2008
25,25,"Hunter Mahan",87,70.171,6016,NA,85,"ScoringAverage",2008
26,26,"Briny Baird",113,70.187,7960,NA,113,"ScoringAverage",2008
