"RoughProximity_RANKTHISWEEK_2012","RoughProximity_RANKLASTWEEK_2012","RoughProximity_PLAYERNAME_2012","RoughProximity_ROUNDS_2012","RoughProximity_AVG_2012","RoughProximity_TOTALDISTANCEINCHES_2012","RoughProximity_ATTEMPTS_2012","RoughProximity_TOTALDISTANCEFEET_2012","RoughProximity_RELATIVETOPAR_2012","stat_name","year"
1,1,"Charlie Beljan",61,NA,77162,179,6430.167,4,"RoughProximity",2012
2,2,"Dustin Johnson",70,NA,105451,232,8787.583,3,"RoughProximity",2012
3,3,"Angel Cabrera",54,NA,66078,142,5506.5,9,"RoughProximity",2012
4,4,"Garth Mulroy",59,NA,78739,167,6561.583,10,"RoughProximity",2012
5,5,"Troy Kelly",68,NA,104722,222,8726.833,27,"RoughProximity",2012
6,6,"Boo Weekley",74,NA,87420,184,7285,15,"RoughProximity",2012
7,7,"Louis Oosthuizen",65,NA,82330,173,6860.833,9,"RoughProximity",2012
7,7,"Bubba Watson",68,NA,105175,221,8764.583,-8,"RoughProximity",2012
9,9,"Jonathan Byrd",69,NA,110081,231,9173.417,22,"RoughProximity",2012
9,9,"Roland Thatcher",55,NA,67741,142,5645.083,26,"RoughProximity",2012
11,11,"Webb Simpson",77,NA,125118,259,10426.5,-10,"RoughProximity",2012
11,11,"Josh Teater",97,NA,148308,307,12359,37,"RoughProximity",2012
11,11,"Bo Van Pelt",84,NA,103899,215,8658.25,12,"RoughProximity",2012
14,14,"Jonas Blixt",72,NA,127846,264,10653.833,20,"RoughProximity",2012
15,15,"Kyle Stanley",86,NA,139425,287,11618.75,9,"RoughProximity",2012
16,16,"Charl Schwartzel",56,NA,66418,136,5534.833,5,"RoughProximity",2012
16,16,"Kyle Thompson",51,NA,67305,138,5608.75,21,"RoughProximity",2012
18,18,"Jason Dufner",83,NA,101556,207,8463,25,"RoughProximity",2012
18,18,"Greg Owen",90,NA,147226,300,12268.833,37,"RoughProximity",2012
20,20,"Vijay Singh",99,NA,147987,301,12332.25,33,"RoughProximity",2012
21,21,"Daniel Chopra",55,NA,104656,212,8721.333,22,"RoughProximity",2012
22,22,"Gavin Coles",72,NA,98358,198,8196.5,26,"RoughProximity",2012
22,22,"Carl Pettersson",92,NA,145651,293,12137.583,42,"RoughProximity",2012
22,22,"Steve Stricker",73,NA,87408,176,7284,0,"RoughProximity",2012
25,25,"Robert Allenby",76,NA,121111,243,10092.583,67,"RoughProximity",2012
26,26,"Ben Curtis",62,NA,79857,160,6654.75,21,"RoughProximity",2012
26,26,"Graeme McDowell",55,NA,52870,106,4405.833,19,"RoughProximity",2012
28,28,"Bud Cauley",99,NA,159055,318,13254.583,25,"RoughProximity",2012
29,29,"Rory McIlroy",60,NA,95725,191,7977.083,4,"RoughProximity",2012
30,30,"Kyle Reifers",86,NA,126891,253,10574.25,28,"RoughProximity",2012
30,30,"Heath Slocum",93,NA,97322,194,8110.167,46,"RoughProximity",2012
32,32,"Geoff Ogilvy",73,NA,105115,209,8759.583,35,"RoughProximity",2012
32,32,"David Toms",60,NA,63358,126,5279.833,6,"RoughProximity",2012
34,34,"Keegan Bradley",90,NA,128030,254,10669.167,21,"RoughProximity",2012
34,34,"Chris DiMarco",83,NA,113305,225,9442.083,44,"RoughProximity",2012
34,34,"Tim Herron",88,NA,144596,287,12049.667,38,"RoughProximity",2012
34,34,"Bill Lunde",83,NA,129055,256,10754.583,25,"RoughProximity",2012
38,38,"Ricky Barnes",92,NA,165796,328,13816.333,61,"RoughProximity",2012
38,38,"Chris Couch",61,NA,86859,172,7238.25,9,"RoughProximity",2012
38,38,"John Mallinger",74,NA,99900,198,8325,47,"RoughProximity",2012
41,41,"Hunter Mahan",88,NA,105254,208,8771.167,26,"RoughProximity",2012
42,42,"Miguel Angel Carballo",73,NA,114683,226,9556.917,46,"RoughProximity",2012
42,42,"John Daly",50,NA,83119,164,6926.583,27,"RoughProximity",2012
42,42,"Trevor Immelman",76,NA,113585,224,9465.417,29,"RoughProximity",2012
45,45,"Ben Crane",73,NA,106445,209,8870.417,-12,"RoughProximity",2012
45,45,"Daniel Summerhays",81,NA,125677,247,10473.083,47,"RoughProximity",2012
47,47,"Charley Hoffman",88,NA,135688,266,11307.333,48,"RoughProximity",2012
47,47,"Brendan Steele",77,NA,113766,223,9480.5,31,"RoughProximity",2012
47,47,"Charlie Wi",86,NA,137567,270,11463.917,43,"RoughProximity",2012
50,50,"Danny Lee",74,NA,116058,227,9671.5,10,"RoughProximity",2012
50,50,"Chez Reavie",83,NA,95553,187,7962.75,41,"RoughProximity",2012
52,52,"Cameron Beckman",81,NA,128037,250,10669.75,42,"RoughProximity",2012
52,52,"Scott Brown",65,NA,89613,175,7467.75,31,"RoughProximity",2012
52,52,"Ernie Els",80,NA,137651,269,11470.917,21,"RoughProximity",2012
55,55,"Tommy Biershenk",74,NA,114852,224,9571,55,"RoughProximity",2012
55,55,"Russell Knox",72,NA,87677,171,7306.417,15,"RoughProximity",2012
55,55,"Scott Piercy",95,NA,181614,354,15134.5,30,"RoughProximity",2012
55,55,"Scott Stallings",78,NA,142056,277,11838,27,"RoughProximity",2012
55,55,"Vaughn Taylor",81,NA,120457,235,10038.083,44,"RoughProximity",2012
60,60,"Martin Flores",95,NA,182628,355,15219,38,"RoughProximity",2012
60,60,"Padraig Harrington",67,NA,88860,173,7405,14,"RoughProximity",2012
60,60,"Seung Yul Noh",105,NA,168609,328,14050.75,16,"RoughProximity",2012
63,63,"DJ Trahan",73,NA,112349,218,9362.417,36,"RoughProximity",2012
64,64,"Brian Harman",101,NA,146609,284,12217.417,57,"RoughProximity",2012
64,64,"Ryo Ishikawa",54,NA,88178,171,7348.167,22,"RoughProximity",2012
64,64,"Kevin Kisner",69,NA,103149,200,8595.75,32,"RoughProximity",2012
64,64,"Chris Stroud",86,NA,126905,246,10575.417,27,"RoughProximity",2012
64,64,"Steve Wheatcroft",56,NA,85654,166,7137.833,29,"RoughProximity",2012
69,69,"Billy Horschel",63,NA,82441,159,6870.083,20,"RoughProximity",2012
70,70,"Marco Dawson",60,NA,96590,186,8049.167,35,"RoughProximity",2012
71,71,"Stephen Ames",54,NA,79540,153,6628.333,29,"RoughProximity",2012
72,72,"Davis Love III",64,NA,109858,211,9154.833,11,"RoughProximity",2012
72,72,"William McGirt",96,NA,155200,298,12933.333,23,"RoughProximity",2012
74,74,"Nathan Green",73,NA,115300,221,9608.333,29,"RoughProximity",2012
74,74,"Kevin Stadler",85,NA,119127,228,9927.25,36,"RoughProximity",2012
76,76,"Tim Clark",60,NA,72639,139,6053.25,24,"RoughProximity",2012
76,76,"Bill Haas",79,NA,110779,212,9231.583,27,"RoughProximity",2012
76,76,"David Mathis",83,NA,128013,245,10667.75,42,"RoughProximity",2012
76,76,"Jeff Overton",101,NA,187079,358,15589.917,39,"RoughProximity",2012
80,80,"Ken Duke",104,NA,160766,307,13397.167,40,"RoughProximity",2012
80,80,"Scott Dunlap",57,NA,81207,155,6767.25,20,"RoughProximity",2012
80,80,"Stephen Gangluff",57,NA,103198,197,8599.833,52,"RoughProximity",2012
80,80,"John Merrick",83,NA,134575,257,11214.583,35,"RoughProximity",2012
84,84,"Harrison Frazar",56,NA,107150,204,8929.167,46,"RoughProximity",2012
85,85,"Stuart Appleby",75,NA,113380,215,9448.333,34,"RoughProximity",2012
85,85,"Kris Blanks",65,NA,101677,193,8473.083,34,"RoughProximity",2012
85,85,"Jason Kokrak",79,NA,163321,310,13610.083,29,"RoughProximity",2012
85,85,"Justin Rose",69,NA,96002,182,8000.167,2,"RoughProximity",2012
89,89,"Matt Bettencourt",80,NA,143222,271,11935.167,65,"RoughProximity",2012
90,90,"Tommy Gainey",98,NA,193520,366,16126.667,69,"RoughProximity",2012
90,90,"JB Holmes",90,NA,184734,349,15394.5,28,"RoughProximity",2012
90,90,"Phil Mickelson",79,NA,132291,250,11024.25,10,"RoughProximity",2012
90,90,"Nick Watney",97,NA,154509,292,12875.75,34,"RoughProximity",2012
94,94,"Tom Pernice Jr",62,NA,102520,193,8543.333,38,"RoughProximity",2012
95,95,"Michael Thompson",80,NA,123999,233,10333.25,37,"RoughProximity",2012
96,96,"Chad Campbell",84,NA,142877,268,11906.417,50,"RoughProximity",2012
96,96,"Nick OHern",78,NA,127302,239,10608.5,60,"RoughProximity",2012
96,96,"DA Points",88,NA,151336,284,12611.333,9,"RoughProximity",2012
96,96,"Dicky Pride",62,NA,91181,171,7598.417,33,"RoughProximity",2012
96,96,"Mark Wilson",84,NA,99652,187,8304.333,18,"RoughProximity",2012
101,101,"Matt Every",80,NA,118533,222,9877.75,11,"RoughProximity",2012
101,101,"Alexandre Rocha",62,NA,90194,169,7516.167,29,"RoughProximity",2012
101,101,"Rory Sabbatini",84,NA,150052,281,12504.333,50,"RoughProximity",2012
101,101,"Johnson Wagner",88,NA,155375,291,12947.917,36,"RoughProximity",2012
105,105,"Mark Anderson",75,NA,142949,267,11912.417,34,"RoughProximity",2012
105,105,"Aaron Baddeley",73,NA,124040,232,10336.667,20,"RoughProximity",2012
105,105,"Robert Garrigus",89,NA,165329,309,13777.417,17,"RoughProximity",2012
105,105,"John Rollins",81,NA,137443,257,11453.583,35,"RoughProximity",2012
109,109,"Brendon de Jonge",115,NA,186635,348,15552.917,36,"RoughProximity",2012
109,109,"JJ Henry",93,NA,122165,228,10180.417,49,"RoughProximity",2012
109,109,"Freddie Jacobson",61,NA,88508,165,7375.667,31,"RoughProximity",2012
109,109,"Martin Laird",77,NA,112030,209,9335.833,26,"RoughProximity",2012
113,113,"Luke Donald",63,NA,89636,167,7469.667,5,"RoughProximity",2012
113,113,"Jhonattan Vegas",77,NA,167528,312,13960.667,44,"RoughProximity",2012
115,115,"Graham DeLaet",79,NA,144001,267,12000.083,22,"RoughProximity",2012
115,115,"Troy Matteson",100,NA,203727,378,16977.25,48,"RoughProximity",2012
117,117,"John Huh",99,NA,137757,255,11479.75,28,"RoughProximity",2012
117,117,"Bryce Molder",83,NA,138286,256,11523.833,28,"RoughProximity",2012
117,117,"Kevin Na",80,NA,112815,209,9401.25,18,"RoughProximity",2012
120,120,"Michael Bradley",63,NA,133093,246,11091.083,47,"RoughProximity",2012
120,120,"Erik Compton",81,NA,141295,261,11774.583,37,"RoughProximity",2012
120,120,"Matt Kuchar",86,NA,120626,223,10052.167,26,"RoughProximity",2012
123,123,"Mathew Goggin",65,NA,127079,234,10589.917,31,"RoughProximity",2012
123,123,"Brandt Jobe",57,NA,81454,150,6787.833,16,"RoughProximity",2012
123,123,"Sung Kang",75,NA,135121,249,11260.083,52,"RoughProximity",2012
123,123,"Jeff Maggert",83,NA,124266,229,10355.5,42,"RoughProximity",2012
127,127,"Marc Leishman",84,NA,182174,335,15181.167,49,"RoughProximity",2012
127,127,"Ted Potter Jr",77,NA,119146,219,9928.833,28,"RoughProximity",2012
127,127,"Patrick Sheehan",58,NA,97868,180,8155.667,29,"RoughProximity",2012
130,130,"Stewart Cink",71,NA,131987,242,10998.917,27,"RoughProximity",2012
130,130,"Ian Poulter",57,NA,59948,110,4995.667,5,"RoughProximity",2012
132,132,"Charles Howell III",98,NA,179118,328,14926.5,22,"RoughProximity",2012
132,132,"Billy Hurley III",70,NA,119645,219,9970.417,56,"RoughProximity",2012
132,132,"Cameron Tringale",88,NA,131618,241,10968.167,44,"RoughProximity",2012
135,135,"Brandt Snedeker",81,NA,125204,229,10433.667,38,"RoughProximity",2012
136,136,"Brian Davis",91,NA,128345,234,10695.417,36,"RoughProximity",2012
136,136,"Jim Furyk",85,NA,107434,196,8952.833,10,"RoughProximity",2012
138,138,"Rocco Mediate",70,NA,123007,224,10250.583,46,"RoughProximity",2012
138,138,"Ryan Palmer",81,NA,155349,283,12945.75,40,"RoughProximity",2012
140,140,"Will Claxton",99,NA,156683,285,13056.917,38,"RoughProximity",2012
140,140,"Bobby Gates",87,NA,163438,297,13619.833,43,"RoughProximity",2012
140,140,"David Hearn",95,NA,163865,298,13655.417,45,"RoughProximity",2012
143,143,"Camilo Villegas",79,NA,143336,260,11944.667,54,"RoughProximity",2012
143,143,"Lee Westwood",60,NA,84903,154,7075.25,15,"RoughProximity",2012
145,145,"Jason Day",57,NA,120393,218,10032.75,7,"RoughProximity",2012
145,145,"Hunter Haas",69,NA,113727,206,9477.25,28,"RoughProximity",2012
147,147,"JJ Killeen",101,NA,195678,354,16306.5,47,"RoughProximity",2012
147,147,"Chris Kirk",93,NA,181841,329,15153.417,36,"RoughProximity",2012
149,149,"Harris English",98,NA,176596,319,14716.333,55,"RoughProximity",2012
150,150,"Brian Gay",91,NA,138705,250,11558.75,40,"RoughProximity",2012
150,150,"Sean OHair",84,NA,160984,290,13415.333,55,"RoughProximity",2012
150,150,"Pat Perez",81,NA,130885,236,10907.083,21,"RoughProximity",2012
150,150,"Andres Romero",68,NA,117127,211,9760.583,26,"RoughProximity",2012
154,154,"Roberto Castro",92,NA,139104,250,11592,31,"RoughProximity",2012
155,155,"Justin Leonard",79,NA,139265,250,11605.417,44,"RoughProximity",2012
156,156,"Arjun Atwal",79,NA,139934,251,11661.167,61,"RoughProximity",2012
156,156,"Zach Johnson",95,NA,127878,229,10656.5,33,"RoughProximity",2012
156,156,"Rod Pampling",88,NA,124477,223,10373.083,50,"RoughProximity",2012
156,156,"Brendon Todd",78,NA,135143,242,11261.917,46,"RoughProximity",2012
160,160,"Billy Mayfair",90,NA,146579,262,12214.917,34,"RoughProximity",2012
