"FairwayBunkerTendency_RANKTHISWEEK_2010","FairwayBunkerTendency_RANKLASTWEEK_2010","FairwayBunkerTendency_PLAYERNAME_2010","FairwayBunkerTendency_ROUNDS_2010","FairwayBunkerTendency_Pct_2010","FairwayBunkerTendency_TOTALFAIRWAYBUNKERS_2010","FairwayBunkerTendency_POSSIBLEFWYS_2010","FairwayBunkerTendency_RELATIVETOPAR_2010","stat_name","year"
1,1,"Dean Wilson",54,2.8,18,650,0.111,"FairwayBunkerTendency",2010
2,2,"Jay Williamson",76,3.4,29,845,0.31,"FairwayBunkerTendency",2010
3,3,"Briny Baird",87,3.5,38,1086,0.184,"FairwayBunkerTendency",2010
4,4,"Chad Campbell",95,3.7,42,1124,0.048,"FairwayBunkerTendency",2010
5,5,"Jeff Quinney",91,3.8,42,1104,0.381,"FairwayBunkerTendency",2010
6,6,"Richard Johnson",90,3.9,39,1012,0.513,"FairwayBunkerTendency",2010
6,6,"Omar Uresti",74,3.9,33,846,0.364,"FairwayBunkerTendency",2010
8,8,"Cliff Kresge",50,4,25,621,0.24,"FairwayBunkerTendency",2010
8,8,"Justin Leonard",89,4,40,1001,0.325,"FairwayBunkerTendency",2010
10,10,"Craig Bowden",56,4.1,27,665,0.296,"FairwayBunkerTendency",2010
10,10,"Paul Stankowski",62,4.1,30,733,0.333,"FairwayBunkerTendency",2010
12,12,"Joe Durant",67,4.2,33,789,0.364,"FairwayBunkerTendency",2010
13,13,"Jason Bohn",84,4.3,44,1013,0.273,"FairwayBunkerTendency",2010
13,13,"Graham DeLaet",88,4.3,45,1043,0.267,"FairwayBunkerTendency",2010
13,13,"Jim Furyk",76,4.3,36,833,0.333,"FairwayBunkerTendency",2010
13,13,"Mark Wilson",87,4.3,47,1100,0.128,"FairwayBunkerTendency",2010
17,17,"Chris DiMarco",88,4.4,47,1071,0.17,"FairwayBunkerTendency",2010
17,17,"Luke Donald",71,4.4,32,725,0.281,"FairwayBunkerTendency",2010
17,17,"Vaughn Taylor",87,4.4,48,1091,0.125,"FairwayBunkerTendency",2010
