"RightTendency_RANKTHISWEEK_2014","RightTendency_RANKLASTWEEK_2014","RightTendency_PLAYERNAME_2014","RightTendency_EVENTS_2014","RightTendency_Pct_2014","RightTendency_NUMBEROFTIMES_2014","RightTendency_ATTEMPTS_2014","RightTendency_AVGRTPSCORE_2014","stat_name","year"
1,1,"Robert Allenby",29,36.2,130,359,1.92,"RightTendency",2014
2,2,"Matt Every",26,41.3,149,361,1.61,"RightTendency",2014
2,2,"Graeme McDowell",17,41.3,81,196,1.48,"RightTendency",2014
2,2,"Tyrone Van Aswegen",25,41.3,164,397,2.62,"RightTendency",2014
5,5,"Davis Love III",22,41.6,144,346,1.18,"RightTendency",2014
6,6,"Chesson Hadley",29,41.9,169,403,2.07,"RightTendency",2014
7,7,"Billy Hurley III",26,42.1,122,290,1.07,"RightTendency",2014
8,8,"John Merrick",25,42.5,131,308,2.37,"RightTendency",2014
9,9,"Graham DeLaet",24,42.6,141,331,0.85,"RightTendency",2014
9,9,"Danny Lee",28,42.6,138,324,1.74,"RightTendency",2014
11,11,"Brandt Snedeker",25,43,136,316,1.4,"RightTendency",2014
12,12,"Billy Horschel",27,43.3,133,307,2.86,"RightTendency",2014
13,13,"Spencer Levin",20,43.5,108,248,1.48,"RightTendency",2014
13,13,"Shawn Stefani",17,43.5,121,278,1.57,"RightTendency",2014
15,15,"Bo Van Pelt",25,43.7,145,332,2.14,"RightTendency",2014
16,16,"Luke Donald",17,43.9,98,223,1.73,"RightTendency",2014
16,16,"Henrik Stenson",15,43.9,65,148,0.92,"RightTendency",2014
18,18,"Robert Streb",21,44,150,341,0.93,"RightTendency",2014
19,19,"Steven Bowditch",30,44.2,206,466,2.23,"RightTendency",2014
20,20,"Brian Davis",28,44.3,158,357,0.89,"RightTendency",2014
21,21,"Phil Mickelson",21,44.6,123,276,0,"RightTendency",2014
22,22,"Kevin Stadler",26,45,136,302,1.25,"RightTendency",2014
23,23,"Louis Oosthuizen",16,45.2,71,157,2.25,"RightTendency",2014
24,24,"Jim Renner",25,45.3,140,309,3.5,"RightTendency",2014
25,25,"Michael Thompson",22,45.5,142,312,1.76,"RightTendency",2014
25,25,"Johnson Wagner",24,45.5,151,332,2.72,"RightTendency",2014
27,27,"DA Points",27,45.6,130,285,2.31,"RightTendency",2014
28,28,"Martin Laird",20,45.9,130,283,2.77,"RightTendency",2014
29,29,"Camilo Villegas",29,46.2,206,446,2.18,"RightTendency",2014
30,30,"Webb Simpson",25,46.3,171,369,1.4,"RightTendency",2014
31,31,"Andrew Svoboda",24,46.4,142,306,1.55,"RightTendency",2014
32,32,"Rory McIlroy",17,46.6,117,251,1.11,"RightTendency",2014
33,33,"JB Holmes",24,46.7,203,435,1.28,"RightTendency",2014
33,33,"Matt Kuchar",24,46.7,156,334,1.09,"RightTendency",2014
35,35,"Woody Austin",22,46.8,141,301,3.19,"RightTendency",2014
35,35,"Jason Bohn",25,46.8,162,346,1.36,"RightTendency",2014
37,37,"JJ Henry",28,46.9,177,377,2.09,"RightTendency",2014
37,37,"Heath Slocum",23,46.9,107,228,2.06,"RightTendency",2014
39,39,"Brian Harman",32,47,254,540,1.38,"RightTendency",2014
40,40,"Stewart Cink",25,47.1,189,401,1.06,"RightTendency",2014
41,41,"Erik Compton",28,47.2,191,405,1.41,"RightTendency",2014
41,41,"Andres Romero",26,47.2,195,413,1.69,"RightTendency",2014
43,43,"Briny Baird",17,47.3,105,222,1.81,"RightTendency",2014
43,43,"Cameron Tringale",31,47.3,220,465,1.64,"RightTendency",2014
45,45,"Bronson La Cassie",18,47.5,96,202,1.25,"RightTendency",2014
45,45,"John Peterson",25,47.5,126,265,1.75,"RightTendency",2014
47,47,"Paul Casey",16,47.7,115,241,0.78,"RightTendency",2014
48,48,"Zach Johnson",26,47.8,164,343,2.01,"RightTendency",2014
49,49,"Ben Martin",26,48,144,300,1.94,"RightTendency",2014
50,50,"Chad Campbell",18,48.1,112,233,2.05,"RightTendency",2014
50,50,"Brendon de Jonge",31,48.1,191,397,2.57,"RightTendency",2014
52,52,"Roberto Castro",27,48.3,143,296,1.75,"RightTendency",2014
52,52,"Sean OHair",25,48.3,195,404,1.85,"RightTendency",2014
52,52,"YE Yang",28,48.3,139,288,1.29,"RightTendency",2014
55,55,"Keegan Bradley",26,48.4,164,339,0.67,"RightTendency",2014
55,55,"Brian Stuard",29,48.4,166,343,0.6,"RightTendency",2014
55,55,"Daniel Summerhays",27,48.4,193,399,0.36,"RightTendency",2014
58,58,"Jeff Maggert",19,48.5,97,200,1.34,"RightTendency",2014
59,59,"Ryan Moore",24,48.6,123,253,0.98,"RightTendency",2014
60,60,"Ricky Barnes",27,48.7,233,478,1.46,"RightTendency",2014
60,60,"Bud Cauley",19,48.7,129,265,1.47,"RightTendency",2014
62,62,"Robert Garrigus",25,48.8,197,404,2.08,"RightTendency",2014
63,63,"Scott Brown",30,48.9,183,374,1.75,"RightTendency",2014
63,63,"Lucas Glover",26,48.9,112,229,2.95,"RightTendency",2014
65,65,"Jason Kokrak",19,49,173,353,0.52,"RightTendency",2014
66,66,"Luke Guthrie",26,49.1,207,422,1.59,"RightTendency",2014
66,66,"William McGirt",29,49.1,191,389,1.1,"RightTendency",2014
68,68,"Nicholas Thompson",30,49.2,153,311,2.35,"RightTendency",2014
69,69,"Russell Henley",29,49.3,175,355,1.2,"RightTendency",2014
69,69,"David Lingmerth",26,49.3,176,357,0.97,"RightTendency",2014
71,71,"Harris English",28,49.5,195,394,1.33,"RightTendency",2014
71,71,"Brian Gay",26,49.5,162,327,1.36,"RightTendency",2014
73,73,"Justin Leonard",22,49.7,156,314,3.14,"RightTendency",2014
73,73,"Ryan Palmer",23,49.7,181,364,0.88,"RightTendency",2014
73,73,"Michael Putnam",30,49.7,230,463,2.7,"RightTendency",2014
76,76,"Justin Hicks",30,49.8,165,331,0.73,"RightTendency",2014
77,77,"Scott Stallings",28,49.9,180,361,1.44,"RightTendency",2014
78,78,"Will Ma Kenzie",27,50,177,354,1.58,"RightTendency",2014
78,78,"Chris Stroud",25,50,178,356,1.97,"RightTendency",2014
80,80,"Charles Howell III",29,50.2,303,604,1.25,"RightTendency",2014
81,81,"Jerry Kelly",23,50.3,155,308,2.13,"RightTendency",2014
81,81,"Kevin Na",27,50.3,185,368,0.81,"RightTendency",2014
81,81,"Jeff Overton",24,50.3,188,374,2.23,"RightTendency",2014
84,84,"James Driscoll",25,50.4,189,375,1.64,"RightTendency",2014
84,84,"Brooks Koepka",16,50.4,122,242,0.74,"RightTendency",2014
86,86,"Hudson Swafford",26,50.5,146,289,3.22,"RightTendency",2014
87,87,"Angel Cabrera",23,50.6,167,330,0.48,"RightTendency",2014
88,88,"Morgan Hoffmann",32,50.7,277,546,1.88,"RightTendency",2014
89,89,"Stuart Appleby",29,50.8,227,447,1.1,"RightTendency",2014
89,89,"Chris Kirk",28,50.8,226,445,1.37,"RightTendency",2014
89,89,"Jhonattan Vegas",23,50.8,166,327,1.45,"RightTendency",2014
89,89,"Jimmy Walker",27,50.8,234,461,1.03,"RightTendency",2014
93,93,"Brendon Todd",29,50.9,226,444,1.5,"RightTendency",2014
93,93,"Will Wilcox",16,50.9,112,220,2.59,"RightTendency",2014
95,95,"Sergio Garcia",16,51,103,202,-0.19,"RightTendency",2014
95,95,"Seung Yul Noh",27,51,224,439,1.47,"RightTendency",2014
95,95,"Geoff Ogilvy",26,51,208,408,1.11,"RightTendency",2014
98,98,"Ryo Ishikawa",24,51.1,205,401,2.1,"RightTendency",2014
98,98,"Brendan Steele",26,51.1,201,393,1.44,"RightTendency",2014
100,100,"Retief Goosen",26,51.2,240,469,1.67,"RightTendency",2014
101,101,"John Senden",27,51.3,200,390,2.15,"RightTendency",2014
102,102,"DH Lee",20,51.4,109,212,2.66,"RightTendency",2014
102,102,"Bubba Watson",21,51.4,148,288,1.15,"RightTendency",2014
104,104,"John Huh",28,51.5,159,309,1.95,"RightTendency",2014
104,104,"Wes Roach",22,51.5,140,272,2.36,"RightTendency",2014
106,106,"Kevin Chappell",28,51.6,204,395,1.91,"RightTendency",2014
107,107,"Pat Perez",25,51.8,204,394,1.57,"RightTendency",2014
107,107,"Carl Pettersson",28,51.8,240,463,1.79,"RightTendency",2014
109,109,"Jonathan Byrd",24,51.9,174,335,1.21,"RightTendency",2014
109,109,"Tommy Gainey",26,51.9,176,339,1.48,"RightTendency",2014
109,109,"Bill Haas",28,51.9,209,403,1.63,"RightTendency",2014
112,112,"Ben Curtis",24,52,157,302,2.48,"RightTendency",2014
113,113,"Boo Weekley",24,52.1,126,242,1.43,"RightTendency",2014
114,114,"Ken Duke",25,52.2,141,270,1.49,"RightTendency",2014
114,114,"Richard Lee",27,52.2,168,322,2.02,"RightTendency",2014
114,114,"Jordan Spieth",27,52.2,230,441,1.57,"RightTendency",2014
114,114,"Kevin Streelman",24,52.2,132,253,2.42,"RightTendency",2014
118,118,"Charlie Beljan",26,52.4,194,370,2.47,"RightTendency",2014
119,119,"Jim Furyk",21,52.5,134,255,1.72,"RightTendency",2014
120,120,"KJ Choi",23,52.6,163,310,1.66,"RightTendency",2014
120,120,"Freddie Jacobson",27,52.6,231,439,0.95,"RightTendency",2014
122,122,"Dustin Johnson",17,52.7,125,237,1.2,"RightTendency",2014
122,122,"Adam Scott",17,52.7,149,283,0.54,"RightTendency",2014
122,122,"Vijay Singh",25,52.7,212,402,1.18,"RightTendency",2014
125,125,"Andrew Loupe",22,52.8,168,318,1.31,"RightTendency",2014
126,126,"Jason Day",15,53,97,183,0.93,"RightTendency",2014
127,127,"Tim Clark",26,53.4,118,221,2.54,"RightTendency",2014
127,127,"Chad Collins",28,53.4,180,337,1.94,"RightTendency",2014
129,129,"Jonas Blixt",21,53.6,134,250,1.42,"RightTendency",2014
129,129,"Jason Dufner",17,53.6,113,211,1.86,"RightTendency",2014
129,129,"Kyle Stanley",28,53.6,194,362,1.91,"RightTendency",2014
132,132,"Jim Herman",21,53.7,132,246,2.05,"RightTendency",2014
132,132,"Ted Potter Jr",24,53.7,137,255,1.39,"RightTendency",2014
134,134,"Derek Ernst",28,53.9,165,306,2.91,"RightTendency",2014
135,135,"John Rollins",28,54,197,365,1.68,"RightTendency",2014
135,135,"Gary Woodland",25,54,211,391,1.14,"RightTendency",2014
137,137,"Martin Flores",26,54.1,213,394,1.69,"RightTendency",2014
137,137,"Troy Matteson",23,54.1,158,292,2.53,"RightTendency",2014
139,139,"Patrick Reed",28,54.2,240,443,1.79,"RightTendency",2014
140,140,"Brice Garnett",28,54.3,234,431,2.39,"RightTendency",2014
140,140,"Russell Knox",26,54.3,201,370,1.79,"RightTendency",2014
142,142,"Hideki Matsuyama",24,54.5,186,341,0.91,"RightTendency",2014
143,143,"Matt Jones",25,54.6,183,335,2.08,"RightTendency",2014
144,144,"Ben Crane",25,54.7,191,349,2.72,"RightTendency",2014
144,144,"Charley Hoffman",25,54.7,225,411,0.84,"RightTendency",2014
144,144,"Lee Westwood",18,54.7,122,223,1.97,"RightTendency",2014
147,147,"Rickie Fowler",26,54.8,170,310,2.53,"RightTendency",2014
147,147,"Brad Fritsch",18,54.8,120,219,1.25,"RightTendency",2014
147,147,"Martin Kaymer",19,54.8,137,250,1.97,"RightTendency",2014
150,150,"Mike Weir",25,55.5,191,344,1.1,"RightTendency",2014
151,151,"James Hahn",27,56.1,213,380,1.88,"RightTendency",2014
152,152,"Kevin Kisner",26,56.2,203,361,2.07,"RightTendency",2014
153,153,"Kevin Tway",23,56.4,149,264,2.48,"RightTendency",2014
153,153,"Nick Watney",25,56.4,154,273,1.62,"RightTendency",2014
155,155,"Hunter Mahan",25,56.7,186,328,1.08,"RightTendency",2014
155,155,"Josh Teater",28,56.7,223,393,2.02,"RightTendency",2014
157,157,"Ian Poulter",17,56.9,123,216,2.93,"RightTendency",2014
158,158,"David Hearn",28,57.3,204,356,2.06,"RightTendency",2014
158,158,"Justin Rose",19,57.3,169,295,0,"RightTendency",2014
160,160,"Rory Sabbatini",26,57.5,231,402,1.17,"RightTendency",2014
161,161,"Ernie Els",24,57.7,222,385,1.58,"RightTendency",2014
162,162,"Tim Wilkinson",25,57.8,234,405,0.9,"RightTendency",2014
163,163,"Gonzalo Fdez Castano",25,57.9,216,373,2.13,"RightTendency",2014
164,164,"Charl Schwartzel",18,58.1,168,289,1.43,"RightTendency",2014
165,165,"Sangmoon Bae",24,58.5,196,335,1.07,"RightTendency",2014
166,166,"Charlie Wi",25,58.9,216,367,1.81,"RightTendency",2014
167,167,"David Toms",20,59.3,112,189,1.61,"RightTendency",2014
168,168,"Troy Merritt",20,59.6,167,280,3.89,"RightTendency",2014
169,169,"Mark Wilson",25,59.8,155,259,2.65,"RightTendency",2014
170,170,"Marc Leishman",24,59.9,224,374,1.61,"RightTendency",2014
171,171,"Greg Chalmers",27,60.1,246,409,1.42,"RightTendency",2014
172,172,"Trevor Immelman",28,60.4,223,369,1.57,"RightTendency",2014
173,173,"Scott Langley",29,61.2,257,420,1.36,"RightTendency",2014
174,174,"Jamie Lovemark",20,61.8,175,283,1.26,"RightTendency",2014
175,175,"Aaron Baddeley",24,63,220,349,1.55,"RightTendency",2014
176,176,"George McNeill",24,63.7,221,347,1.27,"RightTendency",2014
177,177,"Bryce Molder",25,68,242,356,2.48,"RightTendency",2014
