"ProximitytoHolefromRough_RANKTHISWEEK_2013","ProximitytoHolefromRough_RANKLASTWEEK_2013","ProximitytoHolefromRough_PLAYERNAME_2013","ProximitytoHolefromRough_ROUNDS_2013","ProximitytoHolefromRough_AVGDTP_2013","ProximitytoHolefromRough_TOTALDISTANCEFEET_2013","ProximitytoHolefromRough_OFSHOTS_2013","ProximitytoHolefromRough_SCRAMBLINGRANK_2013","stat_name","year"
1,1,"Steve Stricker",51,NA,425.667,81,2,"ProximitytoHolefromRough",2013
2,2,"Sergio Garcia",65,NA,657.417,105,99,"ProximitytoHolefromRough",2013
2,2,"Ian Poulter",59,NA,650.083,104,25,"ProximitytoHolefromRough",2013
4,4,"DH Lee",65,NA,800,124,89,"ProximitytoHolefromRough",2013
5,5,"Peter Hanson",45,NA,753.417,116,82,"ProximitytoHolefromRough",2013
6,6,"Jonas Blixt",76,NA,1313.75,199,24,"ProximitytoHolefromRough",2013
6,6,"Josh Teater",86,NA,824.833,125,157,"ProximitytoHolefromRough",2013
8,8,"Robert Karlsson",56,NA,728.167,109,100,"ProximitytoHolefromRough",2013
8,8,"Darron Stiles",51,NA,682.5,102,29,"ProximitytoHolefromRough",2013
10,10,"Michael Bradley",56,NA,571.667,85,166,"ProximitytoHolefromRough",2013
10,10,"Zach Johnson",84,NA,1143.5,170,54,"ProximitytoHolefromRough",2013
10,10,"Justin Leonard",86,NA,1242,183,72,"ProximitytoHolefromRough",2013
10,10,"Kevin Streelman",86,NA,1164.25,172,61,"ProximitytoHolefromRough",2013
10,10,"Mike Weir",60,NA,850.167,126,70,"ProximitytoHolefromRough",2013
15,15,"Tim Clark",64,NA,720.833,105,45,"ProximitytoHolefromRough",2013
15,15,"Jim Furyk",80,NA,892.25,130,57,"ProximitytoHolefromRough",2013
15,15,"Luke Guthrie",82,NA,1303.25,190,75,"ProximitytoHolefromRough",2013
15,15,"John Huh",88,NA,1237.25,182,62,"ProximitytoHolefromRough",2013
15,15,"Brandt Snedeker",79,NA,974,143,33,"ProximitytoHolefromRough",2013
20,20,"Luke Donald",60,NA,855.75,123,22,"ProximitytoHolefromRough",2013
20,20,"Charles Howell III",87,NA,1348.25,194,5,"ProximitytoHolefromRough",2013
20,20,"Freddie Jacobson",63,NA,814.417,118,54,"ProximitytoHolefromRough",2013
20,20,"Phil Mickelson",78,NA,1090.667,157,78,"ProximitytoHolefromRough",2013
24,24,"Stuart Appleby",88,NA,1313,188,4,"ProximitytoHolefromRough",2013
24,24,"Scott Brown",65,NA,994,142,130,"ProximitytoHolefromRough",2013
24,24,"Morgan Hoffmann",64,NA,1049.333,150,85,"ProximitytoHolefromRough",2013
24,24,"Matt Kuchar",93,NA,1164.083,167,12,"ProximitytoHolefromRough",2013
24,24,"Doug LaBelle II",72,NA,879.667,126,123,"ProximitytoHolefromRough",2013
24,24,"David Lynn",70,NA,1244.75,178,38,"ProximitytoHolefromRough",2013
24,24,"Geoff Ogilvy",57,NA,855.25,122,132,"ProximitytoHolefromRough",2013
24,24,"Jeff Overton",78,NA,1177.417,169,66,"ProximitytoHolefromRough",2013
24,24,"Carl Pettersson",82,NA,1114.167,160,147,"ProximitytoHolefromRough",2013
24,24,"Scott Piercy",78,NA,1191.75,171,161,"ProximitytoHolefromRough",2013
24,24,"Tiger Woods",61,NA,753.083,107,46,"ProximitytoHolefromRough",2013
35,35,"James Driscoll",76,NA,1153.667,163,53,"ProximitytoHolefromRough",2013
35,35,"Bob Estes",66,NA,860.083,122,1,"ProximitytoHolefromRough",2013
37,37,"Roberto Castro",97,NA,1381.083,193,26,"ProximitytoHolefromRough",2013
37,37,"Hunter Mahan",91,NA,1097.167,153,73,"ProximitytoHolefromRough",2013
37,37,"DA Points",87,NA,1346.583,188,129,"ProximitytoHolefromRough",2013
37,37,"Lee Williams",62,NA,822.5,115,7,"ProximitytoHolefromRough",2013
41,41,"Chris Kirk",89,NA,1286.917,178,3,"ProximitytoHolefromRough",2013
41,41,"Rory McIlroy",56,NA,886,122,145,"ProximitytoHolefromRough",2013
41,41,"Rory Sabbatini",86,NA,1324.333,182,91,"ProximitytoHolefromRough",2013
41,41,"Webb Simpson",92,NA,1490.083,206,86,"ProximitytoHolefromRough",2013
41,41,"Camilo Villegas",79,NA,1049.5,145,123,"ProximitytoHolefromRough",2013
46,46,"Keegan Bradley",88,NA,1320,181,32,"ProximitytoHolefromRough",2013
46,46,"Jason Day",86,NA,1393.083,191,27,"ProximitytoHolefromRough",2013
46,46,"Matt Every",89,NA,1312.25,178,113,"ProximitytoHolefromRough",2013
46,46,"Jerry Kelly",75,NA,970.75,132,14,"ProximitytoHolefromRough",2013
46,46,"John Merrick",79,NA,1224.833,167,115,"ProximitytoHolefromRough",2013
46,46,"Seung Yul Noh",71,NA,1238.5,168,158,"ProximitytoHolefromRough",2013
46,46,"Rod Pampling",46,NA,620.083,85,127,"ProximitytoHolefromRough",2013
46,46,"Cameron Tringale",80,NA,1434.333,195,20,"ProximitytoHolefromRough",2013
46,46,"Bo Van Pelt",72,NA,981.917,134,159,"ProximitytoHolefromRough",2013
