"Puttingfrom48_RANKTHISWEEK_2016","Puttingfrom48_RANKLASTWEEK_2016","Puttingfrom48_PLAYERNAME_2016","Puttingfrom48_ROUNDS_2016","Puttingfrom48_PctMADE_2016","Puttingfrom48_ATTEMPTS_2016","Puttingfrom48_PUTTSMADE_2016","stat_name","year"
1,1,"Brendon Todd",43,80.13,151,121,"Puttingfrom48",2016
2,5,"Russell Henley",42,78.26,161,126,"Puttingfrom48",2016
2,17,"Phil Mickelson",37,78.26,115,90,"Puttingfrom48",2016
4,7,"Aaron Baddeley",51,77.93,145,113,"Puttingfrom48",2016
5,10,"Jimmy Walker",43,77.08,144,111,"Puttingfrom48",2016
6,4,"Colt Knost",56,77.01,174,134,"Puttingfrom48",2016
7,23,"Harris English",51,76.69,133,102,"Puttingfrom48",2016
8,3,"Martin Piller",37,76.64,107,82,"Puttingfrom48",2016
9,8,"Kelly Kraft",35,76.54,81,62,"Puttingfrom48",2016
10,19,"DH Lee",35,76.36,110,84,"Puttingfrom48",2016
11,13,"Freddie Jacobson",54,76.06,142,108,"Puttingfrom48",2016
12,12,"Jonas Blixt",46,76.03,146,111,"Puttingfrom48",2016
13,9,"Stuart Appleby",39,75.86,174,132,"Puttingfrom48",2016
13,15,"Matthew Fitzpatrick",23,75.86,58,44,"Puttingfrom48",2016
15,18,"Billy Hurley III",22,75.36,69,52,"Puttingfrom48",2016
16,22,"Peter Malnati",53,75.14,177,133,"Puttingfrom48",2016
17,31,"Thomas Aiken",42,75,92,69,"Puttingfrom48",2016
17,2,"Byeong Hun An",23,75,52,39,"Puttingfrom48",2016
17,23,"Brice Garnett",29,75,64,48,"Puttingfrom48",2016
17,21,"Emiliano Grillo",47,75,152,114,"Puttingfrom48",2016
17,23,"Andy Sullivan",25,75,64,48,"Puttingfrom48",2016
22,43,"Ben Martin",48,74.69,162,121,"Puttingfrom48",2016
23,27,"Troy Merritt",41,74.63,134,100,"Puttingfrom48",2016
24,23,"Jhonattan Vegas",49,74.53,161,120,"Puttingfrom48",2016
25,34,"Andrew Loupe",50,74.48,192,143,"Puttingfrom48",2016
26,37,"Daniel Summerhays",55,74.21,159,118,"Puttingfrom48",2016
27,30,"Steve Stricker",25,74.16,89,66,"Puttingfrom48",2016
28,32,"Andres Romero",22,73.97,73,54,"Puttingfrom48",2016
29,36,"Sung Kang",51,73.8,187,138,"Puttingfrom48",2016
30,28,"Ricky Barnes",57,73.78,164,121,"Puttingfrom48",2016
31,6,"Ollie Schniederjans",23,73.61,72,53,"Puttingfrom48",2016
32,52,"Scott Stallings",46,73.53,170,125,"Puttingfrom48",2016
33,33,"Jamie Donaldson",28,73.47,98,72,"Puttingfrom48",2016
34,38,"Brian Gay",22,73.42,79,58,"Puttingfrom48",2016
35,75,"Steve Wheatcroft",53,73.3,191,140,"Puttingfrom48",2016
36,41,"Wes Roach",33,73.26,86,63,"Puttingfrom48",2016
37,42,"Jon Curran",55,73.25,157,115,"Puttingfrom48",2016
38,16,"Rickie Fowler",42,73.21,112,82,"Puttingfrom48",2016
39,63,"Blayne Barber",44,73.08,156,114,"Puttingfrom48",2016
40,39,"Kevin Streelman",46,73.04,115,84,"Puttingfrom48",2016
41,81,"Camilo Villegas",50,72.99,174,127,"Puttingfrom48",2016
42,11,"Anirban Lahiri",44,72.8,125,91,"Puttingfrom48",2016
43,19,"Jamie Lovemark",57,72.69,216,157,"Puttingfrom48",2016
44,45,"Marc Leishman",41,72.63,95,69,"Puttingfrom48",2016
45,47,"Dustin Johnson",37,72.62,84,61,"Puttingfrom48",2016
46,29,"Whee Kim",54,72.57,175,127,"Puttingfrom48",2016
47,45,"Zac Blair",56,72.43,185,134,"Puttingfrom48",2016
48,44,"Mark Hubbard",73,72.41,232,168,"Puttingfrom48",2016
49,14,"Daniel Berger",52,72.39,163,118,"Puttingfrom48",2016
50,62,"Adam Hadwin",53,72.38,210,152,"Puttingfrom48",2016
51,60,"Brian Harman",60,72.22,198,143,"Puttingfrom48",2016
51,54,"Bryce Molder",50,72.22,144,104,"Puttingfrom48",2016
53,56,"KJ Choi",47,72.15,158,114,"Puttingfrom48",2016
54,50,"Johnson Wagner",44,72,125,90,"Puttingfrom48",2016
55,35,"Ian Poulter",37,71.84,103,74,"Puttingfrom48",2016
56,101,"Hunter Mahan",43,71.81,149,107,"Puttingfrom48",2016
56,110,"John Senden",48,71.81,149,107,"Puttingfrom48",2016
58,61,"John Huh",51,71.75,177,127,"Puttingfrom48",2016
59,66,"Rhein Gibson",36,71.67,120,86,"Puttingfrom48",2016
60,49,"Gary Woodland",45,71.63,141,101,"Puttingfrom48",2016
61,40,"Chesson Hadley",51,71.43,147,105,"Puttingfrom48",2016
61,69,"Andrew Landry",24,71.43,56,40,"Puttingfrom48",2016
63,72,"Hudson Swafford",52,71.34,157,112,"Puttingfrom48",2016
64,54,"Davis Love III",40,71.32,136,97,"Puttingfrom48",2016
64,73,"Brandt Snedeker",47,71.32,136,97,"Puttingfrom48",2016
66,68,"Erik Compton",45,71.23,146,104,"Puttingfrom48",2016
67,52,"Morgan Hoffmann",43,71.15,156,111,"Puttingfrom48",2016
68,58,"Cameron Tringale",47,71.1,173,123,"Puttingfrom48",2016
69,51,"Geoff Ogilvy",37,71.07,121,86,"Puttingfrom48",2016
70,59,"Derek Fathauer",58,71.05,152,108,"Puttingfrom48",2016
70,99,"Tom Hoge",47,71.05,152,108,"Puttingfrom48",2016
72,76,"Jason Day",36,71,100,71,"Puttingfrom48",2016
73,83,"Tyrone Van Aswegen",67,70.8,226,160,"Puttingfrom48",2016
74,67,"Brian Stuard",24,70.67,75,53,"Puttingfrom48",2016
75,63,"Ryan Moore",40,70.64,109,77,"Puttingfrom48",2016
76,74,"Michael Kim",62,70.48,210,148,"Puttingfrom48",2016
77,89,"Branden Grace",31,70.27,74,52,"Puttingfrom48",2016
78,71,"Charles Howell III",63,70.26,195,137,"Puttingfrom48",2016
79,77,"Ben Crane",48,70.25,158,111,"Puttingfrom48",2016
80,80,"Chad Collins",45,70.24,168,118,"Puttingfrom48",2016
81,82,"Dawie van der Walt",48,70.23,131,92,"Puttingfrom48",2016
82,101,"Kevin Kisner",49,70.15,134,94,"Puttingfrom48",2016
83,65,"Tyler Aldridge",53,70.06,177,124,"Puttingfrom48",2016
84,85,"Retief Goosen",37,69.85,136,95,"Puttingfrom48",2016
84,100,"Martin Laird",46,69.85,136,95,"Puttingfrom48",2016
86,91,"Kevin Chappell",49,69.83,179,125,"Puttingfrom48",2016
87,86,"Scott Pinckney",53,69.81,159,111,"Puttingfrom48",2016
88,95,"David Lingmerth",54,69.74,152,106,"Puttingfrom48",2016
89,77,"Jason Kokrak",52,69.66,178,124,"Puttingfrom48",2016
90,48,"Alex Cejka",47,69.6,125,87,"Puttingfrom48",2016
91,90,"Jason Gore",51,69.59,148,103,"Puttingfrom48",2016
92,69,"Will Wilcox",47,69.57,184,128,"Puttingfrom48",2016
93,97,"Chris Kirk",51,69.51,164,114,"Puttingfrom48",2016
94,77,"David Toms",38,69.5,141,98,"Puttingfrom48",2016
95,141,"Roberto Castro",55,69.4,183,127,"Puttingfrom48",2016
95,105,"William McGirt",54,69.4,183,127,"Puttingfrom48",2016
97,108,"Angel Cabrera",42,69.35,124,86,"Puttingfrom48",2016
98,87,"Shane Lowry",35,69.33,75,52,"Puttingfrom48",2016
98,117,"Brendan Steele",48,69.33,163,113,"Puttingfrom48",2016
100,57,"Sean OHair",45,69.31,189,131,"Puttingfrom48",2016
101,103,"Billy Horschel",45,69.28,166,115,"Puttingfrom48",2016
102,104,"Russell Knox",48,69.23,104,72,"Puttingfrom48",2016
103,121,"JB Holmes",39,69.12,136,94,"Puttingfrom48",2016
104,106,"Ryan Palmer",46,69.1,178,123,"Puttingfrom48",2016
105,96,"Jeff Overton",51,69.07,194,134,"Puttingfrom48",2016
106,107,"Charl Schwartzel",29,69.05,84,58,"Puttingfrom48",2016
107,112,"Cameron Smith",45,68.81,109,75,"Puttingfrom48",2016
108,84,"Patton Kizzire",57,68.72,179,123,"Puttingfrom48",2016
108,109,"Chez Reavie",56,68.72,195,134,"Puttingfrom48",2016
110,92,"Adam Scott",39,68.69,99,68,"Puttingfrom48",2016
111,113,"Matt Kuchar",46,68.55,124,85,"Puttingfrom48",2016
112,116,"Scott Piercy",45,68.47,111,76,"Puttingfrom48",2016
112,88,"Sam Saunders",40,68.47,111,76,"Puttingfrom48",2016
114,129,"Jason Bohn",37,68.38,136,93,"Puttingfrom48",2016
115,143,"Fabian Gomez",49,68.18,176,120,"Puttingfrom48",2016
115,137,"Jim Herman",55,68.18,154,105,"Puttingfrom48",2016
115,139,"Hiroshi Iwata",51,68.18,154,105,"Puttingfrom48",2016
115,119,"Brooks Koepka",39,68.18,132,90,"Puttingfrom48",2016
119,120,"Louis Oosthuizen",25,68.09,47,32,"Puttingfrom48",2016
120,114,"Justin Hicks",26,68.04,97,66,"Puttingfrom48",2016
121,124,"Seung Yul Noh",54,67.93,184,125,"Puttingfrom48",2016
122,125,"Carl Pettersson",31,67.86,112,76,"Puttingfrom48",2016
123,138,"Tony Finau",49,67.79,149,101,"Puttingfrom48",2016
124,94,"Derek Ernst",36,67.78,90,61,"Puttingfrom48",2016
125,93,"Vijay Singh",42,67.76,152,103,"Puttingfrom48",2016
126,122,"Luke List",51,67.74,155,105,"Puttingfrom48",2016
127,128,"Graeme McDowell",33,67.71,96,65,"Puttingfrom48",2016
128,98,"Padraig Harrington",38,67.61,142,96,"Puttingfrom48",2016
128,118,"Patrick Rodgers",49,67.61,176,119,"Puttingfrom48",2016
130,135,"Jerry Kelly",44,67.5,120,81,"Puttingfrom48",2016
131,136,"Zach Johnson",42,67.46,126,85,"Puttingfrom48",2016
132,151,"Kyle Reifers",63,67.21,183,123,"Puttingfrom48",2016
133,141,"Shane Bertsch",30,67.07,82,55,"Puttingfrom48",2016
134,152,"Patrick Reed",53,66.96,115,77,"Puttingfrom48",2016
135,156,"Steven Bowditch",40,66.93,127,85,"Puttingfrom48",2016
135,148,"Ernie Els",34,66.93,127,85,"Puttingfrom48",2016
137,154,"Scott Brown",59,66.88,157,105,"Puttingfrom48",2016
137,147,"Danny Lee",53,66.88,160,107,"Puttingfrom48",2016
139,130,"Nick Taylor",57,66.84,187,125,"Puttingfrom48",2016
140,145,"Stewart Cink",45,66.67,117,78,"Puttingfrom48",2016
140,126,"Brendon de Jonge",55,66.67,156,104,"Puttingfrom48",2016
140,127,"Carlos Ortiz",47,66.67,141,94,"Puttingfrom48",2016
143,140,"Will Ma Kenzie",54,66.46,161,107,"Puttingfrom48",2016
143,134,"Justin Thomas",53,66.46,164,109,"Puttingfrom48",2016
145,144,"Brett Stegmaier",57,66.34,205,136,"Puttingfrom48",2016
146,123,"Rory McIlroy",37,66.33,98,65,"Puttingfrom48",2016
147,168,"David Hearn",55,66.28,172,114,"Puttingfrom48",2016
148,133,"Si Woo Kim",63,66.09,230,152,"Puttingfrom48",2016
149,149,"Henrik Norlander",41,66.04,106,70,"Puttingfrom48",2016
150,153,"Spencer Levin",62,65.99,197,130,"Puttingfrom48",2016
151,175,"Vaughn Taylor",30,65.71,105,69,"Puttingfrom48",2016
152,169,"Andres Gonzales",46,65.63,128,84,"Puttingfrom48",2016
153,155,"Kyle Stanley",57,65.61,189,124,"Puttingfrom48",2016
154,158,"Francesco Molinari",36,65.6,125,82,"Puttingfrom48",2016
155,115,"Justin Rose",35,65.49,113,74,"Puttingfrom48",2016
156,157,"Miguel Angel Carballo",24,65.45,55,36,"Puttingfrom48",2016
157,183,"Bill Haas",42,65.25,118,77,"Puttingfrom48",2016
157,131,"Webb Simpson",34,65.25,118,77,"Puttingfrom48",2016
157,160,"Tim Wilkinson",40,65.25,118,77,"Puttingfrom48",2016
160,145,"Graham DeLaet",50,65.24,164,107,"Puttingfrom48",2016
161,159,"Charley Hoffman",49,65,160,104,"Puttingfrom48",2016
162,161,"Dicky Pride",33,64.91,114,74,"Puttingfrom48",2016
163,162,"Jason Dufner",53,64.9,151,98,"Puttingfrom48",2016
164,166,"JJ Henry",44,64.81,162,105,"Puttingfrom48",2016
164,111,"Michael Thompson",46,64.81,108,70,"Puttingfrom48",2016
166,164,"Abraham Ancer",26,64.71,68,44,"Puttingfrom48",2016
167,165,"Darron Stiles",28,64.62,65,42,"Puttingfrom48",2016
168,170,"Bronson Burgoon",53,64.56,158,102,"Puttingfrom48",2016
169,175,"Robert Allenby",35,64.55,110,71,"Puttingfrom48",2016
170,150,"Steve Marino",40,64.49,138,89,"Puttingfrom48",2016
170,178,"Shawn Stefani",45,64.49,138,89,"Puttingfrom48",2016
172,171,"Sergio Garcia",28,63.93,61,39,"Puttingfrom48",2016
173,172,"Smylie Kaufman",57,63.86,166,106,"Puttingfrom48",2016
173,172,"Justin Leonard",28,63.86,83,53,"Puttingfrom48",2016
175,184,"Harold Varner III",58,63.8,221,141,"Puttingfrom48",2016
176,175,"Jordan Spieth",34,63.64,77,49,"Puttingfrom48",2016
177,189,"James Hahn",45,63.48,178,113,"Puttingfrom48",2016
178,188,"Luke Donald",49,63.33,120,76,"Puttingfrom48",2016
178,181,"Luke Guthrie",31,63.33,90,57,"Puttingfrom48",2016
180,179,"Mark Wilson",42,63.28,128,81,"Puttingfrom48",2016
181,182,"Chris Stroud",52,62.57,171,107,"Puttingfrom48",2016
182,167,"Lucas Glover",53,62.5,184,115,"Puttingfrom48",2016
182,180,"Henrik Stenson",30,62.5,72,45,"Puttingfrom48",2016
184,174,"Matt Every",34,62.3,122,76,"Puttingfrom48",2016
185,186,"Bernd Wiesberger",23,62.26,53,33,"Puttingfrom48",2016
186,191,"Scott Langley",41,62.07,116,72,"Puttingfrom48",2016
186,187,"Rory Sabbatini",40,62.07,145,90,"Puttingfrom48",2016
188,199,"Robert Garrigus",34,61.62,99,61,"Puttingfrom48",2016
189,163,"Rob Oppenheim",37,61.54,117,72,"Puttingfrom48",2016
190,193,"Hideki Matsuyama",40,61.39,101,62,"Puttingfrom48",2016
191,190,"Bubba Watson",30,60.81,74,45,"Puttingfrom48",2016
192,194,"Boo Weekley",53,60.71,168,102,"Puttingfrom48",2016
193,192,"Kevin Na",52,60.56,142,86,"Puttingfrom48",2016
194,185,"Paul Casey",39,59.52,84,50,"Puttingfrom48",2016
195,195,"Keegan Bradley",40,59.26,108,64,"Puttingfrom48",2016
196,198,"Robert Streb",51,59.12,137,81,"Puttingfrom48",2016
197,196,"Lucas Lee",22,59.02,61,36,"Puttingfrom48",2016
198,200,"Chad Campbell",54,58.7,184,108,"Puttingfrom48",2016
199,201,"Charlie Beljan",26,58.33,84,49,"Puttingfrom48",2016
200,197,"Matt Jones",45,58.18,110,64,"Puttingfrom48",2016
201,203,"Greg Owen",56,56.9,174,99,"Puttingfrom48",2016
202,204,"Cameron Percy",22,56.86,51,29,"Puttingfrom48",2016
203,205,"George McNeill",33,55.2,125,69,"Puttingfrom48",2016
204,202,"DA Points",32,54.88,82,45,"Puttingfrom48",2016
