"PuttingRating_RANKTHISWEEK_2006","PuttingRating_RANKLASTWEEK_2006","PuttingRating_PLAYERNAME_2006","PuttingRating_EVENTS_2006","PuttingRating_RATING_2006","stat_name","year"
1,1,"Azuma Yano",1,9.1,"PuttingRating",2006
2,2,"Jason Allred",1,8.8,"PuttingRating",2006
2,2,"Chris Starkjohann",1,8.8,"PuttingRating",2006
4,4,"Ricky Barnes",1,8.7,"PuttingRating",2006
4,4,"Yasuharu Imano",1,8.7,"PuttingRating",2006
4,4,"Chris Parra",1,8.7,"PuttingRating",2006
7,7,"David Edwards",1,8.5,"PuttingRating",2006
7,7,"Andres Gonzales",1,8.5,"PuttingRating",2006
7,7,"Thongchai Jaidee",1,8.5,"PuttingRating",2006
7,7,"John Mallinger",1,8.5,"PuttingRating",2006
7,7,"Spike McRoy",1,8.5,"PuttingRating",2006
7,7,"Jyoti Randhawa",1,8.5,"PuttingRating",2006
13,13,"Alex Aragon",6,8.4,"PuttingRating",2006
13,13,"Jose Coceres",6,8.4,"PuttingRating",2006
13,13,"Ben Crenshaw",1,8.4,"PuttingRating",2006
13,13,"Jin Park",1,8.4,"PuttingRating",2006
13,13,"Steve Stricker",13,8.4,"PuttingRating",2006
18,18,"Jonathan Byrd",11,8.3,"PuttingRating",2006
18,18,"Jason Caron",1,8.3,"PuttingRating",2006
18,18,"Glen Day",3,8.3,"PuttingRating",2006
18,18,"David Frost",4,8.3,"PuttingRating",2006
18,18,"Billy Hurley III",2,8.3,"PuttingRating",2006
18,18,"Rod Pampling",16,8.3,"PuttingRating",2006
18,18,"Craig Perks",1,8.3,"PuttingRating",2006
18,18,"Tom Pernice Jr",18,8.3,"PuttingRating",2006
18,18,"Vaughn Taylor",17,8.3,"PuttingRating",2006
18,18,"Lee Westwood",5,8.3,"PuttingRating",2006
28,28,"Michael Allen",16,8.2,"PuttingRating",2006
28,28,"Aaron Baddeley",13,8.2,"PuttingRating",2006
28,28,"Michael Campbell",3,8.2,"PuttingRating",2006
28,28,"Greg Chalmers",5,8.2,"PuttingRating",2006
28,28,"Daniel Chopra",19,8.2,"PuttingRating",2006
28,28,"Stewart Cink",17,8.2,"PuttingRating",2006
28,28,"Gavin Coles",3,8.2,"PuttingRating",2006
28,28,"Ben Crane",15,8.2,"PuttingRating",2006
28,28,"Brad Faxon",13,8.2,"PuttingRating",2006
28,28,"Todd Fischer",16,8.2,"PuttingRating",2006
28,28,"Brian Gay",22,8.2,"PuttingRating",2006
28,28,"Jay Haas",3,8.2,"PuttingRating",2006
28,28,"Todd Hamilton",7,8.2,"PuttingRating",2006
28,28,"Yusaku Miyazato",1,8.2,"PuttingRating",2006
28,28,"Scott Piercy",4,8.2,"PuttingRating",2006
28,28,"Chris Riley",13,8.2,"PuttingRating",2006
44,44,"Tommy Armour III",8,8.1,"PuttingRating",2006
44,44,"Eric Axley",15,8.1,"PuttingRating",2006
44,44,"Doug Barron",10,8.1,"PuttingRating",2006
44,44,"Thomas Bjorn",3,8.1,"PuttingRating",2006
44,44,"Marco Dawson",15,8.1,"PuttingRating",2006
44,44,"Luke Donald",11,8.1,"PuttingRating",2006
44,44,"Harrison Frazar",15,8.1,"PuttingRating",2006
44,44,"Jim Furyk",17,8.1,"PuttingRating",2006
44,44,"JP Hayes",8,8.1,"PuttingRating",2006
44,44,"Brian Henninger",6,8.1,"PuttingRating",2006
44,44,"Gabriel Hjertstedt",6,8.1,"PuttingRating",2006
44,44,"Franklin Langham",1,8.1,"PuttingRating",2006
44,44,"Stephen Leaney",14,8.1,"PuttingRating",2006
44,44,"Shigeki Maruyama",17,8.1,"PuttingRating",2006
44,44,"Parker McLachlin",2,8.1,"PuttingRating",2006
44,44,"Joe Ogilvie",16,8.1,"PuttingRating",2006
44,44,"Louis Oosthuizen",1,8.1,"PuttingRating",2006
44,44,"Jesper Parnevik",17,8.1,"PuttingRating",2006
44,44,"Carl Pettersson",17,8.1,"PuttingRating",2006
44,44,"Tag Ridings",17,8.1,"PuttingRating",2006
44,44,"Jimmy Walker",9,8.1,"PuttingRating",2006
65,65,"Stephen Ames",9,8,"PuttingRating",2006
65,65,"Stuart Appleby",16,8,"PuttingRating",2006
65,65,"Notah Begay III",2,8,"PuttingRating",2006
65,65,"Michael Bradley",1,8,"PuttingRating",2006
65,65,"Olin Browne",20,8,"PuttingRating",2006
65,65,"Angel Cabrera",5,8,"PuttingRating",2006
65,65,"Robert Damron",13,8,"PuttingRating",2006
65,65,"Stuart Deane",1,8,"PuttingRating",2006
65,65,"Danny Ellis",10,8,"PuttingRating",2006
65,65,"Ernie Els",12,8,"PuttingRating",2006
65,65,"Nathan Green",22,8,"PuttingRating",2006
65,65,"Scott Gutschewski",6,8,"PuttingRating",2006
65,65,"Charley Hoffman",20,8,"PuttingRating",2006
65,65,"Peter Jacobsen",2,8,"PuttingRating",2006
65,65,"Richard Johnson",17,8,"PuttingRating",2006
65,65,"Hank Kuehne",2,8,"PuttingRating",2006
65,65,"Andrew Magee",4,8,"PuttingRating",2006
65,65,"Geoff Ogilvy",12,8,"PuttingRating",2006
65,65,"Tim Petrovic",15,8,"PuttingRating",2006
65,65,"Vijay Singh",22,8,"PuttingRating",2006
65,65,"Phil Tataurangi",4,8,"PuttingRating",2006
65,65,"DJ Trahan",12,8,"PuttingRating",2006
65,65,"Omar Uresti",7,8,"PuttingRating",2006
65,65,"Vance Veazey",10,8,"PuttingRating",2006
65,65,"Dean Wilson",20,8,"PuttingRating",2006
90,90,"Robert Allenby",13,7.9,"PuttingRating",2006
90,90,"Arjun Atwal",14,7.9,"PuttingRating",2006
90,90,"Paul Azinger",16,7.9,"PuttingRating",2006
90,90,"Brian Bateman",9,7.9,"PuttingRating",2006
90,90,"Shane Bertsch",18,7.9,"PuttingRating",2006
90,90,"Bob Burns",2,7.9,"PuttingRating",2006
90,90,"Victor Ciesielski",1,7.9,"PuttingRating",2006
90,90,"Kris Cox",12,7.9,"PuttingRating",2006
90,90,"John Daly",7,7.9,"PuttingRating",2006
90,90,"Jay Delsing",5,7.9,"PuttingRating",2006
90,90,"Ken Duke",2,7.9,"PuttingRating",2006
90,90,"Steve Flesch",24,7.9,"PuttingRating",2006
90,90,"Stephen Gangluff",1,7.9,"PuttingRating",2006
90,90,"Brent Geiberger",19,7.9,"PuttingRating",2006
90,90,"Matt Gogel",2,7.9,"PuttingRating",2006
90,90,"Mathew Goggin",9,7.9,"PuttingRating",2006
90,90,"David Howell",7,7.9,"PuttingRating",2006
90,90,"Ryuji Imada",19,7.9,"PuttingRating",2006
90,90,"Freddie Jacobson",10,7.9,"PuttingRating",2006
90,90,"Lee Janzen",11,7.9,"PuttingRating",2006
90,90,"Kent Jones",17,7.9,"PuttingRating",2006
90,90,"Justin Leonard",14,7.9,"PuttingRating",2006
90,90,"Frank Lickliter II",18,7.9,"PuttingRating",2006
90,90,"Jamie Lovemark",1,7.9,"PuttingRating",2006
90,90,"Phil Mickelson",13,7.9,"PuttingRating",2006
90,90,"Ryan Moore",11,7.9,"PuttingRating",2006
90,90,"Mark OMeara",6,7.9,"PuttingRating",2006
90,90,"Jose Maria Olazabal",9,7.9,"PuttingRating",2006
90,90,"DA Points",12,7.9,"PuttingRating",2006
90,90,"Brett Quigley",20,7.9,"PuttingRating",2006
90,90,"Rory Sabbatini",16,7.9,"PuttingRating",2006
90,90,"BJ Staten",5,7.9,"PuttingRating",2006
90,90,"David Toms",14,7.9,"PuttingRating",2006
90,90,"Kirk Triplett",10,7.9,"PuttingRating",2006
90,90,"Scott Verplank",17,7.9,"PuttingRating",2006
90,90,"Camilo Villegas",17,7.9,"PuttingRating",2006
90,90,"Mike Weir",15,7.9,"PuttingRating",2006
127,127,"Woody Austin",20,7.8,"PuttingRating",2006
127,127,"Henrik Bjornstad",17,7.8,"PuttingRating",2006
127,127,"Guy Boros",1,7.8,"PuttingRating",2006
127,127,"Mark Brooks",8,7.8,"PuttingRating",2006
127,127,"Tim Clark",15,7.8,"PuttingRating",2006
127,127,"Michael Connell",3,7.8,"PuttingRating",2006
127,127,"Bubba Dickerson",17,7.8,"PuttingRating",2006
127,127,"John Engler Jr",7,7.8,"PuttingRating",2006
127,127,"Robert Gamez",16,7.8,"PuttingRating",2006
127,127,"Lucas Glover",20,7.8,"PuttingRating",2006
127,127,"Retief Goosen",11,7.8,"PuttingRating",2006
127,127,"Bill Haas",18,7.8,"PuttingRating",2006
127,127,"Padraig Harrington",9,7.8,"PuttingRating",2006
127,127,"John Huston",12,7.8,"PuttingRating",2006
127,127,"Brandt Jobe",15,7.8,"PuttingRating",2006
127,127,"Jerry Kelly",16,7.8,"PuttingRating",2006
127,127,"Skip Kendall",12,7.8,"PuttingRating",2006
127,127,"Neal Lancaster",4,7.8,"PuttingRating",2006
127,127,"Bernhard Langer",13,7.8,"PuttingRating",2006
127,127,"Ian Leggatt",9,7.8,"PuttingRating",2006
127,127,"Davis Love III",14,7.8,"PuttingRating",2006
127,127,"Graeme McDowell",4,7.8,"PuttingRating",2006
127,127,"Paul McGinley",3,7.8,"PuttingRating",2006
127,127,"Jim McGovern",2,7.8,"PuttingRating",2006
127,127,"Arron Oberholser",16,7.8,"PuttingRating",2006
127,127,"Ryan Palmer",18,7.8,"PuttingRating",2006
127,127,"Dicky Pride",6,7.8,"PuttingRating",2006
127,127,"John Rollins",17,7.8,"PuttingRating",2006
127,127,"Justin Rose",19,7.8,"PuttingRating",2006
127,127,"Adam Scott",12,7.8,"PuttingRating",2006
127,127,"Garrett Willis",3,7.8,"PuttingRating",2006
158,158,"Craig Barlow",14,7.7,"PuttingRating",2006
158,158,"Cameron Beckman",7,7.7,"PuttingRating",2006
158,158,"Rich Beem",13,7.7,"PuttingRating",2006
158,158,"Jason Bohn",21,7.7,"PuttingRating",2006
158,158,"John Cook",10,7.7,"PuttingRating",2006
158,158,"Ben Curtis",14,7.7,"PuttingRating",2006
158,158,"Chris DiMarco",13,7.7,"PuttingRating",2006
158,158,"Stephen Dodd",1,7.7,"PuttingRating",2006
158,158,"James Driscoll",11,7.7,"PuttingRating",2006
158,158,"David Duval",9,7.7,"PuttingRating",2006
158,158,"Dan Forsman",5,7.7,"PuttingRating",2006
158,158,"Paul Goydos",11,7.7,"PuttingRating",2006
158,158,"Mark Hensby",5,7.7,"PuttingRating",2006
158,158,"Trevor Immelman",17,7.7,"PuttingRating",2006
158,158,"Zach Johnson",18,7.7,"PuttingRating",2006
158,158,"Brendan Jones",3,7.7,"PuttingRating",2006
158,158,"Greg Kraft",12,7.7,"PuttingRating",2006
158,158,"Steve Lowery",18,7.7,"PuttingRating",2006
158,158,"Hunter Mahan",20,7.7,"PuttingRating",2006
158,158,"Billy Mayfair",16,7.7,"PuttingRating",2006
158,158,"Scott McCarron",7,7.7,"PuttingRating",2006
158,158,"Jeff Overton",19,7.7,"PuttingRating",2006
158,158,"Pat Perez",9,7.7,"PuttingRating",2006
158,158,"Ian Poulter",10,7.7,"PuttingRating",2006
158,158,"Nick Price",5,7.7,"PuttingRating",2006
158,158,"Ted Purdy",15,7.7,"PuttingRating",2006
158,158,"Patrick Sheehan",15,7.7,"PuttingRating",2006
158,158,"Jeff Sluman",19,7.7,"PuttingRating",2006
158,158,"Jerry Smith",17,7.7,"PuttingRating",2006
158,158,"Bob Tway",13,7.7,"PuttingRating",2006
158,158,"Tjaart van der Walt",8,7.7,"PuttingRating",2006
158,158,"Bo Van Pelt",22,7.7,"PuttingRating",2006
158,158,"Brett Wetterich",16,7.7,"PuttingRating",2006
158,158,"Mark Wilson",15,7.7,"PuttingRating",2006
158,158,"Willie Wood",2,7.7,"PuttingRating",2006
158,158,"Tiger Woods",9,7.7,"PuttingRating",2006
194,194,"Briny Baird",14,7.6,"PuttingRating",2006
194,194,"KJ Choi",20,7.6,"PuttingRating",2006
194,194,"Brian Davis",18,7.6,"PuttingRating",2006
194,194,"Fred Funk",21,7.6,"PuttingRating",2006
194,194,"Jason Gore",13,7.6,"PuttingRating",2006
194,194,"Mathias Gronberg",14,7.6,"PuttingRating",2006
194,194,"Dudley Hart",14,7.6,"PuttingRating",2006
194,194,"David Hearn",1,7.6,"PuttingRating",2006
194,194,"Miguel Angel Jimenez",2,7.6,"PuttingRating",2006
194,194,"Anthony Kim",2,7.6,"PuttingRating",2006
194,194,"JL Lewis",11,7.6,"PuttingRating",2006
