"ApexHeight_RANKTHISWEEK_2011","ApexHeight_RANKLASTWEEK_2011","ApexHeight_PLAYERNAME_2011","ApexHeight_ROUNDS_2011","ApexHeight_AVG_2011","ApexHeight_TOTALAPEXHEIGHT_2011","ApexHeight_TOTALATTEMPTS_2011","ApexHeight_HIGHESTAPEXPOINT_2011","ApexHeight_LOWESTAPEXPOINT_2011","stat_name","year"
1,1,"JB Holmes",57,NA,NA,41,NA,NA,"ApexHeight",2011
2,2,"Will Strickler",51,NA,NA,33,NA,NA,"ApexHeight",2011
3,3,"Keegan Bradley",91,NA,NA,60,NA,NA,"ApexHeight",2011
4,4,"Davis Love III",70,NA,NA,38,NA,NA,"ApexHeight",2011
5,5,"Angel Cabrera",50,NA,NA,25,NA,NA,"ApexHeight",2011
6,6,"Zack Miller",86,NA,NA,50,NA,NA,"ApexHeight",2011
6,6,"Ryan Palmer",82,NA,NA,55,NA,NA,"ApexHeight",2011
6,6,"Josh Teater",104,NA,NA,64,NA,NA,"ApexHeight",2011
9,9,"Phil Mickelson",79,NA,NA,46,NA,NA,"ApexHeight",2011
10,10,"Rickie Fowler",84,NA,NA,60,NA,NA,"ApexHeight",2011
11,11,"Billy Mayfair",94,NA,NA,74,NA,NA,"ApexHeight",2011
12,12,"Mark Wilson",89,NA,NA,74,NA,NA,"ApexHeight",2011
13,13,"Alex Prugh",82,NA,NA,60,NA,NA,"ApexHeight",2011
14,14,"Vijay Singh",79,NA,NA,68,NA,NA,"ApexHeight",2011
15,15,"Harrison Frazar",58,NA,NA,37,NA,NA,"ApexHeight",2011
15,15,"Padraig Harrington",60,NA,NA,37,NA,NA,"ApexHeight",2011
17,17,"Jason Day",76,NA,NA,46,NA,NA,"ApexHeight",2011
18,18,"Marc Leishman",87,NA,NA,70,NA,NA,"ApexHeight",2011
19,19,"Roland Thatcher",67,NA,NA,48,NA,NA,"ApexHeight",2011
20,20,"Kyle Stanley",98,NA,NA,67,NA,NA,"ApexHeight",2011
20,20,"Jhonattan Vegas",84,NA,NA,59,NA,NA,"ApexHeight",2011
22,22,"Steve Marino",76,NA,NA,58,NA,NA,"ApexHeight",2011
23,23,"Charley Hoffman",93,NA,NA,70,NA,NA,"ApexHeight",2011
24,24,"Robert Garrigus",83,NA,NA,49,NA,NA,"ApexHeight",2011
25,25,"John Rollins",85,NA,NA,68,NA,NA,"ApexHeight",2011
26,26,"Scott Piercy",78,NA,NA,51,NA,NA,"ApexHeight",2011
27,27,"Kevin Stadler",88,NA,NA,58,NA,NA,"ApexHeight",2011
28,28,"David Hearn",88,NA,NA,65,NA,NA,"ApexHeight",2011
29,29,"Derek Lamely",65,NA,NA,42,NA,NA,"ApexHeight",2011
30,30,"Paul Stankowski",78,NA,NA,50,NA,NA,"ApexHeight",2011
31,31,"Michael Putnam",67,NA,NA,41,NA,NA,"ApexHeight",2011
32,32,"Retief Goosen",50,NA,NA,34,NA,NA,"ApexHeight",2011
33,33,"Andres Romero",77,NA,NA,59,NA,NA,"ApexHeight",2011
34,34,"Tag Ridings",87,NA,NA,55,NA,NA,"ApexHeight",2011
35,35,"Tommy Gainey",104,NA,NA,80,NA,NA,"ApexHeight",2011
36,36,"Dustin Johnson",72,NA,NA,44,NA,NA,"ApexHeight",2011
37,37,"Ben Crane",76,NA,NA,58,NA,NA,"ApexHeight",2011
38,38,"Jonathan Byrd",83,NA,NA,62,NA,NA,"ApexHeight",2011
39,39,"Chris Couch",73,NA,NA,45,NA,NA,"ApexHeight",2011
39,39,"Robert Karlsson",61,NA,NA,40,NA,NA,"ApexHeight",2011
41,41,"Billy Horschel",75,NA,NA,56,NA,NA,"ApexHeight",2011
42,42,"Steven Bowditch",86,NA,NA,61,NA,NA,"ApexHeight",2011
43,43,"Bubba Watson",85,NA,NA,50,NA,NA,"ApexHeight",2011
44,44,"Ben Martin",74,NA,NA,43,NA,NA,"ApexHeight",2011
45,45,"Chez Reavie",92,NA,NA,72,NA,NA,"ApexHeight",2011
45,45,"Vaughn Taylor",89,NA,NA,73,NA,NA,"ApexHeight",2011
47,47,"Jerry Kelly",85,NA,NA,65,NA,NA,"ApexHeight",2011
48,48,"Kevin Chappell",78,NA,NA,55,NA,NA,"ApexHeight",2011
49,49,"George McNeill",69,NA,NA,51,NA,NA,"ApexHeight",2011
49,49,"Aron Price",58,NA,NA,41,NA,NA,"ApexHeight",2011
51,51,"Brendan Steele",89,NA,NA,70,NA,NA,"ApexHeight",2011
52,52,"Pat Perez",76,NA,NA,57,NA,NA,"ApexHeight",2011
53,53,"Joseph Bramlett",73,NA,NA,48,NA,NA,"ApexHeight",2011
53,53,"Bio Kim",71,NA,NA,45,NA,NA,"ApexHeight",2011
55,55,"Alex Cejka",59,NA,NA,41,NA,NA,"ApexHeight",2011
56,56,"Kevin Kisner",70,NA,NA,45,NA,NA,"ApexHeight",2011
57,57,"Bill Haas",93,NA,NA,66,NA,NA,"ApexHeight",2011
58,58,"Troy Matteson",91,NA,NA,64,NA,NA,"ApexHeight",2011
59,59,"Scott Stallings",84,NA,NA,65,NA,NA,"ApexHeight",2011
60,60,"Charl Schwartzel",58,NA,NA,34,NA,NA,"ApexHeight",2011
61,61,"Tim Herron",85,NA,NA,63,NA,NA,"ApexHeight",2011
62,62,"James Driscoll",71,NA,NA,51,NA,NA,"ApexHeight",2011
