"FairwayApproachRTPScore_RANKTHISWEEK_2008","FairwayApproachRTPScore_RANKLASTWEEK_2008","FairwayApproachRTPScore_PLAYERNAME_2008","FairwayApproachRTPScore_ROUNDS_2008","FairwayApproachRTPScore_AVGRTP_2008","stat_name","year"
1,1,"Bob Tway",70,-0.134,"FairwayApproachRTPScore",2008
2,2,"Phil Mickelson",80,-0.133,"FairwayApproachRTPScore",2008
3,3,"Justin Leonard",101,-0.125,"FairwayApproachRTPScore",2008
4,4,"Ryan Palmer",69,-0.124,"FairwayApproachRTPScore",2008
5,5,"Vijay Singh",82,-0.119,"FairwayApproachRTPScore",2008
6,6,"Kevin Sutherland",98,-0.116,"FairwayApproachRTPScore",2008
7,7,"Rory Sabbatini",77,-0.115,"FairwayApproachRTPScore",2008
8,8,"Stephen Ames",83,-0.114,"FairwayApproachRTPScore",2008
9,9,"Camilo Villegas",79,-0.11,"FairwayApproachRTPScore",2008
10,10,"Stewart Cink",87,-0.109,"FairwayApproachRTPScore",2008
11,11,"Aaron Baddeley",76,-0.107,"FairwayApproachRTPScore",2008
11,11,"KJ Choi",74,-0.107,"FairwayApproachRTPScore",2008
13,13,"Tim Clark",90,-0.106,"FairwayApproachRTPScore",2008
13,13,"Jim Furyk",95,-0.106,"FairwayApproachRTPScore",2008
13,13,"Anthony Kim",81,-0.106,"FairwayApproachRTPScore",2008
16,16,"Chad Campbell",94,-0.105,"FairwayApproachRTPScore",2008
16,16,"John Huston",56,-0.105,"FairwayApproachRTPScore",2008
16,16,"Hunter Mahan",87,-0.105,"FairwayApproachRTPScore",2008
19,19,"Robert Allenby",108,-0.103,"FairwayApproachRTPScore",2008
20,20,"Steve Marino",119,-0.101,"FairwayApproachRTPScore",2008
20,20,"Steve Stricker",75,-0.101,"FairwayApproachRTPScore",2008
22,22,"Ken Duke",116,-0.1,"FairwayApproachRTPScore",2008
23,23,"Pat Perez",93,-0.099,"FairwayApproachRTPScore",2008
24,24,"Angel Cabrera",55,-0.095,"FairwayApproachRTPScore",2008
24,24,"Dudley Hart",74,-0.095,"FairwayApproachRTPScore",2008
24,24,"Mike Weir",88,-0.095,"FairwayApproachRTPScore",2008
27,27,"Michael Allen",91,-0.092,"FairwayApproachRTPScore",2008
28,28,"Glen Day",64,-0.09,"FairwayApproachRTPScore",2008
28,28,"Martin Laird",98,-0.09,"FairwayApproachRTPScore",2008
28,28,"Mark Wilson",107,-0.09,"FairwayApproachRTPScore",2008
31,31,"Brian Gay",102,-0.089,"FairwayApproachRTPScore",2008
31,31,"Tom Pernice Jr",104,-0.089,"FairwayApproachRTPScore",2008
31,31,"Kenny Perry",97,-0.089,"FairwayApproachRTPScore",2008
31,31,"Kevin Streelman",114,-0.089,"FairwayApproachRTPScore",2008
35,35,"Woody Austin",109,-0.088,"FairwayApproachRTPScore",2008
35,35,"Ben Crane",86,-0.088,"FairwayApproachRTPScore",2008
35,35,"DJ Trahan",94,-0.088,"FairwayApproachRTPScore",2008
38,38,"Gavin Coles",54,-0.087,"FairwayApproachRTPScore",2008
38,38,"Brenden Pappas",66,-0.087,"FairwayApproachRTPScore",2008
40,40,"George McNeill",97,-0.085,"FairwayApproachRTPScore",2008
40,40,"Nick OHern",82,-0.085,"FairwayApproachRTPScore",2008
40,40,"Tim Wilkinson",95,-0.085,"FairwayApproachRTPScore",2008
43,43,"Charles Howell III",101,-0.083,"FairwayApproachRTPScore",2008
43,43,"Ryuji Imada",80,-0.083,"FairwayApproachRTPScore",2008
45,45,"Retief Goosen",59,-0.082,"FairwayApproachRTPScore",2008
46,46,"Geoff Ogilvy",65,-0.081,"FairwayApproachRTPScore",2008
46,46,"Jeff Quinney",87,-0.081,"FairwayApproachRTPScore",2008
46,46,"Vaughn Taylor",103,-0.081,"FairwayApproachRTPScore",2008
49,49,"Zach Johnson",85,-0.08,"FairwayApproachRTPScore",2008
49,49,"Scott Verplank",82,-0.08,"FairwayApproachRTPScore",2008
49,49,"Bubba Watson",97,-0.08,"FairwayApproachRTPScore",2008
52,52,"Nick Watney",96,-0.079,"FairwayApproachRTPScore",2008
52,52,"Dean Wilson",109,-0.079,"FairwayApproachRTPScore",2008
54,54,"Matt Kuchar",88,-0.078,"FairwayApproachRTPScore",2008
55,55,"Rod Pampling",83,-0.077,"FairwayApproachRTPScore",2008
56,56,"Steve Flesch",95,-0.076,"FairwayApproachRTPScore",2008
56,56,"Mathew Goggin",91,-0.076,"FairwayApproachRTPScore",2008
56,56,"John Riegger",73,-0.076,"FairwayApproachRTPScore",2008
