"GIRPuttingAvg2530_RANKTHISWEEK_2007","GIRPuttingAvg2530_RANKLASTWEEK_2007","GIRPuttingAvg2530_PLAYERNAME_2007","GIRPuttingAvg2530_ROUNDS_2007","GIRPuttingAvg2530_PctMADE_2007","GIRPuttingAvg2530_ATTEMPTS_2007","GIRPuttingAvg2530_PUTTSMADE_2007","stat_name","year"
1,1,"Ernie Els",59,2.05,44,9,"GIRPuttingAvg2530",2007
2,2,"Scott Gutschewski",67,1.7,53,9,"GIRPuttingAvg2530",2007
3,3,"Ben Curtis",80,1.69,59,10,"GIRPuttingAvg2530",2007
4,4,"Michael Sim",52,1.64,55,9,"GIRPuttingAvg2530",2007
5,5,"Chris Couch",76,1.59,63,10,"GIRPuttingAvg2530",2007
6,6,"DJ Brigman",67,1.56,64,10,"GIRPuttingAvg2530",2007
7,7,"Jose Maria Olazabal",52,1.52,33,5,"GIRPuttingAvg2530",2007
7,7,"Camilo Villegas",82,1.52,66,10,"GIRPuttingAvg2530",2007
9,9,"Bart Bryant",87,1.47,75,11,"GIRPuttingAvg2530",2007
10,10,"Ryan Armour",107,1.44,104,15,"GIRPuttingAvg2530",2007
11,11,"Craig Lile",77,1.43,84,12,"GIRPuttingAvg2530",2007
12,12,"Kevin Sutherland",85,1.41,92,13,"GIRPuttingAvg2530",2007
13,13,"Aaron Baddeley",83,1.38,65,9,"GIRPuttingAvg2530",2007
14,14,"Ken Duke",112,1.37,95,13,"GIRPuttingAvg2530",2007
15,15,"Tim Clark",66,1.36,59,8,"GIRPuttingAvg2530",2007
16,16,"Ryuji Imada",104,1.35,96,13,"GIRPuttingAvg2530",2007
17,17,"Zach Johnson",76,1.34,67,9,"GIRPuttingAvg2530",2007
18,18,"Mark Hensby",81,1.33,75,10,"GIRPuttingAvg2530",2007
18,18,"Vaughn Taylor",91,1.33,75,10,"GIRPuttingAvg2530",2007
20,20,"Gavin Coles",87,1.32,76,10,"GIRPuttingAvg2530",2007
20,20,"Brendon de Jonge",76,1.32,68,9,"GIRPuttingAvg2530",2007
22,22,"Rod Pampling",92,1.31,99,13,"GIRPuttingAvg2530",2007
23,23,"Tim Petrovic",106,1.29,85,11,"GIRPuttingAvg2530",2007
24,24,"Charles Howell III",89,1.28,78,10,"GIRPuttingAvg2530",2007
24,24,"Joe Ogilvie",102,1.28,86,11,"GIRPuttingAvg2530",2007
26,26,"Padraig Harrington",64,1.25,48,6,"GIRPuttingAvg2530",2007
26,26,"Freddie Jacobson",70,1.25,72,9,"GIRPuttingAvg2530",2007
26,26,"Paul Stankowski",52,1.25,48,6,"GIRPuttingAvg2530",2007
29,29,"Brian Bateman",55,1.22,41,5,"GIRPuttingAvg2530",2007
30,30,"Mathew Goggin",97,1.18,110,13,"GIRPuttingAvg2530",2007
31,31,"Jonathan Byrd",73,1.17,60,7,"GIRPuttingAvg2530",2007
32,32,"Chris Stroud",66,1.16,69,8,"GIRPuttingAvg2530",2007
33,33,"Chad Campbell",96,1.15,78,9,"GIRPuttingAvg2530",2007
34,34,"KJ Choi",87,1.14,70,8,"GIRPuttingAvg2530",2007
35,35,"Rocco Mediate",72,1.13,62,7,"GIRPuttingAvg2530",2007
36,36,"Charlie Wi",90,1.12,98,11,"GIRPuttingAvg2530",2007
37,37,"Briny Baird",115,1.11,117,13,"GIRPuttingAvg2530",2007
37,37,"Kevin Na",84,1.11,90,10,"GIRPuttingAvg2530",2007
39,39,"Tom Pernice Jr",104,1.1,100,11,"GIRPuttingAvg2530",2007
39,39,"Brett Wetterich",88,1.1,73,8,"GIRPuttingAvg2530",2007
41,41,"Chris Tidland",59,1.09,55,6,"GIRPuttingAvg2530",2007
42,42,"Jeff Gove",103,1.08,102,11,"GIRPuttingAvg2530",2007
42,42,"Steve Lowery",74,1.08,65,7,"GIRPuttingAvg2530",2007
44,44,"Jesper Parnevik",88,1.06,94,10,"GIRPuttingAvg2530",2007
45,45,"Anders Hansen",55,1.05,38,4,"GIRPuttingAvg2530",2007
45,45,"Matt Hendrix",63,1.05,57,6,"GIRPuttingAvg2530",2007
45,45,"Tripp Isenhour",86,1.05,76,8,"GIRPuttingAvg2530",2007
48,48,"Robert Garrigus",95,1.04,96,10,"GIRPuttingAvg2530",2007
48,48,"Dean Wilson",92,1.04,67,7,"GIRPuttingAvg2530",2007
50,50,"Michael Allen",74,1.03,68,7,"GIRPuttingAvg2530",2007
50,50,"Jason Gore",86,1.03,78,8,"GIRPuttingAvg2530",2007
50,50,"Mark Wilson",87,1.03,87,9,"GIRPuttingAvg2530",2007
53,53,"Cameron Beckman",96,1.02,108,11,"GIRPuttingAvg2530",2007
53,53,"Sergio Garcia",68,1.02,59,6,"GIRPuttingAvg2530",2007
55,55,"Brian Davis",101,1.01,99,10,"GIRPuttingAvg2530",2007
