"AverageDistancetoHoleAfterTeeShot_RANKTHISWEEK_2014","AverageDistancetoHoleAfterTeeShot_RANKLASTWEEK_2014","AverageDistancetoHoleAfterTeeShot_PLAYERNAME_2014","AverageDistancetoHoleAfterTeeShot_ROUNDS_2014","AverageDistancetoHoleAfterTeeShot_AVG_2014","AverageDistancetoHoleAfterTeeShot_TOTALDISTAFTERTEESHOT_2014","AverageDistancetoHoleAfterTeeShot_TOTALTEESHOTS_2014","stat_name","year"
1,1,"Bubba Watson",76,155.9,4316448,769,"AverageDistancetoHoleAfterTeeShot",2014
2,2,"Dustin Johnson",58,156.8,3160557,560,"AverageDistancetoHoleAfterTeeShot",2014
3,3,"Jamie Lovemark",64,159.5,3663220,638,"AverageDistancetoHoleAfterTeeShot",2014
4,4,"Andrew Loupe",65,159.9,3944355,685,"AverageDistancetoHoleAfterTeeShot",2014
5,5,"Rory McIlroy",66,162.4,3881394,664,"AverageDistancetoHoleAfterTeeShot",2014
6,6,"Brooks Koepka",56,165.1,3423512,576,"AverageDistancetoHoleAfterTeeShot",2014
7,7,"Charlie Beljan",76,165.3,5475242,920,"AverageDistancetoHoleAfterTeeShot",2014
8,8,"Charles Howell III",106,165.5,7808836,1311,"AverageDistancetoHoleAfterTeeShot",2014
9,9,"Ryan Palmer",85,165.6,5519584,926,"AverageDistancetoHoleAfterTeeShot",2014
10,10,"JB Holmes",86,166.5,6337512,1057,"AverageDistancetoHoleAfterTeeShot",2014
11,11,"Angel Cabrera",69,167.1,5076679,844,"AverageDistancetoHoleAfterTeeShot",2014
12,12,"Robert Garrigus",80,167.2,5972212,992,"AverageDistancetoHoleAfterTeeShot",2014
12,12,"Jimmy Walker",98,167.2,6103976,1014,"AverageDistancetoHoleAfterTeeShot",2014
14,14,"Steven Bowditch",93,167.4,6386839,1060,"AverageDistancetoHoleAfterTeeShot",2014
14,14,"Adam Scott",68,167.4,4712166,782,"AverageDistancetoHoleAfterTeeShot",2014
16,16,"Harris English",95,167.9,6152185,1018,"AverageDistancetoHoleAfterTeeShot",2014
17,17,"Sean OHair",77,168,5504828,910,"AverageDistancetoHoleAfterTeeShot",2014
17,17,"Jhonattan Vegas",77,168,5335621,882,"AverageDistancetoHoleAfterTeeShot",2014
19,19,"Jason Day",54,168.3,2787153,460,"AverageDistancetoHoleAfterTeeShot",2014
20,20,"Will Wilcox",51,168.7,3346576,551,"AverageDistancetoHoleAfterTeeShot",2014
21,21,"Charley Hoffman",93,168.8,6326306,1041,"AverageDistancetoHoleAfterTeeShot",2014
22,22,"Jason Kokrak",65,168.9,5051991,831,"AverageDistancetoHoleAfterTeeShot",2014
23,23,"Kyle Stanley",87,169.1,5996402,985,"AverageDistancetoHoleAfterTeeShot",2014
24,24,"Morgan Hoffmann",103,169.2,7500071,1231,"AverageDistancetoHoleAfterTeeShot",2014
24,24,"Robert Streb",75,169.2,5408897,888,"AverageDistancetoHoleAfterTeeShot",2014
