"Puttingfrom510_RANKTHISWEEK_2005","Puttingfrom510_RANKLASTWEEK_2005","Puttingfrom510_PLAYERNAME_2005","Puttingfrom510_ROUNDS_2005","Puttingfrom510_Pct_2005","Puttingfrom510_ATTEMPTS_2005","Puttingfrom510_PUTTSMADE_2005","stat_name","year"
1,1,"Ben Crane",78,68.01,297,202,"Puttingfrom510",2005
2,2,"JP Hayes",63,67.22,241,162,"Puttingfrom510",2005
3,3,"Rory Sabbatini",81,66.31,282,187,"Puttingfrom510",2005
4,4,"Arjun Atwal",65,65.92,267,176,"Puttingfrom510",2005
5,5,"Jose Maria Olazabal",55,65.91,176,116,"Puttingfrom510",2005
6,6,"Aaron Baddeley",84,65.09,338,220,"Puttingfrom510",2005
7,7,"Olin Browne",99,64.72,343,222,"Puttingfrom510",2005
8,8,"Brian Gay",101,64.61,373,241,"Puttingfrom510",2005
9,9,"Len Mattiace",86,64.57,350,226,"Puttingfrom510",2005
10,10,"Tag Ridings",93,64.4,368,237,"Puttingfrom510",2005
11,11,"Mark OMeara",66,64.16,226,145,"Puttingfrom510",2005
12,12,"Joe Ogilvie",103,64,375,240,"Puttingfrom510",2005
13,13,"David Toms",87,63.82,293,187,"Puttingfrom510",2005
14,14,"Darron Stiles",78,63.67,300,191,"Puttingfrom510",2005
15,15,"Luke Donald",67,62.96,162,102,"Puttingfrom510",2005
16,16,"Bob Heintz",67,62.69,260,163,"Puttingfrom510",2005
17,17,"Mark Calcavecchia",92,62.54,339,212,"Puttingfrom510",2005
18,18,"Tom Byrum",83,62.5,336,210,"Puttingfrom510",2005
19,19,"Jose Coceres",56,62.45,245,153,"Puttingfrom510",2005
19,19,"Matt Davidson",53,62.45,237,148,"Puttingfrom510",2005
21,21,"Duffy Waldorf",86,62.42,306,191,"Puttingfrom510",2005
22,22,"Patrick Sheehan",114,62.38,404,252,"Puttingfrom510",2005
23,23,"Tiger Woods",76,62.34,231,144,"Puttingfrom510",2005
24,24,"Nick Watney",91,62.3,313,195,"Puttingfrom510",2005
25,25,"Stephen Ames",82,62.06,253,157,"Puttingfrom510",2005
26,26,"Jim Furyk",94,61.94,310,192,"Puttingfrom510",2005
26,26,"Sean OHair",103,61.94,381,236,"Puttingfrom510",2005
28,28,"Steve Stricker",62,61.89,265,164,"Puttingfrom510",2005
29,29,"Justin Leonard",78,61.6,237,146,"Puttingfrom510",2005
30,30,"Gavin Coles",70,61.48,283,174,"Puttingfrom510",2005
31,31,"Stephen Leaney",89,61.46,314,193,"Puttingfrom510",2005
32,32,"Tjaart van der Walt",56,61.36,220,135,"Puttingfrom510",2005
33,33,"Shigeki Maruyama",99,61.35,370,227,"Puttingfrom510",2005
34,34,"Paul Azinger",66,60.92,284,173,"Puttingfrom510",2005
35,35,"Scott Gutschewski",86,60.83,314,191,"Puttingfrom510",2005
36,36,"Brent Geiberger",61,60.78,204,124,"Puttingfrom510",2005
37,37,"Corey Pavin",77,60.58,241,146,"Puttingfrom510",2005
38,38,"Richard Johnson",50,60.4,202,122,"Puttingfrom510",2005
39,39,"Bo Van Pelt",112,60.3,398,240,"Puttingfrom510",2005
40,40,"Tim Herron",100,60.06,308,185,"Puttingfrom510",2005
41,41,"Fred Funk",102,60,380,228,"Puttingfrom510",2005
41,41,"Bill Glasson",54,60,225,135,"Puttingfrom510",2005
41,41,"Kirk Triplett",55,60,185,111,"Puttingfrom510",2005
44,44,"Steve Flesch",90,59.79,291,174,"Puttingfrom510",2005
45,45,"Jeff Maggert",79,59.77,266,159,"Puttingfrom510",2005
46,46,"Hank Kuehne",84,59.76,328,196,"Puttingfrom510",2005
47,47,"Freddie Jacobson",72,59.72,283,169,"Puttingfrom510",2005
48,48,"Brandt Jobe",96,59.67,367,219,"Puttingfrom510",2005
49,49,"Dudley Hart",84,59.62,317,189,"Puttingfrom510",2005
49,49,"Bob Tway",87,59.62,260,155,"Puttingfrom510",2005
51,51,"Dan Forsman",52,59.61,203,121,"Puttingfrom510",2005
52,52,"Stewart Cink",98,59.55,309,184,"Puttingfrom510",2005
53,53,"Bart Bryant",91,59.54,346,206,"Puttingfrom510",2005
54,54,"Stuart Appleby",84,59.49,274,163,"Puttingfrom510",2005
55,55,"Carl Pettersson",109,59.47,412,245,"Puttingfrom510",2005
56,56,"JL Lewis",98,59.43,424,252,"Puttingfrom510",2005
57,57,"Pat Perez",89,59.39,330,196,"Puttingfrom510",2005
58,58,"Davis Love III",80,59.34,241,143,"Puttingfrom510",2005
59,59,"Greg Owen",84,59.33,300,178,"Puttingfrom510",2005
60,60,"Jesper Parnevik",84,59.32,295,175,"Puttingfrom510",2005
61,61,"Larry Mize",54,59.22,206,122,"Puttingfrom510",2005
62,62,"Ryan Palmer",101,59.17,387,229,"Puttingfrom510",2005
63,63,"Skip Kendall",80,59.15,306,181,"Puttingfrom510",2005
