"FedExCupSeasonPoints_RANKTHISWEEK_2016","FedExCupSeasonPoints_RANKLASTWEEK_2016","FedExCupSeasonPoints_PLAYERNAME_2016","FedExCupSeasonPoints_EVENTS_2016","FedExCupSeasonPoints_POINTS_2016","FedExCupSeasonPoints_OFWINS_2016","FedExCupSeasonPoints_OFTOP10S_2016","FedExCupSeasonPoints_POINTSBEHINDLEAD_2016","FedExCupSeasonPoints_RESETPOINTS_2016","stat_name","year"
1,1,"Adam Scott",10,1782,2,4,NA,NA,"FedExCupSeasonPoints",2016
2,2,"Jason Day",9,1440,2,5,342,NA,"FedExCupSeasonPoints",2016
3,3,"Brandt Snedeker",14,1300,1,5,482,NA,"FedExCupSeasonPoints",2016
4,4,"Russell Knox",14,1300,1,3,482,NA,"FedExCupSeasonPoints",2016
5,5,"Kevin Kisner",14,1182,1,4,600,NA,"FedExCupSeasonPoints",2016
6,8,"Patrick Reed",14,1161,NA,8,621,NA,"FedExCupSeasonPoints",2016
7,6,"Jordan Spieth",9,1132,1,4,650,NA,"FedExCupSeasonPoints",2016
8,7,"Kevin Na",14,1130,NA,5,652,NA,"FedExCupSeasonPoints",2016
9,12,"Hideki Matsuyama",12,1054,1,4,728,NA,"FedExCupSeasonPoints",2016
10,9,"Justin Thomas",15,1051,1,3,731,NA,"FedExCupSeasonPoints",2016
11,10,"Bubba Watson",8,1043,1,3,739,NA,"FedExCupSeasonPoints",2016
12,11,"Smylie Kaufman",16,1019,1,3,763,NA,"FedExCupSeasonPoints",2016
13,19,"Rickie Fowler",12,938,NA,6,844,NA,"FedExCupSeasonPoints",2016
14,13,"Graeme McDowell",11,909,1,3,873,NA,"FedExCupSeasonPoints",2016
15,16,"Kevin Chappell",14,893,NA,4,889,NA,"FedExCupSeasonPoints",2016
16,14,"Jason Dufner",15,882,1,3,900,NA,"FedExCupSeasonPoints",2016
17,15,"Charley Hoffman",14,881,1,1,901,NA,"FedExCupSeasonPoints",2016
18,26,"Phil Mickelson",11,870,NA,4,912,NA,"FedExCupSeasonPoints",2016
19,23,"Fabian Gomez",15,869,1,3,913,NA,"FedExCupSeasonPoints",2016
20,17,"Dustin Johnson",9,863,NA,6,919,NA,"FedExCupSeasonPoints",2016
21,18,"Branden Grace",9,862,1,3,920,NA,"FedExCupSeasonPoints",2016
22,20,"Jamie Lovemark",17,840,NA,5,942,NA,"FedExCupSeasonPoints",2016
