"ScoringAverageBeforeCut_RANKTHISWEEK_2008","ScoringAverageBeforeCut_RANKLASTWEEK_2008","ScoringAverageBeforeCut_PLAYERNAME_2008","ScoringAverageBeforeCut__2008","ScoringAverageBeforeCut_AVG_2008","ScoringAverageBeforeCut_TOTALSTROKES_2008","ScoringAverageBeforeCut_TOTALROUNDS_2008","stat_name","year"
1,1,"Kenny Perry",NA,69.68,3693,53,"ScoringAverageBeforeCut",2008
2,2,"Briny Baird",NA,69.93,4266,61,"ScoringAverageBeforeCut",2008
3,3,"Anthony Kim",NA,70,3220,46,"ScoringAverageBeforeCut",2008
4,4,"Brian Gay",NA,70.03,4412,63,"ScoringAverageBeforeCut",2008
5,5,"Phil Mickelson",NA,70.1,2874,41,"ScoringAverageBeforeCut",2008
6,6,"Steve Marino",NA,70.18,4632,66,"ScoringAverageBeforeCut",2008
7,7,"Robert Allenby",NA,70.21,3932,56,"ScoringAverageBeforeCut",2008
8,8,"Dudley Hart",NA,70.29,3163,45,"ScoringAverageBeforeCut",2008
9,9,"Charlie Wi",NA,70.3,4007,57,"ScoringAverageBeforeCut",2008
10,10,"Ben Crane",NA,70.31,3586,51,"ScoringAverageBeforeCut",2008
11,11,"Kevin Streelman",NA,70.37,4715,67,"ScoringAverageBeforeCut",2008
12,12,"Camilo Villegas",NA,70.38,2956,42,"ScoringAverageBeforeCut",2008
13,13,"John Huston",NA,70.39,2534,36,"ScoringAverageBeforeCut",2008
14,14,"Kevin Sutherland",NA,70.4,3872,55,"ScoringAverageBeforeCut",2008
15,15,"Justin Leonard",NA,70.45,3593,51,"ScoringAverageBeforeCut",2008
16,16,"Billy Mayfair",NA,70.48,4229,60,"ScoringAverageBeforeCut",2008
16,16,"Kevin Na",NA,70.48,4229,60,"ScoringAverageBeforeCut",2008
18,18,"Jim Furyk",NA,70.49,3595,51,"ScoringAverageBeforeCut",2008
18,18,"Vijay Singh",NA,70.49,3172,45,"ScoringAverageBeforeCut",2008
20,20,"Sergio Garcia",NA,70.5,2538,36,"ScoringAverageBeforeCut",2008
20,20,"Carl Pettersson",NA,70.5,4230,60,"ScoringAverageBeforeCut",2008
22,22,"Gavin Coles",NA,70.53,2257,32,"ScoringAverageBeforeCut",2008
23,23,"Bob Tway",NA,70.55,2963,42,"ScoringAverageBeforeCut",2008
24,24,"Ryan Palmer",NA,70.58,3176,45,"ScoringAverageBeforeCut",2008
25,25,"Stewart Cink",NA,70.59,3247,46,"ScoringAverageBeforeCut",2008
25,25,"Ken Duke",NA,70.59,4871,69,"ScoringAverageBeforeCut",2008
27,27,"Tommy Armour III",NA,70.61,3460,49,"ScoringAverageBeforeCut",2008
28,28,"Brian Davis",NA,70.62,4802,68,"ScoringAverageBeforeCut",2008
28,28,"Frank Lickliter II",NA,70.62,4590,65,"ScoringAverageBeforeCut",2008
28,28,"Patrick Sheehan",NA,70.62,5155,73,"ScoringAverageBeforeCut",2008
31,31,"Shane Bertsch",NA,70.63,4167,59,"ScoringAverageBeforeCut",2008
31,31,"John Mallinger",NA,70.63,3955,56,"ScoringAverageBeforeCut",2008
33,33,"Chez Reavie",NA,70.65,4380,62,"ScoringAverageBeforeCut",2008
34,34,"Stuart Appleby",NA,70.66,3109,44,"ScoringAverageBeforeCut",2008
