"Percentageofpotentialmoneywon_RANKTHISWEEK_2014","Percentageofpotentialmoneywon_RANKLASTWEEK_2014","Percentageofpotentialmoneywon_PLAYERNAME_2014","Percentageofpotentialmoneywon_EVENTS_2014","Percentageofpotentialmoneywon_Pct_2014","Percentageofpotentialmoneywon_OFFICIALMONEYWON_2014","Percentageofpotentialmoneywon_POTENTIALMONEY_2014","stat_name","year"
1,1,"Rory McIlroy",17,33.33,8280095,24845787,"Percentageofpotentialmoneywon",2014
2,2,"Bubba Watson",21,21.51,6336978,29453787,"Percentageofpotentialmoneywon",2014
3,3,"Sergio Garcia",16,21.09,4939606,23423787,"Percentageofpotentialmoneywon",2014
4,4,"Jim Furyk",21,20.67,5987395,28971787,"Percentageofpotentialmoneywon",2014
5,5,"Dustin Johnson",17,18.85,4249180,22547787,"Percentageofpotentialmoneywon",2014
6,6,"Jason Day",15,17.86,3789574,21213787,"Percentageofpotentialmoneywon",2014
7,7,"Adam Scott",17,17.12,4098588,23937787,"Percentageofpotentialmoneywon",2014
8,8,"Martin Kaymer",19,16.71,4532537,27131787,"Percentageofpotentialmoneywon",2014
9,9,"Jimmy Walker",27,15.98,5787015,36209787,"Percentageofpotentialmoneywon",2014
10,10,"Matt Kuchar",24,14.96,4695515,31389787,"Percentageofpotentialmoneywon",2014
11,11,"Justin Rose",19,14.59,3926767,26915787,"Percentageofpotentialmoneywon",2014
12,12,"Bernhard Langer",1,14.44,234000,1620000,"Percentageofpotentialmoneywon",2014
13,13,"Billy Horschel",27,13.71,4814786,35129787,"Percentageofpotentialmoneywon",2014
14,14,"Rickie Fowler",26,13.7,4806116,35087787,"Percentageofpotentialmoneywon",2014
15,15,"Chris Kirk",28,13.28,4854777,36555787,"Percentageofpotentialmoneywon",2014
16,16,"Jordan Spieth",27,12.14,4342748,35759787,"Percentageofpotentialmoneywon",2014
17,17,"Victor Dubuisson",10,11.45,1693485,14787787,"Percentageofpotentialmoneywon",2014
18,18,"Patrick Reed",28,11.04,4026075,36483787,"Percentageofpotentialmoneywon",2014
19,19,"Webb Simpson",25,10.67,3539600,33171787,"Percentageofpotentialmoneywon",2014
20,20,"Zach Johnson",26,9.91,3353417,33855787,"Percentageofpotentialmoneywon",2014
21,21,"Ryan Palmer",23,9.88,2924300,29583787,"Percentageofpotentialmoneywon",2014
22,22,"Austin Cook",1,9.81,102466,1044000,"Percentageofpotentialmoneywon",2014
23,23,"Ryan Moore",24,9.57,3098262,32375787,"Percentageofpotentialmoneywon",2014
24,24,"Brendon Todd",29,9.55,3396746,35577787,"Percentageofpotentialmoneywon",2014
25,25,"Kevin Na",27,9.38,3153107,33597787,"Percentageofpotentialmoneywon",2014
26,26,"Hunter Mahan",25,9.22,3097983,33597787,"Percentageofpotentialmoneywon",2014
27,27,"Hideki Matsuyama",24,8.75,2837477,32423787,"Percentageofpotentialmoneywon",2014
