"YTDParorBetterStreak_RANKTHISWEEK_2009","YTDParorBetterStreak_RANKLASTWEEK_2009","YTDParorBetterStreak_PLAYERNAME_2009","YTDParorBetterStreak__2009","YTDParorBetterStreak_NUMBEROFROUNDS_2009","stat_name","year"
1,1,"Steve Marino",NA,27,"YTDParorBetterStreak",2009
2,2,"Brian Davis",NA,24,"YTDParorBetterStreak",2009
2,2,"JJ Henry",NA,24,"YTDParorBetterStreak",2009
4,4,"David Toms",NA,22,"YTDParorBetterStreak",2009
5,5,"Woody Austin",NA,21,"YTDParorBetterStreak",2009
5,5,"Chez Reavie",NA,21,"YTDParorBetterStreak",2009
7,7,"Jonathan Byrd",NA,19,"YTDParorBetterStreak",2009
7,7,"Brian Gay",NA,19,"YTDParorBetterStreak",2009
7,7,"Charley Hoffman",NA,19,"YTDParorBetterStreak",2009
7,7,"Scott Verplank",NA,19,"YTDParorBetterStreak",2009
11,11,"Matt Weibring",NA,18,"YTDParorBetterStreak",2009
12,12,"Bryce Molder",NA,17,"YTDParorBetterStreak",2009
12,12,"Charlie Wi",NA,17,"YTDParorBetterStreak",2009
14,14,"Tim Herron",NA,16,"YTDParorBetterStreak",2009
14,14,"Nick Watney",NA,16,"YTDParorBetterStreak",2009
16,16,"Ben Crane",NA,15,"YTDParorBetterStreak",2009
16,16,"Robert Garrigus",NA,15,"YTDParorBetterStreak",2009
16,16,"Kenny Perry",NA,15,"YTDParorBetterStreak",2009
16,16,"Chris Riley",NA,15,"YTDParorBetterStreak",2009
20,20,"Stephen Ames",NA,14,"YTDParorBetterStreak",2009
20,20,"Chad Campbell",NA,14,"YTDParorBetterStreak",2009
20,20,"Chris DiMarco",NA,14,"YTDParorBetterStreak",2009
20,20,"Mathew Goggin",NA,14,"YTDParorBetterStreak",2009
20,20,"Richard Johnson",NA,14,"YTDParorBetterStreak",2009
20,20,"Matt Kuchar",NA,14,"YTDParorBetterStreak",2009
20,20,"Michael Letzig",NA,14,"YTDParorBetterStreak",2009
20,20,"Mike Weir",NA,14,"YTDParorBetterStreak",2009
28,28,"Briny Baird",NA,13,"YTDParorBetterStreak",2009
28,28,"Tim Clark",NA,13,"YTDParorBetterStreak",2009
28,28,"Dustin Johnson",NA,13,"YTDParorBetterStreak",2009
28,28,"Joe Ogilvie",NA,13,"YTDParorBetterStreak",2009
28,28,"Omar Uresti",NA,13,"YTDParorBetterStreak",2009
28,28,"Boo Weekley",NA,13,"YTDParorBetterStreak",2009
