"FirstTeeEarlyRound3ScoringAverage_RANKTHISWEEK_2011","FirstTeeEarlyRound3ScoringAverage_RANKLASTWEEK_2011","FirstTeeEarlyRound3ScoringAverage_PLAYERNAME_2011","FirstTeeEarlyRound3ScoringAverage__2011","FirstTeeEarlyRound3ScoringAverage_AVG_2011","FirstTeeEarlyRound3ScoringAverage_TOTALSTROKES_2011","FirstTeeEarlyRound3ScoringAverage_TOTALROUNDS_2011","stat_name","year"
1,1,"Brandt Snedeker",NA,66.2,331,5,"FirstTeeEarlyRound3ScoringAverage",2011
2,2,"Adam Scott",NA,67,67,1,"FirstTeeEarlyRound3ScoringAverage",2011
3,3,"Brian Davis",NA,67.71,474,7,"FirstTeeEarlyRound3ScoringAverage",2011
4,4,"Luke Donald",NA,67.75,271,4,"FirstTeeEarlyRound3ScoringAverage",2011
5,5,"Marc Leishman",NA,67.88,543,8,"FirstTeeEarlyRound3ScoringAverage",2011
6,6,"Briny Baird",NA,68,272,4,"FirstTeeEarlyRound3ScoringAverage",2011
6,6,"Matt Kuchar",NA,68,340,5,"FirstTeeEarlyRound3ScoringAverage",2011
6,6,"David Toms",NA,68,340,5,"FirstTeeEarlyRound3ScoringAverage",2011
9,9,"Bryce Molder",NA,68.17,409,6,"FirstTeeEarlyRound3ScoringAverage",2011
10,10,"Nick OHern",NA,68.33,205,3,"FirstTeeEarlyRound3ScoringAverage",2011
11,11,"Chris DiMarco",NA,68.38,547,8,"FirstTeeEarlyRound3ScoringAverage",2011
11,11,"Ryan Palmer",NA,68.38,547,8,"FirstTeeEarlyRound3ScoringAverage",2011
13,13,"Spencer Levin",NA,68.43,479,7,"FirstTeeEarlyRound3ScoringAverage",2011
14,14,"Shane Bertsch",NA,68.5,274,4,"FirstTeeEarlyRound3ScoringAverage",2011
14,14,"Angel Cabrera",NA,68.5,274,4,"FirstTeeEarlyRound3ScoringAverage",2011
14,14,"Chris Stroud",NA,68.5,274,4,"FirstTeeEarlyRound3ScoringAverage",2011
14,14,"Bo Van Pelt",NA,68.5,822,12,"FirstTeeEarlyRound3ScoringAverage",2011
18,18,"Charles Howell III",NA,68.57,480,7,"FirstTeeEarlyRound3ScoringAverage",2011
19,19,"Phil Mickelson",NA,68.67,618,9,"FirstTeeEarlyRound3ScoringAverage",2011
19,19,"Steve Stricker",NA,68.67,206,3,"FirstTeeEarlyRound3ScoringAverage",2011
21,21,"John Merrick",NA,68.71,481,7,"FirstTeeEarlyRound3ScoringAverage",2011
22,22,"Retief Goosen",NA,68.83,413,6,"FirstTeeEarlyRound3ScoringAverage",2011
