"PuttingfromInside5_RANKTHISWEEK_2016","PuttingfromInside5_RANKLASTWEEK_2016","PuttingfromInside5_PLAYERNAME_2016","PuttingfromInside5_ROUNDS_2016","PuttingfromInside5_Pct_2016","PuttingfromInside5_ATTEMPTS_2016","PuttingfromInside5_PUTTSMADE_2016","stat_name","year"
1,1,"Henrik Stenson",30,99.21,253,251,"PuttingfromInside5",2016
2,2,"Darron Stiles",28,98.74,238,235,"PuttingfromInside5",2016
3,5,"Cameron Percy",22,98.54,206,203,"PuttingfromInside5",2016
4,6,"Troy Merritt",41,98.5,399,393,"PuttingfromInside5",2016
5,11,"Adam Hadwin",53,98.42,633,623,"PuttingfromInside5",2016
6,4,"Daniel Berger",52,98.4,500,492,"PuttingfromInside5",2016
7,8,"Billy Hurley III",22,98.37,245,241,"PuttingfromInside5",2016
8,11,"Marc Leishman",41,98.29,350,344,"PuttingfromInside5",2016
9,13,"Carl Pettersson",31,98.25,401,394,"PuttingfromInside5",2016
9,15,"Brendon Todd",43,98.25,458,450,"PuttingfromInside5",2016
11,20,"John Senden",48,98.21,558,548,"PuttingfromInside5",2016
12,18,"Andres Gonzales",46,98.17,493,484,"PuttingfromInside5",2016
13,10,"Colt Knost",56,98.15,596,585,"PuttingfromInside5",2016
14,21,"Peter Malnati",53,98.1,579,568,"PuttingfromInside5",2016
15,7,"Martin Laird",46,98.01,554,543,"PuttingfromInside5",2016
16,22,"Jason Day",36,97.99,298,292,"PuttingfromInside5",2016
17,15,"David Toms",38,97.95,439,430,"PuttingfromInside5",2016
18,19,"Sean OHair",45,97.9,571,559,"PuttingfromInside5",2016
19,25,"Hunter Mahan",43,97.89,426,417,"PuttingfromInside5",2016
20,28,"Jason Bohn",37,97.84,417,408,"PuttingfromInside5",2016
21,17,"Phil Mickelson",37,97.83,369,361,"PuttingfromInside5",2016
22,14,"Thomas Aiken",42,97.79,362,354,"PuttingfromInside5",2016
23,3,"Byeong Hun An",23,97.78,180,176,"PuttingfromInside5",2016
24,40,"James Hahn",45,97.75,533,521,"PuttingfromInside5",2016
24,23,"Dawie van der Walt",48,97.75,489,478,"PuttingfromInside5",2016
26,46,"Harris English",51,97.74,487,476,"PuttingfromInside5",2016
26,9,"Chesson Hadley",51,97.74,532,520,"PuttingfromInside5",2016
26,28,"Martin Piller",37,97.74,354,346,"PuttingfromInside5",2016
29,27,"Luke Guthrie",31,97.69,303,296,"PuttingfromInside5",2016
30,42,"Daniel Summerhays",55,97.66,599,585,"PuttingfromInside5",2016
31,30,"Bryce Molder",50,97.65,553,540,"PuttingfromInside5",2016
32,48,"Brian Harman",60,97.62,630,615,"PuttingfromInside5",2016
33,32,"Graeme McDowell",33,97.57,329,321,"PuttingfromInside5",2016
34,58,"Luke Donald",49,97.56,492,480,"PuttingfromInside5",2016
35,65,"Hideki Matsuyama",40,97.54,366,357,"PuttingfromInside5",2016
36,33,"Jon Curran",55,97.53,566,552,"PuttingfromInside5",2016
36,33,"Matt Kuchar",46,97.53,446,435,"PuttingfromInside5",2016
38,38,"Miguel Angel Carballo",24,97.5,200,195,"PuttingfromInside5",2016
38,31,"David Lingmerth",54,97.5,520,507,"PuttingfromInside5",2016
40,35,"Jonas Blixt",46,97.46,511,498,"PuttingfromInside5",2016
41,61,"Kelly Kraft",35,97.45,275,268,"PuttingfromInside5",2016
41,42,"Ryan Palmer",46,97.45,589,574,"PuttingfromInside5",2016
41,55,"Kevin Streelman",46,97.45,470,458,"PuttingfromInside5",2016
44,26,"Jason Gore",51,97.44,508,495,"PuttingfromInside5",2016
44,44,"Russell Henley",42,97.44,508,495,"PuttingfromInside5",2016
46,37,"Retief Goosen",37,97.38,458,446,"PuttingfromInside5",2016
47,49,"Charles Howell III",63,97.36,721,702,"PuttingfromInside5",2016
47,38,"Scott Langley",41,97.36,455,443,"PuttingfromInside5",2016
49,51,"Jerry Kelly",44,97.35,415,404,"PuttingfromInside5",2016
49,75,"Francesco Molinari",36,97.35,491,478,"PuttingfromInside5",2016
51,52,"Lucas Lee",22,97.32,224,218,"PuttingfromInside5",2016
52,69,"Bill Haas",42,97.28,404,393,"PuttingfromInside5",2016
53,41,"Tim Wilkinson",40,97.25,364,354,"PuttingfromInside5",2016
54,57,"Freddie Jacobson",54,97.24,543,528,"PuttingfromInside5",2016
54,52,"Patton Kizzire",57,97.24,615,598,"PuttingfromInside5",2016
56,54,"Blayne Barber",44,97.23,541,526,"PuttingfromInside5",2016
56,63,"Graham DeLaet",50,97.23,614,597,"PuttingfromInside5",2016
58,59,"Bubba Watson",30,97.2,250,243,"PuttingfromInside5",2016
59,35,"Rickie Fowler",42,97.17,459,446,"PuttingfromInside5",2016
59,46,"Michael Thompson",46,97.17,459,446,"PuttingfromInside5",2016
61,64,"Brandt Snedeker",47,97.1,482,468,"PuttingfromInside5",2016
62,73,"Michael Kim",62,97.08,718,697,"PuttingfromInside5",2016
63,62,"Johnson Wagner",44,97.06,476,462,"PuttingfromInside5",2016
64,84,"Brendon de Jonge",55,97.03,573,556,"PuttingfromInside5",2016
64,87,"Mark Hubbard",73,97.03,842,817,"PuttingfromInside5",2016
66,70,"John Huh",51,97.02,638,619,"PuttingfromInside5",2016
67,71,"Shane Bertsch",30,97,267,259,"PuttingfromInside5",2016
68,66,"DH Lee",35,96.99,332,322,"PuttingfromInside5",2016
69,110,"Emiliano Grillo",47,96.98,497,482,"PuttingfromInside5",2016
70,73,"Andrew Landry",24,96.97,165,160,"PuttingfromInside5",2016
71,90,"Jhonattan Vegas",49,96.96,493,478,"PuttingfromInside5",2016
71,49,"Boo Weekley",53,96.96,593,575,"PuttingfromInside5",2016
73,89,"Kyle Stanley",57,96.94,653,633,"PuttingfromInside5",2016
74,56,"Derek Fathauer",58,96.93,619,600,"PuttingfromInside5",2016
74,76,"Justin Leonard",28,96.93,326,316,"PuttingfromInside5",2016
74,76,"Hudson Swafford",52,96.93,554,537,"PuttingfromInside5",2016
77,78,"Branden Grace",31,96.92,260,252,"PuttingfromInside5",2016
77,78,"Andres Romero",22,96.92,195,189,"PuttingfromInside5",2016
79,90,"Tyrone Van Aswegen",67,96.9,741,718,"PuttingfromInside5",2016
80,83,"Jordan Spieth",34,96.88,288,279,"PuttingfromInside5",2016
81,84,"KJ Choi",47,96.86,573,555,"PuttingfromInside5",2016
81,84,"Brian Gay",22,96.86,255,247,"PuttingfromInside5",2016
