"Back9Par5ScoringAverage_RANKTHISWEEK_2011","Back9Par5ScoringAverage_RANKLASTWEEK_2011","Back9Par5ScoringAverage_PLAYERNAME_2011","Back9Par5ScoringAverage_ROUNDS_2011","Back9Par5ScoringAverage_AVG_2011","Back9Par5ScoringAverage_TOTALSTROKES_2011","Back9Par5ScoringAverage_TOTALHOLES_2011","stat_name","year"
1,1,"Bubba Watson",85,4.46,584,131,"Back9Par5ScoringAverage",2011
2,2,"Phil Mickelson",79,4.47,581,130,"Back9Par5ScoringAverage",2011
3,3,"Webb Simpson",98,4.48,681,152,"Back9Par5ScoringAverage",2011
4,4,"Kyle Stanley",98,4.49,709,158,"Back9Par5ScoringAverage",2011
5,5,"Sergio Garcia",61,4.52,416,92,"Back9Par5ScoringAverage",2011
5,5,"Steve Stricker",70,4.52,497,110,"Back9Par5ScoringAverage",2011
5,5,"Bo Van Pelt",92,4.52,619,137,"Back9Par5ScoringAverage",2011
8,8,"Charles Howell III",108,4.54,772,170,"Back9Par5ScoringAverage",2011
8,8,"David Toms",78,4.54,545,120,"Back9Par5ScoringAverage",2011
10,10,"Chris Couch",73,4.55,560,123,"Back9Par5ScoringAverage",2011
11,11,"Jonathan Byrd",83,4.56,602,132,"Back9Par5ScoringAverage",2011
11,11,"Brendan Steele",89,4.56,671,147,"Back9Par5ScoringAverage",2011
13,13,"Boo Weekley",66,4.57,471,103,"Back9Par5ScoringAverage",2011
14,14,"Brendon de Jonge",105,4.58,806,176,"Back9Par5ScoringAverage",2011
14,14,"Lucas Glover",74,4.58,504,110,"Back9Par5ScoringAverage",2011
14,14,"Kevin Na",84,4.58,632,138,"Back9Par5ScoringAverage",2011
17,17,"Spencer Levin",113,4.59,808,176,"Back9Par5ScoringAverage",2011
18,18,"Keegan Bradley",91,4.6,672,146,"Back9Par5ScoringAverage",2011
18,18,"Luke Donald",73,4.6,460,100,"Back9Par5ScoringAverage",2011
18,18,"Hunter Mahan",92,4.6,653,142,"Back9Par5ScoringAverage",2011
18,18,"Vaughn Taylor",89,4.6,699,152,"Back9Par5ScoringAverage",2011
22,22,"Greg Chalmers",88,4.61,646,140,"Back9Par5ScoringAverage",2011
22,22,"Sung Kang",63,4.61,456,99,"Back9Par5ScoringAverage",2011
22,22,"John Rollins",85,4.61,650,141,"Back9Par5ScoringAverage",2011
22,22,"John Senden",94,4.61,714,155,"Back9Par5ScoringAverage",2011
