"ConsecutiveSandSaves_RANKTHISWEEK_2010","ConsecutiveSandSaves_RANKLASTWEEK_2010","ConsecutiveSandSaves_PLAYERNAME_2010","ConsecutiveSandSaves_EVENTS_2010","ConsecutiveSandSaves_STREAK_2010","ConsecutiveSandSaves_CURRENTSTREAK_2010","ConsecutiveSandSaves_ROUND_2010","ConsecutiveSandSaves_HOLE_2010","ConsecutiveSandSaves_YEARTOURN_2010","stat_name","year"
1,1,"Luke Donald",20,18,1,1,1,2010040,"ConsecutiveSandSaves",2010
2,2,"Brian Gay",30,14,NA,3,16,2010400,"ConsecutiveSandSaves",2010
2,2,"Robert Karlsson",11,14,NA,2,4,2010250,"ConsecutiveSandSaves",2010
4,4,"Shane Bertsch",4,13,1,3,17,2010030,"ConsecutiveSandSaves",2010
4,4,"Trevor Immelman",19,13,1,2,16,2010160,"ConsecutiveSandSaves",2010
4,4,"Scott McCarron",29,13,1,4,6,2010300,"ConsecutiveSandSaves",2010
4,4,"Carl Pettersson",29,13,NA,1,14,2010220,"ConsecutiveSandSaves",2010
4,4,"Dicky Pride",5,13,1,2,14,2010250,"ConsecutiveSandSaves",2010
9,9,"Briny Baird",28,12,8,3,15,2010330,"ConsecutiveSandSaves",2010
9,9,"Greg Chalmers",27,12,NA,4,9,2010230,"ConsecutiveSandSaves",2010
9,9,"Brian Davis",32,12,1,1,17,2010190,"ConsecutiveSandSaves",2010
9,9,"Charlie Wi",27,12,NA,3,5,2010280,"ConsecutiveSandSaves",2010
13,13,"Stephen Ames",23,11,3,2,2,2010330,"ConsecutiveSandSaves",2010
13,13,"Brendon de Jonge",32,11,NA,2,14,2010200,"ConsecutiveSandSaves",2010
13,13,"Jerry Kelly",29,11,NA,4,9,2010200,"ConsecutiveSandSaves",2010
16,16,"Michael Bradley",24,10,NA,4,4,2010230,"ConsecutiveSandSaves",2010
16,16,"Chad Campbell",28,10,NA,3,16,2010350,"ConsecutiveSandSaves",2010
16,16,"John Merrick",31,10,NA,4,4,2010020,"ConsecutiveSandSaves",2010
16,16,"Kevin Na",26,10,NA,1,10,2010130,"ConsecutiveSandSaves",2010
16,16,"James Nitties",30,10,6,2,7,2010280,"ConsecutiveSandSaves",2010
16,16,"Pat Perez",27,10,1,4,2,2010220,"ConsecutiveSandSaves",2010
22,22,"Jonathan Byrd",26,9,1,2,5,2010450,"ConsecutiveSandSaves",2010
22,22,"Tim Clark",24,9,6,1,5,2010160,"ConsecutiveSandSaves",2010
22,22,"Chad Collins",26,9,1,1,17,2010220,"ConsecutiveSandSaves",2010
22,22,"Michael Connell",25,9,NA,4,13,2010040,"ConsecutiveSandSaves",2010
22,22,"Chris DiMarco",25,9,NA,1,16,2010180,"ConsecutiveSandSaves",2010
22,22,"Jim Furyk",21,9,9,1,11,2010410,"ConsecutiveSandSaves",2010
22,22,"Ryuji Imada",28,9,NA,2,7,2010090,"ConsecutiveSandSaves",2010
22,22,"Freddie Jacobson",24,9,NA,1,12,2010090,"ConsecutiveSandSaves",2010
22,22,"Zach Johnson",25,9,2,1,5,2010120,"ConsecutiveSandSaves",2010
22,22,"Jeff Klauk",13,9,NA,1,18,2010100,"ConsecutiveSandSaves",2010
22,22,"Joe Ogilvie",32,9,2,1,2,2010290,"ConsecutiveSandSaves",2010
22,22,"Geoff Ogilvy",19,9,9,1,14,2010400,"ConsecutiveSandSaves",2010
22,22,"Alvaro Quiros",9,9,NA,4,1,2010120,"ConsecutiveSandSaves",2010
22,22,"Brandt Snedeker",26,9,1,2,3,2010230,"ConsecutiveSandSaves",2010
36,36,"Matt Bettencourt",32,8,NA,2,18,2010270,"ConsecutiveSandSaves",2010
36,36,"KJ Choi",22,8,8,1,18,2010410,"ConsecutiveSandSaves",2010
36,36,"Chris Couch",23,8,NA,2,6,2010060,"ConsecutiveSandSaves",2010
36,36,"Fred Couples",7,8,NA,3,2,2010050,"ConsecutiveSandSaves",2010
36,36,"Retief Goosen",19,8,1,3,16,2010120,"ConsecutiveSandSaves",2010
36,36,"Mathias Gronberg",22,8,1,1,16,2010320,"ConsecutiveSandSaves",2010
36,36,"Lee Janzen",26,8,NA,1,3,2010250,"ConsecutiveSandSaves",2010
36,36,"Martin Kaymer",10,8,NA,2,13,2010120,"ConsecutiveSandSaves",2010
36,36,"Steve Marino",24,8,NA,1,11,2010050,"ConsecutiveSandSaves",2010
36,36,"Bryce Molder",26,8,1,4,9,2010050,"ConsecutiveSandSaves",2010
36,36,"Sean OHair",25,8,NA,3,4,2010120,"ConsecutiveSandSaves",2010
36,36,"DA Points",29,8,NA,1,11,2010360,"ConsecutiveSandSaves",2010
36,36,"Steve Stricker",19,8,NA,4,11,2010360,"ConsecutiveSandSaves",2010
36,36,"YE Yang",21,8,NA,3,11,2010200,"ConsecutiveSandSaves",2010
50,50,"Robert Allenby",22,7,NA,1,2,2010140,"ConsecutiveSandSaves",2010
50,50,"Aaron Baddeley",26,7,NA,3,8,2010450,"ConsecutiveSandSaves",2010
50,50,"Ricky Barnes",28,7,NA,3,1,2010040,"ConsecutiveSandSaves",2010
50,50,"Kevin Chappell",2,7,7,3,17,2010060,"ConsecutiveSandSaves",2010
50,50,"Jason Day",24,7,NA,1,11,2010410,"ConsecutiveSandSaves",2010
50,50,"Graham DeLaet",28,7,2,2,11,2010150,"ConsecutiveSandSaves",2010
50,50,"Jason Dufner",25,7,1,2,10,2010360,"ConsecutiveSandSaves",2010
50,50,"Martin Flores",26,7,2,4,16,2010450,"ConsecutiveSandSaves",2010
50,50,"Jason Gore",10,7,2,2,11,2010150,"ConsecutiveSandSaves",2010
50,50,"Nathan Green",27,7,NA,2,12,2010200,"ConsecutiveSandSaves",2010
50,50,"JP Hayes",25,7,NA,4,11,2010240,"ConsecutiveSandSaves",2010
50,50,"Matt Jones",27,7,1,4,5,2010380,"ConsecutiveSandSaves",2010
50,50,"Matt Kuchar",26,7,3,3,6,2010400,"ConsecutiveSandSaves",2010
50,50,"Marc Leishman",26,7,3,1,7,2010400,"ConsecutiveSandSaves",2010
50,50,"Michael Letzig",27,7,NA,3,3,2010170,"ConsecutiveSandSaves",2010
50,50,"Spencer Levin",31,7,2,4,17,2010450,"ConsecutiveSandSaves",2010
50,50,"Jarrod Lyle",18,7,NA,1,7,2010420,"ConsecutiveSandSaves",2010
