"FedExCupSeasonPoints_RANKTHISWEEK_2009","FedExCupSeasonPoints_RANKLASTWEEK_2009","FedExCupSeasonPoints_PLAYERNAME_2009","FedExCupSeasonPoints_EVENTS_2009","FedExCupSeasonPoints_POINTS_2009","FedExCupSeasonPoints_OFWINS_2009","FedExCupSeasonPoints_OFTOP10S_2009","FedExCupSeasonPoints_POINTSBEHINDLEAD_2009","FedExCupSeasonPoints_RESETPOINTS_2009","stat_name","year"
1,1,"Tiger Woods",13,3431,5,11,NA,NA,"FedExCupSeasonPoints",2009
2,2,"Steve Stricker",18,2155,2,8,1276,NA,"FedExCupSeasonPoints",2009
3,3,"Zach Johnson",21,2019,2,7,1412,NA,"FedExCupSeasonPoints",2009
4,4,"Kenny Perry",20,1993,2,7,1438,NA,"FedExCupSeasonPoints",2009
5,5,"Lucas Glover",22,1742,1,5,1689,NA,"FedExCupSeasonPoints",2009
6,6,"Phil Mickelson",14,1630,2,6,1801,NA,"FedExCupSeasonPoints",2009
7,7,"YE Yang",19,1621,2,4,1810,NA,"FedExCupSeasonPoints",2009
8,8,"Geoff Ogilvy",16,1603,2,4,1828,NA,"FedExCupSeasonPoints",2009
9,9,"Brian Gay",21,1540,2,4,1891,NA,"FedExCupSeasonPoints",2009
10,10,"Sean OHair",19,1474,1,6,1957,NA,"FedExCupSeasonPoints",2009
11,11,"Retief Goosen",16,1459,1,4,1972,NA,"FedExCupSeasonPoints",2009
12,12,"David Toms",21,1394,NA,7,2037,NA,"FedExCupSeasonPoints",2009
13,13,"Nick Watney",19,1388,1,3,2043,NA,"FedExCupSeasonPoints",2009
14,14,"Hunter Mahan",20,1282,NA,6,2149,NA,"FedExCupSeasonPoints",2009
15,15,"Stewart Cink",18,1225,1,4,2206,NA,"FedExCupSeasonPoints",2009
16,16,"Jim Furyk",18,1188,NA,7,2243,NA,"FedExCupSeasonPoints",2009
17,17,"Rory Sabbatini",19,1163,1,4,2268,NA,"FedExCupSeasonPoints",2009
18,18,"Paul Casey",12,1161,1,3,2270,NA,"FedExCupSeasonPoints",2009
19,19,"Dustin Johnson",20,1155,1,4,2276,NA,"FedExCupSeasonPoints",2009
20,20,"John Rollins",21,1112,1,4,2319,NA,"FedExCupSeasonPoints",2009
21,21,"Jerry Kelly",21,1068,1,5,2363,NA,"FedExCupSeasonPoints",2009
22,22,"Ryan Moore",21,1023,1,4,2408,NA,"FedExCupSeasonPoints",2009
23,23,"Kevin Na",22,1021,NA,8,2410,NA,"FedExCupSeasonPoints",2009
