"GIRPercentagefromOtherthanFairway_RANKTHISWEEK_2007","GIRPercentagefromOtherthanFairway_RANKLASTWEEK_2007","GIRPercentagefromOtherthanFairway_PLAYERNAME_2007","GIRPercentagefromOtherthanFairway_ROUNDS_2007","GIRPercentagefromOtherthanFairway_Pct_2007","GIRPercentagefromOtherthanFairway_GREENSHIT_2007","GIRPercentagefromOtherthanFairway_OFHOLES_2007","stat_name","year"
1,1,"Jeff Overton",60,58.84,173,294,"GIRPercentagefromOtherthanFairway",2007
2,2,"Kevin Stadler",95,57.4,291,507,"GIRPercentagefromOtherthanFairway",2007
3,3,"John Senden",97,57.11,265,464,"GIRPercentagefromOtherthanFairway",2007
4,4,"Mathew Goggin",97,56.69,250,441,"GIRPercentagefromOtherthanFairway",2007
5,5,"Robert Garrigus",95,56.55,354,626,"GIRPercentagefromOtherthanFairway",2007
6,6,"Cameron Beckman",96,56.39,234,415,"GIRPercentagefromOtherthanFairway",2007
7,7,"Steve Marino",106,56.15,315,561,"GIRPercentagefromOtherthanFairway",2007
8,8,"Charles Warren",101,55.98,262,468,"GIRPercentagefromOtherthanFairway",2007
9,9,"JB Holmes",71,55.64,222,399,"GIRPercentagefromOtherthanFairway",2007
10,10,"Brett Wetterich",88,55.58,284,511,"GIRPercentagefromOtherthanFairway",2007
11,11,"Bo Van Pelt",104,55.54,306,551,"GIRPercentagefromOtherthanFairway",2007
12,12,"Greg Owen",81,55.53,221,398,"GIRPercentagefromOtherthanFairway",2007
13,13,"Tiger Woods",63,55.46,188,339,"GIRPercentagefromOtherthanFairway",2007
14,14,"John Merrick",92,55.37,263,475,"GIRPercentagefromOtherthanFairway",2007
15,15,"Tommy Armour III",81,55.14,177,321,"GIRPercentagefromOtherthanFairway",2007
16,16,"Daniel Chopra",106,55.07,364,661,"GIRPercentagefromOtherthanFairway",2007
17,17,"Chris Tidland",59,54.95,161,293,"GIRPercentagefromOtherthanFairway",2007
18,18,"John Daly",59,54.77,264,482,"GIRPercentagefromOtherthanFairway",2007
18,18,"Jason Gore",86,54.77,241,440,"GIRPercentagefromOtherthanFairway",2007
20,20,"Jesper Parnevik",88,54.65,241,441,"GIRPercentagefromOtherthanFairway",2007
20,20,"Michael Putnam",96,54.65,282,516,"GIRPercentagefromOtherthanFairway",2007
22,22,"Nick Watney",87,54.43,258,474,"GIRPercentagefromOtherthanFairway",2007
23,23,"Joey Sindelar",75,54.42,197,362,"GIRPercentagefromOtherthanFairway",2007
24,24,"Mathias Gronberg",95,54.12,289,534,"GIRPercentagefromOtherthanFairway",2007
