"BirdieorBetterPercentageLess125_RANKTHISWEEK_2015","BirdieorBetterPercentageLess125_RANKLASTWEEK_2015","BirdieorBetterPercentageLess125_PLAYERNAME_2015","BirdieorBetterPercentageLess125_ROUNDS_2015","BirdieorBetterPercentageLess125_Pct_2015","BirdieorBetterPercentageLess125_TOTALBIRDIES_2015","BirdieorBetterPercentageLess125_TOTALHOLES_2015","stat_name","year"
1,1,"Francesco Molinari",56,33.77,51,151,"BirdieorBetterPercentageLess125",2015
2,2,"Ryan Moore",81,32.9,76,231,"BirdieorBetterPercentageLess125",2015
3,3,"Brandt Snedeker",98,31.16,91,292,"BirdieorBetterPercentageLess125",2015
4,4,"KJ Choi",66,29.73,66,222,"BirdieorBetterPercentageLess125",2015
5,5,"Adam Scott",51,29.6,37,125,"BirdieorBetterPercentageLess125",2015
6,6,"Sergio Garcia",59,29.29,41,140,"BirdieorBetterPercentageLess125",2015
7,7,"Dustin Johnson",75,29.25,74,253,"BirdieorBetterPercentageLess125",2015
8,8,"Greg Chalmers",58,28.57,42,147,"BirdieorBetterPercentageLess125",2015
8,8,"Brendon Todd",96,28.57,88,308,"BirdieorBetterPercentageLess125",2015
10,10,"Colt Knost",90,28.22,81,287,"BirdieorBetterPercentageLess125",2015
11,11,"Hideki Matsuyama",95,28.19,73,259,"BirdieorBetterPercentageLess125",2015
12,12,"Rickie Fowler",76,28.17,60,213,"BirdieorBetterPercentageLess125",2015
13,13,"Zach Johnson",90,27.73,71,256,"BirdieorBetterPercentageLess125",2015
14,14,"Steve Wheatcroft",87,27.61,82,297,"BirdieorBetterPercentageLess125",2015
15,15,"Jason Bohn",95,27.6,106,384,"BirdieorBetterPercentageLess125",2015
16,16,"Jimmy Walker",89,27.53,79,287,"BirdieorBetterPercentageLess125",2015
17,17,"Stewart Cink",77,27.45,70,255,"BirdieorBetterPercentageLess125",2015
18,18,"Jason Day",75,27.41,74,270,"BirdieorBetterPercentageLess125",2015
19,19,"Ben Crane",62,27.36,58,212,"BirdieorBetterPercentageLess125",2015
20,20,"Nick Watney",91,27.3,92,337,"BirdieorBetterPercentageLess125",2015
21,21,"Kevin Na",98,27.2,68,250,"BirdieorBetterPercentageLess125",2015
22,22,"Luke Donald",71,27.18,53,195,"BirdieorBetterPercentageLess125",2015
23,23,"Mark Wilson",89,27.1,84,310,"BirdieorBetterPercentageLess125",2015
24,24,"Sean OHair",86,27.05,76,281,"BirdieorBetterPercentageLess125",2015
25,25,"Rory Sabbatini",81,26.98,68,252,"BirdieorBetterPercentageLess125",2015
26,26,"Justin Rose",69,26.96,55,204,"BirdieorBetterPercentageLess125",2015
27,27,"Matt Jones",89,26.84,62,231,"BirdieorBetterPercentageLess125",2015
28,28,"Scott Brown",97,26.75,88,329,"BirdieorBetterPercentageLess125",2015
28,28,"Paul Casey",87,26.75,61,228,"BirdieorBetterPercentageLess125",2015
30,30,"Greg Owen",58,26.63,45,169,"BirdieorBetterPercentageLess125",2015
31,31,"Zac Blair",108,26.57,89,335,"BirdieorBetterPercentageLess125",2015
31,31,"David Hearn",97,26.57,89,335,"BirdieorBetterPercentageLess125",2015
33,33,"Danny Lee",120,26.47,99,374,"BirdieorBetterPercentageLess125",2015
34,34,"Chad Campbell",97,26.35,83,315,"BirdieorBetterPercentageLess125",2015
35,35,"Jim Furyk",71,26.32,60,228,"BirdieorBetterPercentageLess125",2015
35,35,"Cameron Tringale",96,26.32,75,285,"BirdieorBetterPercentageLess125",2015
37,37,"Scott Langley",94,26.19,77,294,"BirdieorBetterPercentageLess125",2015
38,38,"William McGirt",103,26.03,95,365,"BirdieorBetterPercentageLess125",2015
39,39,"Nick Taylor",91,25.97,94,362,"BirdieorBetterPercentageLess125",2015
40,40,"Chris Stroud",84,25.78,66,256,"BirdieorBetterPercentageLess125",2015
41,41,"George McNeill",93,25.73,79,307,"BirdieorBetterPercentageLess125",2015
42,42,"Daniel Summerhays",101,25.71,81,315,"BirdieorBetterPercentageLess125",2015
43,43,"Tom Hoge",83,25.63,71,277,"BirdieorBetterPercentageLess125",2015
44,44,"Fabian Gomez",83,25.61,74,289,"BirdieorBetterPercentageLess125",2015
45,45,"Justin Thomas",106,25.58,99,387,"BirdieorBetterPercentageLess125",2015
46,46,"Will Wilcox",58,25.52,37,145,"BirdieorBetterPercentageLess125",2015
47,47,"Russell Henley",87,25.45,71,279,"BirdieorBetterPercentageLess125",2015
47,47,"Chris Kirk",76,25.45,57,224,"BirdieorBetterPercentageLess125",2015
49,49,"Ken Duke",93,25.34,75,296,"BirdieorBetterPercentageLess125",2015
50,50,"Ryo Ishikawa",90,25.29,65,257,"BirdieorBetterPercentageLess125",2015
51,51,"Justin Leonard",61,25.25,51,202,"BirdieorBetterPercentageLess125",2015
52,52,"Bubba Watson",71,25.09,69,275,"BirdieorBetterPercentageLess125",2015
53,53,"Chez Reavie",56,25,47,188,"BirdieorBetterPercentageLess125",2015
53,53,"Henrik Stenson",63,25,35,140,"BirdieorBetterPercentageLess125",2015
53,53,"Lee Westwood",56,25,33,132,"BirdieorBetterPercentageLess125",2015
56,56,"Scott Piercy",90,24.93,85,341,"BirdieorBetterPercentageLess125",2015
57,57,"Jonathan Byrd",69,24.85,41,165,"BirdieorBetterPercentageLess125",2015
58,58,"James Hahn",94,24.84,79,318,"BirdieorBetterPercentageLess125",2015
58,58,"JB Holmes",89,24.84,79,318,"BirdieorBetterPercentageLess125",2015
60,60,"Kevin Chappell",86,24.83,75,302,"BirdieorBetterPercentageLess125",2015
61,61,"Hudson Swafford",97,24.76,77,311,"BirdieorBetterPercentageLess125",2015
62,62,"Robert Allenby",63,24.72,44,178,"BirdieorBetterPercentageLess125",2015
63,63,"Jerry Kelly",79,24.71,63,255,"BirdieorBetterPercentageLess125",2015
64,64,"Chesson Hadley",101,24.59,90,366,"BirdieorBetterPercentageLess125",2015
65,65,"Jon Curran",83,24.54,66,269,"BirdieorBetterPercentageLess125",2015
