"GIRPercentagefromOtherthanFairway_RANKTHISWEEK_2006","GIRPercentagefromOtherthanFairway_RANKLASTWEEK_2006","GIRPercentagefromOtherthanFairway_PLAYERNAME_2006","GIRPercentagefromOtherthanFairway_ROUNDS_2006","GIRPercentagefromOtherthanFairway_Pct_2006","GIRPercentagefromOtherthanFairway_GREENSHIT_2006","GIRPercentagefromOtherthanFairway_OFHOLES_2006","stat_name","year"
1,1,"Tiger Woods",55,61.19,175,286,"GIRPercentagefromOtherthanFairway",2006
2,2,"Greg Owen",79,60.91,215,353,"GIRPercentagefromOtherthanFairway",2006
3,3,"Jeff Gove",91,60.82,253,416,"GIRPercentagefromOtherthanFairway",2006
4,4,"Bubba Watson",83,57.6,307,533,"GIRPercentagefromOtherthanFairway",2006
5,5,"Fred Couples",52,57.37,183,319,"GIRPercentagefromOtherthanFairway",2006
6,6,"John Senden",96,57.36,261,455,"GIRPercentagefromOtherthanFairway",2006
7,7,"Jonathan Byrd",66,57.32,188,328,"GIRPercentagefromOtherthanFairway",2006
8,8,"Briny Baird",81,56.68,174,307,"GIRPercentagefromOtherthanFairway",2006
9,9,"Frank Lickliter II",99,56.67,255,450,"GIRPercentagefromOtherthanFairway",2006
10,10,"Charles Warren",93,56.44,254,450,"GIRPercentagefromOtherthanFairway",2006
11,11,"Mathias Gronberg",92,56.22,262,466,"GIRPercentagefromOtherthanFairway",2006
12,12,"Brett Wetterich",82,56.04,246,439,"GIRPercentagefromOtherthanFairway",2006
13,13,"Phil Mickelson",74,55.64,222,399,"GIRPercentagefromOtherthanFairway",2006
14,14,"Paul Stankowski",70,55.56,210,378,"GIRPercentagefromOtherthanFairway",2006
15,15,"Jonathan Kaye",95,55.51,247,445,"GIRPercentagefromOtherthanFairway",2006
16,16,"Matt Hansen",68,55.28,204,369,"GIRPercentagefromOtherthanFairway",2006
16,16,"Pat Perez",50,55.28,157,284,"GIRPercentagefromOtherthanFairway",2006
16,16,"Vijay Singh",103,55.28,314,568,"GIRPercentagefromOtherthanFairway",2006
19,19,"Rory Sabbatini",84,55.27,278,503,"GIRPercentagefromOtherthanFairway",2006
20,20,"Eric Axley",91,55.11,248,450,"GIRPercentagefromOtherthanFairway",2006
21,21,"Arron Oberholser",82,55.07,228,414,"GIRPercentagefromOtherthanFairway",2006
22,22,"Alex Cejka",93,54.69,233,426,"GIRPercentagefromOtherthanFairway",2006
23,23,"Davis Love III",85,54.46,232,426,"GIRPercentagefromOtherthanFairway",2006
24,24,"Camilo Villegas",95,54.41,296,544,"GIRPercentagefromOtherthanFairway",2006
25,25,"Lucas Glover",105,54.39,279,513,"GIRPercentagefromOtherthanFairway",2006
26,26,"Billy Andrade",78,54.19,207,382,"GIRPercentagefromOtherthanFairway",2006
27,27,"Jim Furyk",89,54.18,175,323,"GIRPercentagefromOtherthanFairway",2006
28,28,"Omar Uresti",61,54.03,114,211,"GIRPercentagefromOtherthanFairway",2006
29,29,"Charley Hoffman",100,54.01,310,574,"GIRPercentagefromOtherthanFairway",2006
30,30,"Jeff Brehaut",100,53.98,244,452,"GIRPercentagefromOtherthanFairway",2006
31,31,"Trevor Immelman",86,53.85,245,455,"GIRPercentagefromOtherthanFairway",2006
32,32,"Troy Matteson",101,53.77,307,571,"GIRPercentagefromOtherthanFairway",2006
33,33,"Charles Howell III",96,53.71,304,566,"GIRPercentagefromOtherthanFairway",2006
34,34,"Joe Durant",101,53.47,162,303,"GIRPercentagefromOtherthanFairway",2006
35,35,"Justin Rose",98,53.46,255,477,"GIRPercentagefromOtherthanFairway",2006
36,36,"David Branshaw",98,53.35,231,433,"GIRPercentagefromOtherthanFairway",2006
36,36,"Ryan Hietala",61,53.35,215,403,"GIRPercentagefromOtherthanFairway",2006
38,38,"Daniel Chopra",110,53.33,344,645,"GIRPercentagefromOtherthanFairway",2006
39,39,"Sergio Garcia",59,53.16,160,301,"GIRPercentagefromOtherthanFairway",2006
39,39,"Kevin Sutherland",100,53.16,252,474,"GIRPercentagefromOtherthanFairway",2006
41,41,"Jeff Overton",95,53.14,288,542,"GIRPercentagefromOtherthanFairway",2006
41,41,"Kenny Perry",73,53.14,169,318,"GIRPercentagefromOtherthanFairway",2006
43,43,"Rich Beem",85,53.05,226,426,"GIRPercentagefromOtherthanFairway",2006
44,44,"Scott Gutschewski",53,53.01,132,249,"GIRPercentagefromOtherthanFairway",2006
45,45,"Ian Poulter",53,53,115,217,"GIRPercentagefromOtherthanFairway",2006
46,46,"Brett Quigley",109,52.99,319,602,"GIRPercentagefromOtherthanFairway",2006
47,47,"Bo Van Pelt",102,52.95,296,559,"GIRPercentagefromOtherthanFairway",2006
48,48,"Marco Dawson",87,52.87,249,471,"GIRPercentagefromOtherthanFairway",2006
49,49,"Bubba Dickerson",98,52.81,263,498,"GIRPercentagefromOtherthanFairway",2006
50,50,"Steve Lowery",99,52.77,267,506,"GIRPercentagefromOtherthanFairway",2006
51,51,"Bart Bryant",87,52.74,173,328,"GIRPercentagefromOtherthanFairway",2006
52,52,"Kris Cox",83,52.72,242,459,"GIRPercentagefromOtherthanFairway",2006
53,53,"Roger Tambellini",64,52.63,190,361,"GIRPercentagefromOtherthanFairway",2006
54,54,"Bill Haas",99,52.57,297,565,"GIRPercentagefromOtherthanFairway",2006
55,55,"Bob May",65,52.44,172,328,"GIRPercentagefromOtherthanFairway",2006
56,56,"Steve Elkington",52,52.43,97,185,"GIRPercentagefromOtherthanFairway",2006
57,57,"John Rollins",93,52.42,238,454,"GIRPercentagefromOtherthanFairway",2006
58,58,"JJ Henry",96,52.32,271,518,"GIRPercentagefromOtherthanFairway",2006
59,59,"Henrik Bjornstad",97,52.31,260,497,"GIRPercentagefromOtherthanFairway",2006
59,59,"Joey Sindelar",90,52.31,226,432,"GIRPercentagefromOtherthanFairway",2006
