"GreensinRegulationPercentage_RANKTHISWEEK_2006","GreensinRegulationPercentage_RANKLASTWEEK_2006","GreensinRegulationPercentage_PLAYERNAME_2006","GreensinRegulationPercentage_ROUNDS_2006","GreensinRegulationPercentage_Pct_2006","GreensinRegulationPercentage_GREENSHIT_2006","GreensinRegulationPercentage_HOLES_2006","GreensinRegulationPercentage_RELATIVEPAR_2006","stat_name","year"
1,1,"Tiger Woods",55,74.15,694,936,-0.34,"GreensinRegulationPercentage",2006
2,2,"Jeff Gove",91,72.03,1128,1566,-0.22,"GreensinRegulationPercentage",2006
3,3,"John Senden",96,71.15,1191,1674,-0.25,"GreensinRegulationPercentage",2006
4,4,"Jim Furyk",89,70.71,1120,1584,-0.29,"GreensinRegulationPercentage",2006
5,5,"Briny Baird",81,70.2,973,1386,-0.26,"GreensinRegulationPercentage",2006
6,6,"Joe Durant",101,69.75,1268,1818,-0.26,"GreensinRegulationPercentage",2006
7,7,"David Branshaw",98,69.67,1229,1764,-0.24,"GreensinRegulationPercentage",2006
8,8,"Jonathan Byrd",66,69.61,827,1188,-0.3,"GreensinRegulationPercentage",2006
8,8,"Steve Elkington",52,69.61,639,918,-0.21,"GreensinRegulationPercentage",2006
10,10,"Chris Smith",67,69.32,836,1206,-0.23,"GreensinRegulationPercentage",2006
11,11,"Arron Oberholser",82,69.27,985,1422,-0.26,"GreensinRegulationPercentage",2006
12,12,"Adam Scott",70,69.12,846,1224,-0.28,"GreensinRegulationPercentage",2006
13,13,"Bob May",65,69.09,771,1116,-0.25,"GreensinRegulationPercentage",2006
14,14,"Trevor Immelman",86,69.06,1069,1548,-0.28,"GreensinRegulationPercentage",2006
15,15,"Kenny Perry",73,68.75,891,1296,-0.22,"GreensinRegulationPercentage",2006
16,16,"Bart Bryant",87,68.67,1063,1548,-0.22,"GreensinRegulationPercentage",2006
17,17,"Joey Sindelar",90,68.64,1112,1620,-0.23,"GreensinRegulationPercentage",2006
18,18,"Greg Owen",79,68.54,950,1386,-0.25,"GreensinRegulationPercentage",2006
19,19,"Jonathan Kaye",95,68.42,1133,1656,-0.21,"GreensinRegulationPercentage",2006
20,20,"Kevin Sutherland",100,68.29,1180,1728,-0.25,"GreensinRegulationPercentage",2006
21,21,"Phil Mickelson",74,68.28,848,1242,-0.34,"GreensinRegulationPercentage",2006
22,22,"JJ Henry",96,68.16,1141,1674,-0.26,"GreensinRegulationPercentage",2006
23,23,"KJ Choi",93,68.12,1128,1656,-0.25,"GreensinRegulationPercentage",2006
24,24,"Steve Stricker",64,68.01,759,1116,-0.3,"GreensinRegulationPercentage",2006
25,25,"Will Ma Kenzie",91,67.99,1077,1584,-0.25,"GreensinRegulationPercentage",2006
26,26,"Frank Lickliter II",99,67.98,1187,1746,-0.27,"GreensinRegulationPercentage",2006
26,26,"Mark Wilson",79,67.98,930,1368,-0.27,"GreensinRegulationPercentage",2006
28,28,"Charles Warren",93,67.96,1101,1620,-0.25,"GreensinRegulationPercentage",2006
