"PuttsmadeDistance_RANKTHISWEEK_2008","PuttsmadeDistance_RANKLASTWEEK_2008","PuttsmadeDistance_PLAYERNAME_2008","PuttsmadeDistance_EVENTS_2008","PuttsmadeDistance_DISTANCEININCHES_2008","stat_name","year"
1,1,"Ben Crane",25,56,"PuttsmadeDistance",2008
2,2,"Corey Pavin",20,55,"PuttsmadeDistance",2008
2,2,"Jeff Quinney",28,55,"PuttsmadeDistance",2008
4,4,"Richard Johnson",29,54,"PuttsmadeDistance",2008
4,4,"Ryan Palmer",22,54,"PuttsmadeDistance",2008
4,4,"Jesper Parnevik",29,54,"PuttsmadeDistance",2008
4,4,"Pat Perez",27,54,"PuttsmadeDistance",2008
4,4,"Rory Sabbatini",23,54,"PuttsmadeDistance",2008
4,4,"Marc Turnesa",29,54,"PuttsmadeDistance",2008
10,10,"Woody Austin",30,53,"PuttsmadeDistance",2008
10,10,"Chad Campbell",28,53,"PuttsmadeDistance",2008
10,10,"KJ Choi",21,53,"PuttsmadeDistance",2008
10,10,"Daniel Chopra",27,53,"PuttsmadeDistance",2008
10,10,"Stewart Cink",23,53,"PuttsmadeDistance",2008
10,10,"Nathan Green",30,53,"PuttsmadeDistance",2008
10,10,"Mathias Gronberg",30,53,"PuttsmadeDistance",2008
10,10,"Dudley Hart",22,53,"PuttsmadeDistance",2008
10,10,"Mark Hensby",26,53,"PuttsmadeDistance",2008
10,10,"Craig Kanada",23,53,"PuttsmadeDistance",2008
10,10,"Steve Lowery",25,53,"PuttsmadeDistance",2008
10,10,"Hunter Mahan",27,53,"PuttsmadeDistance",2008
10,10,"Steve Marino",32,53,"PuttsmadeDistance",2008
10,10,"Scott McCarron",22,53,"PuttsmadeDistance",2008
10,10,"Tim Petrovic",32,53,"PuttsmadeDistance",2008
10,10,"Andres Romero",20,53,"PuttsmadeDistance",2008
10,10,"Bob Tway",20,53,"PuttsmadeDistance",2008
10,10,"Mark Wilson",29,53,"PuttsmadeDistance",2008
29,29,"Eric Axley",35,52,"PuttsmadeDistance",2008
29,29,"Chad Collins",24,52,"PuttsmadeDistance",2008
29,29,"Steve Elkington",25,52,"PuttsmadeDistance",2008
29,29,"Kenneth Ferrie",25,52,"PuttsmadeDistance",2008
29,29,"Nick Flanagan",29,52,"PuttsmadeDistance",2008
29,29,"Ryuji Imada",25,52,"PuttsmadeDistance",2008
29,29,"Greg Kraft",21,52,"PuttsmadeDistance",2008
29,29,"Justin Leonard",25,52,"PuttsmadeDistance",2008
29,29,"Jeff Overton",32,52,"PuttsmadeDistance",2008
29,29,"Brenden Pappas",24,52,"PuttsmadeDistance",2008
29,29,"Camilo Villegas",22,52,"PuttsmadeDistance",2008
29,29,"Johnson Wagner",26,52,"PuttsmadeDistance",2008
29,29,"Dean Wilson",32,52,"PuttsmadeDistance",2008
42,42,"Steve Allan",21,51,"PuttsmadeDistance",2008
42,42,"Ryan Armour",32,51,"PuttsmadeDistance",2008
42,42,"Aaron Baddeley",22,51,"PuttsmadeDistance",2008
42,42,"Jonathan Byrd",27,51,"PuttsmadeDistance",2008
42,42,"Tim Clark",27,51,"PuttsmadeDistance",2008
42,42,"James Driscoll",28,51,"PuttsmadeDistance",2008
42,42,"Ken Duke",33,51,"PuttsmadeDistance",2008
42,42,"Steve Flesch",29,51,"PuttsmadeDistance",2008
42,42,"Tommy Gainey",24,51,"PuttsmadeDistance",2008
42,42,"Jason Gore",33,51,"PuttsmadeDistance",2008
42,42,"Todd Hamilton",28,51,"PuttsmadeDistance",2008
42,42,"JP Hayes",26,51,"PuttsmadeDistance",2008
