"MissedFairwayPercentOther_RANKTHISWEEK_2015","MissedFairwayPercentOther_RANKLASTWEEK_2015","MissedFairwayPercentOther_PLAYERNAME_2015","MissedFairwayPercentOther_ROUNDS_2015","MissedFairwayPercentOther_Pct_2015","MissedFairwayPercentOther_TOTALMISSED_2015","MissedFairwayPercentOther_TOTALFWYS_2015","MissedFairwayPercentOther_RELATIVETOPAR_2015","stat_name","year"
1,1,"Colt Knost",90,0.78,8,1031,0.88,"MissedFairwayPercentOther",2015
2,2,"Heath Slocum",57,1.11,6,542,0.5,"MissedFairwayPercentOther",2015
3,3,"Francesco Molinari",56,1.18,7,595,0.43,"MissedFairwayPercentOther",2015
4,4,"Whee Kim",71,1.29,10,773,0.4,"MissedFairwayPercentOther",2015
5,5,"Bill Lunde",50,1.4,7,499,0.71,"MissedFairwayPercentOther",2015
6,6,"Ken Duke",93,1.67,18,1080,0.56,"MissedFairwayPercentOther",2015
7,7,"John Huh",102,1.7,21,1237,0.71,"MissedFairwayPercentOther",2015
8,8,"Spencer Levin",99,1.73,20,1155,0.6,"MissedFairwayPercentOther",2015
9,9,"Mark Hubbard",79,1.76,15,850,1.13,"MissedFairwayPercentOther",2015
10,10,"Nicholas Thompson",90,1.85,18,971,0.78,"MissedFairwayPercentOther",2015
11,11,"Ryan Moore",81,1.88,16,850,0.94,"MissedFairwayPercentOther",2015
12,12,"Jim Herman",88,1.96,21,1071,0.71,"MissedFairwayPercentOther",2015
13,13,"Henrik Stenson",63,1.97,12,609,0.17,"MissedFairwayPercentOther",2015
14,14,"Chad Campbell",97,1.98,25,1264,0.64,"MissedFairwayPercentOther",2015
15,15,"Chez Reavie",56,2.02,14,693,0.5,"MissedFairwayPercentOther",2015
16,16,"Zac Blair",108,2.04,25,1225,0.56,"MissedFairwayPercentOther",2015
17,17,"Jason Bohn",95,2.06,25,1211,0.68,"MissedFairwayPercentOther",2015
17,17,"Paul Casey",87,2.06,18,875,0.78,"MissedFairwayPercentOther",2015
19,19,"Brendon Todd",96,2.07,22,1061,0.41,"MissedFairwayPercentOther",2015
20,20,"Ben Crane",62,2.08,15,721,0.4,"MissedFairwayPercentOther",2015
21,21,"Brian Davis",86,2.13,21,984,0.9,"MissedFairwayPercentOther",2015
22,22,"Zach Johnson",90,2.15,21,977,0.38,"MissedFairwayPercentOther",2015
23,23,"Steven Alker",62,2.16,15,696,1,"MissedFairwayPercentOther",2015
24,24,"JJ Henry",94,2.19,23,1052,0.83,"MissedFairwayPercentOther",2015
24,24,"Brian Stuard",97,2.19,24,1097,0.83,"MissedFairwayPercentOther",2015
26,26,"Vijay Singh",78,2.2,21,955,0.62,"MissedFairwayPercentOther",2015
27,27,"David Toms",62,2.22,17,765,0.71,"MissedFairwayPercentOther",2015
28,28,"Justin Leonard",61,2.26,17,751,1.24,"MissedFairwayPercentOther",2015
29,29,"David Hearn",97,2.29,27,1178,0.52,"MissedFairwayPercentOther",2015
29,29,"William McGirt",103,2.29,31,1352,0.29,"MissedFairwayPercentOther",2015
31,31,"Jim Furyk",71,2.36,17,721,0.29,"MissedFairwayPercentOther",2015
32,32,"Jerry Kelly",79,2.39,22,920,0.41,"MissedFairwayPercentOther",2015
33,33,"Roberto Castro",54,2.4,12,501,0.83,"MissedFairwayPercentOther",2015
33,33,"Russell Knox",96,2.4,29,1209,0.59,"MissedFairwayPercentOther",2015
35,35,"Mark Wilson",89,2.49,28,1123,0.5,"MissedFairwayPercentOther",2015
36,36,"Chad Collins",79,2.51,22,875,0.59,"MissedFairwayPercentOther",2015
36,36,"Byron Smith",59,2.51,15,597,1.13,"MissedFairwayPercentOther",2015
38,38,"David Lingmerth",90,2.52,26,1030,0.5,"MissedFairwayPercentOther",2015
39,39,"Marc Leishman",74,2.54,19,748,0.74,"MissedFairwayPercentOther",2015
40,40,"Brendon de Jonge",106,2.58,33,1279,0.24,"MissedFairwayPercentOther",2015
41,41,"Kevin Kisner",104,2.61,34,1304,0.26,"MissedFairwayPercentOther",2015
42,42,"John Peterson",84,2.62,28,1069,0.64,"MissedFairwayPercentOther",2015
43,43,"Will Wilcox",58,2.64,15,568,0.27,"MissedFairwayPercentOther",2015
44,44,"Jon Curran",83,2.66,24,901,0.75,"MissedFairwayPercentOther",2015
44,44,"Kevin Streelman",95,2.66,27,1016,0.41,"MissedFairwayPercentOther",2015
46,46,"Oscar Fraustro",58,2.71,15,553,0.6,"MissedFairwayPercentOther",2015
47,47,"Davis Love III",51,2.74,16,585,0.44,"MissedFairwayPercentOther",2015
