"Total1PuttsInside5_RANKTHISWEEK_2007","Total1PuttsInside5_RANKLASTWEEK_2007","Total1PuttsInside5_PLAYERNAME_2007","Total1PuttsInside5_ROUNDS_2007","Total1PuttsInside5_TOTAL_2007","Total1PuttsInside5_TOTALFORALLDISTANCES_2007","Total1PuttsInside5_PCTOFALL1PUTTS_2007","stat_name","year"
1,1,"Brian Gay",107,410,740,55.4,"Total1PuttsInside5",2007
2,2,"Ken Duke",112,364,683,53.3,"Total1PuttsInside5",2007
3,3,"Heath Slocum",101,363,665,54.6,"Total1PuttsInside5",2007
4,4,"Cliff Kresge",107,359,684,52.5,"Total1PuttsInside5",2007
4,4,"Tim Petrovic",106,359,716,50.1,"Total1PuttsInside5",2007
6,6,"Daniel Chopra",106,356,692,51.4,"Total1PuttsInside5",2007
7,7,"Ryuji Imada",104,354,694,51,"Total1PuttsInside5",2007
8,8,"Briny Baird",115,347,702,49.4,"Total1PuttsInside5",2007
9,9,"Nathan Green",103,343,658,52.1,"Total1PuttsInside5",2007
10,10,"John Mallinger",96,333,644,51.7,"Total1PuttsInside5",2007
11,11,"Tom Pernice Jr",104,331,634,52.2,"Total1PuttsInside5",2007
11,11,"Carl Pettersson",111,331,672,49.3,"Total1PuttsInside5",2007
13,13,"Craig Kanada",109,330,654,50.5,"Total1PuttsInside5",2007
14,14,"Doug LaBelle II",104,329,612,53.8,"Total1PuttsInside5",2007
15,15,"Shigeki Maruyama",84,326,605,53.9,"Total1PuttsInside5",2007
16,16,"Kevin Na",84,325,617,52.7,"Total1PuttsInside5",2007
17,17,"Mathias Gronberg",95,323,628,51.4,"Total1PuttsInside5",2007
17,17,"Vijay Singh",102,323,592,54.6,"Total1PuttsInside5",2007
17,17,"Bo Van Pelt",104,323,657,49.2,"Total1PuttsInside5",2007
20,20,"JP Hayes",89,319,577,55.3,"Total1PuttsInside5",2007
21,21,"John Rollins",102,318,603,52.7,"Total1PuttsInside5",2007
22,22,"Eric Axley",107,316,659,48,"Total1PuttsInside5",2007
23,23,"Ryan Armour",107,315,633,49.8,"Total1PuttsInside5",2007
24,24,"Brandt Snedeker",105,314,629,49.9,"Total1PuttsInside5",2007
25,25,"Steve Marino",106,313,626,50,"Total1PuttsInside5",2007
25,25,"DJ Trahan",99,313,597,52.4,"Total1PuttsInside5",2007
27,27,"Steve Flesch",100,312,621,50.2,"Total1PuttsInside5",2007
27,27,"Joe Ogilvie",102,312,641,48.7,"Total1PuttsInside5",2007
29,29,"Charley Hoffman",97,310,599,51.8,"Total1PuttsInside5",2007
29,29,"Bob Tway",103,310,597,51.9,"Total1PuttsInside5",2007
29,29,"Charles Warren",101,310,601,51.6,"Total1PuttsInside5",2007
32,32,"Kent Jones",97,309,602,51.3,"Total1PuttsInside5",2007
33,33,"Woody Austin",95,306,614,49.8,"Total1PuttsInside5",2007
34,34,"Bob Estes",88,303,603,50.2,"Total1PuttsInside5",2007
34,34,"Justin Leonard",95,303,590,51.4,"Total1PuttsInside5",2007
36,36,"Jeff Quinney",95,299,589,50.8,"Total1PuttsInside5",2007
37,37,"Ted Purdy",102,297,553,53.7,"Total1PuttsInside5",2007
38,38,"Will Ma Kenzie",100,296,609,48.6,"Total1PuttsInside5",2007
38,38,"Johnson Wagner",97,296,552,53.6,"Total1PuttsInside5",2007
40,40,"Charlie Wi",90,294,576,51,"Total1PuttsInside5",2007
41,41,"Brian Davis",101,293,606,48.3,"Total1PuttsInside5",2007
41,41,"Jeff Gove",103,293,569,51.5,"Total1PuttsInside5",2007
41,41,"George McNeill",95,293,587,49.9,"Total1PuttsInside5",2007
44,44,"Mathew Goggin",97,290,577,50.3,"Total1PuttsInside5",2007
45,45,"Troy Matteson",87,288,536,53.7,"Total1PuttsInside5",2007
46,46,"Gavin Coles",87,287,549,52.3,"Total1PuttsInside5",2007
47,47,"Jason Dufner",100,286,592,48.3,"Total1PuttsInside5",2007
48,48,"David Branshaw",83,283,497,56.9,"Total1PuttsInside5",2007
49,49,"Aaron Baddeley",83,282,516,54.7,"Total1PuttsInside5",2007
50,50,"Jerry Kelly",101,281,531,52.9,"Total1PuttsInside5",2007
51,51,"Anthony Kim",93,280,555,50.5,"Total1PuttsInside5",2007
52,52,"Ryan Palmer",91,278,570,48.8,"Total1PuttsInside5",2007
53,53,"Sean OHair",98,277,596,46.5,"Total1PuttsInside5",2007
54,54,"Chris Couch",76,276,509,54.2,"Total1PuttsInside5",2007
54,54,"Jason Gore",86,276,551,50.1,"Total1PuttsInside5",2007
54,54,"Boo Weekley",101,276,529,52.2,"Total1PuttsInside5",2007
57,57,"Cameron Beckman",96,275,560,49.1,"Total1PuttsInside5",2007
57,57,"Tim Herron",98,275,557,49.4,"Total1PuttsInside5",2007
59,59,"Mark Calcavecchia",93,274,550,49.8,"Total1PuttsInside5",2007
59,59,"Rory Sabbatini",81,274,502,54.6,"Total1PuttsInside5",2007
61,61,"Bob Heintz",85,273,535,51,"Total1PuttsInside5",2007
62,62,"Ryan Moore",92,271,542,50,"Total1PuttsInside5",2007
63,63,"Harrison Frazar",88,270,496,54.4,"Total1PuttsInside5",2007
63,63,"Bill Haas",93,270,552,48.9,"Total1PuttsInside5",2007
65,65,"Billy Andrade",88,269,527,51,"Total1PuttsInside5",2007
66,66,"Parker McLachlin",83,268,535,50.1,"Total1PuttsInside5",2007
67,67,"Richard Johnson",93,267,548,48.7,"Total1PuttsInside5",2007
68,68,"Corey Pavin",81,266,510,52.2,"Total1PuttsInside5",2007
69,69,"Steve Elkington",87,264,523,50.5,"Total1PuttsInside5",2007
69,69,"Lucas Glover",98,264,545,48.4,"Total1PuttsInside5",2007
71,71,"Dean Wilson",92,262,537,48.8,"Total1PuttsInside5",2007
72,72,"Alex Cejka",80,261,503,51.9,"Total1PuttsInside5",2007
72,72,"Frank Lickliter II",95,261,594,43.9,"Total1PuttsInside5",2007
72,72,"Craig Lile",77,261,507,51.5,"Total1PuttsInside5",2007
72,72,"Jesper Parnevik",88,261,558,46.8,"Total1PuttsInside5",2007
76,76,"Rich Barcelo",80,260,524,49.6,"Total1PuttsInside5",2007
76,76,"Steve Stricker",81,260,488,53.3,"Total1PuttsInside5",2007
78,78,"John Merrick",92,259,507,51.1,"Total1PuttsInside5",2007
78,78,"Kenny Perry",83,259,500,51.8,"Total1PuttsInside5",2007
