"FedExCupBonusMoney_RANKTHISWEEK_2012","FedExCupBonusMoney_RANKLASTWEEK_2012","FedExCupBonusMoney_PLAYERNAME_2012","FedExCupBonusMoney_EVENTS_2012","FedExCupBonusMoney_MONEY_2012","stat_name","year"
1,1,"Brandt Snedeker",22,1e+07,"FedExCupBonusMoney",2012
2,2,"Rory McIlroy",16,3e+06,"FedExCupBonusMoney",2012
3,3,"Tiger Woods",19,2e+06,"FedExCupBonusMoney",2012
4,4,"Nick Watney",25,1500000,"FedExCupBonusMoney",2012
5,5,"Phil Mickelson",22,1e+06,"FedExCupBonusMoney",2012
6,6,"Justin Rose",19,8e+05,"FedExCupBonusMoney",2012
7,7,"Louis Oosthuizen",19,7e+05,"FedExCupBonusMoney",2012
8,8,"Dustin Johnson",19,6e+05,"FedExCupBonusMoney",2012
9,9,"Luke Donald",17,550000,"FedExCupBonusMoney",2012
10,10,"Lee Westwood",15,5e+05,"FedExCupBonusMoney",2012
11,11,"Ryan Moore",23,3e+05,"FedExCupBonusMoney",2012
12,12,"Zach Johnson",24,290000,"FedExCupBonusMoney",2012
13,13,"Bubba Watson",19,280000,"FedExCupBonusMoney",2012
14,14,"Jason Dufner",22,270000,"FedExCupBonusMoney",2012
15,15,"Jim Furyk",23,250000,"FedExCupBonusMoney",2012
16,16,"Webb Simpson",22,245000,"FedExCupBonusMoney",2012
17,17,"Sergio Garcia",16,240000,"FedExCupBonusMoney",2012
18,18,"Matt Kuchar",22,235000,"FedExCupBonusMoney",2012
19,19,"Hunter Mahan",23,230000,"FedExCupBonusMoney",2012
20,20,"Steve Stricker",19,225000,"FedExCupBonusMoney",2012
21,21,"Keegan Bradley",25,220000,"FedExCupBonusMoney",2012
22,22,"Bo Van Pelt",24,215000,"FedExCupBonusMoney",2012
23,23,"Robert Garrigus",24,210000,"FedExCupBonusMoney",2012
24,24,"Carl Pettersson",26,205000,"FedExCupBonusMoney",2012
25,25,"Adam Scott",16,2e+05,"FedExCupBonusMoney",2012
26,26,"Ernie Els",21,195000,"FedExCupBonusMoney",2012
27,27,"Scott Piercy",27,190000,"FedExCupBonusMoney",2012
28,28,"Rickie Fowler",23,185000,"FedExCupBonusMoney",2012
29,29,"John Huh",27,180000,"FedExCupBonusMoney",2012
30,30,"John Senden",22,175000,"FedExCupBonusMoney",2012
31,31,"Kyle Stanley",27,165000,"FedExCupBonusMoney",2012
32,32,"Bill Haas",23,155000,"FedExCupBonusMoney",2012
33,33,"Vijay Singh",24,150000,"FedExCupBonusMoney",2012
34,34,"Kevin Stadler",24,145000,"FedExCupBonusMoney",2012
35,35,"Greg Chalmers",25,142000,"FedExCupBonusMoney",2012
36,36,"Johnson Wagner",26,140000,"FedExCupBonusMoney",2012
37,37,"Seung Yul Noh",28,138000,"FedExCupBonusMoney",2012
38,38,"Bud Cauley",26,137000,"FedExCupBonusMoney",2012
39,39,"Ian Poulter",15,136000,"FedExCupBonusMoney",2012
40,40,"Tom Gillis",22,135000,"FedExCupBonusMoney",2012
41,41,"Ben Curtis",16,134000,"FedExCupBonusMoney",2012
42,42,"Graeme McDowell",16,133000,"FedExCupBonusMoney",2012
43,43,"Padraig Harrington",18,132000,"FedExCupBonusMoney",2012
44,44,"Jeff Overton",26,131000,"FedExCupBonusMoney",2012
45,45,"Troy Matteson",29,130000,"FedExCupBonusMoney",2012
46,46,"Marc Leishman",23,129000,"FedExCupBonusMoney",2012
47,47,"Geoff Ogilvy",20,128000,"FedExCupBonusMoney",2012
48,48,"JB Holmes",23,127000,"FedExCupBonusMoney",2012
49,49,"Chris Kirk",24,126000,"FedExCupBonusMoney",2012
50,50,"William McGirt",28,125000,"FedExCupBonusMoney",2012
51,51,"Brian Harman",27,120000,"FedExCupBonusMoney",2012
52,52,"Kevin Na",24,115000,"FedExCupBonusMoney",2012
53,53,"Graham DeLaet",23,114000,"FedExCupBonusMoney",2012
54,54,"Pat Perez",23,113000,"FedExCupBonusMoney",2012
55,55,"Ryan Palmer",22,110000,"FedExCupBonusMoney",2012
56,56,"Tim Clark",19,110000,"FedExCupBonusMoney",2012
57,57,"Brendon de Jonge",28,110000,"FedExCupBonusMoney",2012
58,58,"Bob Estes",22,110000,"FedExCupBonusMoney",2012
59,59,"Mark Wilson",24,110000,"FedExCupBonusMoney",2012
60,60,"Charlie Wi",24,110000,"FedExCupBonusMoney",2012
61,61,"Charl Schwartzel",16,110000,"FedExCupBonusMoney",2012
62,62,"Jimmy Walker",26,110000,"FedExCupBonusMoney",2012
63,63,"DA Points",25,110000,"FedExCupBonusMoney",2012
64,64,"Martin Laird",22,110000,"FedExCupBonusMoney",2012
65,65,"Bryce Molder",23,110000,"FedExCupBonusMoney",2012
66,66,"Ben Crane",22,110000,"FedExCupBonusMoney",2012
67,67,"Matt Every",22,110000,"FedExCupBonusMoney",2012
68,68,"David Hearn",25,110000,"FedExCupBonusMoney",2012
69,69,"Charley Hoffman",26,110000,"FedExCupBonusMoney",2012
70,70,"Dicky Pride",17,110000,"FedExCupBonusMoney",2012
71,71,"Jonas Blixt",17,80000,"FedExCupBonusMoney",2012
72,72,"John Merrick",24,80000,"FedExCupBonusMoney",2012
73,73,"Josh Teater",27,80000,"FedExCupBonusMoney",2012
74,74,"John Rollins",23,80000,"FedExCupBonusMoney",2012
75,75,"Scott Stallings",24,80000,"FedExCupBonusMoney",2012
76,76,"Ken Duke",27,80000,"FedExCupBonusMoney",2012
77,77,"Roberto Castro",23,80000,"FedExCupBonusMoney",2012
78,78,"Aaron Baddeley",21,80000,"FedExCupBonusMoney",2012
79,79,"Harris English",24,80000,"FedExCupBonusMoney",2012
80,80,"JJ Henry",28,80000,"FedExCupBonusMoney",2012
81,81,"Sean OHair",21,75000,"FedExCupBonusMoney",2012
82,82,"Jonathan Byrd",21,75000,"FedExCupBonusMoney",2012
83,83,"Spencer Levin",26,75000,"FedExCupBonusMoney",2012
84,84,"Charles Howell III",25,75000,"FedExCupBonusMoney",2012
85,85,"Brian Davis",25,75000,"FedExCupBonusMoney",2012
86,86,"George McNeill",23,75000,"FedExCupBonusMoney",2012
87,87,"Jason Day",15,75000,"FedExCupBonusMoney",2012
88,88,"Greg Owen",23,75000,"FedExCupBonusMoney",2012
89,89,"Ricky Barnes",25,75000,"FedExCupBonusMoney",2012
90,90,"Cameron Tringale",23,75000,"FedExCupBonusMoney",2012
91,91,"Blake Adams",29,75000,"FedExCupBonusMoney",2012
92,92,"Michael Thompson",23,75000,"FedExCupBonusMoney",2012
93,93,"Ted Potter Jr",23,75000,"FedExCupBonusMoney",2012
94,94,"Tommy Gainey",29,75000,"FedExCupBonusMoney",2012
95,95,"David Toms",18,75000,"FedExCupBonusMoney",2012
96,96,"Sangmoon Bae",25,75000,"FedExCupBonusMoney",2012
97,97,"Rory Sabbatini",25,75000,"FedExCupBonusMoney",2012
98,98,"KJ Choi",21,75000,"FedExCupBonusMoney",2012
99,99,"Daniel Summerhays",22,75000,"FedExCupBonusMoney",2012
100,100,"Martin Flores",26,75000,"FedExCupBonusMoney",2012
101,101,"John Mallinger",22,70000,"FedExCupBonusMoney",2012
102,102,"Will Claxton",24,70000,"FedExCupBonusMoney",2012
103,103,"Gary Christian",24,70000,"FedExCupBonusMoney",2012
104,104,"Chad Campbell",23,70000,"FedExCupBonusMoney",2012
105,105,"Freddie Jacobson",16,70000,"FedExCupBonusMoney",2012
106,106,"Andres Romero",20,70000,"FedExCupBonusMoney",2012
107,107,"Rod Pampling",22,70000,"FedExCupBonusMoney",2012
108,108,"Billy Mayfair",24,70000,"FedExCupBonusMoney",2012
109,109,"Brian Gay",24,70000,"FedExCupBonusMoney",2012
110,110,"Chris Stroud",24,70000,"FedExCupBonusMoney",2012
111,111,"Henrik Stenson",13,70000,"FedExCupBonusMoney",2012
112,112,"Kevin Streelman",23,70000,"FedExCupBonusMoney",2012
113,113,"Troy Kelly",20,70000,"FedExCupBonusMoney",2012
114,114,"Kevin Chappell",25,70000,"FedExCupBonusMoney",2012
115,115,"Davis Love III",16,70000,"FedExCupBonusMoney",2012
116,116,"Jeff Maggert",23,70000,"FedExCupBonusMoney",2012
117,117,"Trevor Immelman",21,70000,"FedExCupBonusMoney",2012
118,118,"Robert Allenby",23,70000,"FedExCupBonusMoney",2012
119,119,"James Driscoll",23,70000,"FedExCupBonusMoney",2012
120,120,"Colt Knost",25,70000,"FedExCupBonusMoney",2012
121,121,"Harrison Frazar",20,70000,"FedExCupBonusMoney",2012
122,122,"Jerry Kelly",22,70000,"FedExCupBonusMoney",2012
123,123,"Boo Weekley",21,70000,"FedExCupBonusMoney",2012
124,124,"Heath Slocum",25,70000,"FedExCupBonusMoney",2012
125,125,"Jason Bohn",24,70000,"FedExCupBonusMoney",2012
126,126,"Jhonattan Vegas",22,32000,"FedExCupBonusMoney",2012
127,127,"YE Yang",20,32000,"FedExCupBonusMoney",2012
128,128,"Tim Herron",23,32000,"FedExCupBonusMoney",2012
129,129,"Bobby Gates",25,32000,"FedExCupBonusMoney",2012
130,130,"Brendan Steele",20,32000,"FedExCupBonusMoney",2012
131,131,"Retief Goosen",12,32000,"FedExCupBonusMoney",2012
132,132,"Chez Reavie",23,32000,"FedExCupBonusMoney",2012
133,133,"David Mathis",25,32000,"FedExCupBonusMoney",2012
134,134,"Gary Woodland",19,32000,"FedExCupBonusMoney",2012
135,135,"Chris DiMarco",25,32000,"FedExCupBonusMoney",2012
136,136,"Vaughn Taylor",22,32000,"FedExCupBonusMoney",2012
137,137,"Erik Compton",22,32000,"FedExCupBonusMoney",2012
138,138,"Kyle Reifers",23,32000,"FedExCupBonusMoney",2012
139,139,"Stewart Cink",19,32000,"FedExCupBonusMoney",2012
140,140,"John Daly",12,32000,"FedExCupBonusMoney",2012
141,141,"Kris Blanks",23,32000,"FedExCupBonusMoney",2012
142,142,"Bill Lunde",21,32000,"FedExCupBonusMoney",2012
143,143,"Billy Horschel",14,32000,"FedExCupBonusMoney",2012
144,144,"Stuart Appleby",20,32000,"FedExCupBonusMoney",2012
145,145,"JJ Killeen",29,32000,"FedExCupBonusMoney",2012
146,146,"Brendon Todd",25,32000,"FedExCupBonusMoney",2012
147,147,"Justin Leonard",22,32000,"FedExCupBonusMoney",2012
148,148,"Camilo Villegas",21,32000,"FedExCupBonusMoney",2012
149,149,"Richard Lee",20,32000,"FedExCupBonusMoney",2012
150,150,"Billy Hurley III",23,32000,"FedExCupBonusMoney",2012
