"Puttingfrom510_RANKTHISWEEK_2006","Puttingfrom510_RANKLASTWEEK_2006","Puttingfrom510_PLAYERNAME_2006","Puttingfrom510_ROUNDS_2006","Puttingfrom510_Pct_2006","Puttingfrom510_ATTEMPTS_2006","Puttingfrom510_PUTTSMADE_2006","stat_name","year"
1,1,"Jim Furyk",89,65.65,230,151,"Puttingfrom510",2006
2,2,"Aaron Baddeley",78,64.52,279,180,"Puttingfrom510",2006
3,3,"Greg Chalmers",71,63.81,268,171,"Puttingfrom510",2006
4,4,"Rod Pampling",89,63.28,256,162,"Puttingfrom510",2006
5,5,"Alex Aragon",63,62.45,245,153,"Puttingfrom510",2006
6,6,"David Howell",52,62.14,140,87,"Puttingfrom510",2006
7,7,"Steve Stricker",64,62,200,124,"Puttingfrom510",2006
8,8,"Nathan Green",108,61.71,410,253,"Puttingfrom510",2006
9,9,"Brett Quigley",109,61.68,381,235,"Puttingfrom510",2006
10,10,"Stephen Ames",63,61.67,180,111,"Puttingfrom510",2006
11,11,"Tim Clark",80,61.57,268,165,"Puttingfrom510",2006
12,12,"Brian Gay",107,61.49,444,273,"Puttingfrom510",2006
13,13,"Ryan Moore",68,61.48,257,158,"Puttingfrom510",2006
14,14,"Richard Johnson",94,61.27,346,212,"Puttingfrom510",2006
15,15,"Eric Axley",91,61.01,336,205,"Puttingfrom510",2006
16,16,"Ben Crane",85,60.69,262,159,"Puttingfrom510",2006
17,17,"Olin Browne",108,60.4,399,241,"Puttingfrom510",2006
18,18,"Skip Kendall",72,60.38,265,160,"Puttingfrom510",2006
19,19,"Padraig Harrington",54,60.23,171,103,"Puttingfrom510",2006
19,19,"Joe Ogilvie",95,60.23,347,209,"Puttingfrom510",2006
19,19,"Mike Sposa",68,60.23,259,156,"Puttingfrom510",2006
22,22,"Dudley Hart",83,60.22,269,162,"Puttingfrom510",2006
23,23,"Harrison Frazar",95,60.19,319,192,"Puttingfrom510",2006
24,24,"Brian Bateman",69,60.18,221,133,"Puttingfrom510",2006
25,25,"Daniel Chopra",110,60.16,384,231,"Puttingfrom510",2006
26,26,"Jesper Parnevik",84,60.06,313,188,"Puttingfrom510",2006
27,27,"Luke Donald",66,59.9,197,118,"Puttingfrom510",2006
28,28,"Jason Gore",86,59.78,363,217,"Puttingfrom510",2006
29,29,"Tommy Armour III",65,59.75,241,144,"Puttingfrom510",2006
30,30,"Stewart Cink",93,59.74,303,181,"Puttingfrom510",2006
31,31,"Frank Lickliter II",99,59.56,361,215,"Puttingfrom510",2006
32,32,"Jeff Sluman",101,59.54,351,209,"Puttingfrom510",2006
33,33,"Kent Jones",103,59.45,402,239,"Puttingfrom510",2006
34,34,"Bob Estes",85,59.39,293,174,"Puttingfrom510",2006
35,35,"John Cook",67,59.29,226,134,"Puttingfrom510",2006
36,36,"Brad Faxon",78,59.27,329,195,"Puttingfrom510",2006
36,36,"Tom Pernice Jr",108,59.27,356,211,"Puttingfrom510",2006
38,38,"KJ Choi",93,59.25,319,189,"Puttingfrom510",2006
39,39,"Paul Azinger",87,59.17,338,200,"Puttingfrom510",2006
40,40,"James Driscoll",80,59.01,344,203,"Puttingfrom510",2006
41,41,"John Rollins",93,58.99,317,187,"Puttingfrom510",2006
42,42,"Tag Ridings",103,58.88,394,232,"Puttingfrom510",2006
43,43,"Kirk Triplett",58,58.82,204,120,"Puttingfrom510",2006
44,44,"Jonathan Byrd",66,58.72,235,138,"Puttingfrom510",2006
45,45,"Scott Verplank",88,58.65,266,156,"Puttingfrom510",2006
46,46,"JL Lewis",57,58.62,232,136,"Puttingfrom510",2006
47,47,"Kevin Sutherland",100,58.53,340,199,"Puttingfrom510",2006
48,48,"Mark OMeara",52,58.52,176,103,"Puttingfrom510",2006
49,49,"Bernhard Langer",77,58.5,253,148,"Puttingfrom510",2006
50,50,"Kris Cox",83,58.49,318,186,"Puttingfrom510",2006
51,51,"Shaun Micheel",96,58.15,325,189,"Puttingfrom510",2006
52,52,"Dean Wilson",115,58.09,346,201,"Puttingfrom510",2006
53,53,"Charley Hoffman",100,58.04,398,231,"Puttingfrom510",2006
54,54,"Larry Mize",53,57.96,157,91,"Puttingfrom510",2006
55,55,"Todd Fischer",101,57.95,390,226,"Puttingfrom510",2006
56,56,"Ryuji Imada",105,57.89,361,209,"Puttingfrom510",2006
57,57,"Jerry Kelly",100,57.87,356,206,"Puttingfrom510",2006
58,58,"Brandt Jobe",91,57.83,313,181,"Puttingfrom510",2006
59,59,"Jeff Overton",95,57.8,410,237,"Puttingfrom510",2006
60,60,"Lucas Glover",105,57.77,386,223,"Puttingfrom510",2006
61,61,"Jeff Gove",91,57.62,302,174,"Puttingfrom510",2006
62,62,"Daisuke Maruyama",83,57.58,297,171,"Puttingfrom510",2006
62,62,"Ted Purdy",103,57.58,356,205,"Puttingfrom510",2006
62,62,"Vance Veazey",59,57.58,231,133,"Puttingfrom510",2006
65,65,"Carl Pettersson",95,57.55,318,183,"Puttingfrom510",2006
66,66,"John Huston",74,57.48,294,169,"Puttingfrom510",2006
67,67,"Stuart Appleby",83,57.39,284,163,"Puttingfrom510",2006
68,68,"Billy Mayfair",94,57.38,298,171,"Puttingfrom510",2006
69,69,"Michael Allen",84,57.28,316,181,"Puttingfrom510",2006
70,70,"Jimmy Walker",60,57.25,255,146,"Puttingfrom510",2006
71,71,"Marco Dawson",87,57.19,320,183,"Puttingfrom510",2006
71,71,"Jerry Smith",94,57.19,334,191,"Puttingfrom510",2006
73,73,"Freddie Jacobson",56,57.14,217,124,"Puttingfrom510",2006
74,74,"Chris DiMarco",83,57.09,254,145,"Puttingfrom510",2006
74,74,"Danny Ellis",68,57.09,268,153,"Puttingfrom510",2006
76,76,"Paul Stankowski",70,57.03,249,142,"Puttingfrom510",2006
77,77,"Ryan Palmer",101,56.91,362,206,"Puttingfrom510",2006
78,78,"Vijay Singh",103,56.9,348,198,"Puttingfrom510",2006
79,79,"Pat Perez",50,56.86,204,116,"Puttingfrom510",2006
79,79,"Ron Whittaker",81,56.86,306,174,"Puttingfrom510",2006
81,81,"Zach Johnson",98,56.8,331,188,"Puttingfrom510",2006
82,82,"John Senden",96,56.74,319,181,"Puttingfrom510",2006
83,83,"Fred Funk",106,56.72,372,211,"Puttingfrom510",2006
84,84,"Arjun Atwal",97,56.65,346,196,"Puttingfrom510",2006
85,85,"Charles Howell III",96,56.59,311,176,"Puttingfrom510",2006
86,86,"DA Points",82,56.52,299,169,"Puttingfrom510",2006
87,87,"Geoff Ogilvy",76,56.47,232,131,"Puttingfrom510",2006
