"PuttsMadePerEventOver20_RANKTHISWEEK_2014","PuttsMadePerEventOver20_RANKLASTWEEK_2014","PuttsMadePerEventOver20_PLAYERNAME_2014","PuttsMadePerEventOver20_ROUNDS_2014","PuttsMadePerEventOver20_PUTTSMADE_2014","stat_name","year"
1,1,"Graeme McDowell",66,2.5,"PuttsMadePerEventOver20",2014
2,2,"Adam Scott",68,2.4,"PuttsMadePerEventOver20",2014
3,3,"Rory McIlroy",66,2.3,"PuttsMadePerEventOver20",2014
4,4,"Graham DeLaet",80,2.2,"PuttsMadePerEventOver20",2014
4,4,"Sergio Garcia",61,2.2,"PuttsMadePerEventOver20",2014
6,6,"Luke Donald",57,2.1,"PuttsMadePerEventOver20",2014
6,6,"Chris Kirk",105,2.1,"PuttsMadePerEventOver20",2014
8,8,"Matt Kuchar",91,2,"PuttsMadePerEventOver20",2014
8,8,"Webb Simpson",87,2,"PuttsMadePerEventOver20",2014
8,8,"Henrik Stenson",56,2,"PuttsMadePerEventOver20",2014
8,8,"Daniel Summerhays",98,2,"PuttsMadePerEventOver20",2014
12,12,"Brendon Todd",108,1.9,"PuttsMadePerEventOver20",2014
13,13,"KJ Choi",80,1.8,"PuttsMadePerEventOver20",2014
13,13,"Luke Guthrie",85,1.8,"PuttsMadePerEventOver20",2014
13,13,"Freddie Jacobson",91,1.8,"PuttsMadePerEventOver20",2014
13,13,"Zach Johnson",97,1.8,"PuttsMadePerEventOver20",2014
13,13,"Ryan Moore",86,1.8,"PuttsMadePerEventOver20",2014
13,13,"Seung Yul Noh",92,1.8,"PuttsMadePerEventOver20",2014
13,13,"John Senden",99,1.8,"PuttsMadePerEventOver20",2014
13,13,"Shawn Stefani",60,1.8,"PuttsMadePerEventOver20",2014
21,21,"Ricky Barnes",92,1.7,"PuttsMadePerEventOver20",2014
21,21,"Scott Brown",100,1.7,"PuttsMadePerEventOver20",2014
21,21,"Stewart Cink",91,1.7,"PuttsMadePerEventOver20",2014
21,21,"Matt Jones",83,1.7,"PuttsMadePerEventOver20",2014
21,21,"George McNeill",79,1.7,"PuttsMadePerEventOver20",2014
21,21,"Justin Rose",70,1.7,"PuttsMadePerEventOver20",2014
21,21,"Brendan Steele",89,1.7,"PuttsMadePerEventOver20",2014
21,21,"Robert Streb",75,1.7,"PuttsMadePerEventOver20",2014
21,21,"Michael Thompson",74,1.7,"PuttsMadePerEventOver20",2014
21,21,"Camilo Villegas",95,1.7,"PuttsMadePerEventOver20",2014
21,21,"Jimmy Walker",98,1.7,"PuttsMadePerEventOver20",2014
32,32,"Paul Casey",56,1.6,"PuttsMadePerEventOver20",2014
32,32,"Charles Howell III",106,1.6,"PuttsMadePerEventOver20",2014
32,32,"Dustin Johnson",58,1.6,"PuttsMadePerEventOver20",2014
32,32,"Brooks Koepka",56,1.6,"PuttsMadePerEventOver20",2014
32,32,"Scott Langley",95,1.6,"PuttsMadePerEventOver20",2014
32,32,"Ian Poulter",57,1.6,"PuttsMadePerEventOver20",2014
32,32,"Vijay Singh",83,1.6,"PuttsMadePerEventOver20",2014
32,32,"Kevin Streelman",79,1.6,"PuttsMadePerEventOver20",2014
32,32,"Chris Stroud",88,1.6,"PuttsMadePerEventOver20",2014
41,41,"Sangmoon Bae",76,1.5,"PuttsMadePerEventOver20",2014
41,41,"Chad Campbell",57,1.5,"PuttsMadePerEventOver20",2014
41,41,"Greg Chalmers",85,1.5,"PuttsMadePerEventOver20",2014
41,41,"Ernie Els",85,1.5,"PuttsMadePerEventOver20",2014
41,41,"Jim Furyk",84,1.5,"PuttsMadePerEventOver20",2014
41,41,"Retief Goosen",94,1.5,"PuttsMadePerEventOver20",2014
41,41,"Brian Harman",111,1.5,"PuttsMadePerEventOver20",2014
41,41,"Russell Henley",92,1.5,"PuttsMadePerEventOver20",2014
41,41,"Justin Hicks",103,1.5,"PuttsMadePerEventOver20",2014
41,41,"Billy Horschel",92,1.5,"PuttsMadePerEventOver20",2014
41,41,"Jerry Kelly",80,1.5,"PuttsMadePerEventOver20",2014
41,41,"Hunter Mahan",88,1.5,"PuttsMadePerEventOver20",2014
41,41,"John Merrick",87,1.5,"PuttsMadePerEventOver20",2014
41,41,"Phil Mickelson",71,1.5,"PuttsMadePerEventOver20",2014
41,41,"Kevin Na",94,1.5,"PuttsMadePerEventOver20",2014
41,41,"Ryan Palmer",85,1.5,"PuttsMadePerEventOver20",2014
41,41,"Pat Perez",84,1.5,"PuttsMadePerEventOver20",2014
41,41,"Charl Schwartzel",64,1.5,"PuttsMadePerEventOver20",2014
41,41,"Brandt Snedeker",89,1.5,"PuttsMadePerEventOver20",2014
41,41,"David Toms",64,1.5,"PuttsMadePerEventOver20",2014
41,41,"Lee Westwood",57,1.5,"PuttsMadePerEventOver20",2014
41,41,"Gary Woodland",93,1.5,"PuttsMadePerEventOver20",2014
63,63,"Stuart Appleby",92,1.4,"PuttsMadePerEventOver20",2014
63,63,"Briny Baird",50,1.4,"PuttsMadePerEventOver20",2014
63,63,"Keegan Bradley",89,1.4,"PuttsMadePerEventOver20",2014
63,63,"Angel Cabrera",69,1.4,"PuttsMadePerEventOver20",2014
63,63,"Ben Curtis",77,1.4,"PuttsMadePerEventOver20",2014
