"Front9ScoringAverage_RANKTHISWEEK_2015","Front9ScoringAverage_RANKLASTWEEK_2015","Front9ScoringAverage_PLAYERNAME_2015","Front9ScoringAverage_ROUNDS_2015","Front9ScoringAverage_AVG_2015","Front9ScoringAverage_TOTALSTROKES_2015","Front9ScoringAverage_TOTALHOLES_2015","stat_name","year"
1,1,"Jordan Spieth",91,34.44,3031,88,"Front9ScoringAverage",2015
2,2,"Jason Day",75,34.49,2483,72,"Front9ScoringAverage",2015
2,2,"Bubba Watson",71,34.49,2345,68,"Front9ScoringAverage",2015
4,4,"Patrick Rodgers",57,34.57,1832,53,"Front9ScoringAverage",2015
5,5,"Paul Casey",87,34.59,2836,82,"Front9ScoringAverage",2015
6,6,"Will Wilcox",58,34.63,1870,54,"Front9ScoringAverage",2015
7,7,"Hideki Matsuyama",95,34.67,3155,91,"Front9ScoringAverage",2015
8,8,"Justin Thomas",106,34.68,3676,106,"Front9ScoringAverage",2015
9,9,"Chez Reavie",56,34.71,1944,56,"Front9ScoringAverage",2015
10,10,"Pat Perez",96,34.72,3333,96,"Front9ScoringAverage",2015
11,11,"Jason Bohn",95,34.76,3302,95,"Front9ScoringAverage",2015
12,12,"Jerry Kelly",79,34.77,2747,79,"Front9ScoringAverage",2015
13,13,"Patrick Reed",103,34.79,3479,100,"Front9ScoringAverage",2015
13,13,"Brendan Steele",88,34.79,2922,84,"Front9ScoringAverage",2015
15,15,"Alex Cejka",94,34.8,3202,92,"Front9ScoringAverage",2015
15,15,"Colt Knost",90,34.8,2993,86,"Front9ScoringAverage",2015
17,17,"Dustin Johnson",75,34.83,2508,72,"Front9ScoringAverage",2015
17,17,"Brooks Koepka",84,34.83,2821,81,"Front9ScoringAverage",2015
19,19,"Chad Campbell",97,34.84,3379,97,"Front9ScoringAverage",2015
20,20,"Tony Finau",106,34.85,3694,106,"Front9ScoringAverage",2015
20,20,"Shawn Stefani",94,34.85,3276,94,"Front9ScoringAverage",2015
22,22,"Robert Streb",110,34.86,3835,110,"Front9ScoringAverage",2015
23,23,"Sangmoon Bae",98,34.88,3418,98,"Front9ScoringAverage",2015
23,23,"Stewart Cink",77,34.88,2686,77,"Front9ScoringAverage",2015
23,23,"Graham DeLaet",65,34.88,2267,65,"Front9ScoringAverage",2015
23,23,"Russell Knox",96,34.88,3348,96,"Front9ScoringAverage",2015
27,27,"Harris English",105,34.9,3560,102,"Front9ScoringAverage",2015
28,28,"Bryce Molder",91,34.91,3037,87,"Front9ScoringAverage",2015
28,28,"Justin Rose",69,34.91,2304,66,"Front9ScoringAverage",2015
30,30,"Daniel Summerhays",101,34.92,3527,101,"Front9ScoringAverage",2015
31,31,"Francesco Molinari",56,34.94,1852,53,"Front9ScoringAverage",2015
31,31,"Scott Pinckney",88,34.94,3075,88,"Front9ScoringAverage",2015
33,33,"Sergio Garcia",59,34.95,1957,56,"Front9ScoringAverage",2015
33,33,"Zach Johnson",90,34.95,3041,87,"Front9ScoringAverage",2015
33,33,"Ryan Palmer",80,34.95,2691,77,"Front9ScoringAverage",2015
36,36,"David Lingmerth",90,34.96,3146,90,"Front9ScoringAverage",2015
36,36,"Brendon Todd",96,34.96,3251,93,"Front9ScoringAverage",2015
38,38,"Matt Kuchar",97,34.97,3287,94,"Front9ScoringAverage",2015
38,38,"Scott Langley",94,34.97,3217,92,"Front9ScoringAverage",2015
38,38,"Cameron Percy",72,34.97,2448,70,"Front9ScoringAverage",2015
38,38,"Kyle Reifers",96,34.97,3217,92,"Front9ScoringAverage",2015
38,38,"Brandt Snedeker",98,34.97,3322,95,"Front9ScoringAverage",2015
38,38,"Henrik Stenson",63,34.97,2098,60,"Front9ScoringAverage",2015
44,44,"Nick Watney",91,34.98,3183,91,"Front9ScoringAverage",2015
45,45,"Jim Herman",88,35,3080,88,"Front9ScoringAverage",2015
46,46,"Hudson Swafford",97,35.01,3326,95,"Front9ScoringAverage",2015
47,47,"Whee Kim",71,35.03,2417,69,"Front9ScoringAverage",2015
48,48,"Brendon de Jonge",106,35.04,3714,106,"Front9ScoringAverage",2015
49,49,"Kevin Chappell",86,35.05,3014,86,"Front9ScoringAverage",2015
49,49,"Rory Sabbatini",81,35.05,2839,81,"Front9ScoringAverage",2015
51,51,"Kevin Kisner",104,35.06,3646,104,"Front9ScoringAverage",2015
51,51,"Martin Laird",77,35.06,2700,77,"Front9ScoringAverage",2015
51,51,"Scott Piercy",90,35.06,3155,90,"Front9ScoringAverage",2015
51,51,"Jimmy Walker",89,35.06,3015,86,"Front9ScoringAverage",2015
55,55,"Morgan Hoffmann",85,35.07,2981,85,"Front9ScoringAverage",2015
55,55,"Chris Stroud",84,35.07,2946,84,"Front9ScoringAverage",2015
