"CurrentParorBetterStreak_RANKTHISWEEK_2013","CurrentParorBetterStreak_RANKLASTWEEK_2013","CurrentParorBetterStreak_PLAYERNAME_2013","CurrentParorBetterStreak_EVENTS_2013","CurrentParorBetterStreak_NUMBEROFROUNDS_2013","stat_name","year"
1,1,"Jonathan Randolph",4,13,"CurrentParorBetterStreak",2013
1,1,"Rory Sabbatini",365,13,"CurrentParorBetterStreak",2013
3,3,"Bubba Watson",188,12,"CurrentParorBetterStreak",2013
4,4,"Zach Johnson",251,10,"CurrentParorBetterStreak",2013
4,4,"Russell Knox",33,10,"CurrentParorBetterStreak",2013
6,6,"Charles Howell III",375,9,"CurrentParorBetterStreak",2013
6,6,"Jin Park",58,9,"CurrentParorBetterStreak",2013
8,8,"Kelly Kraft",12,8,"CurrentParorBetterStreak",2013
8,8,"Heath Slocum",333,8,"CurrentParorBetterStreak",2013
10,10,"Billy Horschel",74,7,"CurrentParorBetterStreak",2013
10,10,"Ken Looper",2,7,"CurrentParorBetterStreak",2013
10,10,"Bill Lunde",119,7,"CurrentParorBetterStreak",2013
13,13,"Fred Funk",619,6,"CurrentParorBetterStreak",2013
13,13,"Peter Lonard",225,6,"CurrentParorBetterStreak",2013
15,15,"Ryan Blaum",6,5,"CurrentParorBetterStreak",2013
15,15,"Glen Day",444,5,"CurrentParorBetterStreak",2013
15,15,"Retief Goosen",218,5,"CurrentParorBetterStreak",2013
15,15,"Danny Lee",42,5,"CurrentParorBetterStreak",2013
19,19,"Ricky Barnes",149,4,"CurrentParorBetterStreak",2013
19,19,"Shane Bertsch",168,4,"CurrentParorBetterStreak",2013
19,19,"Bart Bryant",309,4,"CurrentParorBetterStreak",2013
19,19,"Stewart Cink",424,4,"CurrentParorBetterStreak",2013
19,19,"Marco Dawson",403,4,"CurrentParorBetterStreak",2013
19,19,"Joe Durant",424,4,"CurrentParorBetterStreak",2013
19,19,"Andres Gonzales",41,4,"CurrentParorBetterStreak",2013
19,19,"Ryo Ishikawa",63,4,"CurrentParorBetterStreak",2013
19,19,"Dustin Johnson",136,4,"CurrentParorBetterStreak",2013
19,19,"Kent Jones",349,4,"CurrentParorBetterStreak",2013
19,19,"Matt Jones",143,4,"CurrentParorBetterStreak",2013
19,19,"Michael Kim",2,4,"CurrentParorBetterStreak",2013
19,19,"John Kimbell",1,4,"CurrentParorBetterStreak",2013
19,19,"Ryan Moore",206,4,"CurrentParorBetterStreak",2013
19,19,"Joe Ogilvie",379,4,"CurrentParorBetterStreak",2013
19,19,"Chris Riley",327,4,"CurrentParorBetterStreak",2013
19,19,"Patrick Rodgers",3,4,"CurrentParorBetterStreak",2013
19,19,"Justin Rose",219,4,"CurrentParorBetterStreak",2013
19,19,"Roger Sloan",2,4,"CurrentParorBetterStreak",2013
19,19,"Paul Stankowski",387,4,"CurrentParorBetterStreak",2013
19,19,"Henrik Stenson",105,4,"CurrentParorBetterStreak",2013
19,19,"Andre Stolz",36,4,"CurrentParorBetterStreak",2013
19,19,"Robert Streb",24,4,"CurrentParorBetterStreak",2013
19,19,"Bo Van Pelt",336,4,"CurrentParorBetterStreak",2013
19,19,"Camilo Villegas",194,4,"CurrentParorBetterStreak",2013
44,44,"Mark Anderson",28,3,"CurrentParorBetterStreak",2013
44,44,"Stuart Appleby",437,3,"CurrentParorBetterStreak",2013
44,44,"Todd Baek",1,3,"CurrentParorBetterStreak",2013
44,44,"Jason Dufner",195,3,"CurrentParorBetterStreak",2013
44,44,"Matt Every",82,3,"CurrentParorBetterStreak",2013
44,44,"Rickie Fowler",102,3,"CurrentParorBetterStreak",2013
44,44,"David Hearn",113,3,"CurrentParorBetterStreak",2013
44,44,"Russell Henley",25,3,"CurrentParorBetterStreak",2013
44,44,"Chris Kirk",87,3,"CurrentParorBetterStreak",2013
44,44,"Marc Leishman",127,3,"CurrentParorBetterStreak",2013
44,44,"David Lynn",23,3,"CurrentParorBetterStreak",2013
44,44,"Phil Mickelson",460,3,"CurrentParorBetterStreak",2013
44,44,"Justin Peters",4,3,"CurrentParorBetterStreak",2013
44,44,"Sam Saunders",21,3,"CurrentParorBetterStreak",2013
44,44,"Cameron Tringale",105,3,"CurrentParorBetterStreak",2013
44,44,"Jimmy Walker",186,3,"CurrentParorBetterStreak",2013
44,44,"Marc Warren",3,3,"CurrentParorBetterStreak",2013
44,44,"Nick Watney",238,3,"CurrentParorBetterStreak",2013
62,62,"Rafa Cabrera Bello",10,2,"CurrentParorBetterStreak",2013
62,62,"Jason Day",132,2,"CurrentParorBetterStreak",2013
62,62,"Sergio Garcia",242,2,"CurrentParorBetterStreak",2013
62,62,"Lucas Glover",257,2,"CurrentParorBetterStreak",2013
62,62,"Steven Ihm",1,2,"CurrentParorBetterStreak",2013
62,62,"Yuta Ikeda",21,2,"CurrentParorBetterStreak",2013
62,62,"Ryuji Imada",234,2,"CurrentParorBetterStreak",2013
62,62,"Lee Janzen",597,2,"CurrentParorBetterStreak",2013
62,62,"Steve Jones",429,2,"CurrentParorBetterStreak",2013
62,62,"Martin Kaymer",58,2,"CurrentParorBetterStreak",2013
62,62,"Jerry Kelly",528,2,"CurrentParorBetterStreak",2013
62,62,"Jason Kokrak",53,2,"CurrentParorBetterStreak",2013
62,62,"Rory McIlroy",65,2,"CurrentParorBetterStreak",2013
62,62,"John Merrick",186,2,"CurrentParorBetterStreak",2013
62,62,"Chris Naegel",1,2,"CurrentParorBetterStreak",2013
62,62,"Garrett Osborn",2,2,"CurrentParorBetterStreak",2013
62,62,"David Peoples",551,2,"CurrentParorBetterStreak",2013
62,62,"Ian Poulter",154,2,"CurrentParorBetterStreak",2013
62,62,"Patrick Reed",40,2,"CurrentParorBetterStreak",2013
62,62,"Webb Simpson",139,2,"CurrentParorBetterStreak",2013
62,62,"Brandt Snedeker",187,2,"CurrentParorBetterStreak",2013
62,62,"Kevin Stadler",228,2,"CurrentParorBetterStreak",2013
62,62,"Steve Stricker",410,2,"CurrentParorBetterStreak",2013
62,62,"Tiger Woods",294,2,"CurrentParorBetterStreak",2013
