"StrokesGainedTeetoGreen_RANKTHISWEEK_2006","StrokesGainedTeetoGreen_RANKLASTWEEK_2006","StrokesGainedTeetoGreen_PLAYERNAME_2006","StrokesGainedTeetoGreen_ROUNDS_2006","StrokesGainedTeetoGreen_AVERAGE_2006","StrokesGainedTeetoGreen_TOTALSGT2G_2006","StrokesGainedTeetoGreen_SGTOTAL_2006","StrokesGainedTeetoGreen_TOTALSGP_2006","StrokesGainedTeetoGreen_MEASUREDROUNDS_2006","stat_name","year"
1,1,"Tiger Woods",55,2.852,105.514,122.243,16.729,37,"StrokesGainedTeetoGreen",2006
2,2,"Adam Scott",70,2.208,112.627,106.1,-6.527,51,"StrokesGainedTeetoGreen",2006
3,3,"Jim Furyk",89,1.765,120.01,170.555,50.545,68,"StrokesGainedTeetoGreen",2006
4,4,"Vijay Singh",103,1.642,137.894,142.7,4.806,84,"StrokesGainedTeetoGreen",2006
5,5,"Phil Mickelson",74,1.607,75.519,88.359,12.84,47,"StrokesGainedTeetoGreen",2006
6,6,"Trevor Immelman",86,1.549,113.105,117.298,4.193,73,"StrokesGainedTeetoGreen",2006
7,7,"Luke Donald",66,1.389,59.722,82.958,23.236,43,"StrokesGainedTeetoGreen",2006
8,8,"Ernie Els",69,1.342,63.058,63.035,-0.023,47,"StrokesGainedTeetoGreen",2006
9,9,"Padraig Harrington",54,1.31,49.789,49.027,-0.762,38,"StrokesGainedTeetoGreen",2006
10,10,"Steve Stricker",64,1.099,57.161,90.224,33.063,52,"StrokesGainedTeetoGreen",2006
11,11,"Greg Owen",79,1.088,67.479,45.924,-21.555,62,"StrokesGainedTeetoGreen",2006
12,12,"Lucas Glover",105,1.047,90.004,103.048,13.044,86,"StrokesGainedTeetoGreen",2006
13,13,"Stuart Appleby",83,1.04,66.529,80.757,14.228,64,"StrokesGainedTeetoGreen",2006
14,14,"Retief Goosen",68,1.034,47.548,52.64,5.092,46,"StrokesGainedTeetoGreen",2006
15,15,"Kenny Perry",73,1.026,61.565,40.747,-20.818,60,"StrokesGainedTeetoGreen",2006
16,16,"Ian Poulter",53,1.01,42.435,50.521,8.086,42,"StrokesGainedTeetoGreen",2006
17,17,"Robert Allenby",79,1.008,60.504,74.695,14.191,60,"StrokesGainedTeetoGreen",2006
18,18,"Sergio Garcia",59,0.987,38.492,32.793,-5.699,39,"StrokesGainedTeetoGreen",2006
19,19,"John Senden",96,0.96,75.839,67.134,-8.705,79,"StrokesGainedTeetoGreen",2006
20,20,"Jonathan Byrd",66,0.952,51.395,62.97,11.575,54,"StrokesGainedTeetoGreen",2006
21,21,"David Toms",76,0.907,56.249,77.448,21.199,62,"StrokesGainedTeetoGreen",2006
22,22,"Jason Bohn",104,0.89,79.239,73.059,-6.18,89,"StrokesGainedTeetoGreen",2006
23,23,"Joe Durant",101,0.886,85.062,45.67,-39.392,96,"StrokesGainedTeetoGreen",2006
24,24,"Charles Warren",93,0.844,68.338,44.171,-24.167,81,"StrokesGainedTeetoGreen",2006
25,25,"Arron Oberholser",82,0.823,51.053,61.258,10.205,62,"StrokesGainedTeetoGreen",2006
26,26,"Camilo Villegas",95,0.821,67.32,44.716,-22.604,82,"StrokesGainedTeetoGreen",2006
27,27,"Rory Sabbatini",84,0.798,51.088,42.13,-8.958,64,"StrokesGainedTeetoGreen",2006
28,28,"Mike Weir",88,0.774,48.734,46.668,-2.066,63,"StrokesGainedTeetoGreen",2006
29,29,"Bubba Watson",83,0.749,53.957,34.2,-19.757,72,"StrokesGainedTeetoGreen",2006
30,30,"Jose Maria Olazabal",62,0.731,28.511,42.985,14.474,39,"StrokesGainedTeetoGreen",2006
31,31,"Brett Wetterich",82,0.726,52.998,40.269,-12.729,73,"StrokesGainedTeetoGreen",2006
32,32,"Justin Rose",98,0.714,61.417,59.917,-1.5,86,"StrokesGainedTeetoGreen",2006
33,33,"Zach Johnson",98,0.706,54.33,57.881,3.551,77,"StrokesGainedTeetoGreen",2006
34,34,"Jeff Gove",91,0.692,56.084,36.955,-19.129,81,"StrokesGainedTeetoGreen",2006
35,35,"Stephen Ames",63,0.67,29.482,48.935,19.453,44,"StrokesGainedTeetoGreen",2006
36,36,"Fred Funk",106,0.663,56.317,64.067,7.75,85,"StrokesGainedTeetoGreen",2006
37,37,"Brett Quigley",109,0.63,59.205,121.167,61.962,94,"StrokesGainedTeetoGreen",2006
38,38,"KJ Choi",93,0.623,49.192,67.073,17.881,79,"StrokesGainedTeetoGreen",2006
39,39,"Frank Lickliter II",99,0.622,52.851,71.116,18.265,85,"StrokesGainedTeetoGreen",2006
40,40,"Briny Baird",81,0.607,42.466,41.638,-0.828,70,"StrokesGainedTeetoGreen",2006
41,41,"Bo Van Pelt",102,0.6,53.985,58.189,4.204,90,"StrokesGainedTeetoGreen",2006
42,42,"Vaughn Taylor",88,0.596,45.861,74.462,28.601,77,"StrokesGainedTeetoGreen",2006
43,43,"Tom Lehman",70,0.546,25.666,20.011,-5.655,47,"StrokesGainedTeetoGreen",2006
44,44,"Scott Verplank",88,0.539,36.659,41.952,5.293,68,"StrokesGainedTeetoGreen",2006
45,45,"JJ Henry",96,0.53,40.822,55.578,14.756,77,"StrokesGainedTeetoGreen",2006
46,46,"Heath Slocum",96,0.523,43.948,19.056,-24.892,84,"StrokesGainedTeetoGreen",2006
47,47,"Charley Hoffman",100,0.509,45.29,50.849,5.559,89,"StrokesGainedTeetoGreen",2006
48,48,"Brian Davis",92,0.504,40.797,10.773,-30.024,81,"StrokesGainedTeetoGreen",2006
49,49,"Omar Uresti",61,0.502,25.605,-9.136,-34.741,51,"StrokesGainedTeetoGreen",2006
50,50,"Shaun Micheel",96,0.501,39.112,49.65,10.538,78,"StrokesGainedTeetoGreen",2006
51,51,"Stewart Cink",93,0.498,36.365,94.083,57.718,73,"StrokesGainedTeetoGreen",2006
52,52,"Bart Bryant",87,0.497,35.299,30.731,-4.568,71,"StrokesGainedTeetoGreen",2006
53,53,"Davis Love III",85,0.486,27.707,43.218,15.511,57,"StrokesGainedTeetoGreen",2006
54,54,"Jonathan Kaye",95,0.463,39.846,-5.807,-45.653,86,"StrokesGainedTeetoGreen",2006
55,55,"Tim Clark",80,0.454,26.322,39.368,13.046,58,"StrokesGainedTeetoGreen",2006
56,56,"Tim Herron",82,0.448,27.753,-8.9,-36.653,62,"StrokesGainedTeetoGreen",2006
57,57,"Jerry Kelly",100,0.434,36.424,39.976,3.552,84,"StrokesGainedTeetoGreen",2006
58,58,"Charles Howell III",96,0.429,33.901,37.769,3.868,79,"StrokesGainedTeetoGreen",2006
