"OverallPuttingAverage_RANKTHISWEEK_2005","OverallPuttingAverage_RANKLASTWEEK_2005","OverallPuttingAverage_PLAYERNAME_2005","OverallPuttingAverage_ROUNDS_2005","OverallPuttingAverage_AVG_2005","OverallPuttingAverage_OFPUTTS_2005","OverallPuttingAverage_OFHOLES_2005","stat_name","year"
1,1,"Steve Stricker",62,1.544,1723,1116,"OverallPuttingAverage",2005
2,2,"Ben Crane",78,1.553,2069,1332,"OverallPuttingAverage",2005
3,3,"Charlie Wi",67,1.559,1824,1170,"OverallPuttingAverage",2005
4,4,"Aaron Baddeley",84,1.56,2303,1476,"OverallPuttingAverage",2005
5,5,"Brad Faxon",75,1.567,2002,1278,"OverallPuttingAverage",2005
6,6,"Kevin Na",88,1.572,2433,1548,"OverallPuttingAverage",2005
7,7,"Todd Fischer",99,1.573,2747,1746,"OverallPuttingAverage",2005
8,8,"Arjun Atwal",65,1.578,1846,1170,"OverallPuttingAverage",2005
8,8,"Corey Pavin",77,1.578,2073,1314,"OverallPuttingAverage",2005
10,10,"Jose Coceres",56,1.582,1538,972,"OverallPuttingAverage",2005
10,10,"Joe Ogilvie",103,1.582,2819,1782,"OverallPuttingAverage",2005
12,12,"Bob Heintz",67,1.583,1909,1206,"OverallPuttingAverage",2005
12,12,"Jose Maria Olazabal",55,1.583,1510,954,"OverallPuttingAverage",2005
12,12,"Jesper Parnevik",84,1.583,2336,1476,"OverallPuttingAverage",2005
15,15,"Len Mattiace",86,1.584,2395,1512,"OverallPuttingAverage",2005
16,16,"Brian Gay",101,1.585,2824,1782,"OverallPuttingAverage",2005
17,17,"Gavin Coles",70,1.586,1998,1260,"OverallPuttingAverage",2005
17,17,"Tim Herron",100,1.586,2827,1782,"OverallPuttingAverage",2005
19,19,"Glen Day",80,1.587,2228,1404,"OverallPuttingAverage",2005
19,19,"Chris DiMarco",83,1.587,2143,1350,"OverallPuttingAverage",2005
21,21,"Paul Azinger",66,1.588,1887,1188,"OverallPuttingAverage",2005
21,21,"Mark OMeara",66,1.588,1887,1188,"OverallPuttingAverage",2005
21,21,"Tom Pernice Jr",111,1.588,3058,1926,"OverallPuttingAverage",2005
24,24,"Tim Clark",92,1.589,2488,1566,"OverallPuttingAverage",2005
25,25,"Justin Bolli",65,1.59,1803,1134,"OverallPuttingAverage",2005
26,26,"Dudley Hart",84,1.592,2407,1512,"OverallPuttingAverage",2005
26,26,"Brenden Pappas",51,1.592,1461,918,"OverallPuttingAverage",2005
28,28,"JP Hayes",63,1.593,1806,1134,"OverallPuttingAverage",2005
28,28,"Phillip Price",77,1.593,2093,1314,"OverallPuttingAverage",2005
30,30,"Stephen Ames",82,1.594,2266,1422,"OverallPuttingAverage",2005
30,30,"Phil Mickelson",81,1.594,2123,1332,"OverallPuttingAverage",2005
30,30,"Tag Ridings",93,1.594,2611,1638,"OverallPuttingAverage",2005
33,33,"Billy Andrade",83,1.595,2383,1494,"OverallPuttingAverage",2005
33,33,"Hunter Haas",83,1.595,2268,1422,"OverallPuttingAverage",2005
33,33,"Ryuji Imada",78,1.595,2239,1404,"OverallPuttingAverage",2005
33,33,"Patrick Sheehan",114,1.595,3158,1980,"OverallPuttingAverage",2005
33,33,"David Toms",87,1.595,2211,1386,"OverallPuttingAverage",2005
33,33,"Tiger Woods",76,1.595,2124,1332,"OverallPuttingAverage",2005
39,39,"Daniel Chopra",108,1.597,2989,1872,"OverallPuttingAverage",2005
40,40,"Shigeki Maruyama",99,1.598,2818,1764,"OverallPuttingAverage",2005
41,41,"Michael Allen",90,1.599,2590,1620,"OverallPuttingAverage",2005
41,41,"Chris Anderson",66,1.599,1785,1116,"OverallPuttingAverage",2005
41,41,"Kirk Triplett",55,1.599,1497,936,"OverallPuttingAverage",2005
41,41,"Dean Wilson",86,1.599,2475,1548,"OverallPuttingAverage",2005
45,45,"Scott Verplank",87,1.6,2477,1548,"OverallPuttingAverage",2005
46,46,"Bob Estes",92,1.601,2651,1656,"OverallPuttingAverage",2005
47,47,"Robert Gamez",91,1.602,2624,1638,"OverallPuttingAverage",2005
47,47,"Matt Gogel",78,1.602,2192,1368,"OverallPuttingAverage",2005
47,47,"Rob Rashell",65,1.602,1874,1170,"OverallPuttingAverage",2005
47,47,"Loren Roberts",54,1.602,1528,954,"OverallPuttingAverage",2005
51,51,"Richard Johnson",50,1.603,1443,900,"OverallPuttingAverage",2005
51,51,"Geoff Ogilvy",97,1.603,2683,1674,"OverallPuttingAverage",2005
51,51,"Pat Perez",89,1.603,2568,1602,"OverallPuttingAverage",2005
54,54,"Justin Leonard",78,1.604,2165,1350,"OverallPuttingAverage",2005
54,54,"Darron Stiles",78,1.604,2194,1368,"OverallPuttingAverage",2005
56,56,"Hank Kuehne",84,1.605,2311,1440,"OverallPuttingAverage",2005
56,56,"Vaughn Taylor",99,1.605,2861,1782,"OverallPuttingAverage",2005
58,58,"Mark Brooks",72,1.606,2081,1296,"OverallPuttingAverage",2005
58,58,"Matt Kuchar",60,1.606,1734,1080,"OverallPuttingAverage",2005
58,58,"Mark Wilson",74,1.606,2023,1260,"OverallPuttingAverage",2005
61,61,"Carl Pettersson",109,1.607,3037,1890,"OverallPuttingAverage",2005
61,61,"Rory Sabbatini",81,1.607,2256,1404,"OverallPuttingAverage",2005
61,61,"Mike Weir",71,1.607,1909,1188,"OverallPuttingAverage",2005
64,64,"Steve Lowery",100,1.608,2778,1728,"OverallPuttingAverage",2005
64,64,"Brett Quigley",96,1.608,2663,1656,"OverallPuttingAverage",2005
66,66,"Jason Bohn",91,1.609,2635,1638,"OverallPuttingAverage",2005
66,66,"Jay Williamson",53,1.609,1535,954,"OverallPuttingAverage",2005
68,68,"KJ Choi",78,1.61,2116,1314,"OverallPuttingAverage",2005
68,68,"Stewart Cink",98,1.61,2608,1620,"OverallPuttingAverage",2005
68,68,"James Driscoll",73,1.61,2057,1278,"OverallPuttingAverage",2005
68,68,"Freddie Jacobson",72,1.61,2058,1278,"OverallPuttingAverage",2005
72,72,"Jim Furyk",94,1.611,2696,1674,"OverallPuttingAverage",2005
72,72,"Padraig Harrington",50,1.611,1392,864,"OverallPuttingAverage",2005
72,72,"Zach Johnson",96,1.611,2755,1710,"OverallPuttingAverage",2005
75,75,"Cameron Beckman",96,1.614,2672,1656,"OverallPuttingAverage",2005
75,75,"Marco Dawson",82,1.614,2382,1476,"OverallPuttingAverage",2005
75,75,"John Huston",90,1.614,2498,1548,"OverallPuttingAverage",2005
75,75,"Larry Mize",54,1.614,1453,900,"OverallPuttingAverage",2005
79,79,"Paul Gow",78,1.615,2151,1332,"OverallPuttingAverage",2005
80,80,"Mathias Gronberg",60,1.616,1687,1044,"OverallPuttingAverage",2005
80,80,"Andrew Magee",82,1.616,2269,1404,"OverallPuttingAverage",2005
80,80,"Scott McCarron",78,1.616,2153,1332,"OverallPuttingAverage",2005
80,80,"Ryan Palmer",101,1.616,2822,1746,"OverallPuttingAverage",2005
84,84,"Woody Austin",100,1.617,2911,1800,"OverallPuttingAverage",2005
84,84,"Kent Jones",99,1.617,2823,1746,"OverallPuttingAverage",2005
86,86,"Lee Janzen",75,1.618,2126,1314,"OverallPuttingAverage",2005
86,86,"Justin Rose",99,1.618,2767,1710,"OverallPuttingAverage",2005
88,88,"Neal Lancaster",95,1.619,2769,1710,"OverallPuttingAverage",2005
88,88,"Davis Love III",80,1.619,2186,1350,"OverallPuttingAverage",2005
88,88,"Nick Watney",91,1.619,2594,1602,"OverallPuttingAverage",2005
91,91,"Mark Calcavecchia",92,1.62,2624,1620,"OverallPuttingAverage",2005
91,91,"Todd Hamilton",94,1.62,2653,1638,"OverallPuttingAverage",2005
91,91,"Hidemichi Tanaka",106,1.62,2974,1836,"OverallPuttingAverage",2005
91,91,"Bob Tway",87,1.62,2420,1494,"OverallPuttingAverage",2005
95,95,"Bernhard Langer",67,1.621,1955,1206,"OverallPuttingAverage",2005
96,96,"Harrison Frazar",105,1.622,2949,1818,"OverallPuttingAverage",2005
96,96,"Brent Geiberger",61,1.622,1723,1062,"OverallPuttingAverage",2005
96,96,"Jerry Kelly",101,1.622,2890,1782,"OverallPuttingAverage",2005
96,96,"Chris Riley",67,1.622,1868,1152,"OverallPuttingAverage",2005
96,96,"Kevin Stadler",96,1.622,2686,1656,"OverallPuttingAverage",2005
101,101,"Jay Haas",54,1.623,1490,918,"OverallPuttingAverage",2005
101,101,"Brandt Jobe",96,1.623,2687,1656,"OverallPuttingAverage",2005
101,101,"Skip Kendall",80,1.623,2279,1404,"OverallPuttingAverage",2005
104,104,"Doug Barron",70,1.624,2046,1260,"OverallPuttingAverage",2005
104,104,"Olin Browne",99,1.624,2777,1710,"OverallPuttingAverage",2005
104,104,"Brian Davis",75,1.624,2192,1350,"OverallPuttingAverage",2005
104,104,"Rod Pampling",89,1.624,2455,1512,"OverallPuttingAverage",2005
108,108,"John Cook",72,1.625,2048,1260,"OverallPuttingAverage",2005
108,108,"Robert Damron",89,1.625,2603,1602,"OverallPuttingAverage",2005
108,108,"Vijay Singh",111,1.625,3188,1962,"OverallPuttingAverage",2005
108,108,"Jeff Sluman",94,1.625,2750,1692,"OverallPuttingAverage",2005
108,108,"Hideto Tanihara",50,1.625,1404,864,"OverallPuttingAverage",2005
113,113,"Jason Allred",75,1.626,2137,1314,"OverallPuttingAverage",2005
113,113,"John Elliott",58,1.626,1639,1008,"OverallPuttingAverage",2005
