"PuttsmadeDistance_RANKTHISWEEK_2005","PuttsmadeDistance_RANKLASTWEEK_2005","PuttsmadeDistance_PLAYERNAME_2005","PuttsmadeDistance_EVENTS_2005","PuttsmadeDistance_DISTANCEININCHES_2005","stat_name","year"
1,1,"Ben Crane",21,59,"PuttsmadeDistance",2005
1,1,"Dan Forsman",17,59,"PuttsmadeDistance",2005
1,1,"Brenden Pappas",15,59,"PuttsmadeDistance",2005
4,4,"Brad Faxon",23,58,"PuttsmadeDistance",2005
4,4,"Len Mattiace",34,58,"PuttsmadeDistance",2005
6,6,"Arjun Atwal",17,57,"PuttsmadeDistance",2005
6,6,"Gavin Coles",22,57,"PuttsmadeDistance",2005
6,6,"Freddie Jacobson",23,57,"PuttsmadeDistance",2005
6,6,"Richard Johnson",16,57,"PuttsmadeDistance",2005
6,6,"Kent Jones",32,57,"PuttsmadeDistance",2005
6,6,"Joe Ogilvie",30,57,"PuttsmadeDistance",2005
6,6,"Ryan Palmer",32,57,"PuttsmadeDistance",2005
6,6,"David Toms",25,57,"PuttsmadeDistance",2005
6,6,"Bob Tway",26,57,"PuttsmadeDistance",2005
15,15,"Chris Anderson",25,56,"PuttsmadeDistance",2005
15,15,"Chad Campbell",27,56,"PuttsmadeDistance",2005
15,15,"Matt Gogel",28,56,"PuttsmadeDistance",2005
15,15,"Dudley Hart",29,56,"PuttsmadeDistance",2005
15,15,"Tim Herron",28,56,"PuttsmadeDistance",2005
15,15,"Charles Howell III",29,56,"PuttsmadeDistance",2005
15,15,"Phil Mickelson",21,56,"PuttsmadeDistance",2005
15,15,"Sean OHair",29,56,"PuttsmadeDistance",2005
15,15,"Rory Sabbatini",26,56,"PuttsmadeDistance",2005
24,24,"Stephen Ames",24,55,"PuttsmadeDistance",2005
24,24,"Aaron Baddeley",27,55,"PuttsmadeDistance",2005
24,24,"Bart Bryant",26,55,"PuttsmadeDistance",2005
24,24,"Stewart Cink",26,55,"PuttsmadeDistance",2005
24,24,"Steve Elkington",20,55,"PuttsmadeDistance",2005
24,24,"Jim Furyk",26,55,"PuttsmadeDistance",2005
24,24,"Brian Gay",33,55,"PuttsmadeDistance",2005
24,24,"Bernhard Langer",19,55,"PuttsmadeDistance",2005
24,24,"JL Lewis",30,55,"PuttsmadeDistance",2005
24,24,"Steve Lowery",32,55,"PuttsmadeDistance",2005
24,24,"Scott McCarron",24,55,"PuttsmadeDistance",2005
24,24,"Larry Mize",18,55,"PuttsmadeDistance",2005
24,24,"Phillip Price",25,55,"PuttsmadeDistance",2005
24,24,"Bo Van Pelt",33,55,"PuttsmadeDistance",2005
24,24,"Charlie Wi",23,55,"PuttsmadeDistance",2005
39,39,"Steve Allan",32,54,"PuttsmadeDistance",2005
39,39,"Billy Andrade",26,54,"PuttsmadeDistance",2005
39,39,"Briny Baird",33,54,"PuttsmadeDistance",2005
39,39,"Jeff Brehaut",23,54,"PuttsmadeDistance",2005
39,39,"KJ Choi",24,54,"PuttsmadeDistance",2005
39,39,"Daniel Chopra",34,54,"PuttsmadeDistance",2005
39,39,"Tim Clark",26,54,"PuttsmadeDistance",2005
39,39,"Harrison Frazar",31,54,"PuttsmadeDistance",2005
39,39,"Robert Gamez",28,54,"PuttsmadeDistance",2005
39,39,"Padraig Harrington",15,54,"PuttsmadeDistance",2005
39,39,"Bob Heintz",24,54,"PuttsmadeDistance",2005
39,39,"Mark Hensby",21,54,"PuttsmadeDistance",2005
39,39,"Brendan Jones",28,54,"PuttsmadeDistance",2005
39,39,"Hank Kuehne",30,54,"PuttsmadeDistance",2005
39,39,"Hunter Mahan",34,54,"PuttsmadeDistance",2005
39,39,"Kevin Na",32,54,"PuttsmadeDistance",2005
39,39,"Mark OMeara",21,54,"PuttsmadeDistance",2005
39,39,"Arron Oberholser",21,54,"PuttsmadeDistance",2005
39,39,"Jesper Parnevik",24,54,"PuttsmadeDistance",2005
39,39,"Ian Poulter",20,54,"PuttsmadeDistance",2005
39,39,"Loren Roberts",18,54,"PuttsmadeDistance",2005
39,39,"Patrick Sheehan",35,54,"PuttsmadeDistance",2005
39,39,"Steve Stricker",21,54,"PuttsmadeDistance",2005
39,39,"Charles Warren",31,54,"PuttsmadeDistance",2005
